,Date,Open,High,Low,Close,Volume,Symbol
0,2000-01-03,3.125,3.5,3.0,3.375,375,ACHC
1,2000-01-04,3.375,3.375,3.375,3.375,25,ACHC
2,2000-01-05,3.125,3.25,2.75,3.25,18275,ACHC
3,2000-01-06,3.0,3.0,3.0,3.0,700,ACHC
4,2000-01-07,3.125,3.125,2.875,2.875,7150,ACHC
5,2000-01-10,2.875,3.25,2.875,3.125,17700,ACHC
6,2000-01-11,3.125,3.25,3.0,3.125,6550,ACHC
7,2000-01-12,3.125,3.25,3.0,3.25,8100,ACHC
8,2000-01-13,3.25,3.25,3.0,3.0,10225,ACHC
9,2000-01-14,3.25,3.25,3.0,3.0,6375,ACHC
10,2000-01-18,3.125,3.25,3.0,3.0,13600,ACHC
11,2000-01-19,3.0,3.25,3.0,3.0,3225,ACHC
12,2000-01-20,3.25,3.25,3.0,3.0,8625,ACHC
13,2000-01-21,3.125,3.25,3.125,3.125,2625,ACHC
14,2000-01-24,3.25,3.75,3.125,3.625,52225,ACHC
15,2000-01-25,3.4375,4.25,3.4375,4.0,101550,ACHC
16,2000-01-26,10.5,11.5,5.625,8.0,337975,ACHC
17,2000-01-27,8.625,9.25,5.875,6.25,139650,ACHC
18,2000-01-28,7.0,8.5,6.5,7.5,218975,ACHC
19,2000-01-31,7.875,8.75,7.0,7.0,47575,ACHC
20,2000-02-01,7.5,8.25,7.0,7.0,19775,ACHC
21,2000-02-02,7.75,9.75,7.75,9.75,117175,ACHC
22,2000-02-03,9.5,10.0,8.125,8.75,53050,ACHC
23,2000-02-04,9.0,9.25,7.5,7.75,55775,ACHC
24,2000-02-07,8.0,8.75,7.75,7.75,18400,ACHC
25,2000-02-08,8.0,8.25,7.25,7.25,25500,ACHC
26,2000-02-09,7.75,8.25,7.0,7.75,35325,ACHC
27,2000-02-10,8.0,8.5,8.0,8.375,70175,ACHC
28,2000-02-11,8.5,8.5,8.0,8.0,19300,ACHC
29,2000-02-14,8.25,9.0,8.0,8.0,20075,ACHC
30,2000-02-15,8.125,8.125,7.0,7.75,26725,ACHC
31,2000-02-16,6.25,8.0,6.25,7.375,28475,ACHC
32,2000-02-17,7.5,7.5,6.75,6.75,11425,ACHC
33,2000-02-18,6.625,7.0,6.5,7.0,11950,ACHC
34,2000-02-22,6.875,8.5,6.5,8.125,44000,ACHC
35,2000-02-23,8.125,8.25,7.0,7.125,14400,ACHC
36,2000-02-24,7.4375,7.75,7.4375,7.5,3925,ACHC
37,2000-02-25,7.75,9.5,7.5,8.875,85775,ACHC
38,2000-02-28,9.25,9.5,8.75,9.0,21725,ACHC
39,2000-02-29,9.0,9.75,7.75,9.25,47775,ACHC
40,2000-03-01,9.5,11.0,9.5,10.0,65200,ACHC
41,2000-03-02,10.125,10.75,9.25,9.5,28075,ACHC
42,2000-03-03,10.0,10.75,8.875,9.25,15975,ACHC
43,2000-03-06,9.0,12.0,8.75,11.5,94575,ACHC
44,2000-03-07,12.0,12.0,11.5,11.75,37975,ACHC
45,2000-03-08,11.75,11.75,11.0,11.125,13450,ACHC
46,2000-03-09,11.25,11.25,10.25,10.25,15350,ACHC
47,2000-03-10,11.6875,14.0,11.125,13.0,119125,ACHC
48,2000-03-13,13.25,13.25,12.0,12.125,32275,ACHC
49,2000-03-14,12.25,12.75,11.0,11.25,24300,ACHC
50,2000-03-15,11.75,11.75,10.25,11.0,10250,ACHC
51,2000-03-16,11.25,11.5,10.5,11.0,14275,ACHC
52,2000-03-17,10.25,11.5,10.125,11.25,16500,ACHC
53,2000-03-20,11.75,12.0,8.875,10.0,22950,ACHC
