,Date,Open,High,Low,Close,Volume,Symbol
0,2000-01-03,9.1875,9.3125,8.9375,9.0625,413100,AN
1,2000-01-04,8.8125,8.875,8.5625,8.6875,1071600,AN
2,2000-01-05,8.625,8.75,8.3125,8.625,2031500,AN
3,2000-01-06,8.5625,8.75,8.3125,8.625,2264600,AN
4,2000-01-07,8.625,9.0,8.5625,8.9375,951800,AN
5,2000-01-10,8.9375,9.0,8.75,8.875,528000,AN
6,2000-01-11,8.875,8.9375,8.5,8.5625,869500,AN
7,2000-01-12,8.5625,8.6875,8.5625,8.625,822000,AN
8,2000-01-13,8.625,8.75,8.5625,8.625,1543700,AN
9,2000-01-14,8.6875,8.8125,8.625,8.625,684900,AN
10,2000-01-18,8.75,8.875,8.625,8.6875,628500,AN
11,2000-01-19,8.625,8.9375,8.625,8.875,956800,AN
12,2000-01-20,8.8125,8.875,8.6875,8.875,919400,AN
13,2000-01-21,8.6875,8.8125,8.625,8.75,1078300,AN
14,2000-01-24,8.75,8.8125,8.5625,8.625,1093700,AN
15,2000-01-25,8.5625,8.625,8.0,8.25,1129300,AN
16,2000-01-26,8.1875,8.1875,7.8125,7.9375,1229900,AN
17,2000-01-27,7.875,8.125,7.625,7.75,855400,AN
18,2000-01-28,7.8125,8.0,7.3125,7.875,2317300,AN
19,2000-01-31,7.9375,8.0625,7.5,7.5625,1220500,AN
20,2000-02-01,7.5625,7.6875,6.625,7.0625,2526600,AN
21,2000-02-02,6.9375,7.0625,6.25,6.5625,4253300,AN
22,2000-02-03,6.6875,7.25,6.125,6.25,12470500,AN
23,2000-02-04,6.25,6.875,6.25,6.875,5468500,AN
24,2000-02-07,6.75,6.8125,6.4375,6.5625,4201500,AN
25,2000-02-08,6.625,6.6875,6.5,6.625,1661500,AN
26,2000-02-09,6.625,6.6875,6.5,6.5625,2433200,AN
27,2000-02-10,6.5625,6.6875,6.5,6.625,2126000,AN
28,2000-02-11,6.625,8.25,6.5625,7.875,2928600,AN
29,2000-02-14,7.75,8.375,7.75,7.75,2669900,AN
30,2000-02-15,7.8125,7.875,7.3125,7.5,1043100,AN
31,2000-02-16,7.75,8.1875,7.5625,8.0625,1792200,AN
32,2000-02-17,8.1875,8.375,8.0,8.25,974000,AN
33,2000-02-18,8.3125,8.3125,7.8125,7.8125,689200,AN
34,2000-02-22,7.875,8.0625,7.75,7.75,283000,AN
35,2000-02-23,7.9375,8.0,7.5625,7.625,1606600,AN
36,2000-02-24,7.6875,7.6875,7.375,7.625,1712900,AN
37,2000-02-25,7.625,8.25,7.3125,8.25,630300,AN
38,2000-02-28,8.125,8.125,7.625,7.875,524900,AN
39,2000-02-29,7.5625,7.625,7.5,7.5625,812100,AN
40,2000-03-01,7.5625,7.5625,7.25,7.25,3371900,AN
41,2000-03-02,7.375,7.5,7.25,7.3125,2389900,AN
42,2000-03-03,7.25,8.0,7.0,7.0625,1496900,AN
43,2000-03-06,7.125,7.25,7.0625,7.0625,997200,AN
44,2000-03-07,7.0625,7.125,6.9375,7.0625,2005600,AN
45,2000-03-08,7.0,7.125,6.9375,7.0625,1594800,AN
46,2000-03-09,7.125,7.4375,7.125,7.375,1174800,AN
47,2000-03-10,7.5,7.5625,7.375,7.375,657100,AN
48,2000-03-13,7.375,7.375,7.1875,7.3125,752800,AN
49,2000-03-14,7.375,7.375,7.0,7.0625,865800,AN
50,2000-03-15,7.125,7.875,7.125,7.875,1157000,AN
51,2000-03-16,7.9375,8.1875,7.8125,8.1875,1785600,AN
52,2000-03-17,8.1875,8.25,7.875,8.125,1652300,AN
53,2000-03-20,8.125,8.125,8.0,8.125,985400,AN
54,2000-03-21,8.125,8.125,7.875,8.0,680300,AN
55,2000-03-22,8.0,8.25,8.0,8.125,1184900,AN
56,2000-03-23,8.1875,8.25,7.875,8.0625,2561800,AN
57,2000-03-24,8.125,8.125,7.625,7.75,1309700,AN
58,2000-03-27,7.8125,8.0,7.75,7.8125,751300,AN
59,2000-03-28,7.8125,7.9375,7.75,7.875,924300,AN
60,2000-03-29,7.8125,7.9375,7.75,7.8125,504900,AN
61,2000-03-30,7.8125,7.9375,7.75,7.875,487900,AN
62,2000-03-31,7.9375,8.0625,7.875,7.9375,1133600,AN
63,2000-04-03,8.0625,9.0,8.0,8.875,2886300,AN
