,Date,Open,High,Low,Close,Volume,Symbol
0,2000-01-03,12.25,12.6875,12.125,12.5625,91700,ARCB
1,2000-01-04,12.625,12.75,12.4375,12.71875,37000,ARCB
2,2000-01-05,12.75,12.875,12.4375,12.75,78100,ARCB
3,2000-01-06,12.75,13.375,12.75,13.1875,56600,ARCB
4,2000-01-07,13.4375,13.75,13.1875,13.625,176600,ARCB
5,2000-01-10,13.375,13.75,13.25,13.375,122100,ARCB
6,2000-01-11,13.125,13.125,11.875,12.0625,69800,ARCB
7,2000-01-12,12.0625,13.25,12.0625,13.1875,167400,ARCB
8,2000-01-13,13.5,13.9375,13.3125,13.5,126900,ARCB
9,2000-01-14,13.25,13.375,12.4375,12.5625,29500,ARCB
10,2000-01-18,12.75,13.75,12.625,13.5,168600,ARCB
11,2000-01-19,13.3125,13.625,12.625,13.4375,85000,ARCB
12,2000-01-20,13.9375,14.0,12.6875,13.5,165400,ARCB
13,2000-01-21,13.75,13.75,13.125,13.40625,118400,ARCB
14,2000-01-24,13.3125,13.40625,12.75,13.25,86500,ARCB
15,2000-01-25,12.875,13.375,12.8125,13.25,53800,ARCB
16,2000-01-26,13.25,13.375,12.5,12.875,149600,ARCB
17,2000-01-27,13.25,13.25,10.0,11.75,262600,ARCB
18,2000-01-28,11.875,12.0,11.5,11.875,157200,ARCB
19,2000-01-31,11.875,11.875,11.75,11.875,229900,ARCB
20,2000-02-01,12.0,12.25,11.75,11.75,105000,ARCB
21,2000-02-02,11.8125,11.8125,11.5,11.5,83700,ARCB
22,2000-02-03,11.625,12.125,11.625,12.0,83300,ARCB
23,2000-02-04,12.125,12.5,12.0,12.09375,152400,ARCB
24,2000-02-07,12.125,12.125,11.5,11.5,33200,ARCB
25,2000-02-08,11.875,12.125,11.375,11.4375,92700,ARCB
26,2000-02-09,12.0,12.0,10.625,11.25,327800,ARCB
27,2000-02-10,11.5,11.875,11.125,11.125,353200,ARCB
28,2000-02-11,11.25,11.3125,10.875,11.0,200400,ARCB
29,2000-02-14,11.0,11.1875,10.75,10.8125,88500,ARCB
30,2000-02-15,10.75,11.375,10.75,11.0,209200,ARCB
31,2000-02-16,11.1875,11.75,11.125,11.5625,66500,ARCB
32,2000-02-17,11.5,11.75,11.25,11.625,36900,ARCB
33,2000-02-18,11.375,11.75,11.375,11.5,71900,ARCB
34,2000-02-22,11.875,12.0,11.5,11.5,125600,ARCB
35,2000-02-23,11.5,11.5,10.6875,11.0,416300,ARCB
36,2000-02-24,11.125,11.125,10.0,10.125,266700,ARCB
37,2000-02-25,10.0,10.125,9.0,9.4375,439900,ARCB
