,Date,Open,High,Low,Close,Volume,Symbol
0,2000-01-03,34.1875,34.25,33.8125,33.9375,61900,AVB
1,2000-01-04,33.75,33.8125,32.9375,33.1875,112300,AVB
2,2000-01-05,33.0625,33.5,32.625,33.5,259300,AVB
3,2000-01-06,33.375,34.625,33.3125,34.625,126500,AVB
4,2000-01-07,35.0,36.0,34.6875,35.5,139100,AVB
5,2000-01-10,35.5,35.9375,35.375,35.9375,110500,AVB
6,2000-01-11,35.75,35.9375,35.1875,35.1875,76500,AVB
7,2000-01-12,35.0625,35.375,35.0625,35.125,25000,AVB
8,2000-01-13,35.125,35.1875,34.6875,35.0,58100,AVB
9,2000-01-14,35.125,35.25,34.9375,35.0,252900,AVB
10,2000-01-18,35.0,35.4375,34.375,34.375,194400,AVB
11,2000-01-19,34.625,35.5625,34.625,35.5625,68200,AVB
12,2000-01-20,35.3125,35.375,35.0625,35.1875,49700,AVB
13,2000-01-21,35.25,35.5,35.125,35.25,87100,AVB
14,2000-01-24,35.0625,35.3125,35.0,35.25,61400,AVB
15,2000-01-25,35.25,35.3125,35.125,35.25,161200,AVB
16,2000-01-26,35.125,35.25,35.0,35.125,117900,AVB
17,2000-01-27,35.125,35.1875,34.625,35.1875,131200,AVB
18,2000-01-28,35.0625,35.125,34.625,34.75,107600,AVB
19,2000-01-31,34.625,34.75,34.375,34.5,58100,AVB
20,2000-02-01,34.5,34.625,34.375,34.5,60300,AVB
21,2000-02-02,34.5,34.5,34.375,34.5,95700,AVB
22,2000-02-03,34.5,34.625,34.0625,34.375,121100,AVB
23,2000-02-04,34.3125,34.6875,34.3125,34.5625,59300,AVB
24,2000-02-07,34.4375,34.5625,34.25,34.5,48800,AVB
25,2000-02-08,34.5,34.5625,34.3125,34.375,88500,AVB
26,2000-02-09,34.375,34.6875,34.0625,34.3125,351000,AVB
27,2000-02-10,34.4375,34.4375,34.125,34.3125,192300,AVB
28,2000-02-11,34.25,34.5,33.9375,34.25,115600,AVB
29,2000-02-14,34.125,34.375,33.9375,34.375,73000,AVB
30,2000-02-15,34.125,34.25,33.9375,34.25,99800,AVB
31,2000-02-16,34.125,34.1875,34.0,34.125,183200,AVB
32,2000-02-17,34.0,34.25,34.0,34.25,95400,AVB
33,2000-02-18,34.25,34.25,34.0,34.1875,66400,AVB
34,2000-02-22,34.0625,34.1875,33.9375,34.1875,56500,AVB
35,2000-02-23,34.0625,34.0625,33.9375,34.0,79700,AVB
36,2000-02-24,33.9375,33.9375,33.8125,33.9375,44900,AVB
37,2000-02-25,33.875,34.0,33.875,34.0,35700,AVB
38,2000-02-28,34.0,34.0,33.625,33.75,61300,AVB
39,2000-02-29,33.25,33.875,33.25,33.75,289100,AVB
40,2000-03-01,33.4375,34.25,33.4375,34.25,280300,AVB
41,2000-03-02,34.125,34.375,33.9375,33.9375,84200,AVB
42,2000-03-03,34.0625,34.25,34.0625,34.25,104800,AVB
43,2000-03-06,34.25,34.25,34.0,34.125,118700,AVB
44,2000-03-07,34.125,34.5,34.0,34.5,74300,AVB
45,2000-03-08,34.5,34.5,33.9375,34.125,51300,AVB
46,2000-03-09,34.25,34.375,33.9375,34.0,70500,AVB
47,2000-03-10,33.9375,34.4375,33.9375,34.4375,48000,AVB
48,2000-03-13,34.4375,34.5,34.1875,34.25,180600,AVB
49,2000-03-14,34.25,34.25,34.0,34.0,88000,AVB
50,2000-03-15,34.125,34.3125,33.875,34.3125,147600,AVB
51,2000-03-16,34.375,34.75,34.375,34.6875,432600,AVB
52,2000-03-17,34.9375,35.0625,34.5,34.8125,279800,AVB
53,2000-03-20,34.625,35.3125,34.5625,35.3125,148700,AVB
54,2000-03-21,35.1875,35.3125,34.9375,35.1875,77800,AVB
55,2000-03-22,35.125,35.4375,35.0,35.25,240400,AVB
56,2000-03-23,35.125,36.0,35.125,36.0,88900,AVB
57,2000-03-24,35.875,35.9375,35.5625,35.75,113200,AVB
58,2000-03-27,35.625,35.875,35.5625,35.75,126200,AVB
59,2000-03-28,35.875,36.0625,35.875,36.0625,185600,AVB
60,2000-03-29,36.0,36.5,36.0,36.5,186500,AVB
61,2000-03-30,35.8125,36.375,35.8125,36.375,219200,AVB
62,2000-03-31,36.5625,36.6875,36.375,36.625,236800,AVB
63,2000-04-03,36.5625,36.5625,36.375,36.375,5891200,AVB
64,2000-04-04,36.125,36.5625,36.125,36.5,378600,AVB
65,2000-04-05,36.5,36.8125,36.1875,36.8125,148800,AVB
66,2000-04-06,36.9375,37.0,36.8125,37.0,191100,AVB
67,2000-04-07,37.0,37.5,37.0,37.4375,94000,AVB
68,2000-04-10,37.4375,37.625,37.375,37.5,209700,AVB
69,2000-04-11,37.875,37.9375,37.25,37.8125,273800,AVB
70,2000-04-12,37.75,37.9375,37.5,37.625,137900,AVB
71,2000-04-13,37.875,37.9375,37.6875,37.875,87800,AVB
72,2000-04-14,37.875,37.875,37.75,37.875,281000,AVB
73,2000-04-17,37.625,37.9375,36.5,36.8125,295100,AVB
74,2000-04-18,37.3125,37.875,37.0625,37.875,152600,AVB
75,2000-04-19,37.75,38.0,37.625,38.0,106800,AVB
76,2000-04-20,38.125,38.125,37.8125,37.8125,217500,AVB
77,2000-04-24,37.875,37.9375,37.75,37.9375,97600,AVB
78,2000-04-25,37.9375,38.125,37.875,38.0625,171500,AVB
79,2000-04-26,38.125,38.25,37.9375,38.25,166000,AVB
80,2000-04-27,38.375,39.0,38.25,38.8125,286600,AVB
81,2000-04-28,38.875,39.3125,38.6875,39.125,147300,AVB
82,2000-05-01,39.125,39.4375,39.0625,39.4375,262200,AVB
83,2000-05-02,39.6875,40.25,39.625,39.8125,236400,AVB
