,Date,Open,High,Low,Close,Volume,Symbol
0,2000-01-03,21.9375,21.9375,19.8125,20.25,1468700,BKR
1,2000-01-04,20.0625,21.375,19.625,20.25,2082300,BKR
2,2000-01-05,20.375,21.375,20.0,20.375,1833700,BKR
3,2000-01-06,20.6875,22.375,20.6875,22.3125,2234700,BKR
4,2000-01-07,22.75,24.1875,22.3125,23.8125,2810600,BKR
5,2000-01-10,23.875,23.875,22.375,23.0625,2274100,BKR
6,2000-01-11,23.75,24.0,22.8125,23.5625,2001100,BKR
7,2000-01-12,23.0625,23.3125,22.375,22.5,1358000,BKR
8,2000-01-13,22.5,23.3125,22.4375,22.5,1534800,BKR
9,2000-01-14,22.5625,22.875,21.9375,22.75,1824700,BKR
10,2000-01-18,22.5,23.625,22.25,23.625,4190800,BKR
11,2000-01-19,23.5625,24.25,22.8125,23.4375,2186500,BKR
12,2000-01-20,23.0,23.0,22.0625,22.125,1822500,BKR
13,2000-01-21,23.25,23.9375,22.0,22.75,3546500,BKR
14,2000-01-24,23.25,23.25,22.75,23.0625,2326700,BKR
15,2000-01-25,23.0,23.5,22.125,22.875,1747500,BKR
16,2000-01-26,23.5,24.0,22.6875,22.75,2050900,BKR
17,2000-01-27,22.75,23.375,21.0,21.5625,1144500,BKR
18,2000-01-28,21.875,22.375,20.5625,20.8125,1303300,BKR
19,2000-01-31,23.5,25.0625,22.8125,24.6875,5190700,BKR
20,2000-02-01,24.6875,24.8125,22.9375,24.125,3709300,BKR
21,2000-02-02,24.125,24.5,23.1875,23.5,1526300,BKR
22,2000-02-03,23.6875,24.125,23.25,23.875,2807900,BKR
23,2000-02-04,23.625,24.0625,22.0625,22.5,1786500,BKR
24,2000-02-07,21.875,23.875,21.75,23.3125,1412600,BKR
25,2000-02-08,23.375,23.4375,22.0,22.625,1625500,BKR
26,2000-02-09,22.375,23.25,21.625,21.75,1009200,BKR
27,2000-02-10,21.625,23.0625,21.625,22.5625,2774000,BKR
28,2000-02-11,22.875,24.0625,22.75,22.75,1823500,BKR
29,2000-02-14,23.0,24.0,22.1875,23.875,1687800,BKR
30,2000-02-15,24.125,25.625,24.125,25.5,3528200,BKR
31,2000-02-16,25.25,26.125,24.875,25.3125,2550100,BKR
32,2000-02-17,25.0,25.75,23.625,25.375,2205600,BKR
33,2000-02-18,25.375,25.375,24.3125,24.5625,1343500,BKR
34,2000-02-22,24.75,25.125,23.8125,24.25,1394200,BKR
35,2000-02-23,24.25,24.5,23.9375,24.0,1498400,BKR
36,2000-02-24,24.0,25.4375,23.875,24.8125,1854400,BKR
37,2000-02-25,24.8125,24.875,23.8125,24.0625,1666700,BKR
38,2000-02-28,23.8125,25.75,23.8125,25.125,2230700,BKR
39,2000-02-29,25.75,26.375,25.5625,25.875,2715800,BKR
40,2000-03-01,26.125,27.375,24.6875,27.3125,4533900,BKR
41,2000-03-02,27.1875,28.5,27.0625,28.4375,3431300,BKR
42,2000-03-03,28.0,28.0,26.0,26.75,2166600,BKR
43,2000-03-06,27.0,27.75,26.75,27.375,1744500,BKR
44,2000-03-07,27.25,29.5625,27.25,29.0625,5349000,BKR
45,2000-03-08,28.0,28.0625,26.5625,26.625,3916800,BKR
46,2000-03-09,27.5,28.125,27.25,28.125,2374600,BKR
47,2000-03-10,28.0,28.9375,27.0,27.25,2120800,BKR
48,2000-03-13,26.5,28.5625,26.5,27.25,1759200,BKR
49,2000-03-14,27.0,27.5,25.3125,26.75,1400500,BKR
50,2000-03-15,26.75,27.125,25.375,25.875,1055300,BKR
51,2000-03-16,25.5625,27.4375,25.1875,27.375,1678600,BKR
52,2000-03-17,27.75,27.75,25.875,26.4375,1951800,BKR
53,2000-03-20,26.0,26.0625,25.0625,25.6875,1026700,BKR
54,2000-03-21,26.5,27.5,26.375,27.25,2174200,BKR
55,2000-03-22,27.75,28.5625,25.875,27.0,8565600,BKR
56,2000-03-23,27.4375,27.625,25.875,27.4375,3802100,BKR
57,2000-03-24,28.6875,28.6875,27.8125,28.0,2602300,BKR
58,2000-03-27,28.0,28.625,27.0,27.8125,2057300,BKR
59,2000-03-28,26.875,29.5,26.8125,28.8125,4452600,BKR
60,2000-03-29,28.625,31.0,28.375,30.8125,3305200,BKR
61,2000-03-30,30.125,32.0,29.8125,29.9375,3018200,BKR
62,2000-03-31,29.9375,30.5,29.375,30.25,2019300,BKR
63,2000-04-03,30.0,31.375,30.0,30.75,1484600,BKR
64,2000-04-04,30.9375,31.75,28.4375,30.25,3121700,BKR
65,2000-04-05,29.125,29.9375,28.375,28.4375,2198800,BKR
66,2000-04-06,28.5,28.875,27.625,28.4375,1968200,BKR
67,2000-04-07,29.0,30.625,28.8125,29.0,3611600,BKR
68,2000-04-10,27.75,28.125,25.625,26.0,4444100,BKR
69,2000-04-11,27.625,28.75,26.9375,28.75,3600100,BKR
70,2000-04-12,28.75,29.8125,28.3125,29.4375,2947200,BKR
71,2000-04-13,29.5625,29.75,27.875,28.4375,1634900,BKR
72,2000-04-14,27.9375,29.1875,27.5,28.375,2280000,BKR
73,2000-04-17,28.4375,28.625,27.0,28.0,2040800,BKR
74,2000-04-18,28.25,29.0625,27.5,28.4375,2605700,BKR
75,2000-04-19,28.4375,28.75,27.4375,28.5625,1783600,BKR
76,2000-04-20,28.75,29.9375,28.375,29.875,1665200,BKR
77,2000-04-24,30.1875,30.4375,28.0,29.0,1659600,BKR
78,2000-04-25,29.0,29.375,27.8125,29.3125,1652500,BKR
