,Date,Open,High,Low,Close,Volume,Symbol
0,2000-01-03,5.6875,5.8125,5.625,5.75,80300,BYD
1,2000-01-04,5.875,5.875,5.6875,5.75,47800,BYD
2,2000-01-05,5.75,5.8125,5.625,5.75,49100,BYD
3,2000-01-06,5.625,5.6875,5.3125,5.5625,129000,BYD
4,2000-01-07,5.375,5.5625,5.375,5.5625,52200,BYD
5,2000-01-10,5.5,5.875,5.5,5.6875,52300,BYD
6,2000-01-11,5.625,5.75,5.625,5.625,50100,BYD
7,2000-01-12,5.5625,5.625,5.4375,5.5,57800,BYD
8,2000-01-13,5.5,5.5,5.375,5.5,87800,BYD
9,2000-01-14,5.4375,5.5,5.4375,5.5,32100,BYD
10,2000-01-18,5.5,5.5625,5.4375,5.5,38500,BYD
11,2000-01-19,5.5,5.9375,5.5,5.9375,97500,BYD
12,2000-01-20,6.0,6.0,5.625,5.625,42800,BYD
13,2000-01-21,5.5625,5.9375,5.5625,5.9375,76500,BYD
14,2000-01-24,6.0,6.0,5.5625,5.625,67300,BYD
15,2000-01-25,5.625,5.625,5.375,5.375,46200,BYD
16,2000-01-26,5.4375,5.4375,5.3125,5.4375,47500,BYD
17,2000-01-27,5.3125,5.625,5.3125,5.4375,34000,BYD
18,2000-01-28,5.375,5.5,5.25,5.375,36900,BYD
19,2000-01-31,5.3125,5.4375,5.25,5.3125,69700,BYD
20,2000-02-01,5.3125,5.3125,5.0625,5.25,177600,BYD
21,2000-02-02,5.1875,5.25,5.0625,5.1875,48500,BYD
22,2000-02-03,5.1875,5.1875,5.0625,5.125,32000,BYD
23,2000-02-04,5.1875,5.8125,5.125,5.6875,132100,BYD
24,2000-02-07,5.75,5.75,5.625,5.625,40800,BYD
25,2000-02-08,5.625,5.6875,5.375,5.5625,85300,BYD
26,2000-02-09,5.5,5.6875,5.4375,5.5,48000,BYD
27,2000-02-10,5.625,5.6875,5.4375,5.625,41100,BYD
28,2000-02-11,5.5625,5.8125,5.4375,5.4375,32600,BYD
29,2000-02-14,5.5625,5.5625,5.375,5.4375,58800,BYD
30,2000-02-15,5.375,5.5,5.1875,5.1875,206100,BYD
31,2000-02-16,5.1875,5.25,5.1875,5.25,37100,BYD
32,2000-02-17,5.25,5.25,5.125,5.125,55000,BYD
33,2000-02-18,5.1875,5.25,5.0625,5.125,103200,BYD
34,2000-02-22,5.1875,5.1875,5.0,5.0,50600,BYD
35,2000-02-23,5.25,5.4375,5.1875,5.25,271900,BYD
36,2000-02-24,5.375,5.5625,5.375,5.5,1030500,BYD
37,2000-02-25,5.375,5.4375,5.1875,5.25,120100,BYD
38,2000-02-28,5.1875,5.1875,5.0625,5.125,48600,BYD
39,2000-02-29,5.125,5.1875,4.875,5.1875,125700,BYD
40,2000-03-01,5.0625,5.1875,5.0,5.0625,82400,BYD
41,2000-03-02,5.0625,5.125,4.75,4.75,205700,BYD
42,2000-03-03,4.75,5.0,4.6875,4.9375,189200,BYD
43,2000-03-06,4.9375,5.1875,4.875,5.0,122000,BYD
44,2000-03-07,5.0,5.0625,4.75,4.9375,195800,BYD
45,2000-03-08,5.0,5.0,4.8125,5.0,176500,BYD
46,2000-03-09,5.0,5.0,4.75,4.75,59300,BYD
47,2000-03-10,5.25,5.25,4.875,5.25,218200,BYD
48,2000-03-13,5.25,5.5,5.125,5.25,140600,BYD
49,2000-03-14,5.25,5.25,4.875,4.9375,96200,BYD
50,2000-03-15,4.9375,4.9375,4.75,4.8125,54000,BYD
51,2000-03-16,4.875,4.9375,4.875,4.9375,65400,BYD
52,2000-03-17,4.8125,4.9375,4.8125,4.875,34800,BYD
53,2000-03-20,4.9375,4.9375,4.5,4.5625,640700,BYD
54,2000-03-21,4.625,4.75,4.5625,4.75,52500,BYD
55,2000-03-22,4.75,4.75,4.5625,4.5625,56900,BYD
56,2000-03-23,4.625,4.75,4.625,4.625,44300,BYD
57,2000-03-24,4.6875,4.75,4.5,4.625,42600,BYD
58,2000-03-27,4.6875,4.6875,4.5,4.5,84400,BYD
59,2000-03-28,4.5625,4.5625,4.4375,4.5625,132400,BYD
60,2000-03-29,4.5,4.5,4.375,4.5,84300,BYD
61,2000-03-30,4.5,4.75,4.4375,4.625,924300,BYD
62,2000-03-31,4.6875,5.1875,4.625,4.9375,198000,BYD
63,2000-04-03,5.0625,5.125,4.8125,5.0,166700,BYD
64,2000-04-04,5.0625,5.0625,4.5,4.8125,131600,BYD
65,2000-04-05,4.875,4.875,4.625,4.6875,62400,BYD
66,2000-04-06,4.75,4.9375,4.75,4.875,109700,BYD
67,2000-04-07,4.9375,4.9375,4.8125,4.875,43300,BYD
68,2000-04-10,4.875,5.0,4.875,4.875,97800,BYD
69,2000-04-11,4.875,4.9375,4.75,4.8125,65300,BYD
70,2000-04-12,4.6875,4.8125,4.6875,4.75,29700,BYD
71,2000-04-13,4.8125,4.8125,4.625,4.625,54400,BYD
72,2000-04-14,4.625,4.625,4.375,4.375,147500,BYD
73,2000-04-17,4.375,5.5,4.25,5.5,188900,BYD
74,2000-04-18,4.5625,5.0,4.5,4.8125,284800,BYD
75,2000-04-19,4.9375,5.0625,4.875,4.9375,1318100,BYD
76,2000-04-20,4.9375,4.9375,4.75,4.8125,96000,BYD
77,2000-04-24,5.0,5.1875,4.9375,4.9375,197100,BYD
78,2000-04-25,5.0625,5.1875,4.9375,5.0625,77200,BYD
79,2000-04-26,5.1875,5.1875,5.0,5.0625,78000,BYD
80,2000-04-27,4.9375,5.0625,4.875,5.0,201700,BYD
81,2000-04-28,5.0625,5.0625,4.875,5.0625,152500,BYD
82,2000-05-01,5.0625,5.375,5.0625,5.375,145700,BYD
83,2000-05-02,5.5,5.75,5.375,5.5625,335300,BYD
84,2000-05-03,5.625,5.6875,5.375,5.4375,186100,BYD
85,2000-05-04,5.4375,5.4375,5.25,5.375,43300,BYD
86,2000-05-05,5.3125,5.3125,5.0,5.1875,220200,BYD
87,2000-05-08,5.125,5.1875,5.0,5.0,57600,BYD
88,2000-05-09,5.0,5.0625,4.8125,4.8125,118400,BYD
89,2000-05-10,5.0,5.0,4.625,4.6875,79400,BYD
90,2000-05-11,4.6875,5.0,4.6875,5.0,50100,BYD
91,2000-05-12,5.0,5.125,5.0,5.0,39400,BYD
92,2000-05-15,5.0,5.1875,4.9375,5.1875,35500,BYD
93,2000-05-16,5.3125,5.375,5.1875,5.1875,82600,BYD
94,2000-05-17,5.0625,5.125,4.9375,5.0625,47100,BYD
95,2000-05-18,5.0625,5.0625,4.75,4.75,66300,BYD
96,2000-05-19,4.875,4.875,4.75,4.8125,29300,BYD
97,2000-05-22,4.875,4.875,4.625,4.75,63400,BYD
