,Date,Open,High,Low,Close,Volume,Symbol
0,2000-01-03,10.46875,10.8125,10.1875,10.75,310900,CASY
1,2000-01-04,10.5,10.625,10.375,10.46875,119200,CASY
2,2000-01-05,10.4375,10.8125,10.4375,10.75,227600,CASY
3,2000-01-06,10.75,10.875,10.5625,10.84375,160300,CASY
4,2000-01-07,10.75,11.125,10.75,11.0625,422800,CASY
5,2000-01-10,11.0,11.375,11.0,11.25,154500,CASY
6,2000-01-11,11.25,11.25,10.8125,10.8125,256700,CASY
7,2000-01-12,10.8125,10.8125,10.375,10.4375,206400,CASY
8,2000-01-13,10.625,11.625,10.5,11.390625,252900,CASY
9,2000-01-14,11.5,11.875,11.1875,11.28125,554100,CASY
10,2000-01-18,11.25,11.3125,10.875,11.0625,136000,CASY
11,2000-01-19,10.96875,11.25,10.75,10.9375,512400,CASY
12,2000-01-20,11.0625,11.0625,10.5,10.6875,412600,CASY
13,2000-01-21,10.625,10.875,10.5,10.8125,133000,CASY
14,2000-01-24,10.875,10.875,10.25,10.46875,327100,CASY
15,2000-01-25,10.5,10.625,10.3125,10.625,171000,CASY
16,2000-01-26,10.375,10.5,10.0,10.0,699600,CASY
17,2000-01-27,10.125,10.5,10.0625,10.3125,268700,CASY
18,2000-01-28,10.375,10.5,9.9375,10.125,130700,CASY
19,2000-01-31,10.0625,10.5,10.03125,10.3125,171600,CASY
20,2000-02-01,10.25,10.5625,10.125,10.5,200500,CASY
21,2000-02-02,10.375,10.5,9.9375,10.0625,601900,CASY
22,2000-02-03,10.0,10.125,9.75,9.9375,190500,CASY
23,2000-02-04,9.78125,10.0,9.1875,9.1875,297300,CASY
24,2000-02-07,9.1875,9.375,8.6875,8.78125,566800,CASY
25,2000-02-08,9.0,9.15625,8.875,9.0,554200,CASY
26,2000-02-09,9.125,9.375,9.0625,9.3125,1245000,CASY
27,2000-02-10,9.375,9.4375,9.3125,9.3125,281500,CASY
28,2000-02-11,9.3125,9.375,9.3125,9.375,382300,CASY
29,2000-02-14,9.3125,9.5,9.3125,9.4375,350900,CASY
30,2000-02-15,9.4375,9.5,9.375,9.5,755400,CASY
31,2000-02-16,9.25,9.25,8.375,8.375,614000,CASY
32,2000-02-17,8.4375,8.6875,8.25,8.625,1302100,CASY
33,2000-02-18,8.75,8.75,8.375,8.5,354000,CASY
34,2000-02-22,8.625,9.9375,8.375,9.28125,454800,CASY
35,2000-02-23,9.1875,9.5,8.625,9.0625,276800,CASY
36,2000-02-24,9.1875,9.75,9.0,9.4375,265900,CASY
37,2000-02-25,9.5,9.5,8.4375,8.5625,492200,CASY
38,2000-02-28,8.75,8.75,8.125,8.375,512900,CASY
39,2000-02-29,8.4375,8.5625,8.234375,8.375,2656000,CASY
40,2000-03-01,8.5,8.5,8.0625,8.125,737200,CASY
41,2000-03-02,8.125,8.375,7.875,8.25,3143000,CASY
42,2000-03-03,8.3125,8.5,8.25,8.5,198500,CASY
43,2000-03-06,8.5,8.5,8.0,8.0625,420000,CASY
44,2000-03-07,8.0,8.125,7.9375,8.0,409200,CASY
45,2000-03-08,8.0,8.125,7.9375,8.0625,199000,CASY
46,2000-03-09,8.0625,8.125,7.9375,8.0625,613800,CASY
47,2000-03-10,8.0,9.5,7.9375,8.5,498000,CASY
48,2000-03-13,8.5,8.5,8.0625,8.1875,96600,CASY
49,2000-03-14,8.25,8.5,7.9375,8.0625,203200,CASY
50,2000-03-15,8.25,8.4375,8.0,8.25,128300,CASY
51,2000-03-16,8.375,8.5,8.125,8.3125,159300,CASY
52,2000-03-17,8.09375,9.0,8.09375,9.0,301000,CASY
53,2000-03-20,9.0,9.3125,8.9375,9.25,186400,CASY
54,2000-03-21,9.3125,10.0,9.125,9.609375,214200,CASY
55,2000-03-22,9.9375,10.625,9.90625,10.4375,585900,CASY
56,2000-03-23,10.375,10.75,10.375,10.375,374700,CASY
57,2000-03-24,10.5,10.5,10.3125,10.3125,185900,CASY
58,2000-03-27,10.3125,10.3125,9.9375,9.9375,118000,CASY
59,2000-03-28,10.0,10.03125,9.375,9.84375,123400,CASY
60,2000-03-29,9.625,10.0,9.375,9.9375,246700,CASY
61,2000-03-30,9.9375,10.0,9.625,9.875,224800,CASY
62,2000-03-31,9.75,11.625,9.625,10.875,507500,CASY
63,2000-04-03,10.25,11.1875,10.25,11.0,169600,CASY
64,2000-04-04,10.875,12.0625,10.875,11.40625,373300,CASY
