Date,Open,High,Low,Close,Volume,Symbol
2000-01-03,23.84375,24.5,23.84375,24.3125,5055000,CAT
2000-01-04,24.3125,24.875,24.0,24.0,6181400,CAT
2000-01-05,24.0,25.09375,24.0,24.5625,6398600,CAT
2000-01-06,25.28125,26.125,25.28125,25.8125,5140600,CAT
2000-01-07,26.375,27.5625,26.375,26.65625,6360200,CAT
2000-01-10,26.65625,27.28125,25.75,25.78125,3682200,CAT
2000-01-11,25.78125,26.59375,25.375,25.375,3945600,CAT
2000-01-12,25.5625,26.15625,25.5625,25.8125,3401000,CAT
2000-01-13,26.03125,26.6875,26.03125,26.09375,3129400,CAT
2000-01-14,26.09375,26.4375,25.9375,25.96875,3044400,CAT
2000-01-18,25.875,25.875,24.9375,24.96875,4054200,CAT
2000-01-19,24.96875,25.34375,24.65625,24.65625,3424600,CAT
2000-01-20,24.65625,24.96875,23.53125,23.5625,4279200,CAT
2000-01-21,23.5625,23.96875,22.8125,23.6875,5000000,CAT
2000-01-24,23.625,23.625,22.53125,22.65625,5385600,CAT
2000-01-25,22.5,22.5,21.28125,21.8125,6084200,CAT
2000-01-26,21.8125,22.84375,21.6875,22.46875,4188200,CAT
2000-01-27,22.46875,22.78125,22.0,22.28125,3340800,CAT
2000-01-28,22.28125,22.59375,21.75,21.75,4851600,CAT
2000-01-31,21.75,21.96875,21.21875,21.21875,3677000,CAT
2000-02-01,21.375,22.03125,21.375,21.59375,2930200,CAT
2000-02-02,21.59375,22.375,21.4375,21.71875,2933600,CAT
2000-02-03,21.625,21.625,21.0625,21.15625,4343400,CAT
2000-02-04,21.15625,21.40625,20.625,21.15625,4122000,CAT
2000-02-07,20.90625,20.90625,20.375,20.625,4089800,CAT
2000-02-08,20.625,20.75,20.0,20.5,5848400,CAT
2000-02-09,20.5,20.59375,19.5625,19.5625,5934800,CAT
2000-02-10,19.5625,19.78125,18.8125,19.03125,5807400,CAT
2000-02-11,18.9375,18.9375,17.4375,18.0,11944800,CAT
2000-02-14,18.125,19.46875,18.125,19.3125,6787800,CAT
2000-02-15,19.3125,20.375,19.3125,20.0,6048200,CAT
2000-02-16,20.0,20.3125,19.40625,19.59375,3881400,CAT
2000-02-17,19.5625,19.5625,18.84375,19.34375,3824200,CAT
2000-02-18,19.1875,19.1875,18.6875,18.84375,3017800,CAT
2000-02-22,18.84375,19.4375,18.75,19.15625,4028800,CAT
2000-02-23,19.15625,19.34375,18.59375,18.90625,4894400,CAT
2000-02-24,18.90625,18.9375,18.125,18.125,4488200,CAT
2000-02-25,18.125,18.75,17.9375,18.0,4139800,CAT
2000-02-28,18.0,18.3125,17.6875,17.78125,3319200,CAT
2000-02-29,17.78125,18.21875,17.5,17.53125,4805800,CAT
2000-03-01,17.53125,17.90625,17.4375,17.4375,4841600,CAT
2000-03-02,17.4375,17.5,17.09375,17.21875,3956000,CAT
2000-03-03,17.25,18.65625,17.25,18.1875,4805800,CAT
2000-03-06,18.21875,19.0,18.21875,18.34375,5260400,CAT
2000-03-07,18.25,18.25,16.75,16.90625,8780800,CAT
2000-03-08,17.3125,18.21875,17.3125,17.46875,5772000,CAT
2000-03-09,17.46875,17.6875,17.125,17.625,4904400,CAT
2000-03-10,17.625,18.375,17.40625,17.84375,5335400,CAT
2000-03-13,17.84375,18.0625,17.5,17.8125,3304800,CAT
