,Date,Open,High,Low,Close,Volume,Symbol
0,2000-01-03,9.71875,9.71875,9.0625,9.3125,645600,CBRL
1,2000-01-04,9.375,9.40625,9.125,9.1875,279200,CBRL
2,2000-01-05,9.265625,9.5,9.125,9.1875,1602100,CBRL
3,2000-01-06,9.15625,9.28125,8.125,8.46875,1826900,CBRL
4,2000-01-07,8.46875,8.9375,8.125,8.9375,2212400,CBRL
5,2000-01-10,9.0,9.4375,9.0,9.25,775800,CBRL
6,2000-01-11,9.296875,9.59375,9.125,9.5,490000,CBRL
7,2000-01-12,9.46875,9.5,9.125,9.15625,454200,CBRL
8,2000-01-13,9.234375,9.375,9.125,9.125,524700,CBRL
9,2000-01-14,9.25,9.375,9.125,9.25,323100,CBRL
10,2000-01-18,9.125,9.1875,8.875,9.125,403900,CBRL
11,2000-01-19,9.140625,9.5,9.125,9.4375,454600,CBRL
12,2000-01-20,9.5,10.125,9.4375,9.75,1662000,CBRL
13,2000-01-21,9.84375,10.1875,9.84375,10.0,959400,CBRL
14,2000-01-24,9.984375,10.875,9.9375,9.9375,608000,CBRL
15,2000-01-25,10.0,10.03125,9.375,9.4375,604000,CBRL
16,2000-01-26,9.5,9.8125,9.25,9.75,806800,CBRL
17,2000-01-27,9.765625,9.8125,9.25,9.4375,486800,CBRL
18,2000-01-28,9.4375,9.5,9.375,9.484375,276400,CBRL
19,2000-01-31,9.46875,9.5,9.0625,9.25,307500,CBRL
20,2000-02-01,9.25,9.25,8.9375,9.0625,399600,CBRL
21,2000-02-02,8.96875,9.375,8.9375,9.359375,409000,CBRL
22,2000-02-03,9.4375,9.75,9.375,9.4375,514800,CBRL
23,2000-02-04,9.375,9.625,9.3125,9.4375,159600,CBRL
24,2000-02-07,9.53125,9.71875,9.4375,9.625,193000,CBRL
25,2000-02-08,9.65625,9.875,9.5625,9.6875,293500,CBRL
26,2000-02-09,9.640625,10.0,9.3125,9.3125,268400,CBRL
27,2000-02-10,9.375,9.5,9.0625,9.0625,290700,CBRL
28,2000-02-11,9.0625,9.25,9.0,9.125,242200,CBRL
29,2000-02-14,9.21875,9.5,9.0625,9.0625,269500,CBRL
30,2000-02-15,9.4375,9.4375,9.0,9.0,272800,CBRL
31,2000-02-16,9.25,9.8125,9.21875,9.6875,982600,CBRL
32,2000-02-17,9.5625,10.125,9.5625,9.9375,877200,CBRL
33,2000-02-18,9.9375,9.9375,9.75,9.8125,652600,CBRL
34,2000-02-22,9.84375,10.1875,9.75,9.90625,856900,CBRL
35,2000-02-23,9.8125,10.0625,9.75,9.9375,643900,CBRL
36,2000-02-24,9.9375,10.0625,9.6875,9.75,527400,CBRL
37,2000-02-25,9.6875,9.9375,9.6875,9.75,460900,CBRL
38,2000-02-28,9.84375,9.875,9.5625,9.78125,511700,CBRL
39,2000-02-29,9.78125,9.875,9.25,9.25,977600,CBRL
40,2000-03-01,9.375,9.46875,8.9375,8.9375,930700,CBRL
41,2000-03-02,9.03125,9.0625,8.75,8.8125,778900,CBRL
42,2000-03-03,8.8125,8.9375,8.5625,8.625,759100,CBRL
43,2000-03-06,8.6875,8.875,8.5,8.8125,672600,CBRL
44,2000-03-07,8.8125,9.09375,8.6875,8.875,673000,CBRL
45,2000-03-08,8.96875,9.0625,8.5625,8.625,892300,CBRL
46,2000-03-09,8.625,8.6875,8.4375,8.625,574200,CBRL
47,2000-03-10,8.59375,8.625,8.4375,8.546875,686400,CBRL
48,2000-03-13,8.5,8.96875,8.375,8.78125,347500,CBRL
49,2000-03-14,8.8125,8.875,8.5,8.5,447200,CBRL
50,2000-03-15,8.5,9.0,8.5,8.6875,341500,CBRL
51,2000-03-16,8.765625,9.125,8.6875,9.0625,420700,CBRL
52,2000-03-17,8.984375,9.46875,8.96875,9.25,427100,CBRL
53,2000-03-20,9.4375,9.5,9.0625,9.1875,405700,CBRL
54,2000-03-21,9.25,9.25,9.03125,9.1875,450200,CBRL
55,2000-03-22,9.125,9.375,9.125,9.375,466600,CBRL
56,2000-03-23,9.375,9.5,9.25,9.3125,450700,CBRL
57,2000-03-24,9.3125,9.375,8.78125,8.8125,545800,CBRL
58,2000-03-27,8.9375,9.09375,8.9375,8.9375,589300,CBRL
