,Date,Open,High,Low,Close,Volume,Symbol
0,2000-01-03,22.375,22.875,22.125,22.25,493200,CCK
1,2000-01-04,22.4375,23.125,22.25,22.8125,763600,CCK
2,2000-01-05,23.125,23.6875,22.9375,23.5,749900,CCK
3,2000-01-06,23.4375,24.1875,23.375,23.625,477100,CCK
4,2000-01-07,23.9375,23.9375,23.25,23.5625,576200,CCK
5,2000-01-10,23.8125,24.1875,23.625,23.625,258800,CCK
6,2000-01-11,23.75,24.0,23.375,23.5625,230100,CCK
7,2000-01-12,23.5,24.0625,23.375,23.375,625100,CCK
8,2000-01-13,23.5,23.6875,23.5,23.5,294400,CCK
9,2000-01-14,23.3125,23.6875,23.25,23.5,372200,CCK
10,2000-01-18,23.25,23.625,22.75,23.5,727000,CCK
11,2000-01-19,23.375,23.8125,23.375,23.625,439700,CCK
12,2000-01-20,23.625,23.625,23.25,23.5,512400,CCK
13,2000-01-21,23.5625,23.625,23.5,23.5,634500,CCK
14,2000-01-24,23.5625,23.5625,23.5,23.5,314000,CCK
15,2000-01-25,23.5625,23.5625,23.0,23.125,993000,CCK
16,2000-01-26,23.1875,23.625,23.0625,23.5,499700,CCK
17,2000-01-27,23.5,23.5625,23.125,23.1875,534800,CCK
18,2000-01-28,23.1875,23.1875,22.4375,22.5625,1135200,CCK
19,2000-01-31,22.3125,22.3125,20.3125,20.3125,1488400,CCK
20,2000-02-01,20.75,21.0,20.625,20.8125,620800,CCK
21,2000-02-02,21.375,21.375,20.5,20.9375,548400,CCK
22,2000-02-03,20.9375,21.0625,20.5625,20.625,494600,CCK
23,2000-02-04,20.75,20.75,20.375,20.75,390800,CCK
24,2000-02-07,20.875,20.875,19.5625,19.6875,799600,CCK
25,2000-02-08,19.75,19.75,19.3125,19.4375,397800,CCK
26,2000-02-09,19.0,19.0625,18.1875,18.4375,925100,CCK
27,2000-02-10,18.25,18.3125,16.4375,17.0,1560600,CCK
28,2000-02-11,17.0,17.3125,16.6875,16.9375,989600,CCK
29,2000-02-14,16.6875,17.25,16.6875,16.9375,545500,CCK
30,2000-02-15,16.9375,17.125,16.375,16.4375,602700,CCK
31,2000-02-16,16.5625,16.6875,15.9375,15.9375,1054900,CCK
32,2000-02-17,16.5,16.5625,15.5625,15.625,697000,CCK
33,2000-02-18,15.5625,16.0625,15.5,15.625,683000,CCK
34,2000-02-22,15.6875,15.6875,14.875,15.0625,1302800,CCK
35,2000-02-23,15.0,15.125,14.5625,14.875,825200,CCK
36,2000-02-24,14.875,14.875,14.1875,14.625,771900,CCK
37,2000-02-25,14.625,15.0,14.3125,14.3125,1378300,CCK
38,2000-02-28,14.6875,14.6875,13.9375,14.125,993900,CCK
39,2000-02-29,14.1875,14.4375,13.75,14.0,827700,CCK
40,2000-03-01,14.0,14.1875,13.4375,13.5625,1513600,CCK
41,2000-03-02,13.5625,13.625,13.25,13.5,1054200,CCK
42,2000-03-03,13.5,14.3125,13.375,14.125,7064900,CCK
43,2000-03-06,14.25,14.375,13.1875,13.3125,1093900,CCK
44,2000-03-07,13.3125,13.625,13.0,13.125,762800,CCK
45,2000-03-08,13.3125,14.0,13.3125,13.8125,1501400,CCK
