,Date,Open,High,Low,Close,Volume,Symbol
0,2000-01-03,10.375,10.375,9.75,10.125,228900,CENT
1,2000-01-04,8.9375,10.125,8.875,9.75,312300,CENT
2,2000-01-05,9.65625,9.8125,9.5,9.6875,59200,CENT
3,2000-01-06,9.8125,10.0,9.5,9.75,137800,CENT
4,2000-01-07,10.0,10.0,9.65625,9.75,80000,CENT
5,2000-01-10,9.75,9.875,9.5,9.5,58000,CENT
6,2000-01-11,9.5625,9.75,9.5,9.625,203400,CENT
7,2000-01-12,9.5625,9.875,9.5625,9.875,19100,CENT
8,2000-01-13,9.71875,9.9375,9.71875,9.875,546600,CENT
9,2000-01-14,10.0,10.0,9.5,9.5,64100,CENT
10,2000-01-18,9.5,10.0,9.5,9.6875,33200,CENT
11,2000-01-19,9.8125,10.375,9.625,10.125,102500,CENT
12,2000-01-20,9.9375,11.625,9.875,11.25,147500,CENT
13,2000-01-21,11.5,12.375,11.3125,11.6875,248500,CENT
14,2000-01-24,11.625,11.75,10.5,10.6875,144200,CENT
15,2000-01-25,11.0,11.0,10.4375,10.75,53000,CENT
16,2000-01-26,10.75,11.0,10.5,10.75,39500,CENT
17,2000-01-27,11.0,11.0,10.375,10.46875,137900,CENT
18,2000-01-28,10.4375,10.5,10.125,10.5,67500,CENT
19,2000-01-31,10.25,10.625,10.0,10.34375,43300,CENT
20,2000-02-01,10.5,10.75,10.0625,10.125,103100,CENT
21,2000-02-02,10.1875,10.625,9.9375,10.5625,52300,CENT
22,2000-02-03,10.625,10.625,9.9375,10.5625,42100,CENT
23,2000-02-04,10.5,10.5625,9.9375,10.5,60600,CENT
24,2000-02-07,10.40625,10.40625,9.9375,10.25,39500,CENT
25,2000-02-08,10.125,10.25,9.875,9.9375,34800,CENT
26,2000-02-09,9.9375,10.125,9.875,9.9375,123200,CENT
27,2000-02-10,9.875,10.0,9.75,10.0,48100,CENT
28,2000-02-11,10.0,10.375,9.8125,10.0,114300,CENT
29,2000-02-14,9.875,9.9375,9.5625,9.765625,66300,CENT
30,2000-02-15,9.8125,9.8125,9.25,9.5625,66600,CENT
31,2000-02-16,9.25,9.375,9.0,9.3125,102200,CENT
32,2000-02-17,9.25,9.4375,9.0,9.375,66800,CENT
33,2000-02-18,9.375,9.53125,9.25,9.375,226300,CENT
34,2000-02-22,9.25,9.5,9.0625,9.5,264200,CENT
35,2000-02-23,9.25,9.625,9.25,9.375,28400,CENT
36,2000-02-24,9.375,9.59375,9.1875,9.375,25500,CENT
37,2000-02-25,9.4375,9.6875,9.25,9.6875,175800,CENT
38,2000-02-28,9.75,10.0625,9.3125,10.0625,239700,CENT
39,2000-02-29,9.875,10.0,9.4375,9.625,218900,CENT
40,2000-03-01,9.6875,9.9375,9.5,9.625,69900,CENT
41,2000-03-02,9.8125,9.875,9.375,9.40625,139300,CENT
42,2000-03-03,9.40625,9.875,9.375,9.875,58500,CENT
43,2000-03-06,9.5,9.875,9.3125,9.875,69300,CENT
44,2000-03-07,9.0,9.25,8.875,9.125,86600,CENT
45,2000-03-08,9.125,9.25,8.75,9.0,73300,CENT
46,2000-03-09,9.0,9.125,8.75,8.9375,51900,CENT
47,2000-03-10,8.8125,8.8125,8.375,8.5,199400,CENT
48,2000-03-13,8.375,8.5,8.0625,8.25,173300,CENT
49,2000-03-14,8.375,9.0,8.375,9.0,184200,CENT
50,2000-03-15,9.0,9.5,8.75,9.0625,127500,CENT
51,2000-03-16,9.125,9.3125,9.125,9.21875,114400,CENT
52,2000-03-17,9.21875,9.265625,8.625,9.0,195800,CENT
53,2000-03-20,9.4375,10.5625,9.25,10.5,287900,CENT
54,2000-03-21,10.25,10.25,10.0,10.1875,183200,CENT
55,2000-03-22,10.125,10.1875,10.0,10.0,120000,CENT
56,2000-03-23,10.0625,10.0625,9.375,9.75,118600,CENT
57,2000-03-24,9.875,9.875,9.3125,9.5625,116700,CENT
58,2000-03-27,8.875,9.375,8.75,8.875,126300,CENT
59,2000-03-28,8.75,9.0,8.375,8.5625,164200,CENT
60,2000-03-29,8.875,9.0,8.625,8.875,68000,CENT
61,2000-03-30,8.875,9.75,8.8125,9.5625,468900,CENT
62,2000-03-31,9.375,9.875,9.0625,9.875,98900,CENT
63,2000-04-03,9.15625,9.6875,9.15625,9.3125,44800,CENT
64,2000-04-04,9.375,9.75,8.8125,8.8125,104200,CENT
65,2000-04-05,9.4375,9.4375,8.875,9.25,81000,CENT
66,2000-04-06,9.265625,9.5,8.875,9.1875,34100,CENT
67,2000-04-07,8.875,9.1875,8.875,9.03125,38300,CENT
68,2000-04-10,9.0625,9.25,8.875,9.0,73900,CENT
69,2000-04-11,8.875,9.5,8.75,9.4375,89300,CENT
70,2000-04-12,9.4375,9.5,9.0625,9.3125,119300,CENT
71,2000-04-13,9.25,9.5,9.25,9.28125,85600,CENT
72,2000-04-14,9.140625,9.140625,8.4375,8.71875,85300,CENT
73,2000-04-17,8.0,8.75,7.75,8.75,134200,CENT
74,2000-04-18,8.5,9.25,8.46875,9.25,145500,CENT
75,2000-04-19,8.9375,9.5625,8.875,9.5,82200,CENT
76,2000-04-20,9.46875,9.625,9.0,9.375,54300,CENT
77,2000-04-24,9.171875,9.25,8.9375,9.1875,37000,CENT
78,2000-04-25,9.25,9.25,9.0,9.125,229600,CENT
79,2000-04-26,9.25,9.6875,9.0625,9.3125,43000,CENT
80,2000-04-27,9.40625,11.0625,9.40625,11.0,207900,CENT
81,2000-04-28,10.8125,10.9375,10.0625,10.5,52300,CENT
