,Date,Open,High,Low,Close,Volume,Symbol
0,2000-01-03,30.9375,31.0,29.5,29.5,1615200,CMS
1,2000-01-04,29.5625,30.0,29.5625,29.875,456400,CMS
2,2000-01-05,29.8125,31.0,29.6875,30.6875,1842300,CMS
3,2000-01-06,30.6875,31.125,30.125,30.4375,366500,CMS
4,2000-01-07,30.875,31.25,30.625,31.125,531300,CMS
5,2000-01-10,30.9375,31.3125,30.4375,30.6875,257800,CMS
6,2000-01-11,30.5625,31.5625,30.5625,31.5,1471100,CMS
7,2000-01-12,31.3125,31.5,31.0625,31.3125,1518200,CMS
8,2000-01-13,31.5625,32.0,31.3125,31.625,492700,CMS
9,2000-01-14,31.625,31.625,30.875,31.1875,276700,CMS
10,2000-01-18,31.0,31.0,30.4375,30.5625,418900,CMS
11,2000-01-19,30.625,31.125,30.5,30.875,512300,CMS
12,2000-01-20,30.9375,31.125,30.3125,30.9375,391500,CMS
13,2000-01-21,31.0,31.625,30.625,31.375,567300,CMS
14,2000-01-24,31.5,32.0625,31.25,31.25,657300,CMS
15,2000-01-25,31.3125,31.3125,30.5,30.6875,714500,CMS
16,2000-01-26,30.875,30.875,30.0,30.4375,1105700,CMS
17,2000-01-27,30.6875,30.6875,29.9375,30.0,572300,CMS
18,2000-01-28,29.75,30.25,29.4375,29.5,514300,CMS
19,2000-01-31,29.75,30.375,29.3125,30.0,982200,CMS
20,2000-02-01,26.125,26.625,22.75,23.5,4026100,CMS
21,2000-02-02,23.0,23.0,20.3125,21.375,6256700,CMS
22,2000-02-03,21.1875,22.3125,21.0625,21.9375,5044000,CMS
23,2000-02-04,21.875,22.0,20.125,20.375,3314200,CMS
24,2000-02-07,20.375,20.5625,20.0625,20.3125,698100,CMS
25,2000-02-08,20.375,20.6875,20.25,20.3125,807100,CMS
26,2000-02-09,20.3125,20.375,19.8125,19.9375,1282000,CMS
27,2000-02-10,19.9375,19.9375,18.0625,18.75,2792300,CMS
28,2000-02-11,18.8125,18.8125,18.0625,18.625,1121200,CMS
29,2000-02-14,18.75,19.375,18.625,19.1875,714400,CMS
30,2000-02-15,19.5,19.75,19.25,19.375,746200,CMS
31,2000-02-16,19.125,19.3125,18.5,18.6875,920000,CMS
32,2000-02-17,18.6875,18.6875,18.0,18.375,1281500,CMS
33,2000-02-18,18.3125,18.5,17.9375,18.3125,907200,CMS
34,2000-02-22,18.3125,18.375,17.9375,18.25,685400,CMS
35,2000-02-23,18.4375,18.4375,17.5,17.5625,1077400,CMS
36,2000-02-24,17.6875,17.6875,16.875,17.0,697500,CMS
37,2000-02-25,17.0,17.0,16.1875,16.4375,757300,CMS
38,2000-02-28,16.6875,16.6875,16.0625,16.5,816200,CMS
39,2000-02-29,16.625,16.9375,16.5625,16.75,914200,CMS
40,2000-03-01,16.75,17.0,16.6875,16.9375,487000,CMS
41,2000-03-02,16.9375,17.25,16.875,16.875,1122500,CMS
42,2000-03-03,17.0,17.125,16.8125,17.0625,899300,CMS
43,2000-03-06,17.75,18.0,17.0,17.3125,1817500,CMS
44,2000-03-07,17.3125,17.5,17.125,17.25,842300,CMS
45,2000-03-08,17.25,17.375,17.0625,17.1875,850000,CMS
46,2000-03-09,17.1875,17.25,16.875,17.125,589200,CMS
47,2000-03-10,17.0625,17.375,17.0625,17.1875,450800,CMS
48,2000-03-13,17.25,17.4375,17.125,17.1875,537800,CMS
49,2000-03-14,17.25,17.5,17.0625,17.5,1938700,CMS
50,2000-03-15,17.5,18.875,17.3125,17.875,2766700,CMS
51,2000-03-16,19.125,19.625,18.75,19.4375,455000,CMS
52,2000-03-17,19.5,19.6875,19.0,19.0625,819300,CMS
53,2000-03-20,19.25,19.5625,19.1875,19.4375,579900,CMS
54,2000-03-21,19.3125,19.625,19.125,19.375,431100,CMS
55,2000-03-22,19.375,19.5625,18.4375,18.875,1017200,CMS
56,2000-03-23,19.0625,19.125,18.5,19.0,709900,CMS
57,2000-03-24,19.0,19.3125,18.8125,19.0625,328400,CMS
58,2000-03-27,19.25,19.75,19.0,19.0,625600,CMS
59,2000-03-28,19.0625,19.375,18.75,18.9375,835300,CMS
60,2000-03-29,18.6875,19.25,18.625,18.875,851200,CMS
61,2000-03-30,19.25,19.375,18.625,18.75,946900,CMS
62,2000-03-31,18.75,18.75,18.0,18.125,2418300,CMS
63,2000-04-03,18.1875,18.25,17.875,18.0,1082900,CMS
64,2000-04-04,18.0,18.625,17.75,18.1875,661400,CMS
65,2000-04-05,18.1875,18.6875,18.0625,18.4375,681100,CMS
66,2000-04-06,18.5,18.5625,18.25,18.25,677200,CMS
67,2000-04-07,18.3125,18.375,18.1875,18.25,786100,CMS
68,2000-04-10,18.25,18.625,18.0625,18.4375,456700,CMS
69,2000-04-11,18.6875,18.75,18.5,18.5625,406700,CMS
70,2000-04-12,18.625,19.1875,18.625,18.75,609500,CMS
71,2000-04-13,18.625,19.6875,18.625,19.5,1084900,CMS
72,2000-04-14,19.6875,19.6875,18.6875,19.375,815500,CMS
73,2000-04-17,19.25,19.375,18.625,19.375,459700,CMS
74,2000-04-18,19.25,19.625,18.9375,19.4375,926800,CMS
75,2000-04-19,18.875,19.1875,18.875,19.1875,433500,CMS
76,2000-04-20,19.0,19.1875,18.875,18.875,314300,CMS
77,2000-04-24,18.9375,19.5625,18.75,19.5,496600,CMS
78,2000-04-25,19.25,19.875,18.75,19.8125,591600,CMS
79,2000-04-26,19.875,19.875,19.25,19.5,744100,CMS
80,2000-04-27,19.4375,19.4375,18.5625,18.6875,3672100,CMS
81,2000-04-28,18.75,19.125,18.375,19.0,3329900,CMS
82,2000-05-01,19.125,20.125,19.125,20.0625,2123000,CMS
83,2000-05-02,20.0625,21.1875,20.0625,20.9375,3229800,CMS
84,2000-05-03,20.6875,20.6875,20.1875,20.5625,593500,CMS
85,2000-05-04,20.625,21.75,20.4375,21.375,1067300,CMS
86,2000-05-05,21.375,21.375,20.75,21.0625,400100,CMS
87,2000-05-08,21.5,21.875,21.5,21.5625,1243100,CMS
88,2000-05-09,21.625,21.625,21.375,21.4375,860200,CMS
89,2000-05-10,21.4375,21.4375,21.125,21.3125,586400,CMS
90,2000-05-11,21.4375,21.875,21.25,21.875,997000,CMS
91,2000-05-12,21.9375,22.1875,21.1875,21.25,536400,CMS
92,2000-05-15,21.5,21.9375,21.375,21.75,1092100,CMS
93,2000-05-16,21.9375,22.4375,21.5625,22.125,495100,CMS
94,2000-05-17,22.375,22.375,21.625,21.8125,425600,CMS
95,2000-05-18,21.6875,22.625,21.5625,22.125,568700,CMS
96,2000-05-19,21.875,22.1875,21.625,21.6875,505100,CMS
97,2000-05-22,21.8125,22.0625,21.5625,21.875,531600,CMS
98,2000-05-23,21.875,21.9375,21.3125,21.5,599200,CMS
99,2000-05-24,21.75,22.625,21.6875,22.0625,498700,CMS
100,2000-05-25,22.1875,22.25,21.6875,21.9375,703500,CMS
101,2000-05-26,21.8125,22.5,21.75,22.375,322300,CMS
102,2000-05-30,22.75,22.9375,22.0,22.125,318700,CMS
