,Date,Open,High,Low,Close,Volume,Symbol
0,2000-01-03,54.96875,55.125,51.78125,54.03125,53076000,CSCO
1,2000-01-04,52.75,53.5,50.875,51.0,50805600,CSCO
2,2000-01-05,50.03125,52.25,48.625,50.84375,68524000,CSCO
3,2000-01-06,50.40625,50.9375,49.3125,50.0,48242600,CSCO
4,2000-01-07,49.6875,53.0,49.6875,52.9375,62260600,CSCO
5,2000-01-10,54.25,55.0,53.0625,54.90625,50583000,CSCO
6,2000-01-11,54.0625,54.8125,52.5,53.25,43210200,CSCO
7,2000-01-12,53.4375,53.75,51.75,51.90625,40757800,CSCO
8,2000-01-13,53.0,53.25,51.875,53.09375,34494400,CSCO
9,2000-01-14,54.125,54.625,52.5,53.78125,43623000,CSCO
10,2000-01-18,53.75,56.25,53.625,56.0,59568600,CSCO
11,2000-01-19,55.84375,56.5,54.53125,56.15625,45597000,CSCO
12,2000-01-20,56.6875,57.5625,55.71875,56.1875,41731200,CSCO
13,2000-01-21,57.4375,57.6875,56.21875,57.625,44974600,CSCO
14,2000-01-24,57.875,57.875,54.25,54.53125,43787800,CSCO
15,2000-01-25,54.25,56.4375,53.53125,56.0625,55379800,CSCO
16,2000-01-26,55.71875,55.875,53.5,53.59375,35308800,CSCO
17,2000-01-27,54.40625,55.3125,51.875,53.3125,47908600,CSCO
18,2000-01-28,53.28125,54.6875,51.5,51.9375,49564400,CSCO
19,2000-01-31,51.46875,54.8125,50.0,54.75,66914600,CSCO
20,2000-02-01,54.890625,59.0625,54.78125,58.90625,87263000,CSCO
21,2000-02-02,58.0625,58.875,56.5,56.9375,68449200,CSCO
22,2000-02-03,57.4375,59.3125,57.25,58.90625,48675200,CSCO
23,2000-02-04,59.78125,61.25,59.3125,60.5625,52970000,CSCO
24,2000-02-07,62.03125,62.6875,61.28125,62.59375,48933400,CSCO
25,2000-02-08,63.9375,64.0,61.84375,62.90625,72100800,CSCO
26,2000-02-09,66.625,67.5,63.21875,64.40625,107807600,CSCO
27,2000-02-10,65.3125,68.125,64.28125,67.96875,64314000,CSCO
28,2000-02-11,66.5625,66.8125,64.0625,65.46875,75471000,CSCO
29,2000-02-14,66.46875,66.46875,63.46875,65.25,49103800,CSCO
30,2000-02-15,64.875,65.0625,62.65625,64.0,61367200,CSCO
31,2000-02-16,63.9375,64.75,63.375,63.5859375,46274000,CSCO
32,2000-02-17,64.46875,65.3125,63.8125,65.25,39656600,CSCO
33,2000-02-18,65.34375,65.40625,62.78125,62.90625,41600000,CSCO
34,2000-02-22,63.28125,63.53125,60.625,61.96875,61144400,CSCO
35,2000-02-23,63.5,69.5,63.15625,69.3125,105707800,CSCO
36,2000-02-24,68.625,68.875,66.25,68.625,74976000,CSCO
37,2000-02-25,68.3125,68.625,65.53125,66.375,46451200,CSCO
38,2000-02-28,65.3828125,66.59375,63.8125,65.28125,52048400,CSCO
39,2000-02-29,66.1796875,66.96875,64.6328125,66.09375,41688600,CSCO
40,2000-03-01,66.34375,67.6875,65.0,65.84375,39469400,CSCO
41,2000-03-02,65.5625,66.75,64.96875,66.375,31939200,CSCO
42,2000-03-03,67.25,69.46875,66.9375,68.71875,38053800,CSCO
43,2000-03-06,68.59375,69.0,67.21875,68.0625,33787600,CSCO
44,2000-03-07,68.875,68.90625,65.375,66.03125,42309600,CSCO
45,2000-03-08,66.625,67.5,65.0,66.1875,48042400,CSCO
46,2000-03-09,66.9375,69.9921875,66.0625,69.65625,67248600,CSCO
47,2000-03-10,69.5625,70.9375,68.03125,68.1875,48013600,CSCO
48,2000-03-13,67.5,70.015625,67.0,68.09375,47557200,CSCO
49,2000-03-14,68.46875,69.0625,65.84375,65.875,58617400,CSCO
50,2000-03-15,66.75,67.5,63.3125,64.3125,62863600,CSCO
51,2000-03-16,64.875,66.6875,62.15625,65.8359375,75486200,CSCO
52,2000-03-17,65.5,67.96875,65.5,67.5,53047600,CSCO
53,2000-03-20,67.5,68.375,66.28125,67.0625,39242200,CSCO
54,2000-03-21,67.25,70.6875,66.46875,70.4296875,57357400,CSCO
55,2000-03-22,70.8125,73.375,69.4375,72.1875,59111600,CSCO
56,2000-03-23,73.125,78.9375,72.0,77.8125,76967200,CSCO
57,2000-03-24,80.125,81.3125,78.25,79.375,64910400,CSCO
58,2000-03-27,81.4375,82.0,79.0625,80.0625,47360000,CSCO
59,2000-03-28,79.5625,80.5,77.5,77.875,42658000,CSCO
60,2000-03-29,77.9375,78.734375,75.0,76.0625,54776100,CSCO
61,2000-03-30,74.875,76.75,70.75,73.625,67081600,CSCO
62,2000-03-31,74.359375,77.8125,72.25,77.3125,53212600,CSCO
63,2000-04-03,76.875,77.0,72.0,72.9375,61832400,CSCO
64,2000-04-04,74.0,74.5,64.0,73.125,10846100,CSCO
65,2000-04-05,70.25,74.875,70.125,72.125,64975400,CSCO
66,2000-04-06,73.875,74.25,70.75,71.8125,43823900,CSCO
67,2000-04-07,73.0,75.0,71.625,74.9375,44893800,CSCO
68,2000-04-10,75.4375,76.0,72.5,72.5625,42264200,CSCO
69,2000-04-11,72.125,73.6875,68.5,70.0,58865900,CSCO
70,2000-04-12,69.75,70.6875,64.75,65.0,94231500,CSCO
71,2000-04-13,66.109375,66.5,61.125,61.125,104047300,CSCO
72,2000-04-14,60.875,61.0625,55.0625,57.0,14575300,CSCO
73,2000-04-17,56.9375,66.625,56.671875,66.5,12074800,CSCO
74,2000-04-18,68.125,69.5,67.0,69.25,80723900,CSCO
75,2000-04-19,69.75,70.0,65.875,66.125,51863900,CSCO
76,2000-04-20,66.75,67.6875,64.5625,65.125,36551400,CSCO
77,2000-04-24,61.5625,63.75,59.25,63.4375,58933700,CSCO
78,2000-04-25,65.125,66.0625,63.0625,66.0,54357600,CSCO
79,2000-04-26,66.3125,69.0,65.875,66.75,51055200,CSCO
80,2000-04-27,64.25,69.125,64.0,69.0,51540300,CSCO
81,2000-04-28,69.375,70.0,68.0625,69.328125,34352200,CSCO
82,2000-05-01,69.875,71.875,69.5,71.4375,40694200,CSCO
83,2000-05-02,71.0,71.6875,67.625,68.0,31282300,CSCO
84,2000-05-03,67.5625,67.625,63.625,66.0625,47312400,CSCO
85,2000-05-04,65.4375,66.5,63.5,63.625,40026500,CSCO
86,2000-05-05,63.8125,67.984375,63.5,67.75,45085600,CSCO
87,2000-05-08,64.0625,64.625,62.125,62.75,67640000,CSCO
88,2000-05-09,63.53125,63.6875,60.8125,62.75,70498200,CSCO
89,2000-05-10,60.5,61.5,58.125,58.5,91957600,CSCO
90,2000-05-11,59.875,61.125,58.0625,60.25,53912000,CSCO
91,2000-05-12,60.125,63.0,58.75,59.9375,43915500,CSCO
92,2000-05-15,59.4375,60.125,57.0,60.0,50519100,CSCO
93,2000-05-16,61.125,62.265625,58.75,60.5625,50845600,CSCO
94,2000-05-17,59.25,59.625,58.0,58.0,43334300,CSCO
95,2000-05-18,58.0,58.3125,55.125,55.375,75639200,CSCO
96,2000-05-19,53.984375,55.0625,52.4375,53.4375,82841000,CSCO
97,2000-05-22,53.1875,55.5,50.0,55.25,92259800,CSCO
98,2000-05-23,55.125,55.625,50.25,50.546875,67684700,CSCO
99,2000-05-24,50.5,55.5,50.1875,55.125,97110300,CSCO
100,2000-05-25,56.0625,58.4375,54.0625,54.5,76771500,CSCO
101,2000-05-26,54.625,55.9375,52.625,54.9375,36022200,CSCO
102,2000-05-30,57.484375,60.0,57.0,59.875,51328600,CSCO
103,2000-05-31,58.9375,60.25,56.375,56.9375,49611300,CSCO
104,2000-06-01,58.578125,61.125,57.875,60.9375,52127600,CSCO
105,2000-06-02,64.5625,65.75,63.4375,64.375,61997000,CSCO
106,2000-06-05,63.6875,65.0625,62.4375,63.25,36758700,CSCO
107,2000-06-06,62.75,63.8125,61.125,61.3125,30704100,CSCO
108,2000-06-07,61.625,63.5,61.125,62.875,32483900,CSCO
109,2000-06-08,63.8125,65.0,62.75,63.6875,36633200,CSCO
110,2000-06-09,64.5,65.0,64.0,64.375,23956400,CSCO
111,2000-06-12,64.5,64.75,62.125,62.125,22663400,CSCO
112,2000-06-13,62.375,65.0,61.5,65.0,33430700,CSCO
113,2000-06-14,64.8125,66.5,64.125,65.1875,33894400,CSCO
114,2000-06-15,65.5,66.625,64.625,66.5,38430500,CSCO
115,2000-06-16,66.75,67.9375,65.796875,67.8125,49657300,CSCO
116,2000-06-19,67.0,69.25,66.25,68.9375,34616900,CSCO
117,2000-06-20,68.6875,69.5625,66.625,67.125,34001500,CSCO
118,2000-06-21,65.8125,67.75,65.75,67.4375,27600800,CSCO
119,2000-06-22,67.0625,67.125,64.4375,64.5625,27506900,CSCO
120,2000-06-23,64.5625,65.9375,62.5,62.625,25132300,CSCO
121,2000-06-26,63.078125,63.625,61.0625,62.8125,40313100,CSCO
122,2000-06-27,62.5625,65.25,62.125,62.25,31635200,CSCO
123,2000-06-28,62.8125,64.4375,62.125,63.5625,29624000,CSCO
124,2000-06-29,62.6875,63.515625,60.5,61.1875,36168100,CSCO
125,2000-06-30,60.8125,63.6875,60.125,63.5625,34402600,CSCO
126,2000-07-03,63.375,64.875,63.125,64.625,14879800,CSCO
127,2000-07-05,63.8125,64.75,61.4375,61.875,27383000,CSCO
128,2000-07-06,62.25,64.875,60.875,64.75,34561900,CSCO
129,2000-07-07,64.625,65.9375,63.625,65.375,30196900,CSCO
130,2000-07-10,64.25,65.625,63.0,63.125,29138500,CSCO
131,2000-07-11,63.0,64.5625,61.625,62.125,33011500,CSCO
132,2000-07-12,63.375,64.625,62.09375,63.875,32863700,CSCO
133,2000-07-13,64.0625,67.109375,63.875,65.25,58366200,CSCO
134,2000-07-14,66.5625,68.75,66.0625,68.25,58353300,CSCO
135,2000-07-17,67.625,69.75,67.375,69.625,41995400,CSCO
136,2000-07-18,68.25,69.125,67.0625,67.25,29673200,CSCO
137,2000-07-19,67.125,67.9375,66.25,66.8125,24010200,CSCO
138,2000-07-20,67.25,69.75,67.1875,69.5,43828700,CSCO
139,2000-07-21,68.625,69.625,67.734375,68.125,29126500,CSCO
140,2000-07-24,67.9375,68.875,65.875,66.0625,29325800,CSCO
141,2000-07-25,66.625,68.875,65.9375,68.125,32776100,CSCO
142,2000-07-26,67.0625,69.125,66.375,68.5625,44805400,CSCO
143,2000-07-27,67.859375,69.0,66.75,68.0,34568500,CSCO
144,2000-07-28,67.25,69.0,61.9375,62.8125,56395700,CSCO
145,2000-07-31,62.890625,66.0,62.5625,65.4375,51109200,CSCO
146,2000-08-01,64.75,65.625,62.3125,63.1875,34942900,CSCO
147,2000-08-02,63.25,64.5,60.75,60.9375,45361900,CSCO
148,2000-08-03,59.625,64.875,58.5,64.375,61286400,CSCO
149,2000-08-04,65.53125,66.875,64.5625,65.5625,41593000,CSCO
150,2000-08-07,66.203125,67.25,65.25,66.25,39458000,CSCO
151,2000-08-08,66.0,66.9375,64.875,65.5,46360200,CSCO
152,2000-08-09,68.875,70.0,67.25,67.8125,94337400,CSCO
153,2000-08-10,66.625,66.625,63.125,63.375,59673700,CSCO
154,2000-08-11,62.8125,64.875,62.0,64.3125,48999400,CSCO
155,2000-08-14,64.0,64.5625,62.375,64.5,29087500,CSCO
156,2000-08-15,64.1875,64.8125,62.9375,63.1875,33757400,CSCO
157,2000-08-16,63.5,64.25,62.3125,63.0625,35195300,CSCO
158,2000-08-17,62.875,64.5,62.265625,63.4375,34739500,CSCO
159,2000-08-18,63.5625,64.3125,63.0,63.5,41693400,CSCO
160,2000-08-21,64.125,65.5,64.125,65.5,41781800,CSCO
161,2000-08-22,65.5625,66.4375,64.5,64.8125,40985800,CSCO
162,2000-08-23,64.5,67.25,64.1875,67.1875,43615700,CSCO
163,2000-08-24,67.3125,67.5,65.625,66.5,26958500,CSCO
164,2000-08-25,66.375,67.0,65.5,65.5,21182500,CSCO
165,2000-08-28,65.75,67.03125,65.625,66.0625,25397800,CSCO
166,2000-08-29,66.0625,67.375,65.75,66.5625,25801700,CSCO
167,2000-08-30,66.375,66.9375,66.1875,66.5625,24561800,CSCO
168,2000-08-31,66.9375,68.9375,66.8125,68.625,46835300,CSCO
169,2000-09-01,68.875,69.625,68.125,68.5625,33141800,CSCO
170,2000-09-05,67.5625,68.3125,65.625,66.0,32365000,CSCO
171,2000-09-06,66.375,66.9375,63.5,64.25,37317100,CSCO
172,2000-09-07,65.0,66.6875,64.25,66.25,30302700,CSCO
173,2000-09-08,65.75,65.9375,63.3125,63.875,35967700,CSCO
174,2000-09-11,63.5,63.875,60.875,61.1875,53535500,CSCO
175,2000-09-12,61.515625,62.875,58.125,58.875,76982100,CSCO
176,2000-09-13,58.25,61.859375,58.0,61.3125,75426600,CSCO
177,2000-09-14,62.625,63.3125,60.546875,61.25,48069600,CSCO
178,2000-09-15,61.375,63.75,59.8125,62.75,75803700,CSCO
179,2000-09-18,61.5625,62.5625,58.5,60.0625,59433800,CSCO
180,2000-09-19,59.9375,62.0625,59.0625,62.0,50635000,CSCO
181,2000-09-20,61.3125,63.625,61.0,63.125,61998200,CSCO
182,2000-09-21,61.5625,62.875,60.0625,61.125,48728100,CSCO
183,2000-09-22,58.5,60.5,58.4375,60.3125,55306500,CSCO
184,2000-09-25,60.71875,61.359375,56.875,57.1875,59634900,CSCO
185,2000-09-26,58.1875,59.1875,55.125,55.1875,72577600,CSCO
186,2000-09-27,56.5,57.625,55.3125,57.3125,56557200,CSCO
187,2000-09-28,56.375,59.75,54.625,59.4375,90508900,CSCO
188,2000-09-29,58.859375,59.3125,55.1875,55.25,44248700,CSCO
189,2000-10-02,57.375,58.96875,54.59375,55.5,76637400,CSCO
190,2000-10-03,57.0,59.375,55.9375,56.25,65208200,CSCO
191,2000-10-04,56.5625,59.0625,55.25,58.5625,56870600,CSCO
192,2000-10-05,57.8125,58.875,56.25,57.5625,47457200,CSCO
193,2000-10-06,57.3125,58.25,54.625,56.1875,54803700,CSCO
194,2000-10-09,55.4375,55.5625,52.875,53.6875,45976900,CSCO
195,2000-10-10,53.0,54.375,50.6875,51.125,61859800,CSCO
196,2000-10-11,48.75,53.375,48.21875,51.1875,93499900,CSCO
197,2000-10-12,52.625,53.625,49.25,49.8125,78347800,CSCO
198,2000-10-13,49.0625,56.1875,49.0625,56.0625,73929500,CSCO
199,2000-10-16,55.1875,55.75,53.875,54.5,51407200,CSCO
200,2000-10-17,55.4375,56.0,53.375,54.5625,52349400,CSCO
201,2000-10-18,52.75,54.765625,50.0,52.25,66281300,CSCO
202,2000-10-19,55.0625,59.125,54.25,58.25,72023700,CSCO
203,2000-10-20,57.625,59.4375,56.75,57.3125,51194000,CSCO
204,2000-10-23,56.25,57.75,54.9375,55.875,45486800,CSCO
205,2000-10-24,56.5625,57.25,54.0625,54.875,46524900,CSCO
206,2000-10-25,51.5625,53.5625,50.5,50.625,68796400,CSCO
207,2000-10-26,51.375,54.125,50.0,53.5625,83351700,CSCO
208,2000-10-27,54.625,54.625,50.3125,50.6875,71866300,CSCO
209,2000-10-30,49.1875,49.6875,45.25,48.0625,7360400,CSCO
210,2000-10-31,48.375,54.5,48.1875,53.875,87881100,CSCO
211,2000-11-01,52.875,54.875,51.0625,52.125,76320300,CSCO
212,2000-11-02,52.8125,56.0,52.625,55.75,57679400,CSCO
213,2000-11-03,55.375,57.125,54.0625,56.75,59242000,CSCO
214,2000-11-06,55.9375,57.0,54.875,55.125,72645200,CSCO
215,2000-11-07,54.1875,57.625,53.0,56.75,97458000,CSCO
216,2000-11-08,55.875,56.6875,52.0,52.125,59053700,CSCO
217,2000-11-09,50.9375,53.5,50.5,53.25,70492400,CSCO
218,2000-11-10,51.9375,53.125,50.0,50.0625,58042300,CSCO
219,2000-11-13,48.8125,52.375,48.0,50.375,75162400,CSCO
220,2000-11-14,52.3125,53.5625,51.8125,53.125,59774300,CSCO
221,2000-11-15,52.9375,54.359375,51.4375,53.5625,51065300,CSCO
222,2000-11-16,52.875,53.1875,50.8125,51.0625,32594500,CSCO
223,2000-11-17,51.25,53.6875,50.5,52.75,49838500,CSCO
224,2000-11-20,50.0625,52.6875,49.9375,51.25,51552800,CSCO
