,Date,Open,High,Low,Close,Volume,Symbol
0,2000-01-03,17.875,17.9375,17.09375,17.25,148600,CSL
1,2000-01-04,17.125,17.15625,16.625,16.75,203800,CSL
2,2000-01-05,16.875,17.40625,16.71875,17.3125,137600,CSL
3,2000-01-06,17.25,17.90625,17.15625,17.78125,154800,CSL
4,2000-01-07,17.75,17.75,17.0,17.5,205400,CSL
5,2000-01-10,17.5,17.5,16.96875,17.0625,175800,CSL
6,2000-01-11,17.0,17.09375,16.6875,16.71875,337400,CSL
7,2000-01-12,17.0,17.125,16.65625,16.75,153200,CSL
8,2000-01-13,16.65625,16.96875,16.5625,16.75,242400,CSL
9,2000-01-14,16.84375,16.84375,16.5,16.53125,108400,CSL
10,2000-01-18,16.53125,16.9375,16.125,16.5625,152800,CSL
11,2000-01-19,16.625,16.625,16.3125,16.4375,108200,CSL
12,2000-01-20,16.40625,16.53125,16.3125,16.375,274200,CSL
13,2000-01-21,16.40625,16.5,16.3125,16.3125,154000,CSL
14,2000-01-24,16.3125,16.46875,16.0,16.0625,173400,CSL
15,2000-01-25,16.0,16.0625,15.625,15.78125,171400,CSL
16,2000-01-26,15.71875,16.28125,15.71875,16.1875,189000,CSL
17,2000-01-27,16.1875,16.375,15.9375,15.9375,97400,CSL
18,2000-01-28,16.0,16.0,15.65625,15.78125,176200,CSL
19,2000-01-31,15.78125,16.15625,15.78125,16.15625,142800,CSL
20,2000-02-01,16.125,16.125,15.5,15.59375,122600,CSL
21,2000-02-02,15.5625,15.84375,15.5625,15.78125,62200,CSL
22,2000-02-03,15.8125,16.375,15.8125,16.28125,282600,CSL
23,2000-02-04,16.21875,17.1875,16.21875,16.90625,338000,CSL
24,2000-02-07,16.8125,16.8125,16.53125,16.6875,147400,CSL
25,2000-02-08,16.6875,16.78125,16.375,16.4375,166800,CSL
26,2000-02-09,16.46875,16.6875,16.3125,16.34375,203600,CSL
27,2000-02-10,16.28125,16.375,16.125,16.1875,169800,CSL
28,2000-02-11,16.125,16.25,16.0,16.03125,128600,CSL
29,2000-02-14,15.9375,16.34375,15.8125,16.28125,175000,CSL
30,2000-02-15,16.3125,16.78125,16.28125,16.71875,180200,CSL
31,2000-02-16,16.5,16.6875,16.4375,16.65625,79200,CSL
32,2000-02-17,17.0,17.375,16.796875,17.09375,194000,CSL
33,2000-02-18,17.03125,17.09375,16.4375,16.46875,77200,CSL
34,2000-02-22,16.40625,16.6875,16.0625,16.3125,258000,CSL
35,2000-02-23,16.28125,16.46875,16.28125,16.40625,151800,CSL
36,2000-02-24,16.3125,16.3125,15.46875,15.90625,154200,CSL
37,2000-02-25,15.90625,15.96875,15.65625,15.78125,124800,CSL
