,Date,Open,High,Low,Close,Volume,Symbol
0,2000-01-03,6.015625,6.015625,5.765625,5.84375,205200,DCI
1,2000-01-04,5.78125,5.828125,5.5625,5.65625,180000,DCI
2,2000-01-05,5.703125,5.734375,5.59375,5.609375,202000,DCI
3,2000-01-06,5.59375,5.59375,5.375,5.5625,248000,DCI
4,2000-01-07,5.5,5.734375,5.46875,5.703125,306000,DCI
5,2000-01-10,5.75,5.875,5.703125,5.8125,168000,DCI
6,2000-01-11,5.765625,5.859375,5.5625,5.6875,226800,DCI
7,2000-01-12,5.734375,5.734375,5.5,5.671875,292000,DCI
8,2000-01-13,5.609375,5.765625,5.515625,5.546875,223600,DCI
9,2000-01-14,5.59375,5.65625,5.46875,5.515625,194400,DCI
10,2000-01-18,5.484375,5.578125,5.40625,5.46875,387200,DCI
11,2000-01-19,5.484375,5.484375,5.3125,5.46875,468400,DCI
12,2000-01-20,5.5,5.625,5.453125,5.5625,441200,DCI
13,2000-01-21,5.5625,5.5625,5.46875,5.46875,412400,DCI
14,2000-01-24,5.46875,5.5625,5.28125,5.28125,298400,DCI
15,2000-01-25,5.34375,5.34375,5.203125,5.296875,428000,DCI
16,2000-01-26,5.359375,5.421875,5.28125,5.28125,255600,DCI
17,2000-01-27,5.21875,5.453125,5.15625,5.171875,446000,DCI
18,2000-01-28,5.125,5.25,5.125,5.1875,1786000,DCI
19,2000-01-31,5.25,5.25,5.0,5.15625,221200,DCI
20,2000-02-01,5.1875,5.1875,5.09375,5.140625,172800,DCI
21,2000-02-02,5.140625,5.25,5.140625,5.203125,306800,DCI
22,2000-02-03,5.265625,5.484375,5.234375,5.359375,394000,DCI
23,2000-02-04,5.328125,5.40625,5.328125,5.34375,310400,DCI
24,2000-02-07,5.3125,5.375,5.25,5.3125,184400,DCI
25,2000-02-08,5.375,5.421875,5.34375,5.40625,584800,DCI
26,2000-02-09,5.5,5.625,5.40625,5.5,285200,DCI
27,2000-02-10,5.4375,5.4375,5.203125,5.359375,182400,DCI
28,2000-02-11,5.328125,5.40625,5.203125,5.25,265200,DCI
29,2000-02-14,5.3125,5.3125,5.0625,5.28125,242400,DCI
30,2000-02-15,5.3125,5.3125,4.953125,5.21875,154000,DCI
31,2000-02-16,5.25,5.375,5.109375,5.203125,292800,DCI
32,2000-02-17,5.265625,5.3125,5.03125,5.0625,238000,DCI
33,2000-02-18,5.125,5.234375,5.109375,5.140625,173200,DCI
34,2000-02-22,5.09375,5.25,4.984375,5.21875,403600,DCI
35,2000-02-23,5.234375,5.5625,5.125,5.421875,437600,DCI
36,2000-02-24,5.359375,5.4375,5.21875,5.265625,286400,DCI
37,2000-02-25,5.28125,5.40625,5.203125,5.3125,476000,DCI
38,2000-02-28,5.25,5.5,5.171875,5.453125,354000,DCI
39,2000-02-29,5.453125,5.6875,5.453125,5.6875,488800,DCI
40,2000-03-01,5.6875,5.828125,5.65625,5.828125,749200,DCI
41,2000-03-02,5.78125,5.796875,5.640625,5.75,558400,DCI
42,2000-03-03,5.8125,5.828125,5.71875,5.8125,312400,DCI
43,2000-03-06,5.78125,5.984375,5.78125,5.875,328800,DCI
44,2000-03-07,5.8125,5.875,5.75,5.765625,408800,DCI
45,2000-03-08,5.75,5.859375,5.71875,5.8125,444400,DCI
46,2000-03-09,5.78125,5.953125,5.78125,5.921875,285600,DCI
47,2000-03-10,5.875,5.921875,5.796875,5.890625,165200,DCI
48,2000-03-13,5.828125,5.828125,5.59375,5.75,120000,DCI
49,2000-03-14,5.75,5.84375,5.734375,5.765625,416800,DCI
50,2000-03-15,5.796875,5.796875,5.703125,5.796875,924000,DCI
51,2000-03-16,5.796875,6.015625,5.78125,6.015625,692000,DCI
52,2000-03-17,5.75,6.015625,5.75,5.96875,499200,DCI
53,2000-03-20,5.984375,5.984375,5.71875,5.75,576400,DCI
54,2000-03-21,5.703125,5.84375,5.625,5.84375,558000,DCI
55,2000-03-22,5.84375,5.984375,5.796875,5.984375,282000,DCI
56,2000-03-23,5.921875,5.921875,5.65625,5.765625,524800,DCI
57,2000-03-24,5.796875,5.796875,5.640625,5.75,262800,DCI
58,2000-03-27,5.78125,5.796875,5.703125,5.796875,898800,DCI
59,2000-03-28,5.75,5.84375,5.71875,5.75,893600,DCI
60,2000-03-29,5.8125,5.859375,5.765625,5.765625,306000,DCI
61,2000-03-30,5.75,5.859375,5.75,5.765625,420800,DCI
62,2000-03-31,5.8125,5.984375,5.640625,5.640625,1064000,DCI
63,2000-04-03,5.703125,5.8125,5.671875,5.703125,227200,DCI
64,2000-04-04,5.703125,5.703125,5.4375,5.609375,372000,DCI
65,2000-04-05,5.546875,5.6875,5.421875,5.5,748000,DCI
66,2000-04-06,5.546875,5.703125,5.515625,5.609375,408400,DCI
67,2000-04-07,5.671875,5.78125,5.5625,5.65625,205600,DCI
68,2000-04-10,5.640625,5.78125,5.546875,5.59375,230000,DCI
69,2000-04-11,5.53125,5.75,5.5,5.546875,412000,DCI
70,2000-04-12,5.59375,5.78125,5.578125,5.640625,155600,DCI
71,2000-04-13,5.59375,5.734375,5.4375,5.640625,296800,DCI
72,2000-04-14,5.578125,5.65625,5.4375,5.46875,222400,DCI
73,2000-04-17,5.46875,5.53125,5.34375,5.421875,247200,DCI
74,2000-04-18,5.4375,5.5625,5.421875,5.5625,228400,DCI
75,2000-04-19,5.5625,5.625,5.53125,5.578125,392000,DCI
76,2000-04-20,5.578125,5.609375,5.53125,5.578125,174800,DCI
77,2000-04-24,5.578125,5.640625,5.515625,5.578125,299600,DCI
78,2000-04-25,5.625,5.84375,5.625,5.796875,330800,DCI
79,2000-04-26,5.859375,5.90625,5.765625,5.796875,294000,DCI
80,2000-04-27,5.734375,5.734375,5.5625,5.640625,191600,DCI
81,2000-04-28,5.703125,5.8125,5.703125,5.8125,101600,DCI
82,2000-05-01,5.75,5.8125,5.625,5.78125,182000,DCI
83,2000-05-02,5.75,5.78125,5.5625,5.78125,320400,DCI
84,2000-05-03,5.78125,5.828125,5.71875,5.828125,378000,DCI
85,2000-05-04,5.828125,5.984375,5.828125,5.96875,465200,DCI
86,2000-05-05,5.953125,6.015625,5.890625,6.015625,387600,DCI
87,2000-05-08,6.0,6.0,5.875,5.984375,152800,DCI
88,2000-05-09,5.9375,6.015625,5.890625,6.015625,300400,DCI
89,2000-05-10,5.96875,6.0,5.890625,5.890625,169200,DCI
90,2000-05-11,5.84375,6.078125,5.84375,5.96875,756000,DCI
91,2000-05-12,6.0,6.03125,5.90625,5.96875,277600,DCI
92,2000-05-15,5.96875,6.0,5.9375,5.984375,113600,DCI
93,2000-05-16,5.9375,6.09375,5.921875,6.0625,274800,DCI
94,2000-05-17,6.0625,6.125,6.0,6.0625,619200,DCI
95,2000-05-18,6.0,6.234375,5.9375,6.046875,320800,DCI
96,2000-05-19,6.046875,6.046875,5.84375,6.0,144400,DCI
97,2000-05-22,5.96875,6.0625,5.78125,6.046875,156000,DCI
98,2000-05-23,5.984375,6.0625,5.828125,5.828125,274000,DCI
99,2000-05-24,5.859375,6.0625,5.828125,6.0,548000,DCI
100,2000-05-25,5.984375,6.03125,5.921875,5.921875,186400,DCI
101,2000-05-26,5.890625,5.890625,5.765625,5.796875,124400,DCI
102,2000-05-30,5.78125,5.8125,5.75,5.796875,68400,DCI
103,2000-05-31,5.75,5.875,5.625,5.71875,929600,DCI
104,2000-06-01,5.734375,5.8125,5.734375,5.796875,231600,DCI
105,2000-06-02,5.859375,5.953125,5.828125,5.84375,100400,DCI
106,2000-06-05,5.78125,5.8125,5.65625,5.78125,648800,DCI
107,2000-06-06,5.75,5.890625,5.75,5.765625,116000,DCI
108,2000-06-07,5.71875,5.84375,5.71875,5.75,211600,DCI
109,2000-06-08,5.78125,5.84375,5.59375,5.71875,2120800,DCI
