,Date,Open,High,Low,Close,Volume,Symbol
0,2000-01-03,20.1875,20.5,19.9375,20.0,437000,DDS
1,2000-01-04,20.0,20.4375,20.0,20.1875,372100,DDS
2,2000-01-05,20.125,20.3125,19.8125,20.125,331400,DDS
3,2000-01-06,20.0625,20.0625,19.375,19.875,323600,DDS
4,2000-01-07,19.75,20.25,19.5,20.1875,381100,DDS
5,2000-01-10,20.375,20.4375,19.9375,20.3125,386300,DDS
6,2000-01-11,20.4375,20.8125,20.25,20.5,365700,DDS
7,2000-01-12,20.625,20.6875,20.0625,20.0625,184500,DDS
8,2000-01-13,20.1875,20.25,19.75,20.0625,219400,DDS
9,2000-01-14,20.0625,20.3125,19.8125,20.0625,503300,DDS
10,2000-01-18,19.6875,20.1875,19.5625,20.0,214800,DDS
11,2000-01-19,20.25,20.5625,19.6875,20.5625,278300,DDS
12,2000-01-20,20.625,20.625,20.125,20.25,507900,DDS
13,2000-01-21,20.6875,20.6875,19.5625,19.875,1014900,DDS
14,2000-01-24,20.0,20.0,19.125,19.3125,278100,DDS
15,2000-01-25,19.5,20.1875,19.125,19.875,345700,DDS
16,2000-01-26,19.875,20.0,19.5,19.75,153100,DDS
17,2000-01-27,20.0,20.0,18.8125,19.4375,357900,DDS
18,2000-01-28,19.5,19.8125,19.125,19.25,248100,DDS
19,2000-01-31,19.25,19.3125,18.75,19.1875,397000,DDS
20,2000-02-01,19.3125,19.8125,19.125,19.5625,355900,DDS
21,2000-02-02,19.75,19.9375,19.25,19.375,314600,DDS
22,2000-02-03,19.625,19.9375,19.5,19.75,232100,DDS
23,2000-02-04,19.6875,19.875,19.5,19.5625,383000,DDS
24,2000-02-07,19.5,19.6875,18.9375,19.25,356400,DDS
25,2000-02-08,19.25,19.5,19.1875,19.375,413700,DDS
26,2000-02-09,19.375,19.375,18.75,18.875,211100,DDS
27,2000-02-10,18.8125,18.875,18.5,18.75,371500,DDS
28,2000-02-11,18.6875,18.75,18.3125,18.5,461300,DDS
29,2000-02-14,18.375,18.96875,18.1875,18.625,340800,DDS
30,2000-02-15,18.875,18.875,18.0625,18.0625,373100,DDS
31,2000-02-16,18.875,19.0625,18.5,18.5625,724500,DDS
32,2000-02-17,18.5625,18.6875,17.6875,17.75,484000,DDS
33,2000-02-18,18.25,18.5625,17.6875,18.25,911800,DDS
34,2000-02-22,18.5625,19.4375,18.3125,19.125,832400,DDS
35,2000-02-23,18.625,18.9375,18.375,18.375,314700,DDS
36,2000-02-24,18.375,18.375,16.9375,17.375,453500,DDS
37,2000-02-25,17.4375,17.875,17.0,17.25,513900,DDS
38,2000-02-28,17.25,17.75,17.0,17.5625,1015100,DDS
39,2000-02-29,17.5625,17.75,17.3125,17.375,530600,DDS
40,2000-03-01,17.4375,17.5625,17.1875,17.375,348600,DDS
41,2000-03-02,17.1875,17.4375,17.125,17.375,414200,DDS
42,2000-03-03,17.3125,17.6875,17.125,17.5625,304800,DDS
43,2000-03-06,17.0,17.3125,16.1875,16.5625,557400,DDS
44,2000-03-07,16.1875,16.3125,14.8125,15.3125,759800,DDS
45,2000-03-08,15.375,15.875,15.0,15.25,523100,DDS
46,2000-03-09,15.5,16.125,15.0625,15.5625,470000,DDS
47,2000-03-10,15.0,15.25,14.125,14.5625,698300,DDS
48,2000-03-13,14.4375,15.4375,14.0,15.0625,477800,DDS
49,2000-03-14,14.9375,15.0625,14.6875,15.0,401800,DDS
50,2000-03-15,15.0625,15.0625,14.75,15.0,1201200,DDS
51,2000-03-16,15.25,16.875,15.1875,16.6875,812300,DDS
52,2000-03-17,16.0,16.625,15.875,16.125,903700,DDS
53,2000-03-20,16.0625,16.9375,16.0625,16.9375,463200,DDS
54,2000-03-21,16.75,17.3125,16.5625,16.8125,574400,DDS
55,2000-03-22,16.8125,17.1875,15.4375,16.125,363000,DDS
56,2000-03-23,16.3125,16.3125,15.625,16.3125,235700,DDS
57,2000-03-24,16.4375,16.4375,15.375,15.9375,378700,DDS
58,2000-03-27,15.9375,16.375,15.5,16.0,327500,DDS
59,2000-03-28,15.75,16.125,15.5625,15.625,197800,DDS
60,2000-03-29,15.5,16.1875,15.5,15.9375,251800,DDS
61,2000-03-30,15.8125,16.5,15.8125,16.1875,261500,DDS
62,2000-03-31,16.25,16.875,16.25,16.4375,261800,DDS
63,2000-04-03,16.1875,17.0,16.1875,16.6875,204200,DDS
64,2000-04-04,16.9375,16.9375,15.1875,16.1875,398400,DDS
65,2000-04-05,16.25,16.8125,15.6875,15.8125,387400,DDS
66,2000-04-06,15.5625,16.3125,15.4375,15.4375,223500,DDS
67,2000-04-07,15.5,16.0,15.375,15.5625,263100,DDS
68,2000-04-10,15.375,15.6875,15.25,15.5625,176200,DDS
69,2000-04-11,15.5625,15.75,15.125,15.6875,203000,DDS
70,2000-04-12,15.625,15.8125,15.25,15.6875,335800,DDS
71,2000-04-13,15.5,15.65625,14.5625,14.9375,260800,DDS
72,2000-04-14,15.0,15.0,14.0625,14.125,318700,DDS
73,2000-04-17,13.9375,14.0625,13.34375,13.625,407700,DDS
74,2000-04-18,13.125,14.125,13.125,14.0625,299800,DDS
75,2000-04-19,13.8125,14.0625,13.625,13.8125,81600,DDS
76,2000-04-20,13.9375,14.125,13.625,13.6875,167700,DDS
77,2000-04-24,13.75,13.875,13.625,13.625,338800,DDS
78,2000-04-25,13.625,15.1875,13.4375,14.875,529700,DDS
79,2000-04-26,15.25,15.25,14.5625,14.8125,441100,DDS
80,2000-04-27,14.3125,14.75,14.1875,14.1875,318000,DDS
81,2000-04-28,14.1875,14.3125,13.75,13.9375,212800,DDS
82,2000-05-01,13.8125,14.4375,13.75,14.4375,581900,DDS
83,2000-05-02,14.5,14.9375,14.1875,14.8125,190600,DDS
84,2000-05-03,14.6875,14.6875,13.5625,14.0,315500,DDS
85,2000-05-04,14.25,14.6875,13.5625,13.75,386600,DDS
86,2000-05-05,13.625,14.75,13.5625,14.375,201500,DDS
87,2000-05-08,14.25,14.375,14.0625,14.3125,209600,DDS
88,2000-05-09,14.1875,14.6875,14.125,14.5,216300,DDS
89,2000-05-10,14.5,14.9375,14.375,14.5625,325400,DDS
90,2000-05-11,14.5,15.0,14.0,14.875,393100,DDS
91,2000-05-12,14.8125,15.25,14.8125,15.125,171100,DDS
92,2000-05-15,15.375,15.375,14.6875,14.9375,190600,DDS
93,2000-05-16,14.875,15.1875,14.5625,15.0,279200,DDS
94,2000-05-17,15.0,15.125,14.6875,14.8125,166700,DDS
95,2000-05-18,14.5625,15.375,14.5625,14.875,244400,DDS
96,2000-05-19,14.6875,14.875,14.5,14.875,137700,DDS
97,2000-05-22,14.875,14.875,14.0,14.4375,302100,DDS
98,2000-05-23,14.5,15.3125,14.3125,15.0,288600,DDS
99,2000-05-24,15.25,15.25,13.6875,14.125,289200,DDS
100,2000-05-25,14.5,15.0625,14.3125,14.8125,424600,DDS
