,Date,Open,High,Low,Close,Volume,Symbol
0,2000-01-03,28.4375,28.78125,28.15625,28.78125,2246800,EMR
1,2000-01-04,28.75,28.78125,28.40625,28.4375,1708200,EMR
2,2000-01-05,28.4375,29.125,28.40625,28.96875,2190200,EMR
3,2000-01-06,28.75,30.0,28.6875,29.78125,2593200,EMR
4,2000-01-07,30.25,31.34375,29.875,31.125,2663200,EMR
5,2000-01-10,31.0,31.03125,29.3125,29.5,2557000,EMR
6,2000-01-11,29.375,30.0,29.3125,29.4375,1895000,EMR
7,2000-01-12,29.53125,30.1875,29.5,29.84375,1361200,EMR
8,2000-01-13,29.96875,31.09375,29.875,30.75,2131800,EMR
9,2000-01-14,30.6875,30.875,30.4375,30.46875,2687600,EMR
10,2000-01-18,30.34375,30.375,29.6875,30.09375,2101600,EMR
11,2000-01-19,30.21875,31.1875,30.1875,30.84375,2323600,EMR
12,2000-01-20,30.9375,31.1875,30.15625,30.21875,2345000,EMR
13,2000-01-21,29.875,30.28125,29.8125,30.03125,2468600,EMR
14,2000-01-24,30.15625,30.15625,28.875,29.0625,2503800,EMR
15,2000-01-25,28.8125,29.0,28.5625,28.59375,1917400,EMR
16,2000-01-26,28.71875,28.75,27.90625,28.25,2555000,EMR
17,2000-01-27,28.25,28.75,27.625,27.84375,2657000,EMR
18,2000-01-28,27.8125,28.5,27.625,28.0,3268000,EMR
19,2000-01-31,27.75,28.03125,27.53125,27.53125,1994200,EMR
20,2000-02-01,27.5625,27.71875,27.1875,27.3125,2353000,EMR
21,2000-02-02,27.4375,27.46875,26.75,26.75,3647600,EMR
22,2000-02-03,26.3125,27.71875,26.3125,27.0625,3129800,EMR
23,2000-02-04,26.625,26.875,25.71875,25.875,4791600,EMR
24,2000-02-07,25.125,25.53125,24.65625,24.96875,4253800,EMR
25,2000-02-08,25.0,25.4375,24.78125,24.9375,4255000,EMR
26,2000-02-09,24.8125,24.90625,23.96875,24.0,3230000,EMR
27,2000-02-10,24.03125,24.21875,23.03125,23.34375,4165200,EMR
28,2000-02-11,23.46875,23.71875,23.09375,23.1875,3386000,EMR
29,2000-02-14,23.3125,23.375,22.84375,23.1875,2457000,EMR
30,2000-02-15,23.0625,24.21875,22.875,23.9375,4507000,EMR
31,2000-02-16,23.84375,24.65625,23.5625,24.4375,2960000,EMR
32,2000-02-17,24.75,24.78125,24.25,24.6875,4165600,EMR
33,2000-02-18,24.71875,25.5625,24.53125,25.0,3859000,EMR
34,2000-02-22,24.625,25.3125,24.53125,24.8125,2932600,EMR
35,2000-02-23,24.75,24.84375,24.1875,24.28125,3111800,EMR
36,2000-02-24,24.25,24.625,23.75,24.21875,2665200,EMR
37,2000-02-25,25.0,25.03125,23.78125,23.8125,2696800,EMR
38,2000-02-28,23.8125,24.0,23.25,23.25,2706000,EMR
39,2000-02-29,23.25,23.46875,22.65625,22.78125,3848800,EMR
40,2000-03-01,22.5,22.71875,22.09375,22.3125,4875000,EMR
41,2000-03-02,22.0625,22.375,21.8125,22.03125,3486200,EMR
42,2000-03-03,22.03125,22.46875,21.53125,21.8125,3784200,EMR
43,2000-03-06,21.78125,21.8125,20.75,21.0,4171000,EMR
44,2000-03-07,21.125,21.375,20.75,20.9375,2950600,EMR
45,2000-03-08,21.0625,21.375,20.65625,21.125,3992400,EMR
46,2000-03-09,21.03125,21.125,20.5,20.75,2809200,EMR
47,2000-03-10,20.8125,21.28125,20.46875,20.5625,3070400,EMR
48,2000-03-13,20.3125,21.34375,20.25,21.25,2477000,EMR
49,2000-03-14,21.28125,21.46875,20.78125,21.15625,2848200,EMR
50,2000-03-15,21.03125,21.78125,20.59375,21.65625,4800000,EMR
51,2000-03-16,21.8125,23.0,21.625,22.875,6320600,EMR
52,2000-03-17,22.75,24.0,22.5,22.5,5772400,EMR
53,2000-03-20,23.0,23.875,22.875,23.46875,4974000,EMR
54,2000-03-21,23.25,23.53125,22.53125,23.0625,3678800,EMR
55,2000-03-22,22.875,22.96875,22.34375,22.6875,4089600,EMR
56,2000-03-23,22.4375,23.5,22.125,23.40625,3562000,EMR
57,2000-03-24,23.375,24.5625,23.3125,23.625,3938400,EMR
58,2000-03-27,23.375,23.84375,23.125,23.5,2429600,EMR
59,2000-03-28,23.40625,23.8125,23.40625,23.59375,2383200,EMR
60,2000-03-29,23.5625,24.5625,23.5625,24.34375,2815400,EMR
61,2000-03-30,25.0,27.125,24.875,26.625,5497600,EMR
62,2000-03-31,27.5,27.5,26.4375,26.5625,4781000,EMR
63,2000-04-03,26.5,26.6875,25.65625,26.5,2599600,EMR
64,2000-04-04,27.375,28.375,27.0625,27.6875,6297800,EMR
65,2000-04-05,27.5,27.71875,27.03125,27.3125,3277400,EMR
66,2000-04-06,27.03125,27.75,27.03125,27.5,2239200,EMR
67,2000-04-07,27.5,27.75,27.3125,27.40625,1628600,EMR
68,2000-04-10,27.3125,27.59375,27.0,27.4375,2091800,EMR
69,2000-04-11,27.5,28.875,27.375,28.5,3178400,EMR
70,2000-04-12,28.5625,29.0625,27.9375,28.25,3110600,EMR
71,2000-04-13,28.5625,28.9375,28.0625,28.5,2451400,EMR
72,2000-04-14,28.125,28.5625,26.875,27.15625,2176400,EMR
73,2000-04-17,27.28125,27.5625,26.125,27.53125,3594000,EMR
74,2000-04-18,27.4375,27.5,26.25,27.0625,2384400,EMR
75,2000-04-19,26.625,26.6875,25.5625,26.15625,2814800,EMR
76,2000-04-20,26.1875,26.40625,25.78125,26.28125,2765800,EMR
77,2000-04-24,25.9375,27.09375,25.90625,26.9375,3712400,EMR
78,2000-04-25,27.125,28.40625,26.78125,28.09375,2316000,EMR
79,2000-04-26,27.6875,28.0,27.0,27.21875,1497000,EMR
80,2000-04-27,26.71875,27.6875,26.71875,27.3125,2071800,EMR
81,2000-04-28,27.3125,27.75,27.125,27.4375,2839200,EMR
