,Date,Open,High,Low,Close,Volume,Symbol
0,2000-01-03,4.6875,4.6875,4.59375,4.59375,81600,EPD
1,2000-01-04,4.59375,4.6875,4.5625,4.6875,33600,EPD
2,2000-01-05,4.71875,4.84375,4.71875,4.75,109600,EPD
3,2000-01-06,4.75,4.78125,4.59375,4.6875,101600,EPD
4,2000-01-07,4.71875,4.78125,4.5625,4.609375,101600,EPD
5,2000-01-10,4.59375,4.671875,4.5625,4.609375,123200,EPD
6,2000-01-11,4.625,4.625,4.5625,4.625,62000,EPD
7,2000-01-12,4.625,4.640625,4.609375,4.609375,46400,EPD
8,2000-01-13,4.59375,4.71875,4.5625,4.5625,131600,EPD
9,2000-01-14,4.59375,4.703125,4.59375,4.6875,43200,EPD
10,2000-01-18,4.6875,4.90625,4.6875,4.875,169600,EPD
11,2000-01-19,4.921875,5.015625,4.890625,4.953125,155600,EPD
12,2000-01-20,4.953125,4.984375,4.875,4.890625,111200,EPD
13,2000-01-21,4.828125,4.875,4.765625,4.84375,87200,EPD
14,2000-01-24,5.0,5.0,4.859375,4.9375,147600,EPD
15,2000-01-25,5.03125,5.03125,4.96875,5.0,84800,EPD
16,2000-01-26,5.03125,5.0625,5.0,5.015625,53200,EPD
17,2000-01-27,4.90625,4.9375,4.84375,4.84375,95600,EPD
18,2000-01-28,4.90625,5.03125,4.90625,4.953125,118800,EPD
19,2000-01-31,4.96875,5.09375,4.96875,5.09375,53200,EPD
20,2000-02-01,5.09375,5.125,5.0,5.046875,71200,EPD
21,2000-02-02,5.078125,5.078125,4.75,4.75,128000,EPD
22,2000-02-03,4.78125,5.015625,4.78125,5.0,62000,EPD
23,2000-02-04,5.0625,5.125,5.015625,5.03125,59200,EPD
24,2000-02-07,5.0625,5.125,4.9375,4.9375,154800,EPD
25,2000-02-08,4.84375,4.875,4.75,4.78125,124800,EPD
26,2000-02-09,4.875,4.9375,4.75,4.75,88000,EPD
27,2000-02-10,4.78125,4.90625,4.703125,4.875,86800,EPD
28,2000-02-11,4.90625,4.90625,4.84375,4.875,120400,EPD
29,2000-02-14,4.8125,4.921875,4.8125,4.90625,28800,EPD
