,Date,Open,High,Low,Close,Volume,Symbol
0,2000-01-03,33.875,33.875,33.1875,33.3125,12200,ESS
1,2000-01-04,33.1875,33.375,32.625,32.9375,62700,ESS
2,2000-01-05,32.625,33.0,32.625,32.8125,96900,ESS
3,2000-01-06,32.8125,33.25,32.5625,33.125,72500,ESS
4,2000-01-07,33.125,34.5,33.125,34.25,39400,ESS
5,2000-01-10,34.375,34.375,33.75,34.0625,23300,ESS
6,2000-01-11,33.8125,34.1875,33.6875,33.6875,46400,ESS
7,2000-01-12,33.9375,33.9375,33.625,33.625,43500,ESS
8,2000-01-13,33.625,34.0,33.5625,34.0,14300,ESS
9,2000-01-14,34.0625,34.0625,33.6875,33.875,10100,ESS
10,2000-01-18,33.8125,33.8125,33.375,33.75,27600,ESS
11,2000-01-19,34.0,34.25,34.0,34.125,57900,ESS
12,2000-01-20,34.1875,34.3125,34.125,34.3125,18400,ESS
13,2000-01-21,34.125,34.1875,34.0,34.0625,12700,ESS
14,2000-01-24,33.9375,34.125,33.75,34.0,36900,ESS
15,2000-01-25,34.0,34.25,34.0,34.1875,26000,ESS
16,2000-01-26,34.0625,34.25,34.0625,34.125,11200,ESS
17,2000-01-27,34.125,34.5,33.875,34.375,19800,ESS
18,2000-01-28,34.25,34.5,33.9375,33.9375,19300,ESS
19,2000-01-31,34.0,34.0,33.875,34.0,66300,ESS
20,2000-02-01,34.0,34.625,34.0,34.625,30500,ESS
21,2000-02-02,34.625,34.75,34.5,34.5625,30100,ESS
22,2000-02-03,34.5625,35.0,34.5625,34.875,21000,ESS
23,2000-02-04,34.8125,35.125,34.6875,35.0625,16000,ESS
24,2000-02-07,35.125,35.125,34.75,34.8125,19800,ESS
25,2000-02-08,34.8125,34.8125,34.375,34.375,49800,ESS
26,2000-02-09,34.25,34.5,33.8125,34.3125,20300,ESS
27,2000-02-10,34.375,34.375,34.125,34.375,14300,ESS
28,2000-02-11,34.25,34.375,34.25,34.3125,18200,ESS
29,2000-02-14,34.3125,34.5625,34.25,34.5625,44000,ESS
30,2000-02-15,34.625,34.625,34.0625,34.4375,32900,ESS
31,2000-02-16,34.375,34.375,33.875,34.25,18700,ESS
32,2000-02-17,34.375,34.375,34.125,34.375,25200,ESS
33,2000-02-18,34.3125,34.75,34.25,34.4375,32600,ESS
34,2000-02-22,34.4375,34.9375,34.375,34.9375,18300,ESS
35,2000-02-23,34.9375,34.9375,34.625,34.875,13700,ESS
36,2000-02-24,34.75,34.8125,34.5625,34.6875,34200,ESS
37,2000-02-25,34.5,34.5625,34.3125,34.375,23500,ESS
38,2000-02-28,34.125,34.5625,34.125,34.5625,45200,ESS
39,2000-02-29,34.4375,35.25,34.4375,35.25,89100,ESS
40,2000-03-01,35.125,35.625,35.0,35.625,148600,ESS
41,2000-03-02,35.625,35.75,35.5625,35.625,173100,ESS
42,2000-03-03,35.5625,35.9375,35.5625,35.9375,82700,ESS
43,2000-03-06,35.875,36.0625,35.5,36.0625,72700,ESS
44,2000-03-07,36.0,36.3125,35.9375,36.0,93600,ESS
45,2000-03-08,35.9375,36.0,35.8125,36.0,24700,ESS
46,2000-03-09,36.0,36.125,35.875,36.0625,18000,ESS
47,2000-03-10,36.0,36.1875,35.9375,35.9375,59600,ESS
48,2000-03-13,36.0,36.0,35.75,35.9375,30000,ESS
49,2000-03-14,35.9375,36.0,35.875,35.9375,23700,ESS
50,2000-03-15,35.9375,35.9375,35.6875,35.6875,108700,ESS
51,2000-03-16,35.75,36.0,35.625,35.9375,63800,ESS
52,2000-03-17,35.8125,36.25,35.8125,36.0,50600,ESS
53,2000-03-20,35.75,36.0,35.75,35.875,26800,ESS
54,2000-03-21,35.75,35.9375,35.625,35.9375,15900,ESS
55,2000-03-22,35.8125,36.0625,35.8125,36.0,41400,ESS
56,2000-03-23,36.0,36.0,35.6875,35.875,20500,ESS
57,2000-03-24,35.875,35.875,35.1875,35.5625,31800,ESS
58,2000-03-27,35.5625,36.0625,35.5625,35.8125,12200,ESS
59,2000-03-28,35.6875,35.9375,35.1875,35.75,54300,ESS
60,2000-03-29,34.9375,35.9375,34.9375,35.9375,48300,ESS
61,2000-03-30,35.9375,36.125,35.8125,35.9375,139800,ESS
62,2000-03-31,36.0625,36.3125,35.9375,36.0,43900,ESS
