,Date,Open,High,Low,Close,Volume,Symbol
0,2000-01-03,16.625,16.8125,16.125,16.5,419600,EVRG
1,2000-01-04,16.5625,17.125,16.25,17.0625,623100,EVRG
2,2000-01-05,17.0,17.9375,17.0,17.9375,310400,EVRG
3,2000-01-06,17.9375,17.9375,17.625,17.8125,283700,EVRG
4,2000-01-07,17.875,17.9375,17.3125,17.625,225100,EVRG
5,2000-01-10,17.625,17.875,17.0,17.3125,373200,EVRG
6,2000-01-11,17.5625,17.5625,17.0625,17.4375,202200,EVRG
7,2000-01-12,17.25,17.3125,17.0625,17.3125,222800,EVRG
8,2000-01-13,17.25,17.4375,16.875,17.125,258700,EVRG
9,2000-01-14,16.9375,16.9375,16.25,16.5625,253700,EVRG
10,2000-01-18,16.5625,16.5625,16.0,16.0625,278000,EVRG
11,2000-01-19,16.0625,16.9375,16.0,16.75,221800,EVRG
12,2000-01-20,16.625,16.6875,16.3125,16.375,160700,EVRG
13,2000-01-21,16.4375,16.6875,16.25,16.625,214100,EVRG
14,2000-01-24,16.5,17.3125,16.5,16.5625,197900,EVRG
15,2000-01-25,16.5625,16.6875,16.0,16.125,267200,EVRG
16,2000-01-26,16.0,16.1875,15.3125,15.3125,657500,EVRG
17,2000-01-27,15.375,16.0,15.375,15.875,262900,EVRG
18,2000-01-28,16.0,16.125,15.5,15.875,195200,EVRG
19,2000-01-31,16.0,16.0625,15.875,16.0,140400,EVRG
20,2000-02-01,15.9375,16.0,15.5,15.5625,138500,EVRG
21,2000-02-02,15.5,15.8125,15.5,15.75,109700,EVRG
22,2000-02-03,16.0625,17.1875,16.0625,16.625,463200,EVRG
23,2000-02-04,16.75,16.875,16.0,16.5,190000,EVRG
24,2000-02-07,16.5,16.875,16.5,16.625,239000,EVRG
25,2000-02-08,16.5625,16.8125,16.5625,16.6875,234000,EVRG
26,2000-02-09,16.5625,16.625,16.1875,16.625,205800,EVRG
27,2000-02-10,16.4375,16.4375,16.0,16.0,259300,EVRG
28,2000-02-11,16.0625,16.25,15.9375,16.0,171000,EVRG
29,2000-02-14,16.1875,16.1875,15.75,15.8125,247800,EVRG
30,2000-02-15,15.625,15.9375,15.625,15.75,208600,EVRG
31,2000-02-16,15.8125,15.875,15.6875,15.75,161700,EVRG
32,2000-02-17,15.6875,15.9375,15.625,15.8125,180900,EVRG
33,2000-02-18,15.75,15.8125,15.625,15.8125,130900,EVRG
34,2000-02-22,15.9375,16.125,15.8125,16.0,215900,EVRG
35,2000-02-23,15.9375,16.0,15.75,15.8125,120500,EVRG
36,2000-02-24,15.875,15.9375,15.5,15.5625,165800,EVRG
37,2000-02-25,15.625,15.6875,15.375,15.5,175500,EVRG
38,2000-02-28,15.625,15.8125,15.5,15.8125,112300,EVRG
39,2000-02-29,15.8125,16.0,15.375,15.4375,195900,EVRG
40,2000-03-01,15.5625,15.6875,15.375,15.5,301100,EVRG
41,2000-03-02,15.5625,16.375,15.5625,16.375,396700,EVRG
42,2000-03-03,16.625,16.625,16.375,16.5,158000,EVRG
