Date,Open,High,Low,Close,Volume,Symbol
2000-01-03,7.375,7.375,6.875,7.0625,76600,FIX
2000-01-04,7.0,7.1875,6.9375,6.9375,70200,FIX
2000-01-05,6.9375,7.125,6.9375,7.0,45400,FIX
2000-01-06,6.9375,7.125,6.9375,7.0,38300,FIX
2000-01-07,6.9375,7.0625,6.9375,6.9375,54300,FIX
2000-01-10,7.0,7.0625,7.0,7.0,53300,FIX
2000-01-11,7.0,7.0,6.875,6.9375,69800,FIX
2000-01-12,6.875,7.0,6.75,6.8125,117300,FIX
2000-01-13,6.875,7.1875,6.8125,7.0,75100,FIX
2000-01-14,7.0625,7.1875,7.0625,7.1875,83400,FIX
2000-01-18,7.0625,7.1875,7.0625,7.1875,79800,FIX
2000-01-19,7.0,7.125,6.9375,7.125,46400,FIX
2000-01-20,7.0625,7.0625,6.9375,7.0,122400,FIX
2000-01-21,6.9375,7.125,6.9375,7.0,50500,FIX
2000-01-24,7.125,7.25,7.0625,7.125,159600,FIX
2000-01-25,7.25,7.25,7.125,7.1875,110700,FIX
2000-01-26,7.1875,7.25,7.125,7.1875,79000,FIX
2000-01-27,7.1875,7.1875,7.0,7.0625,30300,FIX
2000-01-28,7.0625,7.3125,7.0625,7.25,45200,FIX
2000-01-31,7.125,7.3125,7.0,7.0,99600,FIX
2000-02-01,7.0625,7.1875,6.9375,7.0625,225800,FIX
2000-02-02,7.0,7.125,7.0,7.0625,88500,FIX
2000-02-03,7.0,7.125,6.875,7.0,74100,FIX
2000-02-04,6.9375,7.0,6.8125,6.8125,48000,FIX
2000-02-07,6.875,6.9375,6.75,6.9375,76100,FIX
2000-02-08,6.875,6.9375,6.8125,6.8125,22400,FIX
2000-02-09,6.875,6.9375,6.875,6.9375,86000,FIX
2000-02-10,6.875,7.1875,6.875,7.0625,171900,FIX
2000-02-11,7.0,7.125,7.0,7.0,71200,FIX
2000-02-14,7.0,7.125,7.0,7.125,30500,FIX
2000-02-15,7.125,7.25,7.125,7.1875,49900,FIX
2000-02-16,7.25,7.4375,7.125,7.375,37400,FIX
2000-02-17,7.4375,9.375,7.4375,8.25,523700,FIX
2000-02-18,8.25,8.6875,8.25,8.3125,151700,FIX
2000-02-22,8.375,8.75,8.3125,8.375,116200,FIX
2000-02-23,8.375,8.875,8.25,8.75,196400,FIX
2000-02-24,8.0,8.125,7.125,8.0,327100,FIX
2000-02-25,7.875,7.9375,7.5,7.5625,83600,FIX
2000-02-28,7.75,8.0625,7.75,7.9375,160600,FIX
2000-02-29,8.0,8.0,7.75,7.875,203200,FIX
2000-03-01,7.75,7.875,7.75,7.8125,43200,FIX
2000-03-02,7.8125,7.875,7.5,7.8125,72900,FIX
2000-03-03,7.5,7.6875,7.25,7.625,52900,FIX
2000-03-06,7.5,7.5,7.25,7.3125,41800,FIX
2000-03-07,7.1875,7.25,7.1875,7.1875,27900,FIX
2000-03-08,8.0,8.0625,7.8125,7.875,180200,FIX
2000-03-09,8.0,8.125,7.1875,7.625,115000,FIX
2000-03-10,7.75,7.9375,7.5,7.625,91600,FIX
2000-03-13,7.4375,7.875,7.4375,7.875,62400,FIX
2000-03-14,7.9375,8.1875,7.8125,7.9375,105800,FIX
2000-03-15,7.875,7.9375,7.75,7.8125,22300,FIX
2000-03-16,7.6875,7.875,7.6875,7.6875,42000,FIX
2000-03-17,7.625,7.9375,7.625,7.8125,29600,FIX
2000-03-20,7.75,7.9375,7.625,7.625,37600,FIX
2000-03-21,7.5625,7.625,7.375,7.5,24000,FIX
2000-03-22,7.5625,7.5625,7.1875,7.3125,40800,FIX
2000-03-23,7.375,8.0,7.375,8.0,152800,FIX
2000-03-24,8.0,8.0,7.75,7.75,20900,FIX
2000-03-27,7.625,7.8125,7.625,7.6875,19200,FIX
2000-03-28,7.625,7.6875,7.375,7.375,29100,FIX
2000-03-29,7.4375,7.5,7.375,7.375,19400,FIX
2000-03-30,7.5,7.5,6.875,7.0,70200,FIX
2000-03-31,6.9375,7.0625,6.375,6.375,101800,FIX
2000-04-03,6.625,6.8125,6.5,6.5625,52100,FIX
2000-04-04,6.5625,6.625,5.625,6.0,102900,FIX
