,Date,Open,High,Low,Close,Volume,Symbol
0,2000-01-03,60.5625,61.125,58.625,58.9375,4624700,FNMA
1,2000-01-04,57.75,57.875,55.75,57.625,5516500,FNMA
2,2000-01-05,57.375,57.9375,55.9375,56.0,3702600,FNMA
3,2000-01-06,55.625,60.3125,55.5,59.9375,3830500,FNMA
4,2000-01-07,60.1875,60.75,58.9375,60.625,3071300,FNMA
5,2000-01-10,60.625,60.625,58.875,59.1875,2102600,FNMA
6,2000-01-11,57.75,60.1875,57.75,59.1875,2865500,FNMA
7,2000-01-12,59.0625,59.875,58.1875,59.75,2412500,FNMA
8,2000-01-13,61.25,62.375,59.75,62.1875,3965100,FNMA
9,2000-01-14,62.625,64.875,62.5625,64.625,4826100,FNMA
10,2000-01-18,64.5,64.5,60.5,60.75,3568200,FNMA
11,2000-01-19,60.8125,61.9375,59.5,60.53125,3618000,FNMA
12,2000-01-20,59.875,60.0625,57.5,58.5625,4134400,FNMA
13,2000-01-21,59.375,59.375,56.0,56.0,5341900,FNMA
14,2000-01-24,56.25,57.0625,55.5,56.40625,3587300,FNMA
15,2000-01-25,56.25,56.875,54.875,55.0,4796100,FNMA
16,2000-01-26,55.25,57.6875,55.0,57.1875,6232500,FNMA
17,2000-01-27,57.75,59.1875,57.0,59.0,4939200,FNMA
18,2000-01-28,58.375,58.6875,57.25,58.25,5038000,FNMA
19,2000-01-31,58.125,60.125,57.625,59.9375,3261400,FNMA
20,2000-02-01,59.6875,60.5,58.75,60.3125,3645500,FNMA
21,2000-02-02,60.25,60.875,58.9375,60.125,2757200,FNMA
22,2000-02-03,60.25,61.625,59.875,61.5625,3604400,FNMA
23,2000-02-04,61.8125,62.0,59.25,59.625,3038900,FNMA
24,2000-02-07,59.75,59.75,57.0,57.75,2994800,FNMA
25,2000-02-08,58.875,59.25,58.0625,58.4375,2575400,FNMA
26,2000-02-09,58.375,58.375,56.1875,56.4375,3053000,FNMA
27,2000-02-10,56.0,56.5,53.125,54.4375,4956400,FNMA
28,2000-02-11,54.4375,55.875,54.125,54.75,3544100,FNMA
29,2000-02-14,54.75,55.5,53.625,54.0,3926300,FNMA
30,2000-02-15,54.625,55.4375,54.4375,54.8125,4769600,FNMA
31,2000-02-16,55.75,55.75,54.5625,55.125,4419100,FNMA
32,2000-02-17,55.75,55.8125,52.4375,53.1875,7310700,FNMA
33,2000-02-18,53.0625,53.3125,50.8125,51.0,3115400,FNMA
34,2000-02-22,51.3125,53.3125,51.1875,52.625,4024600,FNMA
35,2000-02-23,52.5625,53.5625,52.0,52.0625,3164900,FNMA
36,2000-02-24,52.0,52.0,49.8125,50.5,4003900,FNMA
37,2000-02-25,51.125,52.5,50.1875,50.75,3066800,FNMA
38,2000-02-28,51.25,54.25,51.25,53.75,3936200,FNMA
39,2000-02-29,53.3125,53.5625,52.8125,53.0,3422800,FNMA
40,2000-03-01,53.625,54.5625,52.625,52.8125,3542500,FNMA
41,2000-03-02,52.625,52.625,51.125,51.875,3089900,FNMA
42,2000-03-03,53.875,53.9375,52.375,53.0625,4119300,FNMA
43,2000-03-06,52.875,52.9375,51.3125,51.625,2970200,FNMA
44,2000-03-07,51.0,51.0,47.9375,48.4375,4816000,FNMA
45,2000-03-08,48.5,51.75,47.875,50.4375,4084100,FNMA
46,2000-03-09,50.4375,50.5,48.125,49.4375,2929100,FNMA
