,Date,Open,High,Low,Close,Volume,Symbol
0,2000-01-03,8.25,8.3125,8.0625,8.25,53200,GEL
1,2000-01-04,8.125,8.4375,8.125,8.3125,19500,GEL
2,2000-01-05,8.375,8.5625,8.375,8.5,12700,GEL
3,2000-01-06,8.4375,9.0,8.4375,9.0,24200,GEL
4,2000-01-07,9.0625,9.1875,9.0,9.0625,18400,GEL
5,2000-01-10,9.0,9.0625,8.625,8.6875,30200,GEL
6,2000-01-11,8.75,9.0,8.75,8.875,31000,GEL
7,2000-01-12,9.0,9.0625,8.9375,9.0,13600,GEL
8,2000-01-13,9.0,9.375,9.0,9.375,21900,GEL
9,2000-01-14,9.4375,9.5625,9.375,9.4375,10500,GEL
10,2000-01-18,9.5,9.6875,9.4375,9.6875,27100,GEL
11,2000-01-19,9.6875,9.875,9.5625,9.875,25600,GEL
12,2000-01-20,9.875,9.875,9.6875,9.75,14900,GEL
13,2000-01-21,9.6875,9.75,9.5,9.625,18400,GEL
14,2000-01-24,9.75,10.25,9.75,10.125,63300,GEL
15,2000-01-25,10.0625,10.5625,10.0,10.4375,57200,GEL
16,2000-01-26,10.375,10.5,10.125,10.1875,115200,GEL
17,2000-01-27,9.8125,9.8125,9.3125,9.4375,30400,GEL
18,2000-01-28,9.3125,9.6875,9.3125,9.5,30600,GEL
19,2000-01-31,9.5,9.625,9.5,9.625,16900,GEL
20,2000-02-01,9.5625,9.625,9.0625,9.0625,18900,GEL
21,2000-02-02,9.0,9.0625,8.75,8.75,17700,GEL
22,2000-02-03,8.625,8.625,8.1875,8.375,27600,GEL
23,2000-02-04,8.3125,8.375,8.25,8.3125,19600,GEL
24,2000-02-07,8.3125,8.4375,8.125,8.125,20600,GEL
25,2000-02-08,8.1875,8.25,8.0625,8.125,23300,GEL
26,2000-02-09,8.0625,8.0625,7.5625,7.6875,38200,GEL
27,2000-02-10,7.5625,7.875,7.5,7.75,25400,GEL
28,2000-02-11,7.8125,7.875,7.75,7.8125,15300,GEL
29,2000-02-14,7.75,7.875,7.75,7.8125,11900,GEL
