,Date,Open,High,Low,Close,Volume,Symbol
0,2000-01-03,10.9375,10.9375,10.0,10.375,205600,GES
1,2000-01-04,10.25,10.25,9.875,9.9375,83800,GES
2,2000-01-05,9.6875,10.0,9.5625,9.6875,114400,GES
3,2000-01-06,9.4375,9.65625,9.3125,9.65625,81400,GES
4,2000-01-07,9.625,9.96875,9.625,9.9375,62800,GES
5,2000-01-10,10.0,10.90625,10.0,10.875,281800,GES
6,2000-01-11,11.125,11.15625,10.625,10.78125,614800,GES
7,2000-01-12,10.84375,11.75,10.84375,11.5,361600,GES
8,2000-01-13,11.625,12.1875,11.625,12.1875,347200,GES
9,2000-01-14,12.4375,12.6875,11.96875,12.0,229200,GES
10,2000-01-18,11.9375,11.9375,11.0625,11.46875,126600,GES
11,2000-01-19,11.4375,11.96875,11.3125,11.78125,259200,GES
12,2000-01-20,11.75,11.96875,11.4375,11.4375,384400,GES
13,2000-01-21,11.46875,11.90625,11.09375,11.875,68000,GES
14,2000-01-24,11.75,12.0,11.34375,11.5,48200,GES
15,2000-01-25,11.6875,12.0,11.65625,11.84375,182000,GES
16,2000-01-26,11.71875,12.03125,11.71875,11.9375,209200,GES
17,2000-01-27,11.96875,11.96875,11.8125,11.875,124600,GES
18,2000-01-28,11.8125,12.09375,11.53125,11.75,140600,GES
19,2000-01-31,11.65625,12.0,11.625,11.71875,60200,GES
20,2000-02-01,11.65625,11.65625,11.21875,11.5,73000,GES
21,2000-02-02,11.5,12.21875,11.5,11.96875,195000,GES
22,2000-02-03,11.875,12.53125,11.875,12.34375,111400,GES
23,2000-02-04,12.15625,12.5625,12.15625,12.5625,76600,GES
24,2000-02-07,12.59375,14.0,12.59375,13.65625,290200,GES
25,2000-02-08,13.90625,14.125,13.125,13.375,711000,GES
26,2000-02-09,13.34375,14.21875,13.21875,14.0625,425000,GES
27,2000-02-10,14.1875,14.4375,13.9375,13.9375,383200,GES
28,2000-02-11,13.96875,14.125,13.53125,14.03125,169000,GES
29,2000-02-14,14.03125,14.21875,13.78125,13.875,145800,GES
30,2000-02-15,13.0,13.03125,11.71875,12.21875,1375400,GES
31,2000-02-16,12.1875,12.1875,10.6875,11.125,460000,GES
32,2000-02-17,11.0625,11.3125,10.78125,10.90625,640600,GES
33,2000-02-18,10.78125,10.875,10.0,10.4375,212800,GES
34,2000-02-22,10.375,10.90625,9.96875,10.71875,206400,GES
35,2000-02-23,10.75,10.75,10.3125,10.59375,70400,GES
36,2000-02-24,11.0,11.34375,10.4375,10.6875,137800,GES
37,2000-02-25,10.65625,11.125,10.65625,10.96875,55600,GES
38,2000-02-28,10.84375,10.84375,10.4375,10.71875,161800,GES
39,2000-02-29,10.71875,10.71875,10.625,10.65625,38600,GES
40,2000-03-01,10.53125,10.5625,10.4375,10.46875,107800,GES
41,2000-03-02,10.40625,10.5,10.1875,10.3125,97600,GES
42,2000-03-03,9.875,10.5,9.75,10.34375,108800,GES
43,2000-03-06,10.34375,10.9375,10.34375,10.9375,175600,GES
44,2000-03-07,10.90625,10.96875,10.78125,10.84375,20200,GES
45,2000-03-08,10.71875,10.71875,10.09375,10.09375,20400,GES
46,2000-03-09,10.09375,10.8125,10.0625,10.6875,63400,GES
47,2000-03-10,10.625,12.6875,10.625,11.71875,374000,GES
48,2000-03-13,11.625,11.71875,11.28125,11.4375,151000,GES
49,2000-03-14,11.375,11.59375,11.375,11.5625,72600,GES
50,2000-03-15,11.5625,12.6875,11.5625,12.6875,332400,GES
51,2000-03-16,12.5625,13.625,12.34375,13.15625,168000,GES
52,2000-03-17,13.03125,14.0,13.03125,13.8125,154600,GES
53,2000-03-20,13.71875,13.875,13.5625,13.6875,66800,GES
54,2000-03-21,13.5625,13.75,13.3125,13.65625,82400,GES
55,2000-03-22,13.59375,13.65625,13.5,13.65625,253800,GES
56,2000-03-23,13.65625,14.6875,13.5625,14.6875,77600,GES
57,2000-03-24,14.5625,15.0,14.40625,14.40625,78200,GES
58,2000-03-27,14.4375,14.5625,14.15625,14.3125,29800,GES
59,2000-03-28,14.3125,14.375,13.9375,13.9375,66600,GES
60,2000-03-29,13.9375,14.34375,13.8125,14.34375,83600,GES
61,2000-03-30,14.375,16.5,14.375,15.71875,267800,GES
62,2000-03-31,15.84375,16.0,15.1875,16.0,201200,GES
63,2000-04-03,16.0,16.21875,15.03125,15.34375,61600,GES
64,2000-04-04,15.25,15.25,14.625,14.65625,81400,GES
65,2000-04-05,14.65625,14.8125,14.3125,14.8125,134000,GES
66,2000-04-06,14.75,14.8125,13.6875,13.78125,136000,GES
67,2000-04-07,13.90625,13.96875,13.25,13.75,72800,GES
68,2000-04-10,13.75,14.25,13.75,14.15625,121200,GES
69,2000-04-11,14.03125,14.03125,13.625,13.78125,83400,GES
70,2000-04-12,13.8125,13.84375,13.25,13.25,45000,GES
71,2000-04-13,13.25,13.96875,13.1875,13.84375,93400,GES
72,2000-04-14,13.8125,14.4375,13.6875,14.25,222200,GES
73,2000-04-17,14.1875,14.625,13.0,14.3125,259400,GES
74,2000-04-18,14.1875,14.875,14.03125,14.65625,77400,GES
75,2000-04-19,14.65625,14.78125,14.515625,14.6875,46400,GES
76,2000-04-20,14.6875,15.09375,14.5625,15.0625,48200,GES
77,2000-04-24,14.9375,15.0,13.96875,14.4375,56200,GES
78,2000-04-25,14.375,14.84375,14.15625,14.28125,107600,GES
79,2000-04-26,14.40625,14.46875,14.375,14.4375,59400,GES
80,2000-04-27,14.5625,14.5625,13.84375,14.0,55800,GES
81,2000-04-28,13.4375,14.0625,13.125,13.75,187800,GES
82,2000-05-01,13.6875,14.0,13.625,13.90625,137800,GES
83,2000-05-02,13.90625,13.90625,10.65625,11.125,773800,GES
84,2000-05-03,11.0,11.0,9.5,9.96875,1237400,GES
85,2000-05-04,9.96875,10.0,9.5625,9.59375,264400,GES
86,2000-05-05,9.59375,9.59375,8.75,9.21875,365200,GES
87,2000-05-08,9.1875,9.25,9.03125,9.125,210400,GES
88,2000-05-09,9.1875,9.25,7.75,9.0,538400,GES
89,2000-05-10,8.96875,9.5625,8.78125,8.96875,183800,GES
90,2000-05-11,8.90625,9.71875,8.875,8.9375,153600,GES
91,2000-05-12,8.875,9.25,8.875,8.90625,209600,GES
92,2000-05-15,8.90625,8.96875,8.875,8.96875,105200,GES
93,2000-05-16,8.96875,8.96875,8.75,8.78125,77000,GES
94,2000-05-17,8.90625,8.90625,8.125,8.53125,225000,GES
95,2000-05-18,8.40625,8.4375,8.375,8.375,1053200,GES
96,2000-05-19,8.375,9.03125,8.0,8.4375,250200,GES
97,2000-05-22,8.5,9.125,8.5,8.5625,213200,GES
98,2000-05-23,8.625,8.96875,8.59375,8.625,153600,GES
99,2000-05-24,8.5625,9.0625,8.15625,8.5,221600,GES
100,2000-05-25,8.5625,8.71875,8.1875,8.46875,41000,GES
101,2000-05-26,8.59375,8.59375,8.25,8.3125,54400,GES
102,2000-05-30,8.3125,8.3125,7.71875,8.09375,144600,GES
103,2000-05-31,8.09375,8.09375,7.625,7.625,61400,GES
104,2000-06-01,7.8125,8.09375,7.625,7.875,123200,GES
105,2000-06-02,8.03125,9.0,8.03125,8.875,233400,GES
106,2000-06-05,8.75,9.5,8.71875,9.15625,429400,GES
107,2000-06-06,9.15625,9.8125,9.15625,9.3125,682200,GES
108,2000-06-07,9.25,9.421875,9.0625,9.1875,146600,GES
109,2000-06-08,9.125,9.34375,8.84375,8.84375,227400,GES
110,2000-06-09,8.875,9.28125,8.875,9.0625,149400,GES
111,2000-06-12,9.0,9.0,8.28125,8.75,330000,GES
112,2000-06-13,8.75,9.46875,8.71875,9.46875,204600,GES
113,2000-06-14,9.46875,9.875,9.40625,9.5,165800,GES
114,2000-06-15,9.4375,9.4375,8.4375,8.46875,186200,GES
115,2000-06-16,8.5,8.78125,8.3125,8.4375,135400,GES
116,2000-06-19,8.40625,8.40625,8.25,8.375,41800,GES
117,2000-06-20,8.375,8.375,7.9375,7.9375,87600,GES
118,2000-06-21,7.96875,7.96875,5.5625,6.75,1861800,GES
119,2000-06-22,6.8125,7.3125,6.8125,7.15625,324400,GES
120,2000-06-23,7.21875,7.21875,6.40625,6.96875,207800,GES
121,2000-06-26,6.96875,7.0625,6.84375,7.0,53000,GES
122,2000-06-27,7.0,7.5,6.8125,7.21875,147000,GES
123,2000-06-28,7.25,7.40625,7.125,7.25,96400,GES
124,2000-06-29,7.1875,7.25,7.09375,7.1875,60000,GES
125,2000-06-30,7.15625,7.3125,6.75,7.0,99200,GES
126,2000-07-03,7.0625,7.09375,7.03125,7.03125,11800,GES
127,2000-07-05,7.09375,7.5,7.09375,7.3125,125200,GES
128,2000-07-06,7.3125,7.4375,6.625,7.125,278400,GES
129,2000-07-07,7.09375,8.03125,7.03125,7.9375,182800,GES
130,2000-07-10,7.875,7.90625,7.53125,7.84375,63800,GES
131,2000-07-11,7.78125,7.96875,7.78125,7.78125,67600,GES
132,2000-07-12,7.84375,8.125,7.71875,8.03125,67200,GES
133,2000-07-13,8.09375,8.21875,8.0,8.125,243400,GES
134,2000-07-14,8.0625,8.1875,7.9375,8.125,140800,GES
135,2000-07-17,8.25,8.84375,8.1875,8.5,125800,GES
