Date,Open,High,Low,Close,Volume,Symbol
2000-01-03,13.9375,13.9375,13.25,13.4375,14000,GPI
2000-01-04,13.1875,13.5,13.125,13.5,10200,GPI
2000-01-05,13.375,13.5,13.0625,13.375,4800,GPI
2000-01-06,13.25,13.375,13.0625,13.3125,8400,GPI
2000-01-07,13.1875,13.9375,13.1875,13.9375,19000,GPI
2000-01-10,13.875,13.9375,13.5,13.5625,17200,GPI
2000-01-11,13.3125,13.8125,13.25,13.8125,49700,GPI
2000-01-12,13.6875,13.75,13.25,13.4375,8000,GPI
2000-01-13,13.3125,14.0,13.3125,13.875,20300,GPI
2000-01-14,13.875,14.0,13.5,13.75,7700,GPI
2000-01-18,13.75,13.75,13.3125,13.4375,11200,GPI
2000-01-19,13.3125,14.0,13.3125,13.875,69700,GPI
2000-01-20,13.875,14.0,13.625,13.75,39100,GPI
2000-01-21,13.625,13.6875,13.375,13.6875,20000,GPI
2000-01-24,13.5625,13.75,13.375,13.4375,17600,GPI
2000-01-25,13.0625,13.25,13.0,13.125,16900,GPI
2000-01-26,13.0,13.0625,12.0,12.0,112700,GPI
2000-01-27,12.375,13.0,12.0,13.0,44900,GPI
2000-01-28,12.875,13.0625,12.375,13.0625,30000,GPI
2000-01-31,13.0,13.0,12.375,12.4375,8300,GPI
2000-02-01,12.3125,12.3125,11.625,12.1875,36700,GPI
2000-02-02,12.0625,12.1875,11.875,12.1875,9500,GPI
2000-02-03,12.1875,12.5,12.0625,12.0625,39000,GPI
2000-02-04,12.125,12.125,11.75,11.9375,28000,GPI
2000-02-07,11.6875,11.8125,10.75,10.875,89500,GPI
2000-02-08,10.75,11.6875,10.75,11.625,65000,GPI
2000-02-09,11.625,11.6875,10.0625,10.3125,76300,GPI
2000-02-10,10.3125,11.25,10.3125,10.75,31100,GPI
2000-02-11,10.625,10.625,10.4375,10.5,9300,GPI
2000-02-14,10.5,10.9375,10.5,10.9375,16000,GPI
2000-02-15,11.1875,12.375,11.1875,12.375,48000,GPI
2000-02-16,12.6875,13.625,12.6875,13.5,108500,GPI
2000-02-17,14.0,14.4375,12.375,12.75,46700,GPI
2000-02-18,12.875,12.875,11.75,11.875,22400,GPI
2000-02-22,11.75,12.0,11.4375,11.625,19900,GPI
2000-02-23,11.75,11.75,10.5,10.625,49900,GPI
2000-02-24,10.5625,11.0,10.375,10.375,25100,GPI
2000-02-25,10.375,10.8125,10.3125,10.5,7000,GPI
2000-02-28,10.625,11.0625,10.625,10.75,88600,GPI
2000-02-29,10.875,11.0,9.75,9.75,82000,GPI
2000-03-01,10.0,11.125,9.5,11.125,50400,GPI
2000-03-02,11.25,13.5,11.0625,12.75,64200,GPI
2000-03-03,13.25,14.625,13.25,13.8125,229100,GPI
2000-03-06,14.0,14.125,13.6875,13.6875,78800,GPI
2000-03-07,13.8125,13.9375,13.1875,13.5,114100,GPI
2000-03-08,13.625,13.875,13.25,13.5,35200,GPI
