,Date,Open,High,Low,Close,Volume,Symbol
0,2000-12-08,7.90625,11.4375,7.5625,10.0,17149800,GRMN
1,2000-12-11,11.34375,11.375,9.9375,10.59375,2919200,GRMN
2,2000-12-12,10.609375,10.625,9.6875,9.9375,1077400,GRMN
3,2000-12-13,10.375,10.4375,9.875,9.9375,422400,GRMN
4,2000-12-14,9.992188453674316,10.125,9.9375,10.0625,265400,GRMN
5,2000-12-15,10.125,10.125,9.0,10.0625,950200,GRMN
6,2000-12-18,10.25,10.25,9.71875,10.03125,483600,GRMN
7,2000-12-19,10.023438453674316,10.03125,9.625,9.8125,457400,GRMN
8,2000-12-20,9.6875,9.8125,9.0,9.125,1228800,GRMN
9,2000-12-21,9.03125,9.25,8.875,9.09375,1017400,GRMN
10,2000-12-22,9.3125,9.6875,9.25,9.625,416000,GRMN
11,2000-12-26,9.65625,9.6875,9.4375,9.5,754000,GRMN
12,2000-12-27,9.453125,9.5625,9.125,9.28125,361400,GRMN
13,2000-12-28,9.3125,9.6875,9.15625,9.3125,1048600,GRMN
14,2000-12-29,9.5,10.0625,9.375,9.875,232800,GRMN
15,2001-01-02,10.085938453674316,10.125,9.34375,9.625,330400,GRMN
16,2001-01-03,9.390625,9.6875,8.75,8.8125,545400,GRMN
17,2001-01-04,8.96875,9.5,8.8125,9.03125,287600,GRMN
18,2001-01-05,9.054688453674316,9.25,8.875,9.0625,962000,GRMN
19,2001-01-08,9.0,9.09375,8.75,8.75,631000,GRMN
20,2001-01-09,8.953125,9.0,8.5,8.625,821800,GRMN
21,2001-01-10,8.59375,8.625,8.375,8.5,976800,GRMN
22,2001-01-11,8.515625,9.25,8.5,9.09375,1357000,GRMN
23,2001-01-12,9.296875,9.625,9.25,9.5625,566200,GRMN
24,2001-01-16,9.8125,10.25,9.4375,9.5,663200,GRMN
25,2001-01-17,9.554688453674316,9.9375,9.4375,9.6875,486000,GRMN
26,2001-01-18,9.742188453674316,9.75,9.25,9.5,292800,GRMN
27,2001-01-19,9.53125,9.625,9.125,9.1875,254200,GRMN
28,2001-01-22,9.3125,9.3125,8.8125,8.9375,764600,GRMN
29,2001-01-23,9.125,9.1875,8.9375,8.9375,442600,GRMN
30,2001-01-24,8.945313453674316,9.0,8.46875,8.5,1197200,GRMN
31,2001-01-25,8.625,9.0,8.125,8.9375,985800,GRMN
32,2001-01-26,8.75,9.6875,8.6875,9.3125,249000,GRMN
33,2001-01-29,9.492188453674316,10.0,9.3125,9.96875,206600,GRMN
34,2001-01-30,9.96875,10.03125,9.46875,10.03125,188800,GRMN
35,2001-01-31,9.882813453674316,10.03125,9.6875,9.71875,84200,GRMN
36,2001-02-01,9.6875,10.03125,9.6875,9.9375,100600,GRMN
37,2001-02-02,10.03125,10.875,10.0,10.8125,477200,GRMN
38,2001-02-05,11.03125,12.1875,10.875,11.9375,562400,GRMN
39,2001-02-06,12.117188453674316,12.84375,11.9375,12.375,585600,GRMN
40,2001-02-07,12.0625,12.5,11.9375,12.1875,189400,GRMN
41,2001-02-08,12.132813453674316,12.6875,12.125,12.5625,451400,GRMN
42,2001-02-09,12.53125,12.59375,12.0,12.0,730200,GRMN
43,2001-02-12,12.125,12.1875,11.75,11.75,2362200,GRMN
44,2001-02-13,11.90625,12.3125,11.6875,12.1875,228600,GRMN
45,2001-02-14,12.25,12.3125,10.6875,11.125,1363600,GRMN
46,2001-02-15,11.375,11.5,10.375,10.625,359400,GRMN
47,2001-02-16,10.59375,11.1875,10.0625,10.6875,264200,GRMN
48,2001-02-20,11.0,11.0,9.5625,9.8125,391400,GRMN
49,2001-02-21,9.632813453674316,10.0625,9.4375,9.8125,196800,GRMN
50,2001-02-22,9.804688453674316,9.8125,9.28125,9.28125,197400,GRMN
51,2001-02-23,9.25,10.28125,9.1875,10.25,122800,GRMN
52,2001-02-26,10.25,10.75,10.226563453674316,10.609375,118600,GRMN
53,2001-02-27,10.75,11.0,10.6875,11.0,271800,GRMN
54,2001-02-28,11.0625,11.0625,10.90625,10.9375,142600,GRMN
55,2001-03-01,10.875,10.9375,9.4375,10.0,232000,GRMN
56,2001-03-02,10.09375,10.125,9.625,10.0625,167000,GRMN
57,2001-03-05,10.25,10.5625,10.09375,10.4375,110000,GRMN
58,2001-03-06,10.5,10.6875,10.0,10.0,257000,GRMN
59,2001-03-07,10.359375,10.4375,10.03125,10.3125,175800,GRMN
60,2001-03-08,10.375,10.375,9.75,9.9375,137000,GRMN
61,2001-03-09,9.984375,10.25,9.75,9.8125,140000,GRMN
62,2001-03-12,9.625,9.8125,9.0625,9.0625,255000,GRMN
63,2001-03-13,9.1875,9.5,9.09375,9.4375,229200,GRMN
64,2001-03-14,9.25,10.125,9.125,9.90625,184000,GRMN
65,2001-03-15,9.96875,10.25,9.9375,10.125,57200,GRMN
66,2001-03-16,10.1875,10.1875,9.84375,9.84375,75800,GRMN
67,2001-03-19,9.84375,9.875,9.4375,9.6875,120800,GRMN
