,Date,Open,High,Low,Close,Volume,Symbol
0,2000-01-03,21.9375,21.9375,20.8125,21.4375,83900,HNI
1,2000-01-04,21.1875,21.375,20.5625,20.75,76400,HNI
2,2000-01-05,20.8125,20.9375,20.5,20.9375,36600,HNI
3,2000-01-06,20.9375,21.625,20.4375,21.125,70300,HNI
4,2000-01-07,21.0625,21.375,20.625,21.0,138300,HNI
5,2000-01-10,21.0,21.125,20.625,20.9375,55500,HNI
6,2000-01-11,20.75,21.0,20.1875,20.6875,60700,HNI
7,2000-01-12,20.5625,20.625,19.9375,20.0,144100,HNI
8,2000-01-13,19.5,20.1875,19.4375,19.875,279600,HNI
9,2000-01-14,20.0625,20.375,19.75,19.75,63900,HNI
10,2000-01-18,19.25,20.0,19.0625,19.8125,59900,HNI
11,2000-01-19,19.5625,20.0,19.5625,19.8125,44700,HNI
12,2000-01-20,19.5625,20.1875,19.5625,20.125,206800,HNI
13,2000-01-21,20.25,20.375,19.875,19.875,88300,HNI
14,2000-01-24,20.0625,20.0625,19.4375,19.4375,73100,HNI
15,2000-01-25,19.5,19.6875,19.0,19.3125,34200,HNI
16,2000-01-26,19.3125,19.5625,19.0625,19.375,105800,HNI
17,2000-01-27,19.5,19.625,18.75,18.75,34000,HNI
18,2000-01-28,18.875,19.1875,18.0,18.1875,104200,HNI
19,2000-01-31,18.25,19.375,18.0,19.25,102000,HNI
20,2000-02-01,19.0,19.125,18.125,19.0625,61000,HNI
21,2000-02-02,19.0,19.875,19.0,19.75,100800,HNI
22,2000-02-03,19.5625,19.8125,19.3125,19.5,78500,HNI
23,2000-02-04,19.25,19.75,19.0625,19.5,48800,HNI
24,2000-02-07,19.5,19.625,18.875,19.125,128300,HNI
25,2000-02-08,18.875,19.4375,18.75,19.3125,93500,HNI
26,2000-02-09,19.0625,19.375,18.6875,19.125,237700,HNI
27,2000-02-10,19.0,19.0625,18.0,18.9375,117300,HNI
28,2000-02-11,18.6875,18.75,17.75,18.0,52000,HNI
29,2000-02-14,18.25,18.4375,18.0,18.25,278000,HNI
30,2000-02-15,18.5,18.8125,17.75,18.0,49400,HNI
31,2000-02-16,18.0,18.875,17.75,18.5625,115300,HNI
32,2000-02-17,18.8125,19.125,18.1875,18.3125,157700,HNI
33,2000-02-18,18.1875,18.3125,17.8125,18.25,48200,HNI
34,2000-02-22,18.0625,18.125,17.375,17.9375,59400,HNI
35,2000-02-23,17.875,18.25,17.875,18.0,178600,HNI
36,2000-02-24,18.1875,18.375,17.8125,17.9375,122000,HNI
37,2000-02-25,18.0625,18.0625,17.625,17.6875,62300,HNI
38,2000-02-28,17.9375,18.3125,17.25,18.0625,71100,HNI
39,2000-02-29,18.1875,18.5,17.90625,18.4375,93800,HNI
40,2000-03-01,18.1875,18.5,17.625,18.5,95400,HNI
41,2000-03-02,18.6875,18.6875,18.3125,18.3125,124000,HNI
42,2000-03-03,18.5625,18.5625,17.875,18.0,69000,HNI
43,2000-03-06,17.8125,17.8125,17.375,17.5625,71500,HNI
44,2000-03-07,17.5625,17.5625,16.3125,16.9375,273700,HNI
45,2000-03-08,16.9375,17.0,16.375,16.75,96500,HNI
46,2000-03-09,16.875,16.9375,16.25,16.4375,197600,HNI
47,2000-03-10,16.4375,16.8125,15.5625,16.0,144900,HNI
48,2000-03-13,16.125,17.5,16.0,16.625,173200,HNI
49,2000-03-14,16.875,16.875,16.5625,16.6875,67800,HNI
50,2000-03-15,16.5,17.375,16.3125,17.25,122500,HNI
51,2000-03-16,17.5,19.5,17.5,19.375,171300,HNI
52,2000-03-17,19.125,19.6875,19.0625,19.25,155300,HNI
53,2000-03-20,19.125,19.5,19.125,19.3125,121900,HNI
54,2000-03-21,19.0625,19.0625,18.5625,18.5625,210200,HNI
55,2000-03-22,18.625,19.25,18.5625,18.875,80900,HNI
56,2000-03-23,19.125,19.625,18.875,19.625,54200,HNI
57,2000-03-24,19.4375,20.1875,19.25,19.9375,62900,HNI
58,2000-03-27,20.4375,21.25,19.9375,20.0625,98000,HNI
59,2000-03-28,20.0,22.25,20.0,22.25,118400,HNI
60,2000-03-29,22.25,23.75,22.0625,23.625,283400,HNI
61,2000-03-30,23.375,24.75,23.375,24.1875,167300,HNI
62,2000-03-31,23.9375,25.75,23.625,25.75,322400,HNI
63,2000-04-03,24.0,24.125,23.25,23.625,145500,HNI
64,2000-04-04,23.5625,23.9375,23.25,23.75,92800,HNI
65,2000-04-05,23.6875,23.875,23.5,23.875,59700,HNI
66,2000-04-06,23.875,23.875,23.5625,23.6875,56900,HNI
67,2000-04-07,23.6875,23.75,23.375,23.5625,73600,HNI
68,2000-04-10,23.3125,23.9375,23.25,23.9375,49000,HNI
69,2000-04-11,23.9375,24.0,23.4375,23.625,35100,HNI
70,2000-04-12,23.875,23.9375,23.625,23.875,65600,HNI
71,2000-04-13,23.9375,24.0,23.6875,24.0,159400,HNI
72,2000-04-14,24.125,24.5,23.625,24.125,254900,HNI
73,2000-04-17,23.6875,23.875,23.0,23.875,206500,HNI
74,2000-04-18,23.6875,24.25,23.625,24.25,95800,HNI
75,2000-04-19,24.25,24.875,24.0,24.0625,93100,HNI
76,2000-04-20,24.0,24.75,23.5625,24.6875,63600,HNI
77,2000-04-24,24.4375,24.75,23.8125,24.1875,96100,HNI
78,2000-04-25,24.0,24.75,23.875,24.6875,102800,HNI
79,2000-04-26,24.8125,25.25,24.75,25.125,63600,HNI
80,2000-04-27,24.5,24.75,24.375,24.625,46500,HNI
81,2000-04-28,24.6875,25.0,24.6875,24.9375,75700,HNI
82,2000-05-01,24.8125,25.5,24.625,25.125,124000,HNI
83,2000-05-02,25.125,26.375,25.125,26.25,139800,HNI
84,2000-05-03,26.0,26.375,25.8125,25.9375,77200,HNI
85,2000-05-04,25.9375,26.9375,25.8125,26.6875,105100,HNI
86,2000-05-05,26.9375,26.9375,25.6875,26.0,89600,HNI
87,2000-05-08,26.0,26.0625,25.625,25.9375,47500,HNI
88,2000-05-09,25.9375,26.8125,25.75,26.8125,147200,HNI
89,2000-05-10,26.4375,26.6875,25.75,26.125,39700,HNI
90,2000-05-11,25.875,26.9375,25.875,26.375,52900,HNI
91,2000-05-12,26.5,26.6875,26.0,26.125,35500,HNI
92,2000-05-15,26.25,26.6875,26.0625,26.6875,42400,HNI
93,2000-05-16,26.625,27.25,26.5,26.9375,64400,HNI
94,2000-05-17,27.0,27.125,26.9375,26.9375,130400,HNI
95,2000-05-18,27.0,27.0625,26.5,26.5,95700,HNI
96,2000-05-19,26.5,26.5625,25.875,26.0625,102000,HNI
97,2000-05-22,26.0,26.1875,25.75,26.1875,47400,HNI
98,2000-05-23,25.8125,26.5625,25.8125,26.25,85500,HNI
99,2000-05-24,26.125,26.125,25.8125,25.875,42400,HNI
100,2000-05-25,26.0,26.5,25.9375,25.9375,70200,HNI
101,2000-05-26,26.3125,26.4375,26.0,26.0,57100,HNI
102,2000-05-30,26.0,26.375,25.875,26.0625,27400,HNI
103,2000-05-31,26.0,26.0,24.75,24.9375,89300,HNI
104,2000-06-01,25.0,25.0625,24.3125,24.3125,118900,HNI
105,2000-06-02,24.6875,25.8125,24.625,25.5,138700,HNI
106,2000-06-05,25.75,25.9375,24.8125,24.875,71500,HNI
107,2000-06-06,25.5,25.9375,25.4375,25.75,88100,HNI
108,2000-06-07,25.6875,25.75,25.4375,25.5,79900,HNI
109,2000-06-08,25.25,25.75,25.0,25.6875,72100,HNI
110,2000-06-09,25.5,25.75,24.875,25.25,80500,HNI
111,2000-06-12,25.1875,25.5,24.8125,24.9375,51400,HNI
112,2000-06-13,24.875,25.1875,24.875,25.1875,36900,HNI
113,2000-06-14,25.0625,25.5,25.0625,25.4375,76200,HNI
114,2000-06-15,25.125,25.1875,24.375,24.5,167300,HNI
115,2000-06-16,24.25,24.9375,24.1875,24.6875,108800,HNI
116,2000-06-19,24.625,24.6875,24.125,24.6875,31000,HNI
117,2000-06-20,24.75,25.0,24.6875,24.8125,53400,HNI
118,2000-06-21,24.8125,24.875,24.25,24.4375,56500,HNI
119,2000-06-22,24.4375,24.5625,23.1875,23.375,141700,HNI
120,2000-06-23,23.125,24.9375,23.0625,24.4375,106500,HNI
121,2000-06-26,24.1875,24.1875,23.0,24.0625,132100,HNI
122,2000-06-27,23.875,24.9375,23.875,24.875,119200,HNI
123,2000-06-28,24.9375,25.875,24.5625,25.75,127000,HNI
124,2000-06-29,25.5,27.875,25.5,27.0625,316200,HNI
125,2000-06-30,26.8125,26.8125,23.125,23.484375,580900,HNI
126,2000-07-03,23.875,24.75,23.5625,23.9375,68000,HNI
127,2000-07-05,24.375,25.6875,23.625,24.8125,119700,HNI
128,2000-07-06,24.9375,25.1875,23.625,23.875,132900,HNI
129,2000-07-07,24.125,24.625,23.875,24.125,56300,HNI
130,2000-07-10,24.25,24.5625,24.125,24.5,37100,HNI
131,2000-07-11,24.5,24.5,24.0625,24.375,178700,HNI
132,2000-07-12,24.375,25.375,24.25,24.875,65500,HNI
133,2000-07-13,24.875,25.5,24.75,24.875,72100,HNI
134,2000-07-14,25.0,25.0,24.5625,24.8125,39800,HNI
135,2000-07-17,24.8125,24.8125,24.0,24.375,64000,HNI
136,2000-07-18,24.75,25.25,24.5625,25.0,88600,HNI
137,2000-07-19,24.75,25.625,24.375,24.4375,69100,HNI
138,2000-07-20,24.25,25.9375,24.25,25.5625,51700,HNI
139,2000-07-21,25.3125,25.625,24.875,24.9375,32200,HNI
140,2000-07-24,24.9375,25.9375,24.375,25.8125,73100,HNI
141,2000-07-25,25.625,25.9375,25.0625,25.9375,54200,HNI
142,2000-07-26,25.9375,26.4375,25.25,26.375,77700,HNI
143,2000-07-27,25.9375,26.375,25.875,26.0625,77700,HNI
144,2000-07-28,25.8125,25.8125,25.0,25.4375,48200,HNI
145,2000-07-31,25.4375,26.6875,25.4375,26.6875,47400,HNI
146,2000-08-01,26.6875,26.6875,24.625,25.25,81500,HNI
147,2000-08-02,25.125,26.1875,25.0625,26.125,58400,HNI
148,2000-08-03,26.0,26.5,25.6875,26.25,21400,HNI
149,2000-08-04,26.0,26.625,25.75,26.5,65000,HNI
150,2000-08-07,26.375,27.0,26.375,26.9375,47900,HNI
151,2000-08-08,26.9375,26.9375,26.6875,26.9375,17200,HNI
152,2000-08-09,26.9375,26.9375,26.375,26.6875,51200,HNI
153,2000-08-10,26.5,26.9375,26.125,26.875,50800,HNI
154,2000-08-11,26.8125,27.4375,26.75,27.4375,51800,HNI
155,2000-08-14,27.4375,27.875,27.3125,27.8125,63600,HNI
156,2000-08-15,27.5625,27.875,27.3125,27.3125,33000,HNI
157,2000-08-16,27.3125,27.625,27.3125,27.5625,30400,HNI
158,2000-08-17,27.5625,27.75,27.0,27.0,43300,HNI
159,2000-08-18,27.0,27.5625,26.25,27.5625,66800,HNI
160,2000-08-21,27.375,27.5,26.25,26.625,34400,HNI
161,2000-08-22,26.5625,26.75,26.375,26.5,42400,HNI
162,2000-08-23,26.5,26.5,26.125,26.4375,35700,HNI
163,2000-08-24,26.4375,26.9375,26.375,26.8125,30200,HNI
164,2000-08-25,26.8125,27.5,26.625,27.4375,32800,HNI
165,2000-08-28,27.4375,27.4375,26.3125,26.5,72200,HNI
166,2000-08-29,26.625,27.4375,26.625,27.4375,31500,HNI
167,2000-08-30,27.25,27.25,26.75,26.9375,17600,HNI
168,2000-08-31,26.9375,27.5,26.9375,26.9375,62500,HNI
169,2000-09-01,27.1875,27.1875,26.75,27.0,42900,HNI
170,2000-09-05,27.0,27.0,26.375,26.5625,42500,HNI
171,2000-09-06,26.5625,27.5,26.5625,27.25,73500,HNI
172,2000-09-07,27.25,27.25,26.46875,26.875,34500,HNI
173,2000-09-08,26.625,26.75,26.375,26.5,24600,HNI
174,2000-09-11,26.625,26.8125,26.375,26.625,31300,HNI
175,2000-09-12,26.625,26.6875,26.3125,26.5,23000,HNI
176,2000-09-13,26.75,26.8125,26.25,26.375,40300,HNI
177,2000-09-14,26.5625,26.5625,25.5,25.875,67600,HNI
178,2000-09-15,24.75,25.75,24.5,24.9375,204800,HNI
179,2000-09-18,24.9375,24.9375,23.5,23.75,61700,HNI
180,2000-09-19,23.875,24.5,23.5625,24.5,36400,HNI
181,2000-09-20,24.5625,24.9375,23.6875,24.625,49800,HNI
182,2000-09-21,24.25,25.0,24.1875,24.1875,18100,HNI
183,2000-09-22,24.0,24.375,23.5625,24.375,26700,HNI
184,2000-09-25,24.3125,24.375,23.875,24.0,51900,HNI
185,2000-09-26,24.0,24.25,23.625,23.6875,35600,HNI
186,2000-09-27,23.6875,23.6875,23.1875,23.5,89800,HNI
187,2000-09-28,23.6875,24.1875,23.625,24.1875,105600,HNI
188,2000-09-29,24.1875,25.0625,24.125,24.625,57000,HNI
189,2000-10-02,24.75,24.75,23.875,24.0,36500,HNI
190,2000-10-03,24.0,24.8125,23.5625,23.5625,32700,HNI
191,2000-10-04,23.5625,25.375,23.5625,24.0625,197100,HNI
192,2000-10-05,24.25,24.875,23.5625,24.625,174100,HNI
193,2000-10-06,24.4375,24.6875,23.9375,23.9375,33800,HNI
194,2000-10-09,24.125,24.5625,23.75,24.5,79700,HNI
195,2000-10-10,24.3125,24.75,24.1875,24.375,25200,HNI
196,2000-10-11,24.25,24.25,23.25,23.875,42700,HNI
197,2000-10-12,23.9375,23.9375,22.5625,22.75,73900,HNI
198,2000-10-13,22.9375,23.4375,22.6875,23.4375,45800,HNI
199,2000-10-16,23.25,23.5,22.9375,22.9375,25800,HNI
200,2000-10-17,22.4375,22.4375,21.1875,21.875,134000,HNI
201,2000-10-18,21.5,21.875,21.0,21.6875,62200,HNI
202,2000-10-19,21.5,21.8125,21.3125,21.6875,88000,HNI
203,2000-10-20,21.75,22.1875,21.5,21.6875,37300,HNI
204,2000-10-23,21.5625,22.0,21.375,21.8125,23500,HNI
205,2000-10-24,21.25,22.375,21.25,22.25,39100,HNI
206,2000-10-25,22.0,22.0,21.6875,22.0,120200,HNI
207,2000-10-26,22.0,22.875,22.0,22.75,26700,HNI
208,2000-10-27,22.4375,23.0,22.1875,22.75,45700,HNI
209,2000-10-30,22.8125,23.9375,22.8125,23.75,36900,HNI
210,2000-10-31,23.8125,24.375,23.75,24.0625,49400,HNI
211,2000-11-01,24.125,24.3125,23.75,23.875,40900,HNI
212,2000-11-02,23.75,24.375,23.75,24.1875,73500,HNI
213,2000-11-03,24.1875,24.3125,24.0,24.3125,42600,HNI
214,2000-11-06,24.0625,24.25,23.625,24.0625,41100,HNI
215,2000-11-07,23.8125,24.375,23.8125,24.1875,30500,HNI
216,2000-11-08,24.0,24.3125,24.0,24.125,26800,HNI
217,2000-11-09,24.0,24.0625,23.5,23.9375,40500,HNI
218,2000-11-10,23.6875,23.75,23.125,23.25,33700,HNI
219,2000-11-13,23.25,24.5,23.25,24.1875,116400,HNI
220,2000-11-14,24.375,24.75,23.9375,24.25,46600,HNI
221,2000-11-15,24.125,24.5625,24.0,24.0,19000,HNI
222,2000-11-16,23.75,24.625,23.75,24.5,67500,HNI
223,2000-11-17,24.6875,25.875,24.6875,25.1875,54500,HNI
224,2000-11-20,25.0,25.125,24.375,24.9375,44900,HNI
225,2000-11-21,24.0,25.4375,24.0,25.25,69500,HNI
226,2000-11-22,25.125,25.375,24.0625,25.0,34100,HNI
227,2000-11-24,25.0,25.125,24.9375,25.0,23200,HNI
228,2000-11-27,25.125,25.125,24.625,24.875,65800,HNI
229,2000-11-28,24.6875,24.875,24.0,24.5,69000,HNI
