,Date,Open,High,Low,Close,Volume,Symbol
0,2000-01-03,16.375,16.5,15.75,15.8125,71400,INGR
1,2000-01-04,15.6875,15.6875,15.1875,15.1875,99200,INGR
2,2000-01-05,15.375,15.96875,15.34375,15.6875,92400,INGR
3,2000-01-06,15.625,15.65625,15.34375,15.375,81200,INGR
4,2000-01-07,15.375,15.59375,15.3125,15.59375,52400,INGR
5,2000-01-10,15.46875,15.5625,15.1875,15.1875,79600,INGR
6,2000-01-11,15.25,15.25,14.8125,14.90625,102800,INGR
7,2000-01-12,14.84375,14.84375,14.625,14.71875,110400,INGR
8,2000-01-13,14.6875,15.5,14.6875,15.46875,121800,INGR
9,2000-01-14,15.40625,15.65625,15.125,15.1875,139600,INGR
10,2000-01-18,15.125,15.125,14.65625,14.75,103400,INGR
11,2000-01-19,14.4375,14.4375,12.96875,12.96875,790400,INGR
12,2000-01-20,12.3125,12.375,11.21875,11.25,1296200,INGR
13,2000-01-21,11.375,12.0,11.375,12.0,1311200,INGR
14,2000-01-24,12.125,12.5,12.03125,12.1875,1165200,INGR
15,2000-01-25,12.1875,12.40625,12.0,12.34375,595200,INGR
16,2000-01-26,12.375,12.375,12.03125,12.0625,653200,INGR
17,2000-01-27,12.1875,12.34375,11.9375,11.9375,584600,INGR
18,2000-01-28,11.90625,11.9375,11.5,11.5,292400,INGR
19,2000-01-31,11.4375,11.5,11.3125,11.5,851200,INGR
20,2000-02-01,11.5,11.5,11.4375,11.46875,410000,INGR
21,2000-02-02,11.46875,11.5625,11.46875,11.5,122800,INGR
22,2000-02-03,11.5,11.71875,11.5,11.6875,257800,INGR
23,2000-02-04,11.65625,11.6875,11.625,11.65625,1192600,INGR
24,2000-02-07,11.75,11.875,11.75,11.78125,315400,INGR
25,2000-02-08,11.78125,11.9375,11.78125,11.8125,379200,INGR
26,2000-02-09,11.78125,11.9375,11.78125,11.78125,229400,INGR
27,2000-02-10,11.8125,11.84375,11.6875,11.6875,305800,INGR
28,2000-02-11,11.6875,11.75,11.65625,11.6875,142400,INGR
29,2000-02-14,11.65625,11.65625,11.53125,11.5625,351000,INGR
30,2000-02-15,11.625,11.8125,11.625,11.71875,201200,INGR
31,2000-02-16,11.75,11.78125,11.6875,11.6875,115600,INGR
32,2000-02-17,11.6875,11.8125,11.6875,11.75,333400,INGR
33,2000-02-18,11.78125,11.78125,11.5,11.5,502800,INGR
34,2000-02-22,11.5,12.1875,11.5,12.1875,315200,INGR
35,2000-02-23,12.125,12.34375,11.875,12.25,282000,INGR
36,2000-02-24,12.25,12.3125,12.15625,12.1875,315400,INGR
37,2000-02-25,12.1875,12.59375,11.9375,11.9375,258600,INGR
38,2000-02-28,12.0,12.03125,11.78125,11.84375,285800,INGR
39,2000-02-29,11.9375,11.9375,11.5625,11.78125,436000,INGR
40,2000-03-01,11.8125,12.03125,11.78125,11.9375,256000,INGR
41,2000-03-02,11.96875,11.96875,11.78125,11.78125,107600,INGR
42,2000-03-03,11.78125,11.84375,11.75,11.75,115600,INGR
43,2000-03-06,11.75,11.8125,11.6875,11.71875,189600,INGR
44,2000-03-07,11.65625,11.65625,11.5,11.5,175200,INGR
45,2000-03-08,11.5625,11.84375,11.53125,11.84375,293400,INGR
46,2000-03-09,11.75,11.78125,11.5,11.59375,264200,INGR
47,2000-03-10,11.6875,11.8125,11.65625,11.6875,213800,INGR
48,2000-03-13,11.625,11.625,11.40625,11.40625,233200,INGR
49,2000-03-14,11.5,11.5,11.40625,11.40625,153600,INGR
50,2000-03-15,11.40625,11.5,11.375,11.46875,204000,INGR
51,2000-03-16,11.5,12.96875,11.5,12.96875,255800,INGR
52,2000-03-17,12.90625,12.90625,12.5,12.53125,202400,INGR
53,2000-03-20,12.53125,12.53125,11.8125,11.875,380200,INGR
54,2000-03-21,11.875,11.9375,11.78125,11.875,122800,INGR
55,2000-03-22,11.875,11.875,11.5625,11.78125,211000,INGR
56,2000-03-23,11.78125,11.96875,11.75,11.875,128600,INGR
57,2000-03-24,11.9375,12.125,11.90625,11.9375,239600,INGR
58,2000-03-27,11.875,11.96875,11.625,11.6875,272600,INGR
59,2000-03-28,11.6875,11.75,11.5625,11.5625,318000,INGR
60,2000-03-29,11.5,12.53125,11.5,12.46875,218200,INGR
61,2000-03-30,12.40625,12.78125,12.21875,12.21875,161000,INGR
62,2000-03-31,12.21875,12.40625,11.875,12.03125,260600,INGR
63,2000-04-03,12.125,12.1875,11.5,11.5,303000,INGR
64,2000-04-04,11.5,11.78125,11.5,11.59375,337600,INGR
65,2000-04-05,11.53125,12.0,11.53125,11.75,347000,INGR
66,2000-04-06,11.6875,11.8125,11.53125,11.65625,254600,INGR
67,2000-04-07,11.625,11.625,11.53125,11.59375,225600,INGR
68,2000-04-10,11.625,11.6875,11.53125,11.53125,342400,INGR
69,2000-04-11,11.5,12.3125,11.40625,12.21875,534800,INGR
70,2000-04-12,12.15625,12.6875,12.125,12.5,248800,INGR
