Date,Open,High,Low,Close,Volume,Symbol
2000-01-03,1.875,1.90625,1.8125,1.875,136000,INT
2000-01-04,1.84375,1.90625,1.8125,1.8125,298400,INT
2000-01-05,1.828125,1.828125,1.75,1.796875,70400,INT
2000-01-06,1.78125,1.890625,1.78125,1.890625,261600,INT
2000-01-07,1.921875,2.28125,1.921875,2.25,1179600,INT
2000-01-10,2.28125,2.28125,2.1875,2.1875,300800,INT
2000-01-11,2.109375,2.15625,2.03125,2.078125,168000,INT
2000-01-12,2.0625,2.0625,2.0,2.0,205200,INT
2000-01-13,2.09375,2.21875,2.0625,2.21875,330000,INT
2000-01-14,2.25,2.265625,2.21875,2.21875,266000,INT
2000-01-18,2.21875,2.21875,2.09375,2.09375,180800,INT
2000-01-19,2.0625,2.1875,2.0625,2.09375,110000,INT
2000-01-20,2.125,2.171875,2.046875,2.046875,103600,INT
2000-01-21,2.078125,2.078125,2.0,2.0,121200,INT
2000-01-24,1.984375,2.078125,1.984375,2.0,84800,INT
2000-01-25,2.0625,2.125,1.984375,2.0625,94000,INT
2000-01-26,2.125,2.375,2.09375,2.1875,659600,INT
2000-01-27,2.21875,2.25,2.125,2.125,298400,INT
2000-01-28,2.125,2.234375,2.09375,2.171875,62000,INT
2000-01-31,2.140625,2.140625,1.65625,1.71875,3551600,INT
2000-02-01,1.75,1.8125,1.71875,1.78125,886800,INT
2000-02-02,1.78125,1.78125,1.734375,1.75,326000,INT
2000-02-03,1.734375,1.75,1.71875,1.734375,294400,INT
2000-02-04,1.734375,1.734375,1.703125,1.71875,106400,INT
2000-02-07,1.71875,1.734375,1.703125,1.71875,265200,INT
2000-02-08,1.71875,1.734375,1.71875,1.71875,218800,INT
2000-02-09,1.703125,1.703125,1.4375,1.5,976400,INT
2000-02-10,1.5625,1.59375,1.515625,1.578125,346800,INT
2000-02-11,1.5,1.578125,1.484375,1.5625,308000,INT
2000-02-14,1.53125,1.5625,1.53125,1.546875,241600,INT
2000-02-15,1.5,1.6875,1.5,1.65625,340800,INT
2000-02-16,1.6875,1.796875,1.640625,1.78125,2370800,INT
2000-02-17,1.796875,1.8125,1.71875,1.71875,690400,INT
2000-02-18,1.6875,1.75,1.6875,1.75,175200,INT
2000-02-22,1.75,1.78125,1.6875,1.6875,194000,INT
2000-02-23,1.6875,1.71875,1.6875,1.71875,173600,INT
2000-02-24,1.71875,1.734375,1.6875,1.734375,91600,INT
2000-02-25,1.703125,1.734375,1.671875,1.734375,100000,INT
2000-02-28,1.734375,1.78125,1.6875,1.71875,193200,INT
2000-02-29,1.71875,1.8125,1.703125,1.796875,220000,INT
2000-03-01,1.8125,1.84375,1.75,1.8125,146400,INT
2000-03-02,1.78125,1.796875,1.71875,1.765625,94800,INT
2000-03-03,1.765625,1.78125,1.703125,1.734375,287200,INT
2000-03-06,1.765625,1.78125,1.6875,1.78125,158000,INT
2000-03-07,1.75,1.78125,1.75,1.75,82800,INT
2000-03-08,1.75,1.765625,1.703125,1.765625,122000,INT
2000-03-09,1.765625,1.796875,1.734375,1.75,132400,INT
