,Date,Open,High,Low,Close,Volume,Symbol
0,2000-01-03,25.3125,25.4375,24.875,24.96875,54800,KELYA
1,2000-01-04,25.125,25.125,24.5625,24.5625,52900,KELYA
2,2000-01-05,24.5625,24.78125,24.1875,24.1875,51000,KELYA
3,2000-01-06,24.53125,24.875,24.0625,24.0625,27100,KELYA
4,2000-01-07,24.1875,24.875,24.1875,24.5625,38400,KELYA
5,2000-01-10,24.625,25.1875,24.5,25.0,26200,KELYA
6,2000-01-11,24.96875,24.96875,24.1875,24.375,91000,KELYA
7,2000-01-12,24.375,24.375,23.5,23.875,59500,KELYA
8,2000-01-13,24.1875,25.0,24.0,24.6875,23200,KELYA
9,2000-01-14,24.375,25.0,24.25,24.25,51700,KELYA
10,2000-01-18,24.3125,24.75,24.0,24.4375,40500,KELYA
11,2000-01-19,25.0,25.0,24.0,24.625,99800,KELYA
12,2000-01-20,24.0,25.25,24.0,25.25,67100,KELYA
13,2000-01-21,25.15625,25.25,25.0,25.0,18700,KELYA
14,2000-01-24,25.0,25.25,24.3125,24.5,20600,KELYA
15,2000-01-25,24.25,24.25,23.375,23.4375,32000,KELYA
16,2000-01-26,23.625,24.25,23.0,23.25,35800,KELYA
17,2000-01-27,23.25,24.5625,23.125,24.5625,47400,KELYA
18,2000-01-28,24.5,25.25,24.5,25.0,42500,KELYA
19,2000-01-31,25.25,25.5625,23.5,25.25,43800,KELYA
20,2000-02-01,25.25,25.5,24.75,25.375,71400,KELYA
21,2000-02-02,25.125,25.5,25.125,25.125,92400,KELYA
22,2000-02-03,25.125,25.375,25.0625,25.375,64000,KELYA
23,2000-02-04,25.25,25.375,25.25,25.375,14600,KELYA
24,2000-02-07,25.25,25.5,25.25,25.5,25600,KELYA
25,2000-02-08,25.5,26.25,25.3125,25.8125,84800,KELYA
26,2000-02-09,25.90625,26.0,24.75,24.875,34600,KELYA
27,2000-02-10,24.75,25.75,24.75,25.0,104500,KELYA
28,2000-02-11,25.0,25.375,24.25,24.375,23300,KELYA
29,2000-02-14,24.25,25.3125,23.8125,25.1875,34000,KELYA
30,2000-02-15,24.375,24.4375,23.625,24.125,53900,KELYA
31,2000-02-16,24.625,24.875,23.25,24.375,206300,KELYA
32,2000-02-17,24.875,25.0,24.125,24.375,137300,KELYA
33,2000-02-18,24.5,24.5625,24.0,24.0,19800,KELYA
34,2000-02-22,24.0,24.125,23.875,24.03125,52100,KELYA
35,2000-02-23,24.0,24.25,23.9375,24.0,36000,KELYA
36,2000-02-24,24.125,24.125,24.0,24.0,25200,KELYA
37,2000-02-25,24.0,24.0625,23.875,24.0625,6500,KELYA
38,2000-02-28,24.0,24.3125,23.875,24.0625,42000,KELYA
39,2000-02-29,24.125,24.625,23.75,24.0625,45200,KELYA
40,2000-03-01,24.1875,24.375,23.75,24.125,64800,KELYA
41,2000-03-02,23.875,24.0625,23.875,24.0625,36200,KELYA
42,2000-03-03,23.9375,24.0625,23.375,23.875,59800,KELYA
