,Date,Open,High,Low,Close,Volume,Symbol
0,2000-01-03,47.125,47.3125,44.75,45.25,298800,LUMN
1,2000-01-04,44.75,44.875,43.0,43.4375,479400,LUMN
2,2000-01-05,43.9375,45.5625,43.375,43.75,509800,LUMN
3,2000-01-06,43.375,43.625,42.4375,43.25,479400,LUMN
4,2000-01-07,44.75,45.0,42.6875,42.875,706400,LUMN
5,2000-01-10,43.375,44.125,42.625,44.125,501900,LUMN
6,2000-01-11,43.75,44.875,42.75,43.8125,515800,LUMN
7,2000-01-12,43.8125,44.625,43.75,44.1875,339600,LUMN
8,2000-01-13,43.9375,45.5,43.6875,44.25,334500,LUMN
9,2000-01-14,44.0,45.0625,43.75,44.625,267200,LUMN
10,2000-01-18,44.375,45.875,44.25,45.375,493200,LUMN
11,2000-01-19,45.4375,45.5,43.5,44.1875,505100,LUMN
12,2000-01-20,44.4375,44.625,43.125,43.75,359100,LUMN
13,2000-01-21,44.0,44.0,43.3125,43.625,563000,LUMN
14,2000-01-24,44.125,44.125,42.5,42.9375,373600,LUMN
15,2000-01-25,42.6875,42.9375,41.5625,41.875,369300,LUMN
16,2000-01-26,42.125,42.3125,41.3125,41.8125,539800,LUMN
17,2000-01-27,42.3125,42.5625,39.25,39.9375,914800,LUMN
18,2000-01-28,39.9375,39.9375,36.0625,37.6875,1496900,LUMN
19,2000-01-31,37.6875,38.625,37.0,38.625,2163900,LUMN
20,2000-02-01,38.375,38.75,38.0,38.625,1081600,LUMN
21,2000-02-02,39.0,39.75,38.8125,39.5625,1488100,LUMN
22,2000-02-03,39.5,40.125,39.25,39.6875,1060700,LUMN
23,2000-02-04,40.0,40.3125,38.75,39.0625,542200,LUMN
24,2000-02-07,38.875,39.375,38.375,38.6875,701500,LUMN
25,2000-02-08,38.6875,39.375,38.6875,39.0625,776100,LUMN
26,2000-02-09,39.0,39.3125,38.25,38.3125,729000,LUMN
27,2000-02-10,38.3125,38.5,37.6875,37.875,582700,LUMN
28,2000-02-11,38.0,38.25,37.5625,37.875,435200,LUMN
29,2000-02-14,38.0,38.4375,37.8125,38.0625,402600,LUMN
30,2000-02-15,38.0,38.0,36.25,37.0,668500,LUMN
31,2000-02-16,37.0625,37.3125,36.5,36.875,583800,LUMN
32,2000-02-17,36.625,36.9375,36.0625,36.3125,453200,LUMN
33,2000-02-18,36.3125,36.3125,34.3125,34.625,558600,LUMN
34,2000-02-22,34.375,35.8125,34.3125,35.375,753500,LUMN
35,2000-02-23,35.125,35.9375,34.625,34.9375,305300,LUMN
36,2000-02-24,35.0,35.0,33.25,33.8125,783500,LUMN
37,2000-02-25,33.9375,34.3125,33.0625,33.6875,440600,LUMN
38,2000-02-28,33.4375,33.875,32.8125,33.4375,551500,LUMN
39,2000-02-29,33.3125,33.6875,32.8125,33.625,421000,LUMN
