,Date,Open,High,Low,Close,Volume,Symbol
0,2000-01-03,22.625,22.875,22.4375,22.5,28800,MAA
1,2000-01-04,22.4375,22.625,22.375,22.625,38800,MAA
2,2000-01-05,22.5,22.875,22.375,22.375,62900,MAA
3,2000-01-06,22.375,23.0,22.375,22.75,29000,MAA
4,2000-01-07,22.625,23.0,22.625,22.9375,17700,MAA
5,2000-01-10,22.9375,22.9375,22.6875,22.75,20400,MAA
6,2000-01-11,22.75,22.75,22.4375,22.5,35000,MAA
7,2000-01-12,22.4375,22.5625,22.4375,22.5,18400,MAA
8,2000-01-13,22.4375,22.5625,22.4375,22.5,17500,MAA
9,2000-01-14,22.4375,22.75,22.3125,22.4375,36600,MAA
10,2000-01-18,22.5625,23.0,22.5625,23.0,33900,MAA
11,2000-01-19,23.125,23.375,23.125,23.25,56800,MAA
12,2000-01-20,22.5,22.75,22.25,22.25,64300,MAA
13,2000-01-21,22.375,22.4375,22.125,22.4375,10600,MAA
14,2000-01-24,22.25,22.375,22.0625,22.125,24100,MAA
15,2000-01-25,22.0625,22.375,22.0625,22.25,15100,MAA
16,2000-01-26,22.125,22.4375,22.0625,22.0625,17200,MAA
17,2000-01-27,22.25,22.25,22.0,22.0625,24000,MAA
18,2000-01-28,22.1875,22.375,22.0,22.0625,20400,MAA
19,2000-01-31,22.25,22.375,22.125,22.125,13800,MAA
20,2000-02-01,22.375,22.375,22.0,22.1875,47700,MAA
21,2000-02-02,22.25,22.25,22.0,22.125,26400,MAA
22,2000-02-03,22.1875,22.3125,22.0,22.1875,26400,MAA
23,2000-02-04,22.0625,22.1875,22.0,22.0625,28600,MAA
24,2000-02-07,22.0625,22.3125,22.0625,22.25,27100,MAA
25,2000-02-08,22.375,22.4375,22.125,22.25,22400,MAA
26,2000-02-09,22.25,22.25,22.125,22.25,20500,MAA
27,2000-02-10,22.1875,22.4375,22.1875,22.3125,21300,MAA
28,2000-02-11,22.3125,22.375,22.25,22.375,24900,MAA
29,2000-02-14,22.25,22.375,22.1875,22.3125,24500,MAA
30,2000-02-15,22.3125,22.5,22.25,22.5,76600,MAA
31,2000-02-16,22.5,22.5625,22.0625,22.4375,85300,MAA
32,2000-02-17,22.4375,22.4375,22.375,22.4375,17000,MAA
33,2000-02-18,22.4375,22.5,22.375,22.375,20100,MAA
34,2000-02-22,22.1875,22.25,22.0625,22.1875,21200,MAA
35,2000-02-23,22.1875,22.375,22.125,22.375,10800,MAA
36,2000-02-24,22.3125,22.375,22.25,22.25,42500,MAA
37,2000-02-25,22.3125,22.375,22.0,22.1875,30900,MAA
38,2000-02-28,22.3125,22.4375,22.25,22.375,18200,MAA
39,2000-02-29,22.3125,22.875,22.3125,22.8125,39400,MAA
40,2000-03-01,22.5,22.625,22.25,22.5,20400,MAA
41,2000-03-02,22.375,22.875,22.3125,22.5,44100,MAA
42,2000-03-03,22.5,22.625,22.375,22.5,27600,MAA
43,2000-03-06,22.5,22.625,22.5,22.625,42500,MAA
44,2000-03-07,22.5,22.625,22.0,22.125,98400,MAA
45,2000-03-08,22.25,22.5,22.125,22.5,20800,MAA
