Date,Open,High,Low,Close,Volume,Symbol
2000-01-03,22.25,22.25,21.9375,22.0,176400,MCY
2000-01-04,21.9375,22.125,21.625,21.625,322300,MCY
2000-01-05,21.6875,21.9375,21.6875,21.9375,78000,MCY
2000-01-06,22.0,22.625,21.875,21.9375,81000,MCY
2000-01-07,22.125,22.5,22.125,22.5,72500,MCY
2000-01-10,22.375,22.4375,21.9375,22.375,32300,MCY
2000-01-11,22.25,22.3125,22.0625,22.1875,43700,MCY
2000-01-12,22.125,22.4375,22.0,22.1875,73900,MCY
2000-01-13,22.0,22.875,22.0,22.625,98100,MCY
2000-01-14,22.6875,23.6875,22.625,23.1875,155800,MCY
2000-01-18,24.25,24.5,24.0,24.0,139200,MCY
2000-01-19,24.0625,24.375,24.0,24.3125,73400,MCY
2000-01-20,24.3125,24.3125,23.4375,23.4375,67900,MCY
2000-01-21,23.9375,23.9375,23.0625,23.0625,95500,MCY
2000-01-24,23.0,23.75,22.875,23.0625,180300,MCY
2000-01-25,23.0,23.375,23.0,23.375,65100,MCY
2000-01-26,23.375,24.25,23.25,23.9375,173700,MCY
2000-01-27,23.9375,24.5,23.6875,23.6875,163400,MCY
2000-01-28,23.75,23.875,23.3125,23.5,173700,MCY
2000-01-31,23.75,24.125,23.6875,23.75,44400,MCY
2000-02-01,23.5625,23.625,22.625,23.4375,141500,MCY
2000-02-02,23.4375,24.125,23.4375,24.0,62600,MCY
2000-02-03,24.0,24.0,23.625,24.0,105800,MCY
2000-02-04,23.8125,23.8125,23.5,23.625,49600,MCY
2000-02-07,24.0,24.4375,23.5,24.25,171300,MCY
2000-02-08,24.75,24.9375,24.4375,24.5,100200,MCY
2000-02-09,24.5,24.5,23.25,23.75,82200,MCY
2000-02-10,23.75,23.8125,23.375,23.625,59200,MCY
2000-02-11,23.6875,23.6875,23.125,23.3125,132400,MCY
2000-02-14,23.125,23.1875,22.75,22.875,57100,MCY
2000-02-15,22.8125,23.0625,22.8125,23.0625,71700,MCY
2000-02-16,23.125,23.25,23.125,23.25,51500,MCY
2000-02-17,23.25,23.375,23.125,23.1875,43100,MCY
2000-02-18,23.1875,23.1875,22.8125,22.875,35200,MCY
2000-02-22,22.8125,22.8125,22.5,22.625,41600,MCY
2000-02-23,22.375,22.5,22.3125,22.5,99900,MCY
2000-02-24,22.25,22.5625,22.25,22.5,31100,MCY
2000-02-25,22.5,22.75,22.125,22.25,52500,MCY
2000-02-28,22.0,22.75,22.0,22.5625,151300,MCY
2000-02-29,22.125,23.0,22.125,22.6875,75300,MCY
2000-03-01,22.75,22.75,22.375,22.625,71000,MCY
2000-03-02,22.625,22.875,22.4375,22.5625,60500,MCY
2000-03-03,22.8125,22.875,22.375,22.5,60200,MCY
2000-03-06,22.25,22.25,21.5625,21.75,55400,MCY
2000-03-07,21.8125,21.8125,21.0625,21.25,97500,MCY
2000-03-08,21.125,22.125,21.125,21.9375,113200,MCY
2000-03-09,22.375,22.4375,21.5,22.0,89300,MCY
2000-03-10,22.0,22.0,21.75,22.0,58600,MCY
2000-03-13,21.75,21.9375,21.0625,21.9375,51000,MCY
2000-03-14,21.9375,22.0,21.75,21.875,100500,MCY
2000-03-15,21.875,22.6875,21.625,22.6875,177200,MCY
2000-03-16,23.25,23.4375,23.0,23.25,157500,MCY
2000-03-17,23.3125,23.3125,23.125,23.1875,125200,MCY
2000-03-20,23.0625,23.25,22.8125,22.875,78100,MCY
2000-03-21,23.0,24.5625,22.9375,24.5625,145100,MCY
2000-03-22,25.75,25.875,25.0,25.0,95100,MCY
2000-03-23,25.0625,25.875,25.0,25.8125,156300,MCY
2000-03-24,26.25,26.75,26.125,26.25,76800,MCY
2000-03-27,26.25,26.25,25.4375,25.5,36700,MCY
2000-03-28,25.375,26.625,25.3125,26.625,56700,MCY
2000-03-29,26.625,28.0625,26.625,28.0,199600,MCY
2000-03-30,28.0,29.375,28.0,29.25,122700,MCY
2000-03-31,29.25,29.6875,28.5625,29.5,257500,MCY
2000-04-03,29.625,29.625,29.125,29.1875,63600,MCY
2000-04-04,29.125,29.5,29.125,29.4375,98500,MCY
2000-04-05,29.5,29.9375,29.375,29.625,67800,MCY
2000-04-06,29.625,30.125,29.625,30.0625,64600,MCY
2000-04-07,29.875,30.25,29.875,30.1875,117200,MCY
2000-04-10,30.0,30.0625,29.0625,29.375,105900,MCY
2000-04-11,29.375,29.375,28.75,29.0,60500,MCY
2000-04-12,29.125,29.5625,29.0,29.5625,66100,MCY
2000-04-13,29.375,29.375,28.5,28.75,43800,MCY
2000-04-14,28.875,28.875,27.875,28.6875,97700,MCY
2000-04-17,28.625,28.625,28.0625,28.1875,31100,MCY
2000-04-18,28.1875,28.375,27.75,28.375,37400,MCY
2000-04-19,28.125,28.125,27.0,27.0625,60500,MCY
2000-04-20,27.0625,27.0625,25.75,26.125,114600,MCY
2000-04-24,26.1875,26.8125,25.875,26.8125,45900,MCY
2000-04-25,26.9375,27.9375,26.9375,27.875,65400,MCY
2000-04-26,27.9375,28.5,27.9375,28.375,73800,MCY
2000-04-27,28.125,28.1875,27.3125,27.4375,29900,MCY
2000-04-28,27.5,27.5,27.0,27.375,39200,MCY
2000-05-01,26.0,27.1875,25.3125,25.6875,196300,MCY
2000-05-02,25.75,25.75,25.0625,25.5,63400,MCY
2000-05-03,25.25,25.5,24.8125,24.9375,59500,MCY
2000-05-04,24.9375,25.0625,24.3125,24.4375,63200,MCY
2000-05-05,24.5,24.8125,24.25,24.75,63100,MCY
2000-05-08,24.125,24.625,24.125,24.625,60100,MCY
2000-05-09,24.5,25.0625,24.25,25.0625,83800,MCY
2000-05-10,25.0,25.0,24.3125,24.5625,16300,MCY
2000-05-11,24.6875,25.375,24.5625,25.0,21200,MCY
2000-05-12,25.0,25.0625,24.5,25.0625,21300,MCY
2000-05-15,25.0625,25.375,24.875,25.25,106600,MCY
2000-05-16,28.5,28.6875,27.875,28.0,320200,MCY
2000-05-17,26.875,26.875,25.75,26.1875,83100,MCY
2000-05-18,25.9375,26.3125,25.8125,26.1875,47300,MCY
2000-05-19,26.25,26.375,25.875,25.875,78500,MCY
2000-05-22,25.9375,26.0,25.625,25.875,74700,MCY
2000-05-23,25.8125,26.625,25.75,26.5625,43200,MCY
2000-05-24,26.5625,27.375,26.5,26.5625,175100,MCY
2000-05-25,26.6875,26.9375,25.9375,26.0,89200,MCY
2000-05-26,25.9375,26.5,25.9375,26.4375,44700,MCY
2000-05-30,26.5625,27.0,26.5625,26.9375,48100,MCY
2000-05-31,26.9375,26.9375,25.5,25.5,101800,MCY
2000-06-01,25.5,26.125,25.5,26.125,87900,MCY
2000-06-02,26.375,26.875,26.25,26.625,72900,MCY
2000-06-05,26.5,26.5625,26.0625,26.0625,27000,MCY
2000-06-06,26.125,26.125,25.625,25.9375,72600,MCY
2000-06-07,26.0,26.0,25.625,25.8125,47500,MCY
2000-06-08,25.875,25.875,25.25,25.75,73300,MCY
2000-06-09,25.75,25.8125,25.25,25.375,22700,MCY
2000-06-12,25.375,25.6875,25.375,25.5,18900,MCY
2000-06-13,25.25,25.3125,25.0625,25.25,108300,MCY
2000-06-14,25.25,26.1875,25.25,26.0625,87700,MCY
2000-06-15,26.4375,26.4375,25.875,25.875,72300,MCY
2000-06-16,25.8125,25.875,25.4375,25.625,23100,MCY
2000-06-19,25.375,26.0625,25.25,25.875,66900,MCY
2000-06-20,25.9375,26.0,25.5,25.5,22000,MCY
2000-06-21,25.5,25.75,25.5,25.75,27300,MCY
2000-06-22,25.875,25.875,25.25,25.3125,72400,MCY
2000-06-23,25.1875,25.25,25.125,25.1875,77100,MCY
2000-06-26,25.125,25.4375,25.125,25.3125,65700,MCY
2000-06-27,25.3125,25.71875,25.3125,25.5,44000,MCY
2000-06-28,25.5625,25.9375,25.4375,25.5,125700,MCY
2000-06-29,25.75,25.75,25.375,25.5,87800,MCY
2000-06-30,25.5,25.5,23.5625,23.625,446600,MCY
2000-07-03,23.6875,24.375,23.625,24.375,55500,MCY
2000-07-05,24.5,25.125,24.1875,25.0,78400,MCY
2000-07-06,25.0625,25.125,24.5625,24.875,46300,MCY
2000-07-07,24.75,24.75,24.25,24.375,66800,MCY
2000-07-10,24.5,25.0625,24.375,25.0625,52100,MCY
2000-07-11,25.0,25.25,24.9375,25.0,70200,MCY
2000-07-12,25.0,25.3125,25.0,25.125,51600,MCY
