,Date,Open,High,Low,Close,Volume,Symbol
0,2000-01-03,7.78125,7.78125,7.5,7.5,52600,MHO
1,2000-01-04,7.4375,7.4375,7.34375,7.34375,19800,MHO
2,2000-01-05,7.28125,7.28125,7.0625,7.15625,57000,MHO
3,2000-01-06,7.15625,7.21875,7.15625,7.1875,10000,MHO
4,2000-01-07,7.125,7.125,6.84375,6.9375,101000,MHO
5,2000-01-10,6.96875,7.0,6.96875,7.0,12200,MHO
6,2000-01-11,7.0,7.0,6.8125,6.8125,45600,MHO
7,2000-01-12,6.875,6.9375,6.8125,6.875,13800,MHO
8,2000-01-13,6.9375,7.0,6.90625,7.0,62600,MHO
9,2000-01-14,7.0,7.0,6.875,6.875,18000,MHO
10,2000-01-18,6.875,7.125,6.875,7.125,32000,MHO
11,2000-01-19,7.0625,7.25,7.0625,7.25,8400,MHO
12,2000-01-20,7.25,7.25,7.15625,7.15625,35400,MHO
13,2000-01-21,7.125,7.125,6.9375,7.0625,10600,MHO
14,2000-01-24,6.9375,6.96875,6.8125,6.8125,20800,MHO
15,2000-01-25,6.90625,6.90625,6.75,6.75,66400,MHO
16,2000-01-26,6.75,6.75,6.6875,6.75,21800,MHO
17,2000-01-27,6.75,6.75,6.6875,6.6875,5800,MHO
18,2000-01-28,6.75,6.75,6.59375,6.625,49800,MHO
19,2000-01-31,6.625,6.75,6.5,6.5,69600,MHO
20,2000-02-01,6.5625,6.625,6.5625,6.625,76200,MHO
21,2000-02-02,6.59375,6.6875,6.5625,6.625,73800,MHO
22,2000-02-03,6.5625,6.59375,6.53125,6.59375,39600,MHO
23,2000-02-04,6.59375,6.625,6.5,6.53125,67800,MHO
24,2000-02-07,6.5625,6.5625,6.46875,6.5,42400,MHO
25,2000-02-08,6.46875,6.53125,6.46875,6.5,73600,MHO
26,2000-02-09,6.5,6.5,6.40625,6.40625,49400,MHO
27,2000-02-10,6.40625,6.59375,6.375,6.46875,110000,MHO
28,2000-02-11,6.625,6.71875,6.5625,6.5625,125800,MHO
29,2000-02-14,6.5625,6.75,6.5625,6.65625,78600,MHO
30,2000-02-15,6.71875,6.75,6.59375,6.6875,67600,MHO
31,2000-02-16,6.75,6.9375,6.75,6.84375,93000,MHO
32,2000-02-17,6.96875,7.1875,6.9375,7.15625,66600,MHO
33,2000-02-18,7.125,7.125,7.0,7.125,52200,MHO
34,2000-02-22,7.125,7.125,7.0625,7.09375,16400,MHO
35,2000-02-23,7.125,7.25,7.125,7.21875,54400,MHO
36,2000-02-24,7.1875,7.1875,7.0625,7.0625,15400,MHO
37,2000-02-25,7.0625,7.1875,7.0625,7.1875,14200,MHO
38,2000-02-28,7.1875,7.25,7.125,7.1875,18600,MHO
39,2000-02-29,7.25,7.3125,7.21875,7.28125,59200,MHO
40,2000-03-01,7.28125,7.46875,7.28125,7.46875,53400,MHO
41,2000-03-02,7.46875,7.46875,7.40625,7.4375,73200,MHO
42,2000-03-03,7.375,7.40625,7.34375,7.34375,14000,MHO
43,2000-03-06,7.3125,7.3125,7.25,7.25,37400,MHO
44,2000-03-07,7.25,7.25,7.125,7.15625,62400,MHO
45,2000-03-08,7.1875,7.25,7.125,7.1875,9200,MHO
46,2000-03-09,7.1875,7.34375,7.1875,7.34375,54600,MHO
47,2000-03-10,7.375,7.4375,7.3125,7.4375,24800,MHO
48,2000-03-13,7.375,7.40625,7.28125,7.28125,16000,MHO
49,2000-03-14,7.21875,7.25,7.1875,7.1875,12000,MHO
50,2000-03-15,7.15625,7.28125,7.15625,7.28125,8000,MHO
51,2000-03-16,7.34375,7.71875,7.34375,7.5625,54000,MHO
52,2000-03-17,7.6875,7.6875,7.625,7.6875,8600,MHO
53,2000-03-20,7.6875,7.9375,7.6875,7.84375,26600,MHO
54,2000-03-21,7.8125,7.84375,7.75,7.84375,21200,MHO
55,2000-03-22,7.78125,7.90625,7.78125,7.84375,21200,MHO
56,2000-03-23,7.875,7.875,7.78125,7.875,13200,MHO
57,2000-03-24,7.8125,7.875,7.78125,7.78125,7600,MHO
58,2000-03-27,7.78125,7.84375,7.78125,7.78125,7400,MHO
59,2000-03-28,7.75,7.75,7.75,7.75,39000,MHO
60,2000-03-29,7.75,7.875,7.75,7.8125,9000,MHO
61,2000-03-30,7.78125,7.875,7.75,7.78125,9000,MHO
62,2000-03-31,7.8125,7.90625,7.8125,7.90625,10600,MHO
63,2000-04-03,7.90625,8.0,7.90625,7.90625,6400,MHO
64,2000-04-04,7.96875,7.96875,7.8125,7.875,15600,MHO
65,2000-04-05,7.84375,7.9375,7.78125,7.84375,23400,MHO
66,2000-04-06,7.84375,7.9375,7.84375,7.9375,4400,MHO
67,2000-04-07,7.875,7.90625,7.8125,7.84375,3600,MHO
68,2000-04-10,7.90625,7.9375,7.875,7.9375,5200,MHO
69,2000-04-11,7.84375,7.84375,7.84375,7.84375,7600,MHO
70,2000-04-12,7.875,8.25,7.875,8.125,28000,MHO
71,2000-04-13,8.25,8.28125,8.03125,8.0625,15800,MHO
72,2000-04-14,8.03125,8.03125,7.90625,7.96875,21200,MHO
73,2000-04-17,7.875,7.875,7.78125,7.8125,45800,MHO
74,2000-04-18,7.75,7.8125,7.4375,7.5,26000,MHO
75,2000-04-19,7.625,7.75,7.53125,7.59375,13600,MHO
76,2000-04-20,7.65625,7.8125,7.59375,7.75,97800,MHO
77,2000-04-24,7.71875,7.78125,7.71875,7.78125,18400,MHO
78,2000-04-25,7.8125,7.875,7.8125,7.8125,2800,MHO
79,2000-04-26,7.75,7.875,7.6875,7.875,20400,MHO
80,2000-04-27,7.90625,8.0,7.84375,7.875,19400,MHO
81,2000-04-28,7.9375,8.125,7.9375,8.0,13000,MHO
82,2000-05-01,8.0,8.15625,8.0,8.15625,7800,MHO
83,2000-05-02,8.25,8.25,8.1875,8.21875,43000,MHO
84,2000-05-03,8.15625,8.15625,8.15625,8.15625,27000,MHO
85,2000-05-04,8.15625,8.15625,8.15625,8.15625,2200,MHO
86,2000-05-05,8.15625,8.1875,8.15625,8.1875,1000,MHO
87,2000-05-08,8.1875,8.1875,8.1875,8.1875,13800,MHO
88,2000-05-09,8.1875,8.3125,8.1875,8.25,16000,MHO
89,2000-05-10,8.25,8.28125,8.25,8.28125,11800,MHO
90,2000-05-11,8.28125,8.375,8.28125,8.3125,23400,MHO
91,2000-05-12,8.3125,8.3125,8.3125,8.3125,5000,MHO
92,2000-05-15,8.3125,8.4375,8.3125,8.4375,19400,MHO
93,2000-05-16,8.4375,8.46875,8.4375,8.46875,17000,MHO
94,2000-05-17,8.4375,8.5,8.375,8.4375,7800,MHO
95,2000-05-18,8.4375,8.5,8.4375,8.5,36400,MHO
96,2000-05-19,8.46875,8.46875,8.4375,8.4375,70000,MHO
97,2000-05-22,8.4375,8.4375,8.4375,8.4375,15200,MHO
98,2000-05-23,8.375,8.375,8.34375,8.34375,5200,MHO
99,2000-05-24,8.375,8.375,8.34375,8.34375,23000,MHO
100,2000-05-25,8.4375,8.625,8.375,8.375,23000,MHO
