Date,Open,High,Low,Close,Volume,Symbol
2000-01-03,8.421875,8.421875,8.046875,8.125,588000,MMS
2000-01-04,7.96875,7.96875,7.84375,7.84375,368400,MMS
2000-01-05,7.6875,7.75,7.5,7.75,213200,MMS
2000-01-06,7.75,7.75,7.53125,7.59375,147200,MMS
2000-01-07,7.59375,7.625,7.46875,7.5625,194800,MMS
2000-01-10,7.625,7.75,7.625,7.71875,161200,MMS
2000-01-11,7.78125,8.125,7.78125,8.125,222000,MMS
2000-01-12,8.15625,8.1875,8.0,8.0625,72400,MMS
2000-01-13,8.03125,8.03125,7.9375,7.984375,75200,MMS
2000-01-14,7.984375,8.125,7.921875,7.96875,68800,MMS
2000-01-18,7.875,7.90625,7.75,7.765625,154800,MMS
2000-01-19,7.75,8.0,7.75,8.0,1666400,MMS
2000-01-20,8.0,8.578125,8.0,8.5,234400,MMS
2000-01-21,8.453125,8.625,8.40625,8.4375,78400,MMS
2000-01-24,8.46875,9.0,8.46875,8.921875,290400,MMS
2000-01-25,8.921875,9.484375,8.921875,9.375,559600,MMS
2000-01-26,9.3125,9.734375,9.3125,9.546875,286800,MMS
2000-01-27,9.546875,9.546875,9.125,9.3125,467600,MMS
2000-01-28,9.3125,9.3125,9.1875,9.203125,218000,MMS
2000-01-31,9.1875,9.28125,9.140625,9.265625,196400,MMS
2000-02-01,9.25,9.25,9.140625,9.1875,230000,MMS
2000-02-02,9.21875,9.375,9.203125,9.34375,51200,MMS
2000-02-03,9.3125,9.453125,9.1875,9.453125,195200,MMS
2000-02-04,9.484375,9.5625,9.3125,9.484375,256800,MMS
2000-02-07,9.515625,9.546875,9.125,9.1875,210400,MMS
2000-02-08,9.15625,9.546875,9.09375,9.53125,289200,MMS
2000-02-09,9.46875,9.46875,9.09375,9.21875,143200,MMS
2000-02-10,9.25,9.296875,9.15625,9.296875,85200,MMS
2000-02-11,9.265625,9.375,9.265625,9.375,100000,MMS
2000-02-14,9.375,9.46875,9.140625,9.15625,194800,MMS
2000-02-15,9.15625,9.1875,9.03125,9.03125,190800,MMS
2000-02-16,9.0,9.03125,8.921875,8.96875,70400,MMS
2000-02-17,8.9375,9.0625,8.9375,9.015625,356400,MMS
2000-02-18,9.015625,9.015625,8.765625,8.765625,114000,MMS
2000-02-22,8.75,8.75,8.4375,8.5625,221200,MMS
2000-02-23,8.5625,8.5625,8.375,8.484375,328400,MMS
2000-02-24,8.453125,8.484375,8.28125,8.453125,146800,MMS
2000-02-25,8.484375,8.5,8.40625,8.4375,153200,MMS
2000-02-28,8.46875,8.5,8.359375,8.5,215200,MMS
2000-02-29,8.5,8.59375,8.421875,8.546875,215200,MMS
2000-03-01,8.421875,8.59375,8.359375,8.5625,162800,MMS
2000-03-02,8.546875,8.609375,8.421875,8.5625,312400,MMS
2000-03-03,8.53125,9.0,8.53125,8.828125,317200,MMS
2000-03-06,8.890625,9.28125,8.75,8.828125,364800,MMS
2000-03-07,8.765625,9.125,8.765625,9.0,214800,MMS
2000-03-08,9.0,9.296875,9.0,9.296875,149200,MMS
2000-03-09,9.234375,9.359375,9.09375,9.359375,161600,MMS
2000-03-10,9.375,9.375,9.203125,9.234375,116000,MMS
2000-03-13,9.140625,9.140625,8.71875,8.828125,139600,MMS
2000-03-14,8.75,8.75,8.203125,8.359375,1434400,MMS
2000-03-15,8.421875,8.734375,8.375,8.703125,303600,MMS
2000-03-16,8.6875,8.75,8.640625,8.734375,218400,MMS
2000-03-17,8.6875,9.078125,8.640625,8.734375,394800,MMS
2000-03-20,8.765625,9.0625,8.75,9.0625,214000,MMS
2000-03-21,9.125,9.140625,8.84375,8.890625,124400,MMS
2000-03-22,8.890625,8.953125,8.765625,8.953125,72800,MMS
2000-03-23,8.75,8.796875,8.546875,8.75,748400,MMS
2000-03-24,8.8125,8.875,8.75,8.78125,276800,MMS
2000-03-27,8.796875,8.828125,8.453125,8.515625,1145200,MMS
2000-03-28,8.453125,8.625,8.3125,8.609375,479200,MMS
2000-03-29,8.609375,8.609375,8.375,8.390625,214400,MMS
2000-03-30,8.390625,8.390625,7.921875,8.109375,642000,MMS
2000-03-31,8.109375,8.109375,7.625,7.625,514800,MMS
2000-04-03,7.625,8.0625,7.625,7.84375,371600,MMS
2000-04-04,7.84375,7.875,7.578125,7.71875,332000,MMS
2000-04-05,7.703125,7.890625,7.703125,7.78125,239200,MMS
