,Date,Open,High,Low,Close,Volume,Symbol
0,2000-01-03,17.0,17.0625,16.5,16.75,816800,MOS
1,2000-01-04,16.375,16.625,16.1875,16.375,484600,MOS
2,2000-01-05,16.375,17.1875,16.3125,17.0,703600,MOS
3,2000-01-06,17.25,17.8125,17.0,17.25,871300,MOS
4,2000-01-07,17.5,17.9375,17.375,17.5,890200,MOS
5,2000-01-10,17.75,18.8125,17.75,18.625,900900,MOS
6,2000-01-11,18.5,18.75,18.1875,18.1875,367900,MOS
7,2000-01-12,18.125,18.375,17.9375,18.0,318600,MOS
8,2000-01-13,19.375,19.375,18.5,18.75,1169700,MOS
9,2000-01-14,18.6875,18.75,18.0625,18.125,692900,MOS
10,2000-01-18,18.125,18.6875,18.125,18.375,578200,MOS
11,2000-01-19,18.4375,18.625,17.6875,17.8125,465300,MOS
12,2000-01-20,17.875,17.9375,17.25,17.25,314900,MOS
13,2000-01-21,17.5,18.0,17.125,17.1875,646700,MOS
14,2000-01-24,17.5,17.875,16.9375,17.3125,500900,MOS
15,2000-01-25,17.0625,17.375,16.75,17.125,407800,MOS
16,2000-01-26,17.25,17.25,16.875,16.9375,374300,MOS
17,2000-01-27,16.8125,16.9375,16.1875,16.3125,542600,MOS
18,2000-01-28,16.5,16.9375,16.3125,16.875,335800,MOS
19,2000-01-31,16.875,16.875,15.875,16.375,821100,MOS
20,2000-02-01,17.25,17.4375,17.0,17.25,622500,MOS
21,2000-02-02,17.0625,17.4375,17.0625,17.1875,720000,MOS
22,2000-02-03,17.125,17.3125,16.4375,16.6875,542600,MOS
23,2000-02-04,16.6875,16.875,16.25,16.375,336700,MOS
24,2000-02-07,16.75,16.875,16.4375,16.5625,377700,MOS
25,2000-02-08,16.5,17.0,16.25,16.9375,903300,MOS
26,2000-02-09,16.875,16.9375,15.875,15.9375,505600,MOS
27,2000-02-10,16.0625,16.125,15.4375,15.625,509500,MOS
28,2000-02-11,15.625,15.875,15.0,15.0,676200,MOS
29,2000-02-14,15.25,16.125,15.125,15.875,290400,MOS
30,2000-02-15,15.9375,16.4375,15.9375,16.0,475500,MOS
31,2000-02-16,16.0,16.1875,15.5625,15.625,516900,MOS
32,2000-02-17,15.875,16.1875,15.5,15.5,487800,MOS
33,2000-02-18,15.375,15.5625,14.5,15.0,701600,MOS
34,2000-02-22,14.9375,15.375,14.6875,15.375,464300,MOS
35,2000-02-23,15.3125,15.375,14.5625,15.0,608300,MOS
36,2000-02-24,15.0,15.125,14.6875,14.75,295000,MOS
37,2000-02-25,14.9375,15.0625,14.75,14.75,282800,MOS
38,2000-02-28,14.125,15.0,14.125,14.5625,451500,MOS
39,2000-02-29,14.625,14.9375,13.5,13.5,2301000,MOS
40,2000-03-01,13.625,13.875,13.5,13.75,343000,MOS
41,2000-03-02,13.6875,13.9375,13.5,13.8125,214100,MOS
42,2000-03-03,13.8125,14.25,13.75,13.875,222600,MOS
43,2000-03-06,13.8125,13.875,12.9375,13.0625,514900,MOS
44,2000-03-07,13.0,13.25,12.6875,12.9375,699100,MOS
45,2000-03-08,13.0625,13.625,12.75,13.0,384400,MOS
46,2000-03-09,13.125,13.625,12.6875,12.875,1273500,MOS
47,2000-03-10,12.875,13.0,12.8125,12.9375,950200,MOS
48,2000-03-13,12.8125,12.8125,12.625,12.625,337200,MOS
49,2000-03-14,12.6875,13.3125,12.625,13.3125,684400,MOS
50,2000-03-15,13.25,15.875,13.25,15.0,2080600,MOS
51,2000-03-16,15.5,15.625,15.0,15.4375,1329100,MOS
52,2000-03-17,15.4375,15.5,14.8125,14.9375,320000,MOS
53,2000-03-20,15.0,15.375,14.8125,15.1875,277300,MOS
54,2000-03-21,15.0625,15.375,15.0,15.25,188900,MOS
55,2000-03-22,15.4375,15.8125,15.375,15.6875,261000,MOS
56,2000-03-23,15.5625,15.5625,15.125,15.4375,232500,MOS
57,2000-03-24,15.3125,15.375,15.0625,15.1875,106700,MOS
58,2000-03-27,15.125,15.375,14.8125,15.0625,209600,MOS
59,2000-03-28,15.0,15.375,14.8125,15.0625,349900,MOS
60,2000-03-29,15.0625,15.25,14.25,14.4375,620900,MOS
61,2000-03-30,14.5625,15.1875,14.4375,15.0625,635800,MOS
62,2000-03-31,15.1875,15.6875,14.5,14.6875,778300,MOS
63,2000-04-03,14.75,15.375,14.75,14.875,351100,MOS
64,2000-04-04,15.125,15.25,14.25,14.8125,509400,MOS
65,2000-04-05,14.6875,14.875,14.0,14.1875,310700,MOS
66,2000-04-06,14.0625,14.625,14.0,14.0,591700,MOS
67,2000-04-07,14.375,14.4375,13.75,13.75,627300,MOS
68,2000-04-10,14.125,14.3125,13.75,13.9375,321000,MOS
69,2000-04-11,13.625,13.8125,13.25,13.6875,501300,MOS
70,2000-04-12,14.0,14.5625,13.6875,14.5,682600,MOS
71,2000-04-13,14.5,14.6875,14.1875,14.25,208300,MOS
72,2000-04-14,14.375,14.5625,13.625,13.625,502500,MOS
73,2000-04-17,13.75,14.125,13.75,14.125,568100,MOS
74,2000-04-18,14.0625,14.4375,14.0625,14.3125,421700,MOS
75,2000-04-19,14.3125,14.5,13.375,13.625,488300,MOS
76,2000-04-20,13.75,14.6875,13.625,14.25,416100,MOS
77,2000-04-24,13.875,14.375,13.875,14.1875,308700,MOS
78,2000-04-25,14.25,15.25,14.0625,15.0,540200,MOS
79,2000-04-26,15.625,15.625,15.0,15.3125,669600,MOS
80,2000-04-27,15.5625,16.0,15.5625,15.625,774600,MOS
81,2000-04-28,15.75,15.9375,15.375,15.4375,481800,MOS
82,2000-05-01,15.625,16.0,15.375,15.8125,476900,MOS
83,2000-05-02,15.8125,16.5625,15.625,16.25,461600,MOS
84,2000-05-03,16.5,16.5,15.1875,15.1875,517500,MOS
85,2000-05-04,15.4375,16.5,15.4375,16.4375,951700,MOS
86,2000-05-05,16.375,16.75,16.3125,16.6875,538000,MOS
87,2000-05-08,16.625,17.375,16.5,17.25,492700,MOS
88,2000-05-09,17.3125,17.3125,17.125,17.25,291200,MOS
89,2000-05-10,17.125,17.1875,16.5,16.6875,387100,MOS
90,2000-05-11,16.9375,17.4375,16.9375,17.1875,789600,MOS
91,2000-05-12,17.1875,17.75,17.0,17.1875,444200,MOS
92,2000-05-15,17.125,17.75,16.625,16.625,390400,MOS
93,2000-05-16,17.0,17.1875,16.75,16.9375,298900,MOS
94,2000-05-17,16.75,17.0,16.625,17.0,265000,MOS
95,2000-05-18,17.0625,17.1875,16.9375,17.0625,340900,MOS
96,2000-05-19,16.625,17.0625,16.625,17.0625,387600,MOS
97,2000-05-22,17.0625,17.0625,16.625,16.6875,441600,MOS
