,Date,Open,High,Low,Close,Volume,Symbol
0,2000-06-30,13.80859375,14.75,12.6875,14.25,3518000,MRVL
1,2000-07-03,14.359375,14.359375,13.40625,13.75,778800,MRVL
2,2000-07-05,13.5625,13.75,12.5,12.890625,2986000,MRVL
3,2000-07-06,12.90625,13.0,10.5625,11.375,3596000,MRVL
4,2000-07-07,11.40625,12.09375,10.75,11.96875,1938800,MRVL
5,2000-07-10,11.875,13.640625,11.375,12.46875,2824400,MRVL
6,2000-07-11,12.25,13.5,11.59375,12.09375,2786800,MRVL
7,2000-07-12,12.515625,14.609375,12.125,14.53125,4570400,MRVL
8,2000-07-13,14.9375,15.9375,13.515625,15.09375,5894400,MRVL
9,2000-07-14,15.125,15.125,13.625,13.8125,1805200,MRVL
10,2000-07-17,13.9375,15.15625,13.0,14.796875,1578000,MRVL
11,2000-07-18,14.5,16.171875,14.0625,15.6875,2166000,MRVL
12,2000-07-19,15.8125,17.0,15.1875,16.53125,3068800,MRVL
13,2000-07-20,16.890625,17.625,16.4375,17.09375,1586400,MRVL
14,2000-07-21,17.0,17.359375,15.375,15.390625,1402000,MRVL
15,2000-07-24,16.515625,16.515625,13.75,13.75,3320800,MRVL
16,2000-07-25,14.125,14.53125,13.1875,14.15625,1588400,MRVL
17,2000-07-26,14.1875,14.1875,12.6875,13.171875,1924400,MRVL
18,2000-07-27,13.0625,13.0625,11.625,12.078125,2432000,MRVL
19,2000-07-28,12.34375,12.375,11.25,12.375,1814000,MRVL
20,2000-07-31,12.453125,12.53125,11.375,11.421875,1662000,MRVL
21,2000-08-01,11.625,11.75,10.75,10.796875,894400,MRVL
22,2000-08-02,10.78125,11.625,10.40625,11.5,1896800,MRVL
23,2000-08-03,11.25,13.40625,11.078125,13.40625,1499200,MRVL
24,2000-08-04,13.109375,14.4375,13.109375,14.4375,1474800,MRVL
25,2000-08-07,14.703125,14.75,13.328125,13.75,492400,MRVL
26,2000-08-08,13.8125,14.21875,13.5,13.5,323600,MRVL
27,2000-08-09,13.765625,14.0,13.0,13.15625,369200,MRVL
28,2000-08-10,13.328125,13.328125,12.5,13.0,300400,MRVL
29,2000-08-11,13.0,13.1875,12.390625,12.96875,134000,MRVL
30,2000-08-14,12.8125,13.0,12.375,12.46875,593200,MRVL
31,2000-08-15,12.4375,12.84375,12.25,12.75,204000,MRVL
32,2000-08-16,12.796875,13.78125,12.75,13.71875,740800,MRVL
33,2000-08-17,13.75,13.8125,12.8125,13.21875,575200,MRVL
34,2000-08-18,13.21875,13.5,12.75,13.05859375,198800,MRVL
35,2000-08-21,13.0625,13.875,12.8125,13.75,263200,MRVL
36,2000-08-22,13.5,14.46875,13.5,13.96875,379600,MRVL
37,2000-08-23,13.96875,14.015625,13.1875,13.375,454400,MRVL
38,2000-08-24,13.320313453674316,14.0,13.25,13.78125,1924000,MRVL
39,2000-08-25,13.9375,14.296875,13.28125,13.84375,1748000,MRVL
40,2000-08-28,14.15625,14.625,13.875,14.625,1642800,MRVL
41,2000-08-29,14.5,17.359375,14.46875,16.96875,3262000,MRVL
42,2000-08-30,16.515625,18.671875,16.5,17.5625,1767200,MRVL
43,2000-08-31,17.53125,18.484375,17.4375,17.84375,850800,MRVL
44,2000-09-01,18.15625,18.328125,17.53125,17.9375,467600,MRVL
45,2000-09-05,17.65625,19.4375,17.5625,18.71875,1028000,MRVL
46,2000-09-06,18.625,21.3125,18.625,20.75,2685600,MRVL
47,2000-09-07,20.796875,24.3125,20.375,23.875,2757200,MRVL
48,2000-09-08,24.53125,25.296875,23.25,23.71875,3938400,MRVL
49,2000-09-11,23.25,23.734375,21.59375,23.46875,3260400,MRVL
50,2000-09-12,23.46875,25.828125,22.875,24.703125,2206000,MRVL
51,2000-09-13,24.5,26.25,24.234375,25.375,1278400,MRVL
52,2000-09-14,25.84375,27.4375,24.625,25.0,2366000,MRVL
53,2000-09-15,25.375,25.5,24.15625,24.265625,563200,MRVL
54,2000-09-18,23.46875,25.34375,22.390625,22.46875,1785200,MRVL
55,2000-09-19,22.390625,22.890625,20.875,22.5625,1632800,MRVL
56,2000-09-20,22.53125,24.25,22.375,23.375,1920800,MRVL
57,2000-09-21,23.25,23.46875,21.671875,23.0,601200,MRVL
58,2000-09-22,21.765625,22.75,21.03125,22.34375,883200,MRVL
59,2000-09-25,22.90625,23.625,20.75,21.640625,1111600,MRVL
60,2000-09-26,21.125,21.5,19.0,20.28125,1539600,MRVL
61,2000-09-27,20.5625,21.0,18.5,18.9375,721200,MRVL
62,2000-09-28,18.75,20.03125,18.375,19.4375,1638800,MRVL
63,2000-09-29,19.375,19.75,18.71875,19.28125,1117600,MRVL
64,2000-10-02,19.28125,20.8125,19.265625,19.8125,976800,MRVL
65,2000-10-03,20.125,20.71875,19.375,19.40625,1291600,MRVL
66,2000-10-04,19.09375,19.171875,17.75,18.6875,1386400,MRVL
67,2000-10-05,18.90234375,19.5,18.40625,19.0,606000,MRVL
68,2000-10-06,19.25,19.25,18.21875,18.21875,546400,MRVL
69,2000-10-09,18.21875,20.15625,18.21875,19.9375,1023200,MRVL
70,2000-10-10,19.875,20.65625,19.78125,19.96875,1687200,MRVL
71,2000-10-11,19.4375,21.984375,19.40625,20.75,1465600,MRVL
72,2000-10-12,21.77734375,21.78125,20.4375,21.140625,708400,MRVL
73,2000-10-13,21.125,23.125,21.125,22.6875,640000,MRVL
74,2000-10-16,22.875,22.87890625,19.765625,20.4375,540400,MRVL
75,2000-10-17,15.890625,15.890625,13.78125,14.265625,24374000,MRVL
76,2000-10-18,13.3125,13.75,12.25,12.640625,5658400,MRVL
77,2000-10-19,13.492188453674316,14.0625,13.25,13.828125,4004000,MRVL
78,2000-10-20,13.875,15.53125,13.75,15.125,4702000,MRVL
79,2000-10-23,15.046875,15.0625,14.015625,14.921875,1491200,MRVL
80,2000-10-24,14.83203125,15.109375,14.671875,14.75,977200,MRVL
81,2000-10-25,14.25,14.25,13.171875,13.5,1446800,MRVL
82,2000-10-26,13.71875,13.71875,12.625,12.8125,2017600,MRVL
83,2000-10-27,13.02734375,14.1875,13.0,13.53125,830000,MRVL
84,2000-10-30,13.5625,13.59375,12.875,13.09375,1358800,MRVL
85,2000-10-31,13.25390625,14.359375,13.15625,13.9375,1287600,MRVL
86,2000-11-01,13.75,13.78125,12.78125,13.0,904400,MRVL
87,2000-11-02,13.0625,13.578125,13.0625,13.28125,1970400,MRVL
88,2000-11-03,13.5,13.5,13.140625,13.25,662800,MRVL
89,2000-11-06,13.3125,14.0,13.25,13.46875,400400,MRVL
90,2000-11-07,12.62109375,12.625,12.0625,12.203125,1746000,MRVL
91,2000-11-08,12.25390625,12.5,12.09375,12.09375,646000,MRVL
92,2000-11-09,12.09375,12.140625,11.640625,12.125,928400,MRVL
93,2000-11-10,12.05859375,12.05859375,10.6875,11.484375,2156400,MRVL
94,2000-11-13,11.4375,11.9375,10.78125,11.640625,403600,MRVL
95,2000-11-14,11.9375,12.375,11.75,12.09375,350400,MRVL
96,2000-11-15,12.390625,12.75,11.84375,12.4375,611600,MRVL
97,2000-11-16,12.12890625,12.15625,11.0625,11.28125,2296000,MRVL
98,2000-11-17,11.34375,11.53125,10.96875,11.34375,678800,MRVL
99,2000-11-20,11.125,11.15625,10.25,10.5,2574000,MRVL
100,2000-11-21,10.46875,10.84375,9.875,10.0625,686400,MRVL
101,2000-11-22,9.84375,10.0625,8.625,9.328125,518400,MRVL
102,2000-11-24,9.28125,9.859375,8.9375,9.84375,143600,MRVL
103,2000-11-27,10.015625,10.046875,7.875,8.421875,817200,MRVL
104,2000-11-28,8.4375,8.4375,6.9375,7.0,1688400,MRVL
105,2000-11-29,7.0625,7.25,6.546875,6.859375,2391200,MRVL
106,2000-11-30,6.625,7.1875,6.25,7.15625,1413600,MRVL
107,2000-12-01,7.125,7.6875,7.0625,7.359375,1346400,MRVL
108,2000-12-04,7.375,7.375,6.515625,6.671875,1337200,MRVL
109,2000-12-05,6.75,7.625,6.75,7.578125,1512800,MRVL
110,2000-12-06,7.640625,8.0,6.984375,7.125,540800,MRVL
111,2000-12-07,7.183594226837158,7.183594226837158,6.8125,6.90625,1088800,MRVL
112,2000-12-08,7.25,8.0625,7.078125,7.9375,876000,MRVL
113,2000-12-11,8.015625,8.515625,7.671875,8.265625,1400000,MRVL
114,2000-12-12,8.06640625,8.5,8.03125,8.25,1737600,MRVL
115,2000-12-13,8.484375,8.484375,7.546875,7.609375,1656400,MRVL
116,2000-12-14,7.566405773162842,7.59375,6.9375,6.984375,1315200,MRVL
117,2000-12-15,7.015625,7.0625,6.3125,6.5,614800,MRVL
118,2000-12-18,6.75,6.75,6.1875,6.25,878800,MRVL
119,2000-12-19,6.222655773162842,6.5625,5.640625,5.75,1436800,MRVL
120,2000-12-20,5.703125,5.96875,4.90625,5.03125,1824800,MRVL
121,2000-12-21,5.03125,5.4375,4.671875,4.75,1304000,MRVL
122,2000-12-22,4.875,5.007812976837158,4.625,4.9375,866000,MRVL
123,2000-12-26,4.71875,4.78125,3.84375,4.25,3630000,MRVL
124,2000-12-27,4.28125,4.921875,4.09375,4.78125,5408400,MRVL
125,2000-12-28,4.609375,5.671875,4.59375,5.546875,3259600,MRVL
126,2000-12-29,5.65625,5.65625,5.375,5.484375,2409600,MRVL
127,2001-01-02,5.265625,5.5,5.265625,5.34375,2221600,MRVL
128,2001-01-03,5.40625,5.625,5.0,5.421875,3264000,MRVL
129,2001-01-04,5.46875,6.1875,5.4375,6.0625,4648000,MRVL
130,2001-01-05,6.09375,6.109375,5.535155773162842,5.625,1514000,MRVL
131,2001-01-08,5.65625,5.75,5.515625,5.703125,1948800,MRVL
132,2001-01-09,5.609375,5.8125,5.609375,5.6875,2123200,MRVL
133,2001-01-10,5.609375,5.734375,5.1875,5.703125,3650800,MRVL
134,2001-01-11,5.699219226837158,6.8125,5.5,6.328125,5093200,MRVL
135,2001-01-12,6.453125,7.0625,6.125,6.875,2292800,MRVL
136,2001-01-16,6.78125,6.875,6.265625,6.34375,1420000,MRVL
137,2001-01-17,6.625,7.0,6.609375,6.921875,4712000,MRVL
138,2001-01-18,7.125,7.40625,6.625,7.0625,4115200,MRVL
139,2001-01-19,7.386719226837158,7.40625,6.921875,7.0,3609200,MRVL
140,2001-01-22,6.875,8.46875,6.75,8.296875,9569600,MRVL
141,2001-01-23,8.375,9.03125,7.84375,8.80859375,10602800,MRVL
142,2001-01-24,8.96875,9.0,8.40625,8.484375,5402000,MRVL
143,2001-01-25,8.46875,9.75,8.40625,9.0,6128400,MRVL
144,2001-01-26,8.5,8.84375,8.03125,8.765625,5333600,MRVL
145,2001-01-29,8.4375,8.71875,8.125,8.390625,3665600,MRVL
146,2001-01-30,8.4375,8.453125,8.25,8.375,5190800,MRVL
147,2001-01-31,8.375,10.03125,8.375,9.875,6700000,MRVL
148,2001-02-01,9.8125,10.5,9.75,10.4375,5822000,MRVL
149,2001-02-02,10.4375,10.453125,9.40625,9.59375,5268400,MRVL
150,2001-02-05,9.453125,9.460938453674316,8.390625,8.796875,2630800,MRVL
151,2001-02-06,8.734375,8.78125,7.8125,8.25,6284400,MRVL
152,2001-02-07,8.140625,8.1875,7.046875,7.878905773162842,4690400,MRVL
153,2001-02-08,7.902344226837158,8.25,7.375,7.703125,4302800,MRVL
154,2001-02-09,7.578125,7.71875,6.875,7.21875,1206000,MRVL
155,2001-02-12,6.828125,7.40625,6.59375,6.609375,2901200,MRVL
156,2001-02-13,6.640625,7.390625,6.609375,6.878905773162842,4834800,MRVL
157,2001-02-14,6.828125,6.875,6.0,6.703125,4453200,MRVL
158,2001-02-15,6.828125,7.8125,6.6875,7.59375,5850800,MRVL
159,2001-02-16,7.0625,7.21875,6.6875,7.21875,3525600,MRVL
160,2001-02-20,6.9375,7.03125,5.703125,6.140625,4621600,MRVL
161,2001-02-21,5.875,6.1875,5.25,5.625,4533200,MRVL
162,2001-02-22,5.609375,5.625,4.84375,5.328125,5556800,MRVL
163,2001-02-23,5.875,6.4375,5.390625,6.25,5194000,MRVL
164,2001-02-26,6.484375,6.5625,6.0,6.328125,4283600,MRVL
165,2001-02-27,6.171875,6.265625,5.46875,5.75,3001600,MRVL
166,2001-02-28,5.453125,5.75,4.5,4.96875,4192400,MRVL
167,2001-03-01,4.8125,5.0,4.5,4.84375,2540800,MRVL
168,2001-03-02,4.703125,5.25,4.4375,4.96875,6501200,MRVL
169,2001-03-05,5.09375,5.21875,4.5,4.625,2490000,MRVL
170,2001-03-06,4.90625,5.125,4.734375,4.875,5240800,MRVL
171,2001-03-07,4.96875,5.03125,4.78125,4.859375,3170800,MRVL
172,2001-03-08,4.84375,5.109375,4.671875,5.03125,2900000,MRVL
173,2001-03-09,5.0625,5.0625,4.375,4.703125,1542800,MRVL
174,2001-03-12,4.65625,4.78125,4.265625,4.578125,1842800,MRVL
175,2001-03-13,4.5,5.121094226837158,4.390625,4.9375,1862800,MRVL
176,2001-03-14,4.859375,4.875,4.46875,4.71875,2107600,MRVL
177,2001-03-15,4.851562976837158,5.0,4.609375,4.796875,1634400,MRVL
178,2001-03-16,4.734375,4.75,4.296875,4.59375,2215600,MRVL
179,2001-03-19,4.625,4.71875,4.375,4.6875,1898400,MRVL
180,2001-03-20,4.75,4.828125,4.171875,4.25,1317600,MRVL
181,2001-03-21,4.171875,4.5,4.0,4.296875,2201600,MRVL
182,2001-03-22,4.234375,4.4375,3.957031011581421,4.359375,2879200,MRVL
183,2001-03-23,4.40625,4.5625,4.078125,4.328125,2613200,MRVL
184,2001-03-26,4.375,4.421875,3.78125,3.828125,1350800,MRVL
185,2001-03-27,3.8125,3.8125,3.3125,3.4375,5968400,MRVL
186,2001-03-28,3.4375,3.4375,3.234375,3.3125,2838000,MRVL
187,2001-03-29,3.265625,3.34375,3.0,3.109375,2442000,MRVL
188,2001-03-30,3.078125,3.1875,2.75,3.015625,3236800,MRVL
189,2001-04-02,3.0,3.015625,2.5,2.84375,3023200,MRVL
190,2001-04-03,2.75,2.75,1.984375,2.21875,5518800,MRVL
191,2001-04-04,2.296875,2.3125,2.046875,2.132812976837158,2302400,MRVL
192,2001-04-05,2.21875,2.4375,2.15625,2.234375,6473200,MRVL
