,Date,Open,High,Low,Close,Volume,Symbol
0,2000-01-03,38.6875,39.0625,36.25,37.96875,6564600,MU
1,2000-01-04,37.375,37.90625,36.4375,36.5,7220800,MU
2,2000-01-05,36.0625,37.375,35.03125,36.375,6763800,MU
3,2000-01-06,36.375,37.65625,35.875,37.0,6338400,MU
4,2000-01-07,36.875,36.875,34.0,35.25,9467200,MU
5,2000-01-10,36.125,37.75,35.53125,37.1875,6577200,MU
6,2000-01-11,37.125,38.375,35.875,36.1875,5623000,MU
7,2000-01-12,36.625,38.15625,35.5625,37.0,9311400,MU
8,2000-01-13,37.4375,38.9375,36.875,38.9375,8237000,MU
9,2000-01-14,38.5625,39.1875,36.25,36.625,12218800,MU
10,2000-01-18,36.71875,37.25,36.03125,36.78125,9293000,MU
11,2000-01-19,36.75,37.1875,35.75,36.0625,10653200,MU
12,2000-01-20,36.1875,36.4375,34.75,34.875,12001800,MU
13,2000-01-21,35.75,35.75,32.5625,33.5625,15470200,MU
14,2000-01-24,33.65625,35.5,33.65625,34.75,11949000,MU
15,2000-01-25,34.46875,34.875,32.25,32.9375,17025400,MU
16,2000-01-26,32.96875,33.875,31.5,31.78125,13137200,MU
17,2000-01-27,31.90625,32.875,31.78125,32.375,7790800,MU
18,2000-01-28,31.9375,33.0,29.53125,29.75,13778600,MU
19,2000-01-31,30.375,31.25,29.125,31.09375,11168800,MU
20,2000-02-01,31.0625,32.0,30.25,31.75,8346800,MU
21,2000-02-02,32.46875,33.40625,31.75,32.9375,12191000,MU
22,2000-02-03,33.0,34.5,32.4375,34.0,9175400,MU
23,2000-02-04,34.09375,34.09375,32.75,33.6875,8193000,MU
24,2000-02-07,33.75,37.09375,33.75,37.0,14433200,MU
25,2000-02-08,37.03125,38.1875,36.4375,38.03125,13221200,MU
26,2000-02-09,38.03125,38.8125,36.625,36.625,12856600,MU
27,2000-02-10,37.125,37.15625,34.9375,36.1875,11891800,MU
28,2000-02-11,35.75,36.875,34.625,35.5625,9808800,MU
29,2000-02-14,34.25,35.125,33.5,33.875,7839600,MU
30,2000-02-15,34.96875,35.5,32.75,34.5,12767600,MU
31,2000-02-16,35.375,35.375,32.75,33.09375,10502400,MU
32,2000-02-17,33.1875,34.21875,32.46875,32.625,13026200,MU
33,2000-02-18,32.875,32.90625,31.09375,31.5625,10657200,MU
34,2000-02-22,32.25,32.8125,31.5625,32.25,8937200,MU
35,2000-02-23,32.5,33.59375,32.0,33.5,8480800,MU
36,2000-02-24,33.875,36.3125,33.0,35.0625,13187600,MU
37,2000-02-25,35.75,37.34375,35.28125,36.8125,10543400,MU
38,2000-02-28,37.125,39.75,35.8125,39.03125,14204800,MU
39,2000-02-29,39.5,49.96875,39.5,48.0,45132000,MU
40,2000-03-01,51.0,55.84375,50.5625,50.875,31296800,MU
41,2000-03-02,50.0,50.03125,46.0,48.75,18281200,MU
42,2000-03-03,47.3125,48.625,45.59375,46.75,12069800,MU
43,2000-03-06,46.75,49.0,46.75,48.0,9417200,MU
44,2000-03-07,47.78125,53.0,47.0,52.5,12998000,MU
45,2000-03-08,51.5,52.65625,49.125,50.5,10382600,MU
46,2000-03-09,49.5,55.625,48.4375,55.0,13484400,MU
47,2000-03-10,54.0,55.5,51.5,53.1875,10916600,MU
48,2000-03-13,51.0,59.125,50.75,59.0,12176400,MU
49,2000-03-14,62.5,63.46875,54.75,55.75,18452000,MU
50,2000-03-15,55.75,59.5,54.625,56.5,14819200,MU
51,2000-03-16,55.5,57.4375,54.0625,56.6875,8553600,MU
52,2000-03-17,56.71875,64.4375,56.5,64.4375,13263200,MU
53,2000-03-20,64.5625,71.5,63.5,67.8125,13230200,MU
54,2000-03-21,68.5,69.0,56.0,59.625,14436000,MU
55,2000-03-22,64.5,70.5,64.5,70.5,17832800,MU
56,2000-03-23,68.5,68.78125,65.75,67.3125,10318000,MU
57,2000-03-24,67.0,71.5625,66.71875,67.375,11523800,MU
58,2000-03-27,69.75,70.5,68.75,69.75,6885800,MU
59,2000-03-28,70.21875,71.0,67.75,68.25,8214800,MU
60,2000-03-29,68.25,68.25,62.96875,67.25,13478600,MU
61,2000-03-30,63.3125,64.6875,58.0,60.5,11296800,MU
62,2000-03-31,61.875,64.0,60.0625,63.0,10418800,MU
63,2000-04-03,62.875,62.90625,58.5625,60.0,7297000,MU
64,2000-04-04,61.5,61.5,53.0,57.40625,12036200,MU
65,2000-04-05,58.34375,66.1875,58.25,65.5,14419800,MU
66,2000-04-06,65.0,66.9375,63.25,65.4375,8319200,MU
67,2000-04-07,66.3125,67.375,63.25,64.1875,6308800,MU
68,2000-04-10,65.25,65.625,60.8125,60.8125,6070600,MU
69,2000-04-11,58.75,61.71875,57.65625,58.3125,12921400,MU
70,2000-04-12,58.34375,59.5,55.15625,55.4375,10126600,MU
71,2000-04-13,57.5,59.5,53.0,53.25,12390800,MU
72,2000-04-14,53.03125,55.0,46.15625,48.03125,13290800,MU
73,2000-04-17,49.625,59.0,48.5,57.0,12738400,MU
74,2000-04-18,61.5,64.0,58.625,63.25,14062600,MU
75,2000-04-19,63.5,64.0,58.5,58.5,7477800,MU
76,2000-04-20,62.0,63.0,59.5,62.625,6416200,MU
77,2000-04-24,60.8125,63.5625,60.375,61.6875,9020800,MU
78,2000-04-25,62.96875,66.59375,62.84375,64.9375,9775800,MU
79,2000-04-26,65.0,69.0,64.15625,64.375,10033800,MU
80,2000-04-27,64.0,69.125,63.125,67.5,9493600,MU
81,2000-04-28,67.875,71.125,66.5,69.65625,9783600,MU
82,2000-05-01,70.25,72.65625,65.46875,65.875,11828800,MU
83,2000-05-02,66.0,68.375,62.0,62.75,5751500,MU
84,2000-05-03,62.25,64.625,60.25,62.3125,5944400,MU
85,2000-05-04,62.25,65.0,59.75,61.75,5512900,MU
86,2000-05-05,62.0,63.0,60.0625,60.5,4657000,MU
87,2000-05-08,60.75,61.8125,58.3125,58.375,3208100,MU
88,2000-05-09,58.625,60.5,53.75,55.4375,5577300,MU
89,2000-05-10,54.875,55.875,51.0625,53.0,5539600,MU
90,2000-05-11,54.5,60.0,52.625,58.4375,5408200,MU
91,2000-05-12,58.875,62.875,58.875,60.75,6645700,MU
92,2000-05-15,61.0,63.25,58.5625,63.125,5216100,MU
93,2000-05-16,63.875,66.1875,62.0,64.625,5589800,MU
94,2000-05-17,65.9375,66.75,63.625,65.5,4146400,MU
95,2000-05-18,65.5,66.1875,64.0625,64.75,2546500,MU
96,2000-05-19,64.8125,65.1875,59.8125,60.5625,3805800,MU
97,2000-05-22,60.5625,62.0,56.6875,60.625,4429800,MU
98,2000-05-23,61.9375,62.875,58.25,58.375,4367600,MU
99,2000-05-24,58.6875,60.8125,57.3125,60.3125,6124000,MU
100,2000-05-25,64.0,67.75,63.5,64.625,10389400,MU
101,2000-05-26,65.25,66.5,64.0,64.625,2680700,MU
102,2000-05-30,69.5,69.875,67.5625,68.75,6656300,MU
103,2000-05-31,70.0,72.75,69.5,69.9375,10162700,MU
104,2000-06-01,72.0,74.125,71.5,73.5,9352600,MU
105,2000-06-02,80.5625,81.875,76.1875,79.25,10515000,MU
106,2000-06-05,78.5,82.5,76.75,81.1875,4723800,MU
107,2000-06-06,78.5,81.0,76.5,77.0625,6316200,MU
108,2000-06-07,77.0625,78.0,74.4375,76.75,6144800,MU
109,2000-06-08,79.0,80.9375,78.875,80.75,10405500,MU
110,2000-06-09,82.0,82.9375,80.0,80.0,5134900,MU
111,2000-06-12,81.0,82.0,78.375,79.5,5907900,MU
112,2000-06-13,78.5625,83.6875,78.25,82.5,11638300,MU
113,2000-06-14,83.5,83.625,78.5,80.375,8444600,MU
114,2000-06-15,79.5,80.25,77.0,78.0,6029500,MU
115,2000-06-16,78.0,78.25,75.0625,77.375,6044000,MU
116,2000-06-19,77.375,81.5,76.875,81.5,10751800,MU
117,2000-06-20,81.0,90.5,80.625,89.875,12141300,MU
118,2000-06-21,88.5,94.5,87.5,90.75,8218700,MU
119,2000-06-22,93.0,93.0,84.125,86.875,8742700,MU
120,2000-06-23,85.75,90.0625,85.5,88.5,8331100,MU
121,2000-06-26,89.5625,90.5,88.3125,89.1875,4463600,MU
122,2000-06-27,89.875,90.75,89.25,90.0,4338100,MU
123,2000-06-28,91.75,91.75,86.5625,87.5625,7386500,MU
124,2000-06-29,87.9375,90.875,85.0,90.8125,6308300,MU
125,2000-06-30,90.8125,92.0,87.96875,88.0625,6646400,MU
