,Date,Open,High,Low,Close,Volume,Symbol
0,2000-01-03,24.0,24.875,23.75,24.0625,906900,NEM
1,2000-01-04,23.25,23.625,22.1875,22.25,1783800,NEM
2,2000-01-05,22.5,23.1875,22.5,22.5,1180300,NEM
3,2000-01-06,22.0625,22.375,21.9375,22.25,1688400,NEM
4,2000-01-07,22.5,22.6875,21.25,21.4375,1528800,NEM
5,2000-01-10,21.5,21.6875,21.3125,21.375,1222900,NEM
6,2000-01-11,21.625,22.625,21.5,22.625,1595500,NEM
7,2000-01-12,22.1875,22.3125,21.8125,22.125,2195200,NEM
8,2000-01-13,22.125,22.125,21.25,21.375,3962600,NEM
9,2000-01-14,21.375,21.4375,20.5,20.8125,3470900,NEM
10,2000-01-18,21.0625,22.125,20.9375,22.125,3087200,NEM
11,2000-01-19,22.125,22.1875,21.5625,21.875,1759200,NEM
12,2000-01-20,21.1875,21.25,20.6875,21.0625,1913300,NEM
13,2000-01-21,20.9375,21.375,20.8125,21.1875,1359300,NEM
14,2000-01-24,20.25,20.6875,20.125,20.5,1240000,NEM
15,2000-01-25,20.5,20.5,19.125,19.375,1482500,NEM
16,2000-01-26,19.9375,19.9375,19.4375,19.625,1015800,NEM
17,2000-01-27,20.125,21.4375,19.75,21.4375,1753900,NEM
18,2000-01-28,21.4375,21.6875,19.75,20.0625,1453500,NEM
19,2000-01-31,20.25,20.5,20.0625,20.375,914500,NEM
20,2000-02-01,20.125,20.125,19.625,19.875,925900,NEM
21,2000-02-02,20.375,21.125,20.3125,20.875,1665000,NEM
22,2000-02-03,20.8125,21.375,20.3125,21.25,1779500,NEM
23,2000-02-04,22.4375,24.625,22.25,24.0,5190800,NEM
24,2000-02-07,25.4375,25.4375,22.625,22.75,4931900,NEM
25,2000-02-08,22.625,22.625,22.0,22.0,1513600,NEM
26,2000-02-09,23.4375,24.375,23.1875,23.875,2560300,NEM
27,2000-02-10,24.1875,25.125,23.375,24.625,2603400,NEM
28,2000-02-11,24.1875,24.5,23.625,23.9375,1541200,NEM
29,2000-02-14,23.875,23.875,23.0,23.1875,1458800,NEM
30,2000-02-15,22.8125,24.1875,22.1875,24.0,1736300,NEM
31,2000-02-16,24.4375,24.6875,23.1875,24.25,1374600,NEM
32,2000-02-17,24.375,24.5,23.0,23.0625,1133600,NEM
33,2000-02-18,23.625,24.6875,23.4375,24.5,1470000,NEM
34,2000-02-22,24.25,25.9375,23.875,25.0625,2265500,NEM
35,2000-02-23,24.5,24.625,23.25,23.25,1700800,NEM
36,2000-02-24,23.375,23.5625,22.875,23.1875,1593000,NEM
37,2000-02-25,22.5,22.5625,22.0625,22.3125,1001700,NEM
38,2000-02-28,22.4375,23.0625,22.0625,22.125,1258900,NEM
39,2000-02-29,22.375,22.6875,21.875,22.125,980900,NEM
40,2000-03-01,22.0625,22.625,22.0625,22.625,681700,NEM
41,2000-03-02,22.0,22.3125,21.1875,21.625,1231400,NEM
42,2000-03-03,21.5625,22.1875,21.4375,21.5625,765000,NEM
43,2000-03-06,21.5625,22.25,21.5,22.0,464200,NEM
44,2000-03-07,22.375,24.875,22.375,24.4375,2578900,NEM
45,2000-03-08,23.75,24.6875,23.1875,23.3125,1810700,NEM
46,2000-03-09,23.5,24.1875,23.4375,24.0,1111200,NEM
47,2000-03-10,23.5,23.8125,23.0625,23.25,1048900,NEM
48,2000-03-13,23.625,24.3125,23.5,23.6875,899800,NEM
49,2000-03-14,24.0,24.3125,23.5,24.3125,907300,NEM
50,2000-03-15,24.25,24.4375,23.625,23.875,649800,NEM
51,2000-03-16,23.75,23.75,22.5,22.75,1426500,NEM
52,2000-03-17,22.875,23.3125,22.3125,22.8125,1405100,NEM
53,2000-03-20,22.9375,23.3125,22.75,23.0,1118300,NEM
54,2000-03-21,23.0,24.3125,22.875,24.125,1724600,NEM
55,2000-03-22,23.375,23.625,23.25,23.3125,1305400,NEM
56,2000-03-23,23.0,23.125,22.625,23.0,1091500,NEM
57,2000-03-24,23.0,23.8125,23.0,23.375,936600,NEM
58,2000-03-27,23.0625,23.125,22.5,22.6875,1200900,NEM
59,2000-03-28,22.8125,22.875,22.5625,22.625,1082200,NEM
60,2000-03-29,22.625,23.4375,22.0625,22.3125,1840700,NEM
61,2000-03-30,22.3125,22.8125,22.3125,22.375,915300,NEM
62,2000-03-31,22.3125,23.0625,22.3125,22.4375,1074300,NEM
63,2000-04-03,22.375,22.75,22.125,22.4375,1063500,NEM
64,2000-04-04,22.25,24.3125,22.0,23.5,2355700,NEM
65,2000-04-05,23.5,23.75,22.875,23.625,1095200,NEM
66,2000-04-06,23.375,23.4375,22.8125,23.0625,549100,NEM
67,2000-04-07,23.0625,23.5,22.75,23.1875,715200,NEM
68,2000-04-10,23.5,23.5625,23.0,23.0625,976600,NEM
69,2000-04-11,23.25,23.6875,23.1875,23.375,932600,NEM
70,2000-04-12,23.0,23.5625,22.375,22.4375,1779600,NEM
71,2000-04-13,22.5,22.625,21.25,21.3125,2369000,NEM
72,2000-04-14,22.1875,22.9375,22.125,22.3125,2650500,NEM
73,2000-04-17,22.6875,23.5,22.25,23.375,2094700,NEM
74,2000-04-18,23.5625,23.5625,22.5,23.5,1382200,NEM
75,2000-04-19,23.1875,24.125,23.125,24.0625,1135000,NEM
76,2000-04-20,24.0,24.6875,23.75,23.8125,1061100,NEM
77,2000-04-24,24.0625,24.4375,23.9375,24.0625,785200,NEM
78,2000-04-25,24.0,24.0,22.75,23.1875,1199800,NEM
79,2000-04-26,22.875,23.875,22.8125,23.625,822000,NEM
80,2000-04-27,24.5,24.5,23.3125,24.0,1667100,NEM
81,2000-04-28,23.0,23.4375,22.9375,23.4375,1087000,NEM
82,2000-05-01,23.3125,23.4375,22.875,23.4375,1073700,NEM
83,2000-05-02,23.75,27.0,23.75,26.375,3672600,NEM
84,2000-05-03,25.25,27.125,25.0,26.25,3493600,NEM
85,2000-05-04,26.5,28.375,26.3125,27.75,3529600,NEM
86,2000-05-05,27.375,27.5,25.4375,26.4375,2215500,NEM
87,2000-05-08,26.0625,26.75,25.6875,26.6875,1191100,NEM
88,2000-05-09,26.3125,27.5,26.0625,26.875,1749600,NEM
89,2000-05-10,27.0625,27.75,26.3125,26.6875,1516000,NEM
90,2000-05-11,26.1875,26.1875,25.125,26.0,1151400,NEM
91,2000-05-12,26.0,26.375,24.6875,25.125,1693500,NEM
92,2000-05-15,25.125,26.125,24.8125,25.3125,1499800,NEM
93,2000-05-16,25.25,25.875,25.0,25.3125,1072300,NEM
94,2000-05-17,25.0,25.125,24.0625,24.0625,801300,NEM
95,2000-05-18,24.1875,24.6875,24.0,24.0625,988400,NEM
96,2000-05-19,24.3125,25.4375,24.25,24.6875,1315500,NEM
97,2000-05-22,24.8125,26.375,24.625,24.875,2112800,NEM
98,2000-05-23,24.75,25.6875,24.5625,25.4375,1332100,NEM
99,2000-05-24,25.25,25.875,24.6875,24.875,1396000,NEM
100,2000-05-25,25.0,25.25,24.375,24.625,885700,NEM
101,2000-05-26,24.375,25.125,24.125,24.375,902800,NEM
102,2000-05-30,24.4375,24.75,24.0625,24.0625,935000,NEM
103,2000-05-31,24.1875,24.3125,23.0,23.0625,1577800,NEM
104,2000-06-01,23.1875,23.375,22.9375,23.0,909600,NEM
105,2000-06-02,23.625,24.4375,23.5,23.625,2025200,NEM
106,2000-06-05,24.25,25.9375,23.5,25.5,2527100,NEM
107,2000-06-06,26.25,26.5,25.1875,25.5,2213700,NEM
108,2000-06-07,24.8125,25.0625,24.125,24.25,1582900,NEM
109,2000-06-08,23.875,24.9375,23.875,24.4375,796800,NEM
110,2000-06-09,24.6875,24.8125,23.75,23.8125,644100,NEM
111,2000-06-12,23.875,24.9375,23.875,24.75,1114900,NEM
112,2000-06-13,25.75,25.8125,24.0625,24.25,1741700,NEM
113,2000-06-14,24.5,25.25,24.1875,24.5625,1365000,NEM
114,2000-06-15,24.125,24.375,23.8125,24.25,1100500,NEM
115,2000-06-16,24.125,24.75,24.0,24.21875,1093200,NEM
116,2000-06-19,23.875,23.875,23.0,23.0625,1124200,NEM
117,2000-06-20,23.3125,23.4375,22.6875,23.0625,965000,NEM
118,2000-06-21,22.875,23.125,22.125,22.4375,1744100,NEM
119,2000-06-22,22.625,22.96875,21.8125,21.9375,1398900,NEM
120,2000-06-23,21.875,22.125,21.0,21.5625,1112100,NEM
121,2000-06-26,21.625,21.6875,21.125,21.25,900000,NEM
122,2000-06-27,21.25,21.8125,20.875,21.75,1280300,NEM
123,2000-06-28,22.0,23.0,21.6875,22.765625,2254100,NEM
124,2000-06-29,22.5625,22.625,21.0625,21.1875,1480900,NEM
125,2000-06-30,21.25,21.875,21.0625,21.625,976000,NEM
126,2000-07-03,21.6875,21.6875,21.3125,21.5,185200,NEM
127,2000-07-05,21.0,21.125,19.875,19.9375,1218300,NEM
128,2000-07-06,20.375,20.625,20.0625,20.25,1140300,NEM
129,2000-07-07,20.375,20.5,19.875,19.9375,630900,NEM
130,2000-07-10,20.0625,20.375,19.6875,20.0,776800,NEM
131,2000-07-11,20.0,20.875,19.8125,20.875,1052400,NEM
132,2000-07-12,20.5,20.5,19.875,20.0625,1148800,NEM
133,2000-07-13,20.125,20.5,19.9375,20.125,680800,NEM
134,2000-07-14,20.0625,20.1875,19.1875,19.375,1176800,NEM
135,2000-07-17,19.5,19.6875,19.3125,19.4375,1149300,NEM
136,2000-07-18,19.375,19.875,19.3125,19.4375,886500,NEM
137,2000-07-19,19.25,19.25,18.8125,18.9375,919800,NEM
138,2000-07-20,18.9375,19.0625,18.0,18.1875,1902300,NEM
139,2000-07-21,18.1875,18.375,17.6875,17.75,1274100,NEM
140,2000-07-24,18.0,18.0625,17.5625,17.625,1562400,NEM
141,2000-07-25,17.9375,18.0,17.375,17.4375,1010600,NEM
142,2000-07-26,17.625,17.75,17.375,17.625,1750000,NEM
143,2000-07-27,17.8125,18.0,17.4375,17.5625,1260000,NEM
144,2000-07-28,17.5625,18.125,17.5625,18.125,1206400,NEM
145,2000-07-31,18.125,18.1875,17.625,17.6875,799100,NEM
146,2000-08-01,17.875,18.0,17.5625,17.9375,701500,NEM
147,2000-08-02,18.0625,18.3125,17.625,18.1875,960100,NEM
148,2000-08-03,18.1875,18.1875,17.0,17.0625,1399300,NEM
149,2000-08-04,17.25,17.5625,16.9375,17.4375,830100,NEM
150,2000-08-07,17.5625,17.8125,17.4375,17.5625,453500,NEM
151,2000-08-08,17.5625,17.6875,17.3125,17.6875,415000,NEM
152,2000-08-09,17.4375,17.6875,17.3125,17.4375,457000,NEM
153,2000-08-10,17.375,17.9375,17.375,17.8125,661300,NEM
154,2000-08-11,17.875,18.8125,17.6875,18.6875,1372100,NEM
155,2000-08-14,18.6875,18.6875,18.0625,18.625,740800,NEM
156,2000-08-15,18.625,18.75,18.1875,18.625,1142000,NEM
157,2000-08-16,18.875,19.1875,18.625,18.9375,1619000,NEM
158,2000-08-17,19.0,19.0,18.4375,18.5625,726700,NEM
159,2000-08-18,18.1875,18.4375,18.125,18.125,848400,NEM
160,2000-08-21,18.125,18.1875,17.8125,17.875,887400,NEM
161,2000-08-22,17.75,18.125,17.5625,17.6875,885600,NEM
162,2000-08-23,17.9375,18.125,17.625,17.75,746600,NEM
163,2000-08-24,17.9375,18.3125,17.8125,17.875,1318900,NEM
164,2000-08-25,18.0,18.1875,17.9375,18.0,731300,NEM
165,2000-08-28,17.9375,18.125,17.75,17.75,597700,NEM
166,2000-08-29,17.6875,17.875,17.5,17.5,746900,NEM
167,2000-08-30,17.625,17.6875,17.375,17.6875,565300,NEM
168,2000-08-31,18.0,19.0,18.0,18.5625,3363500,NEM
169,2000-09-01,18.4375,18.75,18.3125,18.6875,806700,NEM
170,2000-09-05,18.5625,18.6875,18.375,18.5625,998600,NEM
171,2000-09-06,18.4375,19.4375,18.3125,19.375,1148300,NEM
172,2000-09-07,19.25,19.3125,18.625,18.875,1426500,NEM
173,2000-09-08,18.6875,19.75,18.5625,19.5625,1849200,NEM
174,2000-09-11,19.5,19.625,19.125,19.5625,1370500,NEM
175,2000-09-12,19.4375,19.8125,18.5625,18.75,1661400,NEM
176,2000-09-13,18.6875,18.75,18.25,18.375,895300,NEM
177,2000-09-14,18.4375,18.4375,18.0625,18.125,547900,NEM
178,2000-09-15,18.0,18.375,17.8125,17.8125,1563900,NEM
179,2000-09-18,17.9375,18.125,17.625,18.0,1112200,NEM
180,2000-09-19,17.8125,17.9375,17.1875,17.1875,1446000,NEM
181,2000-09-20,17.25,17.4375,16.5625,16.625,1804300,NEM
182,2000-09-21,16.9375,17.125,16.6875,17.125,1163700,NEM
183,2000-09-22,17.5,17.6875,16.75,16.8125,1614200,NEM
184,2000-09-25,16.75,16.9375,16.5,16.625,921600,NEM
185,2000-09-26,16.8125,16.9375,16.375,16.375,1240500,NEM
186,2000-09-27,16.375,17.75,16.375,17.625,2954100,NEM
187,2000-09-28,17.375,17.375,16.875,17.0,1574100,NEM
188,2000-09-29,16.6875,17.25,16.5625,17.0,1302600,NEM
189,2000-10-02,16.875,16.9375,16.375,16.5,1034300,NEM
190,2000-10-03,16.375,16.4375,15.9375,16.0625,1760800,NEM
191,2000-10-04,16.0625,16.5,15.9375,16.125,981100,NEM
192,2000-10-05,15.875,15.875,15.1875,15.25,1319400,NEM
193,2000-10-06,15.4375,15.6875,14.75,14.75,1044000,NEM
194,2000-10-09,15.0625,15.375,14.9375,15.1875,1094100,NEM
195,2000-10-10,15.3125,15.875,15.1875,15.5625,1310400,NEM
196,2000-10-11,15.75,15.875,14.0,14.625,1484900,NEM
197,2000-10-12,14.875,16.5,14.6875,15.875,5169000,NEM
198,2000-10-13,15.6875,15.75,14.6875,14.8125,2343900,NEM
199,2000-10-16,14.5625,15.0625,14.4375,14.75,988200,NEM
200,2000-10-17,14.625,14.6875,14.3125,14.375,1640900,NEM
201,2000-10-18,14.75,14.8125,13.75,14.0625,2085500,NEM
202,2000-10-19,14.0,14.3125,13.8125,14.0,1135600,NEM
203,2000-10-20,14.0,14.1875,13.8125,13.9375,1191500,NEM
204,2000-10-23,13.9375,14.125,13.875,14.0,1106000,NEM
205,2000-10-24,13.875,14.0625,13.375,13.375,1580700,NEM
206,2000-10-25,13.0,13.125,12.75,13.0,2203400,NEM
207,2000-10-26,12.9375,13.5,12.8125,13.3125,1846000,NEM
208,2000-10-27,13.1875,13.75,12.9375,13.6875,2939600,NEM
209,2000-10-30,13.6875,14.1875,13.4375,13.875,1768100,NEM
210,2000-10-31,13.875,13.875,13.4375,13.5625,1405300,NEM
211,2000-11-01,13.625,13.875,13.25,13.4375,1545400,NEM
212,2000-11-02,13.625,13.6875,13.1875,13.3125,1173300,NEM
213,2000-11-03,13.1875,13.4375,13.125,13.375,999300,NEM
214,2000-11-06,13.25,13.8125,13.25,13.75,1371200,NEM
215,2000-11-07,13.875,13.9375,13.5,13.8125,1495800,NEM
216,2000-11-08,13.8125,13.8125,13.3125,13.5,881700,NEM
217,2000-11-09,13.3125,14.25,13.3125,13.875,1993400,NEM
218,2000-11-10,13.75,13.875,13.25,13.4375,1009100,NEM
219,2000-11-13,13.375,13.8125,13.25,13.25,1275800,NEM
220,2000-11-14,13.25,13.375,13.0625,13.125,658400,NEM
221,2000-11-15,13.25,13.5,12.9375,13.5,1178100,NEM
222,2000-11-16,13.75,13.8125,13.3125,13.75,908100,NEM
223,2000-11-17,13.75,13.75,13.25,13.25,1019700,NEM
224,2000-11-20,13.4375,13.5625,13.25,13.3125,634100,NEM
225,2000-11-21,13.3125,14.25,13.3125,14.125,2476700,NEM
226,2000-11-22,14.4375,15.375,14.25,15.1875,2723700,NEM
227,2000-11-24,14.9375,14.9375,14.5625,14.8125,586800,NEM
228,2000-11-27,15.125,15.9375,14.875,15.6875,2818000,NEM
229,2000-11-28,15.375,16.125,15.375,16.0625,1975300,NEM
230,2000-11-29,15.6875,15.8125,14.9375,15.25,1733400,NEM
231,2000-11-30,15.625,15.875,15.375,15.625,1796100,NEM
232,2000-12-01,15.875,16.375,15.5625,16.25,1605500,NEM
233,2000-12-04,16.5,16.9375,16.4375,16.625,1547000,NEM
234,2000-12-05,16.0,16.25,15.25,15.4375,2379800,NEM
235,2000-12-06,15.5625,16.9375,15.3125,16.75,2455800,NEM
236,2000-12-07,16.6875,17.0625,16.25,16.8125,1608800,NEM
237,2000-12-08,16.5,16.9375,16.1875,16.625,1576600,NEM
238,2000-12-11,16.375,16.4375,15.75,16.3125,1131000,NEM
239,2000-12-12,16.4375,16.625,16.3125,16.625,806000,NEM
240,2000-12-13,16.375,16.4375,15.25,15.6875,1350400,NEM
241,2000-12-14,15.5625,16.1875,15.5625,15.75,1504800,NEM
242,2000-12-15,15.5,16.5625,15.5,16.1875,1920100,NEM
243,2000-12-18,16.375,16.625,16.1875,16.5,1359500,NEM
244,2000-12-19,16.4375,16.75,16.3125,16.6875,847400,NEM
245,2000-12-20,17.375,18.25,17.1875,18.1875,3045000,NEM
246,2000-12-21,18.1875,18.1875,17.4375,17.75,2343500,NEM
247,2000-12-22,17.6875,17.6875,17.375,17.6875,1045700,NEM
248,2000-12-26,17.8125,18.125,17.75,17.9375,1055400,NEM
249,2000-12-27,17.75,17.9375,17.375,17.6875,1046500,NEM
250,2000-12-28,17.6875,17.75,17.3125,17.5625,896600,NEM
251,2000-12-29,17.4375,17.5,17.0,17.0625,1288200,NEM
252,2001-01-02,17.3125,18.1875,17.1875,17.9375,2589800,NEM
253,2001-01-03,17.875,17.9375,17.375,17.4375,2462500,NEM
254,2001-01-04,17.5,17.8125,17.0,17.125,1460600,NEM
255,2001-01-05,17.1875,17.625,16.75,16.875,1777600,NEM
256,2001-01-08,16.875,17.1875,16.75,16.9375,1066100,NEM
257,2001-01-09,16.625,16.75,16.125,16.625,2047200,NEM
258,2001-01-10,16.625,17.3125,16.5,16.8125,3004600,NEM
259,2001-01-11,16.8125,16.8125,16.5,16.5625,1182900,NEM
260,2001-01-12,16.4375,16.9375,16.125,16.875,1712700,NEM
261,2001-01-16,16.875,17.0,16.5,16.875,1552600,NEM
262,2001-01-17,16.6875,16.75,16.5,16.5,1423000,NEM
263,2001-01-18,16.625,16.75,16.4375,16.5,1540600,NEM
264,2001-01-19,16.5,16.75,16.1875,16.3125,1333700,NEM
265,2001-01-22,16.3125,17.5,16.3125,17.5,4216800,NEM
266,2001-01-23,17.25,17.3125,16.6875,16.875,2339500,NEM
267,2001-01-24,16.5625,16.625,15.75,16.0,2269000,NEM
268,2001-01-25,15.9375,16.1875,15.625,15.75,2086400,NEM
269,2001-01-26,15.8125,15.875,15.3125,15.75,1234500,NEM
270,2001-01-29,15.75,15.899999618530273,15.0,15.100000381469727,1982100,NEM
271,2001-01-30,15.479999542236328,15.739999771118164,15.199999809265137,15.59000015258789,3242300,NEM
272,2001-01-31,15.5,15.65999984741211,15.359999656677246,15.449999809265137,1249600,NEM
273,2001-02-01,15.739999771118164,15.920000076293945,15.300000190734863,15.649999618530273,2525100,NEM
274,2001-02-02,15.5,15.699999809265137,15.300000190734863,15.4399995803833,1709800,NEM
275,2001-02-05,15.399999618530273,15.399999618530273,15.109999656677246,15.220000267028809,1155800,NEM
276,2001-02-06,15.010000228881836,15.100000381469727,14.539999961853027,14.949999809265137,1801800,NEM
277,2001-02-07,14.850000381469727,15.100000381469727,14.460000038146973,15.079999923706055,1631500,NEM
278,2001-02-08,15.0,15.100000381469727,14.3100004196167,14.319999694824219,1753900,NEM
279,2001-02-09,14.399999618530273,14.899999618530273,14.34000015258789,14.449999809265137,1691400,NEM
280,2001-02-12,14.649999618530273,14.9399995803833,14.520000457763672,14.5600004196167,1202800,NEM
281,2001-02-13,14.600000381469727,14.899999618530273,14.449999809265137,14.460000038146973,1044000,NEM
282,2001-02-14,14.470000267028809,14.539999961853027,14.0,14.09000015258789,1377000,NEM
283,2001-02-15,14.149999618530273,14.399999618530273,14.020000457763672,14.130000114440918,1461700,NEM
284,2001-02-16,14.850000381469727,15.300000190734863,14.619999885559082,15.029999732971191,3782000,NEM
285,2001-02-20,15.1899995803833,15.1899995803833,14.670000076293945,14.8100004196167,1474100,NEM
286,2001-02-21,15.399999618530273,15.399999618530273,14.710000038146973,15.010000228881836,2225400,NEM
287,2001-02-22,15.0,15.390000343322754,14.90999984741211,15.359999656677246,2446400,NEM
288,2001-02-23,15.300000190734863,16.290000915527344,15.300000190734863,15.960000038146973,4616400,NEM
289,2001-02-26,16.25,17.139999389648438,16.110000610351562,17.06999969482422,3740100,NEM
290,2001-02-27,17.25,17.600000381469727,16.829999923706055,17.170000076293945,3848800,NEM
291,2001-02-28,17.06999969482422,17.06999969482422,16.399999618530273,16.850000381469727,2309500,NEM
292,2001-03-01,16.829999923706055,17.110000610351562,16.649999618530273,16.8799991607666,1759700,NEM
293,2001-03-02,16.5,16.940000534057617,16.389999389648438,16.600000381469727,1466300,NEM
294,2001-03-05,16.59000015258789,17.100000381469727,16.40999984741211,16.989999771118164,1285600,NEM
295,2001-03-06,16.75,16.790000915527344,16.459999084472656,16.68000030517578,1178300,NEM
296,2001-03-07,16.709999084472656,17.09000015258789,16.510000228881836,16.920000076293945,1096400,NEM
297,2001-03-08,16.989999771118164,18.93000030517578,16.950000762939453,18.850000381469727,4895800,NEM
298,2001-03-09,19.100000381469727,19.239999771118164,17.899999618530273,17.989999771118164,5050100,NEM
299,2001-03-12,18.149999618530273,18.670000076293945,18.0,18.0,3586700,NEM
