,Date,Open,High,Low,Close,Volume,Symbol
0,2000-01-03,19.375,20.0,18.75,19.0625,61240,NEU
1,2000-01-04,19.6875,19.6875,18.75,19.0625,19060,NEU
2,2000-01-05,19.375,19.375,18.75,19.0625,8640,NEU
3,2000-01-06,19.0625,19.375,18.4375,18.75,31640,NEU
4,2000-01-07,18.75,19.375,18.4375,19.0625,45860,NEU
5,2000-01-10,19.375,19.6875,19.375,19.375,17100,NEU
6,2000-01-11,19.375,20.0,19.375,19.6875,17260,NEU
7,2000-01-12,19.6875,19.6875,19.0625,19.375,27380,NEU
8,2000-01-13,19.375,19.6875,19.375,19.6875,14060,NEU
9,2000-01-14,19.6875,19.6875,19.0625,19.0625,16860,NEU
10,2000-01-18,19.375,19.6875,18.75,19.375,25420,NEU
11,2000-01-19,19.375,19.375,18.125,18.75,33760,NEU
12,2000-01-20,19.0625,19.0625,18.4375,18.75,17740,NEU
13,2000-01-21,19.0625,19.6875,18.75,19.375,22780,NEU
14,2000-01-24,19.0625,19.6875,18.75,19.375,20360,NEU
15,2000-01-25,19.6875,19.6875,19.375,19.375,19860,NEU
16,2000-01-26,19.6875,19.6875,19.375,19.6875,7380,NEU
17,2000-01-27,19.6875,19.6875,18.75,19.375,43720,NEU
18,2000-01-28,19.375,19.6875,18.75,19.375,26180,NEU
19,2000-01-31,19.375,19.375,18.4375,19.0625,14320,NEU
20,2000-02-01,19.375,19.6875,18.4375,19.0625,20440,NEU
21,2000-02-02,19.6875,19.6875,19.0625,19.375,15900,NEU
22,2000-02-03,19.6875,19.6875,19.0625,19.6875,21160,NEU
23,2000-02-04,19.6875,19.6875,17.8125,18.125,34600,NEU
24,2000-02-07,18.4375,18.75,17.8125,18.75,36260,NEU
25,2000-02-08,18.75,18.75,17.8125,18.4375,45480,NEU
26,2000-02-09,18.4375,18.4375,17.8125,18.125,12100,NEU
27,2000-02-10,17.8125,18.125,17.1875,17.5,86720,NEU
28,2000-02-11,17.5,17.5,16.25,16.5625,42940,NEU
29,2000-02-14,16.5625,17.1875,16.25,16.875,22060,NEU
30,2000-02-15,16.5625,17.1875,16.5625,16.875,21860,NEU
31,2000-02-16,16.25,16.875,15.9375,16.875,43400,NEU
