,Date,Open,High,Low,Close,Volume,Symbol
0,2000-01-03,34.75,34.75,32.75,33.5,9275,NLY
1,2000-01-04,33.25,33.75,33.0,33.25,10600,NLY
2,2000-01-05,33.5,33.75,33.0,33.0,4275,NLY
3,2000-01-06,33.5,33.75,32.75,32.75,4000,NLY
4,2000-01-07,33.25,34.0,33.25,34.0,6850,NLY
5,2000-01-10,34.0,34.25,33.75,34.0,2575,NLY
6,2000-01-11,33.75,34.0,33.25,33.5,6025,NLY
7,2000-01-12,33.25,33.5,33.25,33.5,2525,NLY
8,2000-01-13,33.5,34.0,33.25,33.75,3375,NLY
9,2000-01-14,33.75,34.5,33.25,33.5,7900,NLY
10,2000-01-18,34.0,34.0,33.25,33.25,4525,NLY
11,2000-01-19,33.25,33.5,33.25,33.25,4425,NLY
12,2000-01-20,33.5,33.5,33.25,33.25,6000,NLY
13,2000-01-21,33.5,33.5,33.0,33.0,4750,NLY
14,2000-01-24,33.25,33.5,33.0,33.0,7475,NLY
15,2000-01-25,33.5,33.5,33.0,33.5,8000,NLY
16,2000-01-26,34.0,34.25,33.5,34.0,5825,NLY
17,2000-01-27,34.25,35.0,33.5,35.0,6650,NLY
18,2000-01-28,35.0,35.25,34.5,35.25,7275,NLY
19,2000-01-31,35.5,35.5,34.0,34.5,10900,NLY
20,2000-02-01,34.5,34.5,32.75,33.0,17300,NLY
21,2000-02-02,33.0,33.75,33.0,33.75,19175,NLY
22,2000-02-03,33.5,33.5,32.0,32.25,18850,NLY
23,2000-02-04,32.0,32.75,32.0,32.0,21300,NLY
24,2000-02-07,32.5,32.5,31.25,31.75,13200,NLY
25,2000-02-08,31.25,31.25,30.5,31.0,12875,NLY
26,2000-02-09,31.0,31.0,30.25,31.0,16700,NLY
27,2000-02-10,31.0,31.0,30.5,31.0,15475,NLY
28,2000-02-11,31.0,32.0,30.0,30.5,31850,NLY
29,2000-02-14,30.5,30.5,28.75,29.0,13775,NLY
30,2000-02-15,29.0,31.0,29.0,31.0,13100,NLY
31,2000-02-16,31.0,32.25,31.0,31.75,5225,NLY
32,2000-02-17,31.25,33.0,31.25,32.25,4225,NLY
33,2000-02-18,32.5,32.5,31.75,32.0,9525,NLY
34,2000-02-22,32.0,32.5,31.5,31.75,12625,NLY
35,2000-02-23,32.25,32.25,32.0,32.0,2650,NLY
36,2000-02-24,32.25,32.25,32.0,32.25,2875,NLY
37,2000-02-25,32.0,32.5,32.0,32.5,3875,NLY
38,2000-02-28,32.25,32.25,31.5,31.75,6175,NLY
39,2000-02-29,31.75,32.0,31.5,32.0,14300,NLY
40,2000-03-01,32.0,32.25,31.75,32.0,2600,NLY
41,2000-03-02,32.25,32.25,31.75,32.25,14475,NLY
42,2000-03-03,32.25,33.75,32.0,33.5,13375,NLY
43,2000-03-06,33.0,34.25,33.0,34.0,8725,NLY
44,2000-03-07,34.0,34.0,32.75,32.75,13100,NLY
45,2000-03-08,32.75,34.0,31.75,33.0,20550,NLY
46,2000-03-09,32.5,33.25,31.75,32.5,10050,NLY
47,2000-03-10,33.0,33.0,32.0,32.25,4625,NLY
48,2000-03-13,32.75,34.0,32.5,33.5,6900,NLY
49,2000-03-14,33.5,34.0,33.0,33.0,5175,NLY
50,2000-03-15,33.0,33.5,32.5,33.0,7600,NLY
