,Date,Open,High,Low,Close,Volume,Symbol
0,2000-01-03,7.625,7.75,7.5,7.5625,357600,NSP
1,2000-01-04,7.46875,7.46875,7.125,7.3125,388800,NSP
2,2000-01-05,7.34375,7.34375,6.75,6.796875,239200,NSP
3,2000-01-06,6.75,6.75,5.5625,5.609375,606000,NSP
4,2000-01-07,5.609375,5.8125,5.1875,5.5625,348800,NSP
5,2000-01-10,5.59375,6.0,5.59375,5.9375,509600,NSP
6,2000-01-11,6.0,6.3125,5.9375,6.3125,146000,NSP
7,2000-01-12,6.34375,6.59375,6.03125,6.125,310800,NSP
8,2000-01-13,6.0625,6.125,6.0,6.03125,248400,NSP
9,2000-01-14,6.015625,6.46875,6.015625,6.4375,234800,NSP
10,2000-01-18,6.375,6.375,5.75,5.84375,473200,NSP
11,2000-01-19,5.859375,5.859375,5.71875,5.765625,291200,NSP
12,2000-01-20,5.765625,6.09375,5.71875,6.03125,295200,NSP
13,2000-01-21,6.09375,6.25,6.0625,6.25,268000,NSP
14,2000-01-24,6.3125,6.421875,6.3125,6.390625,185200,NSP
15,2000-01-25,6.390625,6.59375,6.375,6.5625,462400,NSP
16,2000-01-26,6.5625,7.125,6.5625,7.09375,978400,NSP
17,2000-01-27,7.1875,7.53125,6.84375,6.9375,1046400,NSP
18,2000-01-28,6.90625,6.90625,6.375,6.5,320400,NSP
19,2000-01-31,6.5,6.609375,6.359375,6.5625,204800,NSP
20,2000-02-01,6.53125,6.53125,6.25,6.3125,157200,NSP
21,2000-02-02,6.28125,6.3125,6.125,6.25,226000,NSP
22,2000-02-03,6.25,6.515625,6.234375,6.5,294800,NSP
23,2000-02-04,6.46875,6.484375,6.25,6.328125,134000,NSP
24,2000-02-07,6.328125,6.328125,6.1875,6.25,120400,NSP
25,2000-02-08,6.3125,6.34375,6.03125,6.03125,129200,NSP
26,2000-02-09,5.96875,6.15625,5.84375,6.015625,220800,NSP
27,2000-02-10,6.015625,6.03125,5.890625,5.984375,111200,NSP
28,2000-02-11,6.0,6.0,5.78125,5.859375,165200,NSP
29,2000-02-14,5.859375,5.9375,5.6875,5.9375,236000,NSP
30,2000-02-15,6.03125,7.234375,5.9375,6.9375,988800,NSP
31,2000-02-16,6.9375,7.296875,6.890625,7.125,717200,NSP
32,2000-02-17,7.140625,7.453125,7.015625,7.3125,440400,NSP
33,2000-02-18,7.34375,7.359375,6.96875,6.984375,250800,NSP
34,2000-02-22,6.921875,7.5,6.875,7.46875,319600,NSP
35,2000-02-23,7.5,7.65625,7.375,7.453125,281200,NSP
36,2000-02-24,7.484375,7.84375,7.40625,7.609375,223600,NSP
37,2000-02-25,7.609375,7.609375,7.40625,7.40625,107200,NSP
38,2000-02-28,7.375,8.734375,7.359375,8.5625,553200,NSP
39,2000-02-29,8.625,10.5,8.375,10.3125,2211600,NSP
40,2000-03-01,10.28125,10.46875,9.53125,10.0625,1053200,NSP
41,2000-03-02,10.0625,10.6875,9.96875,10.46875,862400,NSP
42,2000-03-03,10.3125,10.3125,9.75,9.765625,369200,NSP
43,2000-03-06,9.625,10.1875,9.4375,9.640625,616000,NSP
44,2000-03-07,9.578125,9.609375,9.40625,9.609375,81600,NSP
45,2000-03-08,9.59375,9.984375,9.59375,9.90625,347600,NSP
46,2000-03-09,9.96875,9.96875,9.765625,9.84375,342800,NSP
47,2000-03-10,9.84375,10.40625,9.734375,10.40625,325200,NSP
48,2000-03-13,10.40625,10.5,10.1875,10.359375,162000,NSP
49,2000-03-14,10.359375,10.359375,9.671875,10.03125,201600,NSP
50,2000-03-15,10.0625,10.0625,9.640625,9.6875,80400,NSP
51,2000-03-16,9.703125,9.96875,9.65625,9.890625,117200,NSP
52,2000-03-17,9.828125,9.828125,9.296875,9.40625,175600,NSP
53,2000-03-20,9.359375,9.375,9.125,9.1875,88400,NSP
54,2000-03-21,9.171875,9.171875,8.625,8.984375,285200,NSP
55,2000-03-22,9.015625,9.34375,8.921875,9.109375,235600,NSP
56,2000-03-23,9.140625,9.140625,9.0,9.09375,161200,NSP
57,2000-03-24,9.078125,9.3125,8.90625,8.953125,198400,NSP
58,2000-03-27,8.75,8.96875,8.703125,8.96875,131600,NSP
59,2000-03-28,9.3125,9.625,9.3125,9.5,362400,NSP
60,2000-03-29,9.46875,9.84375,9.453125,9.65625,386800,NSP
61,2000-03-30,9.671875,9.78125,9.609375,9.671875,72800,NSP
62,2000-03-31,9.671875,9.9375,9.59375,9.8125,354000,NSP
63,2000-04-03,9.75,10.21875,9.75,10.171875,153600,NSP
64,2000-04-04,10.203125,10.203125,9.0,9.15625,381600,NSP
65,2000-04-05,9.125,9.625,9.125,9.375,614000,NSP
66,2000-04-06,9.375,9.46875,9.125,9.140625,517200,NSP
67,2000-04-07,9.1875,9.359375,9.1875,9.25,44800,NSP
68,2000-04-10,9.21875,9.5,9.109375,9.140625,171200,NSP
69,2000-04-11,9.125,10.0,9.0,9.5,390400,NSP
70,2000-04-12,9.53125,10.109375,9.53125,10.0625,595600,NSP
71,2000-04-13,10.34375,11.140625,10.3125,10.984375,2016000,NSP
72,2000-04-14,10.984375,10.984375,9.640625,9.984375,654400,NSP
73,2000-04-17,9.859375,9.953125,8.53125,8.84375,805200,NSP
74,2000-04-18,8.90625,9.78125,8.90625,9.75,1189200,NSP
75,2000-04-19,9.75,9.75,8.625,9.5,1022400,NSP
76,2000-04-20,9.25,9.75,9.25,9.59765625,1471600,NSP
77,2000-04-24,9.4375,9.96875,9.125,9.84375,552800,NSP
78,2000-04-25,9.90625,10.171875,9.875,10.046875,523600,NSP
79,2000-04-26,10.03125,10.046875,9.9375,10.015625,222000,NSP
80,2000-04-27,9.96875,10.09375,9.859375,9.96875,412800,NSP
81,2000-04-28,9.984375,10.125,9.984375,10.0625,552800,NSP
82,2000-05-01,10.1875,11.6875,10.1875,11.625,1506800,NSP
83,2000-05-02,11.65625,11.96875,11.4375,11.734375,523200,NSP
84,2000-05-03,11.734375,12.046875,11.5625,11.625,731200,NSP
85,2000-05-04,11.609375,12.421875,11.59375,12.25,557200,NSP
86,2000-05-05,12.21875,12.515625,12.15625,12.5,533200,NSP
87,2000-05-08,12.515625,13.125,12.453125,13.125,684000,NSP
88,2000-05-09,12.9375,13.5,12.90625,13.25,829200,NSP
89,2000-05-10,13.28125,13.34375,13.109375,13.125,442000,NSP
90,2000-05-11,13.1875,13.34375,13.125,13.34375,685600,NSP
91,2000-05-12,13.375,13.640625,13.375,13.484375,581600,NSP
92,2000-05-15,13.484375,13.59375,13.375,13.4375,348400,NSP
93,2000-05-16,13.4375,13.4375,12.875,12.984375,410400,NSP
94,2000-05-17,12.859375,12.859375,11.90625,12.0625,869600,NSP
95,2000-05-18,12.0,12.0,11.296875,11.546875,578000,NSP
96,2000-05-19,11.4375,11.59375,11.21875,11.53125,490800,NSP
97,2000-05-22,11.5625,11.75,10.84375,11.078125,366400,NSP
98,2000-05-23,11.03125,11.046875,10.5,10.8125,300000,NSP
99,2000-05-24,10.875,11.25,10.859375,11.203125,256800,NSP
100,2000-05-25,11.203125,11.8125,11.203125,11.609375,270800,NSP
101,2000-05-26,11.625,11.890625,11.53125,11.890625,317200,NSP
102,2000-05-30,11.890625,12.3125,11.828125,12.21875,312400,NSP
103,2000-05-31,12.234375,13.0625,12.234375,12.984375,564400,NSP
104,2000-06-01,13.046875,13.46875,13.046875,13.25,538800,NSP
105,2000-06-02,13.265625,13.4375,13.21875,13.4375,817200,NSP
106,2000-06-05,13.5,14.46875,13.46875,14.28125,1182000,NSP
107,2000-06-06,14.28125,14.546875,14.28125,14.40625,440400,NSP
108,2000-06-07,14.40625,14.734375,13.953125,13.96875,316800,NSP
109,2000-06-08,14.0,14.75,13.9375,14.59375,460800,NSP
110,2000-06-09,14.65625,15.59375,14.65625,15.25,732800,NSP
111,2000-06-12,15.375,15.90625,15.375,15.53125,876800,NSP
112,2000-06-13,15.5,15.625,14.84375,15.109375,743600,NSP
113,2000-06-14,15.046875,15.0625,14.34375,14.515625,723200,NSP
114,2000-06-15,14.515625,14.8125,14.21875,14.71875,432800,NSP
115,2000-06-16,14.65625,15.84375,14.21875,15.765625,1023200,NSP
116,2000-06-19,15.703125,16.609375,15.578125,16.0,819600,NSP
117,2000-06-20,16.0625,16.234375,15.734375,15.875,980400,NSP
118,2000-06-21,15.8125,15.8125,15.40625,15.6875,581600,NSP
119,2000-06-22,15.71875,15.71875,15.34375,15.375,187200,NSP
120,2000-06-23,15.34375,15.34375,14.0625,14.5,693200,NSP
121,2000-06-26,14.4375,15.09375,14.1875,15.046875,486400,NSP
