Date,Open,High,Low,Close,Volume,Symbol
2000-01-03,9.1875,9.25,9.0,9.125,62600,NUS
2000-01-04,9.1875,9.25,9.0,9.0625,17800,NUS
2000-01-05,9.0625,9.0625,8.875,8.9375,19700,NUS
2000-01-06,8.9375,8.9375,8.75,8.8125,12600,NUS
2000-01-07,8.9375,9.0,8.75,8.875,33300,NUS
2000-01-10,8.4375,8.875,8.4375,8.875,57700,NUS
2000-01-11,8.9375,9.3125,8.875,9.25,71200,NUS
2000-01-12,9.3125,9.375,9.25,9.3125,74100,NUS
2000-01-13,9.3125,9.5,9.1875,9.1875,65700,NUS
2000-01-14,9.3125,9.3125,9.1875,9.25,48300,NUS
2000-01-18,9.125,9.25,9.0625,9.25,38300,NUS
2000-01-19,9.125,9.25,9.125,9.1875,70800,NUS
2000-01-20,9.1875,9.25,9.0625,9.25,34800,NUS
2000-01-21,9.375,9.375,9.125,9.1875,52300,NUS
2000-01-24,9.125,9.25,9.0625,9.125,39800,NUS
2000-01-25,9.125,9.125,8.625,8.625,37500,NUS
2000-01-26,8.625,8.875,8.25,8.25,131700,NUS
2000-01-27,8.25,8.5,8.25,8.5,22100,NUS
2000-01-28,8.5,8.5,8.3125,8.3125,84200,NUS
2000-01-31,8.375,8.4375,8.25,8.375,27500,NUS
2000-02-01,8.5,8.5,8.3125,8.4375,22900,NUS
2000-02-02,8.375,8.375,8.125,8.125,39300,NUS
2000-02-03,8.1875,8.25,8.0,8.25,27800,NUS
2000-02-04,8.25,8.25,8.125,8.25,16000,NUS
2000-02-07,8.25,8.25,8.0,8.1875,30600,NUS
2000-02-08,8.0625,8.0625,7.875,8.0625,166700,NUS
2000-02-09,8.1875,9.25,8.0625,8.6875,72700,NUS
2000-02-10,9.25,10.125,9.25,9.9375,103100,NUS
2000-02-11,9.8125,9.875,9.625,9.75,40300,NUS
2000-02-14,10.375,10.375,9.5,9.5,95900,NUS
2000-02-15,9.5,10.0,9.5,9.9375,69100,NUS
2000-02-16,10.0625,10.0625,9.6875,9.6875,37100,NUS
2000-02-17,9.8125,10.25,9.75,10.125,60000,NUS
2000-02-18,10.25,10.375,9.875,10.0,34800,NUS
2000-02-22,10.25,10.25,9.875,9.875,64400,NUS
2000-02-23,10.125,10.125,9.6875,9.75,33400,NUS
2000-02-24,9.75,9.75,9.5,9.625,39700,NUS
2000-02-25,9.875,9.875,9.625,9.625,24400,NUS
2000-02-28,9.625,9.625,9.0,9.125,62700,NUS
2000-02-29,8.8125,9.1875,8.75,8.9375,58400,NUS
2000-03-01,8.875,9.125,8.8125,8.9375,56800,NUS
2000-03-02,9.0625,9.5,9.0,9.25,56100,NUS
2000-03-03,9.375,9.5,9.25,9.4375,26900,NUS
