Date,Open,High,Low,Close,Volume,Symbol
2000-01-03,110.0,110.625,105.0,105.625,145420,ODP
2000-01-04,105.0,105.625,103.75,104.375,134220,ODP
2000-01-05,104.375,107.5,103.125,106.875,142050,ODP
2000-01-06,106.25,106.875,102.5,105.0,127960,ODP
2000-01-07,106.875,108.75,106.25,107.5,210400,ODP
2000-01-10,109.375,111.875,108.125,111.25,355470,ODP
2000-01-11,110.0,111.25,106.25,106.875,147810,ODP
2000-01-12,107.5,108.125,103.75,105.0,268660,ODP
2000-01-13,106.25,106.875,105.0,106.25,222610,ODP
2000-01-14,107.5,110.0,106.25,106.25,229350,ODP
2000-01-18,106.25,108.75,100.0,100.0,153330,ODP
2000-01-19,105.625,107.5,105.0,105.0,212610,ODP
2000-01-20,105.625,108.75,105.625,108.125,242200,ODP
2000-01-21,108.125,108.125,104.375,104.375,488200,ODP
2000-01-24,105.625,106.25,101.25,102.5,306660,ODP
2000-01-25,100.625,104.375,100.625,103.125,220640,ODP
2000-01-26,102.5,103.125,100.625,101.25,250670,ODP
2000-01-27,101.875,102.5,100.625,101.25,194760,ODP
2000-01-28,101.25,101.875,100.0,100.0,268150,ODP
2000-01-31,100.0,101.875,99.375,100.0,361370,ODP
2000-02-01,100.625,103.125,100.625,101.25,137940,ODP
2000-02-02,101.25,101.875,98.75,101.875,420860,ODP
2000-02-03,105.0,110.625,104.375,108.75,311180,ODP
2000-02-04,108.75,121.875,108.75,118.75,463140,ODP
2000-02-07,118.125,121.875,115.625,118.125,272730,ODP
2000-02-08,117.5,121.875,117.5,120.0,231080,ODP
2000-02-09,120.0,126.25,118.75,126.25,275410,ODP
2000-02-10,130.625,148.75,128.75,136.25,1286340,ODP
2000-02-11,143.75,143.75,125.0,130.0,1070660,ODP
2000-02-14,127.5,130.0,125.625,128.75,263360,ODP
2000-02-15,125.0,127.5,122.5,123.75,213480,ODP
2000-02-16,124.375,124.375,120.625,122.5,233960,ODP
2000-02-17,120.0,121.25,116.25,118.125,346340,ODP
2000-02-18,118.125,121.875,116.875,120.625,198670,ODP
2000-02-22,119.375,124.375,118.75,120.0,140430,ODP
2000-02-23,118.75,120.625,118.125,120.0,117740,ODP
2000-02-24,120.625,121.25,119.375,120.625,219440,ODP
2000-02-25,121.25,121.25,118.75,119.375,179640,ODP
2000-02-28,118.75,122.5,118.75,120.0,159010,ODP
2000-02-29,121.25,124.375,120.625,121.875,238070,ODP
2000-03-01,121.25,123.125,120.625,121.875,165030,ODP
2000-03-02,121.25,122.5,118.125,118.75,323280,ODP
2000-03-03,119.375,120.0,115.625,116.875,210760,ODP
2000-03-06,116.875,118.75,111.25,111.25,128950,ODP
2000-03-07,112.5,116.875,108.125,108.75,263440,ODP
2000-03-08,108.75,109.375,104.375,106.875,286540,ODP
2000-03-09,105.625,106.25,103.75,103.75,168910,ODP
2000-03-10,105.0,107.5,104.375,104.375,217320,ODP
2000-03-13,100.0,104.375,99.375,103.75,749930,ODP
2000-03-14,103.75,104.375,101.875,102.5,285010,ODP
2000-03-15,103.125,110.625,102.5,110.0,423080,ODP
2000-03-16,110.0,123.125,109.375,121.875,454860,ODP
2000-03-17,113.75,120.625,111.25,114.375,238770,ODP
2000-03-20,113.75,114.375,111.25,112.5,137170,ODP
2000-03-21,112.5,116.25,111.25,115.625,167250,ODP
2000-03-22,115.0,117.5,112.5,112.5,143620,ODP
2000-03-23,110.625,116.25,110.625,115.0,237500,ODP
2000-03-24,115.0,115.0,113.125,113.125,161210,ODP
2000-03-27,113.75,115.625,113.125,113.75,131950,ODP
2000-03-28,112.5,116.25,112.5,113.75,139810,ODP
2000-03-29,114.375,119.375,114.375,118.125,184800,ODP
2000-03-30,115.625,117.5,115.0,115.625,121320,ODP
2000-03-31,116.875,120.0,115.625,115.625,195800,ODP
2000-04-03,115.625,125.625,115.625,123.75,192480,ODP
2000-04-04,122.5,123.75,111.25,117.5,244830,ODP
2000-04-05,116.25,118.125,114.375,115.625,129410,ODP
2000-04-06,116.875,120.625,116.25,120.0,97750,ODP
2000-04-07,120.0,125.625,120.0,123.125,240440,ODP
2000-04-10,123.125,130.0,123.125,130.0,282670,ODP
2000-04-11,129.375,138.125,126.875,135.625,500630,ODP
2000-04-12,136.25,143.75,136.25,141.875,445270,ODP
2000-04-13,145.0,147.5,127.5,130.0,491420,ODP
2000-04-14,126.25,126.875,121.875,123.75,328340,ODP
2000-04-17,121.25,126.25,121.25,121.875,270060,ODP
2000-04-18,120.625,128.75,120.625,128.75,224680,ODP
2000-04-19,125.625,126.25,123.125,125.0,117710,ODP
2000-04-20,125.625,125.625,121.25,124.375,74200,ODP
2000-04-24,120.0,123.75,115.625,118.75,141930,ODP
2000-04-25,118.75,121.25,116.25,118.75,145090,ODP
2000-04-26,120.0,120.625,111.25,111.875,218760,ODP
2000-04-27,108.75,110.0,105.0,106.875,377860,ODP
2000-04-28,106.875,108.125,105.625,106.25,274460,ODP
2000-05-01,105.0,110.0,103.75,108.75,203050,ODP
2000-05-02,105.625,110.625,105.625,109.375,216320,ODP
2000-05-03,108.125,108.125,103.125,107.5,305020,ODP
2000-05-04,106.25,108.75,105.0,108.75,202510,ODP
2000-05-05,107.5,111.875,106.25,111.25,251030,ODP
2000-05-08,110.0,111.875,108.75,111.25,88270,ODP
2000-05-09,111.25,111.875,108.75,109.375,90590,ODP
2000-05-10,108.125,109.375,104.375,106.25,143110,ODP
2000-05-11,107.5,110.0,106.25,108.75,118090,ODP
2000-05-12,109.375,111.875,108.75,110.0,68810,ODP
2000-05-15,108.75,113.75,108.75,112.5,82720,ODP
2000-05-16,113.75,115.0,112.5,112.5,84560,ODP
2000-05-17,111.875,112.5,109.375,111.25,72210,ODP
2000-05-18,111.25,112.5,108.75,109.375,45450,ODP
2000-05-19,108.125,108.75,106.25,106.875,44990,ODP
2000-05-22,107.5,108.125,105.0,105.625,58590,ODP
2000-05-23,105.625,108.125,105.0,105.625,83910,ODP
2000-05-24,105.625,106.875,105.0,105.625,187980,ODP
2000-05-25,105.625,106.875,104.375,105.0,112990,ODP
2000-05-26,78.75,79.375,68.75,76.25,1607050,ODP
2000-05-30,75.625,75.625,68.75,70.0,1084030,ODP
2000-05-31,70.625,75.0,70.0,70.0,705880,ODP
2000-06-01,71.875,73.125,70.0,71.25,732910,ODP
2000-06-02,71.25,74.375,71.25,73.75,447480,ODP
2000-06-05,74.375,75.0,70.0,71.875,294600,ODP
2000-06-06,71.875,73.125,69.375,70.0,551020,ODP
2000-06-07,70.0,70.0,67.5,68.75,201110,ODP
2000-06-08,68.75,71.25,68.125,69.375,232720,ODP
2000-06-09,70.0,70.0,67.5,68.125,203400,ODP
2000-06-12,68.75,70.0,67.5,69.375,252510,ODP
2000-06-13,69.375,70.0,68.125,68.75,291400,ODP
2000-06-14,68.75,69.375,68.125,68.125,340030,ODP
2000-06-15,69.375,70.0,68.75,68.75,212380,ODP
2000-06-16,68.75,69.375,67.5,67.5,249600,ODP
2000-06-19,68.75,68.75,67.5,67.5,136960,ODP
2000-06-20,67.5,69.375,65.625,65.625,209710,ODP
2000-06-21,66.25,66.875,63.125,64.375,172050,ODP
2000-06-22,64.375,65.0,62.5,63.125,282520,ODP
2000-06-23,63.75,64.375,60.0,61.875,215250,ODP
2000-06-26,61.875,62.5,60.625,61.25,164070,ODP
2000-06-27,61.25,62.5,60.625,61.875,148110,ODP
2000-06-28,62.5,63.125,61.25,61.25,159690,ODP
2000-06-29,61.25,62.5,61.25,61.25,140860,ODP
2000-06-30,61.875,63.59375,61.25,62.5,194630,ODP
2000-07-03,62.5,66.25,62.5,66.25,137020,ODP
2000-07-05,66.25,66.25,64.375,64.375,147420,ODP
2000-07-06,65.0,68.125,64.375,66.25,193920,ODP
2000-07-07,67.5,70.625,66.875,70.0,457980,ODP
2000-07-10,70.0,71.25,69.375,70.625,290130,ODP
2000-07-11,70.625,72.5,68.75,70.0,377520,ODP
2000-07-12,70.0,70.0,61.25,66.25,467630,ODP
2000-07-13,66.875,67.5,62.5,64.375,1163560,ODP
2000-07-14,64.375,65.0,61.875,62.5,619310,ODP
2000-07-17,62.5,63.75,61.25,63.75,186740,ODP
2000-07-18,63.75,69.375,63.125,66.25,832950,ODP
2000-07-19,66.875,67.5,65.625,66.25,330760,ODP
2000-07-20,66.875,67.5,65.0,65.625,386930,ODP
2000-07-21,66.875,68.75,65.625,65.625,448010,ODP
2000-07-24,65.625,66.25,63.75,65.0,264550,ODP
2000-07-25,65.0,65.625,63.75,65.0,259630,ODP
2000-07-26,64.375,65.0,60.0,60.625,289920,ODP
2000-07-27,61.25,61.875,58.75,61.875,489480,ODP
2000-07-28,61.875,62.5,61.25,61.875,165680,ODP
2000-07-31,61.25,63.125,61.25,62.5,368750,ODP
2000-08-01,61.875,65.0,61.875,65.0,374820,ODP
2000-08-02,65.625,69.375,65.0,66.875,609210,ODP
2000-08-03,66.25,67.5,65.0,66.25,153480,ODP
2000-08-04,66.25,68.75,66.25,68.125,422420,ODP
2000-08-07,68.75,71.875,67.5,71.875,274250,ODP
2000-08-08,71.25,74.375,70.625,73.125,326510,ODP
2000-08-09,71.875,73.125,70.625,73.125,223900,ODP
2000-08-10,73.125,75.625,72.5,75.625,289720,ODP
2000-08-11,76.875,79.375,75.0,78.125,231610,ODP
2000-08-14,78.75,79.375,76.25,78.125,165900,ODP
2000-08-15,77.5,77.5,75.0,75.0,146440,ODP
2000-08-16,75.625,76.25,73.125,73.125,173500,ODP
2000-08-17,74.375,76.875,74.375,76.25,157930,ODP
2000-08-18,76.25,78.125,76.25,76.875,121150,ODP
2000-08-21,78.125,81.875,77.5,81.875,235390,ODP
2000-08-22,80.625,81.875,78.75,80.0,316140,ODP
2000-08-23,78.75,81.25,78.75,80.625,200100,ODP
2000-08-24,80.625,80.625,79.375,80.0,133010,ODP
2000-08-25,80.0,80.625,78.75,80.0,180140,ODP
2000-08-28,80.0,81.25,79.375,79.375,212000,ODP
2000-08-29,80.0,80.625,75.0,75.0,360770,ODP
2000-08-30,77.5,77.5,73.125,75.0,467830,ODP
2000-08-31,73.75,74.375,72.5,73.28125,284040,ODP
2000-09-01,73.125,74.375,71.875,73.75,261210,ODP
2000-09-05,74.375,76.875,73.75,75.625,194510,ODP
2000-09-06,76.25,76.875,74.375,75.0,241860,ODP
2000-09-07,75.0,78.125,75.0,77.5,235700,ODP
2000-09-08,78.125,79.375,76.875,77.5,343210,ODP
2000-09-11,76.875,81.875,76.875,80.0,197980,ODP
2000-09-12,80.0,81.875,79.375,80.625,233610,ODP
2000-09-13,81.25,83.125,80.0,80.0,183220,ODP
2000-09-14,81.875,81.875,79.375,81.25,194980,ODP
2000-09-15,80.625,81.25,79.375,80.625,222950,ODP
2000-09-18,80.0,80.625,78.125,80.0,106900,ODP
2000-09-19,78.75,79.375,76.25,76.25,146090,ODP
