,Date,Open,High,Low,Close,Volume,Symbol
0,2000-01-03,4.40625,4.4375,4.25,4.25,88400,PAG
1,2000-01-04,4.25,4.375,4.25,4.25,70200,PAG
2,2000-01-05,4.25,4.34375,4.25,4.3125,64000,PAG
3,2000-01-06,4.25,4.375,4.25,4.34375,20200,PAG
4,2000-01-07,4.40625,4.8125,4.40625,4.59375,53800,PAG
5,2000-01-10,4.59375,4.9375,4.59375,4.875,232800,PAG
6,2000-01-11,4.875,4.875,4.8125,4.84375,53400,PAG
7,2000-01-12,4.8125,4.875,4.78125,4.875,85000,PAG
8,2000-01-13,4.8125,5.0,4.8125,4.96875,54600,PAG
9,2000-01-14,4.96875,5.0,4.875,4.875,113600,PAG
10,2000-01-18,4.875,4.9375,4.875,4.9375,44000,PAG
11,2000-01-19,4.90625,5.0,4.90625,4.9375,38600,PAG
12,2000-01-20,4.90625,4.90625,4.875,4.90625,124200,PAG
13,2000-01-21,4.875,4.9375,4.875,4.90625,61800,PAG
14,2000-01-24,4.90625,4.9375,4.875,4.875,226800,PAG
15,2000-01-25,4.875,4.90625,4.84375,4.875,74000,PAG
16,2000-01-26,4.875,4.90625,4.875,4.90625,325200,PAG
17,2000-01-27,4.90625,4.90625,4.875,4.90625,40200,PAG
18,2000-01-28,4.875,4.90625,4.875,4.90625,49000,PAG
19,2000-01-31,4.9375,4.9375,4.875,4.90625,29800,PAG
20,2000-02-01,4.90625,4.96875,4.90625,4.9375,127200,PAG
21,2000-02-02,4.96875,4.96875,4.9375,4.9375,167200,PAG
22,2000-02-03,4.9375,5.0625,4.9375,5.0625,165600,PAG
23,2000-02-04,5.0,5.1875,5.0,5.15625,73200,PAG
24,2000-02-07,5.1875,5.1875,5.0625,5.1875,45000,PAG
25,2000-02-08,5.1875,5.25,5.15625,5.1875,34600,PAG
26,2000-02-09,5.1875,5.1875,5.125,5.15625,79800,PAG
27,2000-02-10,5.125,5.125,5.0,5.03125,62800,PAG
28,2000-02-11,5.0,5.0,4.75,4.8125,80400,PAG
29,2000-02-14,4.78125,4.84375,4.78125,4.8125,94000,PAG
30,2000-02-15,4.78125,4.84375,4.75,4.75,35200,PAG
31,2000-02-16,4.6875,4.75,4.59375,4.625,50800,PAG
32,2000-02-17,4.65625,4.65625,4.5,4.59375,59800,PAG
33,2000-02-18,4.5625,4.5625,4.375,4.40625,41200,PAG
34,2000-02-22,4.34375,4.375,4.1875,4.1875,37400,PAG
35,2000-02-23,4.1875,4.25,4.1875,4.1875,60600,PAG
36,2000-02-24,4.21875,4.21875,3.875,3.9375,45800,PAG
37,2000-02-25,4.0,4.0,3.9375,3.9375,27600,PAG
38,2000-02-28,3.96875,4.0,3.90625,3.96875,31800,PAG
39,2000-02-29,3.96875,4.1875,3.90625,4.1875,46800,PAG
40,2000-03-01,4.21875,4.28125,4.1875,4.1875,25400,PAG
41,2000-03-02,4.21875,4.21875,4.0625,4.09375,53400,PAG
42,2000-03-03,4.09375,4.09375,3.96875,3.96875,17600,PAG
43,2000-03-06,4.0,4.0,3.875,3.875,53200,PAG
44,2000-03-07,3.875,3.90625,3.8125,3.875,94800,PAG
45,2000-03-08,3.875,3.90625,3.8125,3.90625,31800,PAG
46,2000-03-09,3.875,3.875,3.8125,3.84375,101600,PAG
47,2000-03-10,3.90625,3.90625,3.78125,3.78125,95800,PAG
48,2000-03-13,3.78125,3.84375,3.75,3.75,73400,PAG
49,2000-03-14,3.75,3.78125,3.71875,3.71875,39600,PAG
50,2000-03-15,3.71875,3.8125,3.59375,3.78125,126200,PAG
51,2000-03-16,3.78125,4.0625,3.75,4.0625,847400,PAG
52,2000-03-17,4.0,4.34375,4.0,4.34375,43600,PAG
53,2000-03-20,4.53125,4.8125,4.5,4.8125,103200,PAG
54,2000-03-21,4.75,4.75,4.625,4.71875,19600,PAG
