,Date,Open,High,Low,Close,Volume,Symbol
0,2000-01-03,19.9375,19.9375,19.75,19.8125,36200,PLD
1,2000-01-04,19.9375,19.9375,19.0,19.5,148500,PLD
2,2000-01-05,19.0,19.25,18.8125,19.25,178700,PLD
3,2000-01-06,19.375,19.8125,19.375,19.625,452800,PLD
4,2000-01-07,19.75,20.0,19.75,20.0,290700,PLD
5,2000-01-10,20.0,20.1875,19.9375,20.125,158200,PLD
6,2000-01-11,20.125,20.3125,20.0,20.1875,146000,PLD
7,2000-01-12,20.25,20.25,20.0,20.0,120000,PLD
8,2000-01-13,20.0,20.1875,19.9375,19.9375,85400,PLD
9,2000-01-14,20.0,20.0,19.75,19.75,80500,PLD
10,2000-01-18,19.875,20.6875,19.75,20.0625,548000,PLD
11,2000-01-19,20.125,20.3125,20.0625,20.1875,77100,PLD
12,2000-01-20,20.25,20.3125,20.125,20.3125,271000,PLD
13,2000-01-21,20.375,20.5,20.3125,20.4375,95000,PLD
14,2000-01-24,20.5,20.5,20.375,20.375,34600,PLD
15,2000-01-25,20.375,20.5625,20.375,20.4375,100400,PLD
16,2000-01-26,20.5,20.5625,20.4375,20.5,151100,PLD
17,2000-01-27,20.5,20.625,20.5,20.5625,59100,PLD
18,2000-01-28,20.625,20.625,20.4375,20.5,118700,PLD
19,2000-01-31,20.5,20.5,20.4375,20.4375,94800,PLD
20,2000-02-01,20.5,20.625,20.4375,20.5625,366600,PLD
21,2000-02-02,20.625,20.625,20.5,20.5,238200,PLD
22,2000-02-03,20.5625,20.625,20.5,20.5625,380400,PLD
23,2000-02-04,20.5625,20.5625,20.4375,20.5,101300,PLD
24,2000-02-07,20.375,20.625,20.375,20.5625,230300,PLD
25,2000-02-08,20.5,20.5625,20.375,20.4375,88000,PLD
26,2000-02-09,20.375,20.6875,20.25,20.4375,143500,PLD
27,2000-02-10,20.4375,20.5625,20.375,20.4375,93300,PLD
28,2000-02-11,20.5,20.6875,20.0625,20.0625,43200,PLD
29,2000-02-14,20.0625,20.375,20.0,20.3125,153200,PLD
30,2000-02-15,20.5625,20.625,20.375,20.625,144800,PLD
31,2000-02-16,20.625,20.6875,20.5,20.625,117900,PLD
32,2000-02-17,20.5,20.5625,20.4375,20.5625,102100,PLD
33,2000-02-18,20.5625,20.5625,20.3125,20.5,79300,PLD
34,2000-02-22,20.25,20.5625,20.25,20.5625,195500,PLD
35,2000-02-23,20.625,20.625,20.4375,20.5,103200,PLD
36,2000-02-24,20.5,20.5,20.1875,20.4375,235900,PLD
37,2000-02-25,20.25,20.25,20.125,20.25,43400,PLD
38,2000-02-28,20.125,20.25,20.0,20.125,135400,PLD
39,2000-02-29,20.1875,20.25,20.0,20.1875,172000,PLD
40,2000-03-01,20.25,20.25,20.0625,20.1875,169500,PLD
41,2000-03-02,20.25,20.25,20.0625,20.125,73300,PLD
42,2000-03-03,20.1875,20.1875,20.0625,20.0625,103400,PLD
43,2000-03-06,20.0,20.1875,19.9375,20.1875,106600,PLD
44,2000-03-07,20.0625,20.1875,20.0625,20.1875,170700,PLD
45,2000-03-08,20.125,20.3125,20.125,20.25,263200,PLD
46,2000-03-09,20.375,20.375,20.0625,20.1875,184000,PLD
47,2000-03-10,20.25,20.25,20.0,20.1875,201000,PLD
48,2000-03-13,20.125,20.25,20.0625,20.1875,681900,PLD
49,2000-03-14,20.25,20.375,20.1875,20.375,156800,PLD
50,2000-03-15,20.4375,20.75,20.375,20.75,372100,PLD
51,2000-03-16,20.75,20.9375,20.75,20.9375,337100,PLD
52,2000-03-17,20.9375,21.0625,20.875,20.9375,333000,PLD
53,2000-03-20,21.0,21.125,20.9375,21.0,73400,PLD
54,2000-03-21,20.875,21.0625,20.875,21.0,119400,PLD
55,2000-03-22,21.0625,21.375,21.0,21.375,215100,PLD
56,2000-03-23,21.3125,21.5,21.3125,21.5,512700,PLD
57,2000-03-24,21.5,21.5,21.3125,21.375,58700,PLD
58,2000-03-27,21.375,21.4375,21.1875,21.3125,66100,PLD
59,2000-03-28,21.3125,21.4375,21.0,21.125,30100,PLD
60,2000-03-29,21.125,21.25,21.0,21.1875,42800,PLD
61,2000-03-30,21.25,21.25,21.125,21.1875,50400,PLD
62,2000-03-31,21.0625,21.5,21.0,21.5,232900,PLD
63,2000-04-03,21.125,21.25,21.0,21.25,135700,PLD
64,2000-04-04,21.4375,21.4375,21.25,21.4375,188500,PLD
65,2000-04-05,21.375,21.5,21.375,21.375,145000,PLD
66,2000-04-06,21.375,21.4375,21.1875,21.3125,148500,PLD
67,2000-04-07,21.3125,21.375,21.25,21.3125,214300,PLD
68,2000-04-10,21.3125,21.375,21.25,21.375,270000,PLD
69,2000-04-11,21.375,21.625,21.1875,21.5,370300,PLD
70,2000-04-12,21.5,21.75,21.375,21.625,192300,PLD
71,2000-04-13,21.6875,21.75,21.5,21.75,357300,PLD
72,2000-04-14,21.5625,21.625,21.3125,21.625,123100,PLD
73,2000-04-17,21.5625,21.625,21.5,21.5625,139000,PLD
74,2000-04-18,21.625,21.75,21.5625,21.75,238500,PLD
75,2000-04-19,21.75,22.0,21.75,22.0,253500,PLD
76,2000-04-20,21.75,21.9375,21.75,21.875,177400,PLD
77,2000-04-24,21.9375,22.0,21.8125,22.0,123200,PLD
78,2000-04-25,21.9375,22.0,21.875,22.0,116300,PLD
79,2000-04-26,22.0,22.0625,21.9375,22.0625,270900,PLD
80,2000-04-27,22.0625,22.125,21.625,22.0,172400,PLD
81,2000-04-28,22.0,22.125,21.9375,22.0625,230300,PLD
82,2000-05-01,22.0625,22.625,22.0625,22.5625,300700,PLD
83,2000-05-02,22.625,23.125,22.5625,22.875,659500,PLD
84,2000-05-03,22.875,23.0,22.8125,22.875,162600,PLD
85,2000-05-04,22.875,23.0625,22.75,22.8125,407500,PLD
86,2000-05-05,23.0,23.0625,22.8125,22.875,79400,PLD
87,2000-05-08,22.875,22.875,22.6875,22.75,39300,PLD
88,2000-05-09,22.75,23.0,22.75,23.0,337300,PLD
89,2000-05-10,23.0,23.0,22.8125,22.8125,153200,PLD
90,2000-05-11,22.9375,22.9375,22.6875,22.75,199700,PLD
91,2000-05-12,22.75,22.9375,22.5,22.875,209600,PLD
92,2000-05-15,22.9375,23.0,22.8125,22.9375,220800,PLD
93,2000-05-16,22.9375,23.0,22.875,22.9375,60900,PLD
94,2000-05-17,22.875,22.875,22.625,22.6875,62000,PLD
95,2000-05-18,22.625,22.6875,22.5,22.5,58400,PLD
96,2000-05-19,22.5,22.5,22.0,22.25,485500,PLD
97,2000-05-22,22.3125,22.4375,22.0,22.25,271400,PLD
98,2000-05-23,22.25,22.5625,22.0,22.5,308700,PLD
99,2000-05-24,22.375,22.5625,22.375,22.4375,245400,PLD
100,2000-05-25,22.3125,22.5,22.1875,22.4375,39100,PLD
101,2000-05-26,22.5,22.5625,22.4375,22.5625,16300,PLD
102,2000-05-30,22.5625,22.5625,22.4375,22.5,46300,PLD
103,2000-05-31,22.5,22.5625,22.4375,22.5,43800,PLD
104,2000-06-01,22.5625,22.5625,22.375,22.4375,83400,PLD
105,2000-06-02,22.4375,22.5,22.375,22.4375,78200,PLD
106,2000-06-05,22.5625,22.5625,22.375,22.4375,81100,PLD
107,2000-06-06,22.4375,22.5625,22.4375,22.5625,142600,PLD
108,2000-06-07,22.625,22.875,22.625,22.6875,127600,PLD
109,2000-06-08,22.75,22.875,22.75,22.875,124100,PLD
110,2000-06-09,22.8125,22.875,22.8125,22.8125,107900,PLD
111,2000-06-12,22.875,22.9375,22.75,22.875,159700,PLD
112,2000-06-13,22.9375,23.0,22.875,23.0,309000,PLD
113,2000-06-14,23.0,23.25,22.9375,23.1875,623700,PLD
114,2000-06-15,23.0625,23.25,23.0625,23.1875,151200,PLD
115,2000-06-16,23.25,23.375,23.0,23.0625,345300,PLD
116,2000-06-19,23.125,23.3125,23.0625,23.125,43900,PLD
117,2000-06-20,23.25,23.375,23.1875,23.375,72200,PLD
118,2000-06-21,23.25,23.375,23.25,23.375,43600,PLD
119,2000-06-22,23.375,23.5,23.1875,23.5,74300,PLD
120,2000-06-23,23.5,23.5,23.1875,23.375,99900,PLD
121,2000-06-26,23.4375,23.5,23.3125,23.3125,351500,PLD
122,2000-06-27,23.3125,23.375,23.25,23.3125,118500,PLD
123,2000-06-28,23.375,23.4375,23.25,23.375,56100,PLD
124,2000-06-29,23.4375,23.625,23.375,23.625,243600,PLD
125,2000-06-30,23.25,23.25,22.8125,22.828125,307100,PLD
126,2000-07-03,22.6875,23.0625,22.6875,23.0,27800,PLD
127,2000-07-05,23.25,23.375,23.0,23.3125,196900,PLD
128,2000-07-06,23.375,23.875,23.3125,23.8125,241300,PLD
129,2000-07-07,23.8125,23.9375,23.75,23.9375,332200,PLD
130,2000-07-10,23.9375,24.0,23.875,24.0,59600,PLD
131,2000-07-11,24.0,24.0,23.75,23.9375,183800,PLD
132,2000-07-12,24.0,24.0,23.75,23.8125,342300,PLD
133,2000-07-13,23.9375,23.9375,23.8125,23.875,108400,PLD
134,2000-07-14,23.8125,23.875,23.5,23.6875,110100,PLD
135,2000-07-17,23.625,23.75,23.5,23.75,80600,PLD
136,2000-07-18,23.8125,23.8125,23.625,23.75,55800,PLD
137,2000-07-19,23.75,23.75,23.5,23.5,99700,PLD
138,2000-07-20,23.5,23.5625,23.4375,23.5,152900,PLD
139,2000-07-21,23.5,23.625,23.0,23.5625,654200,PLD
140,2000-07-24,23.6875,23.75,23.625,23.75,191100,PLD
141,2000-07-25,23.75,23.75,23.6875,23.6875,123000,PLD
142,2000-07-26,23.625,23.75,23.5,23.75,220300,PLD
143,2000-07-27,23.75,24.0,23.75,24.0,410800,PLD
144,2000-07-28,24.0,24.0,23.75,23.875,791800,PLD
145,2000-07-31,23.875,24.0,23.8125,23.875,225600,PLD
146,2000-08-01,23.9375,24.0,23.875,24.0,320800,PLD
147,2000-08-02,24.0,24.1875,23.9375,24.0,361100,PLD
148,2000-08-03,23.9375,24.0,23.875,24.0,168200,PLD
149,2000-08-04,24.0,24.0,23.75,23.875,183100,PLD
150,2000-08-07,23.9375,23.9375,23.75,23.8125,165600,PLD
151,2000-08-08,23.75,23.9375,23.75,23.875,47900,PLD
152,2000-08-09,23.875,23.9375,23.75,23.8125,101700,PLD
153,2000-08-10,23.875,24.0,23.875,24.0,147300,PLD
154,2000-08-11,24.0,24.1875,23.9375,24.125,88100,PLD
155,2000-08-14,24.125,24.25,24.0625,24.25,154100,PLD
156,2000-08-15,24.25,24.3125,24.125,24.25,242000,PLD
157,2000-08-16,24.3125,24.375,24.125,24.375,353600,PLD
158,2000-08-17,24.375,24.375,24.25,24.3125,164100,PLD
159,2000-08-18,24.1875,24.3125,24.1875,24.25,87000,PLD
160,2000-08-21,24.3125,24.4375,24.25,24.3125,154900,PLD
161,2000-08-22,24.3125,24.375,24.25,24.25,125500,PLD
162,2000-08-23,24.3125,24.375,24.3125,24.375,56800,PLD
163,2000-08-24,24.25,24.375,24.1875,24.1875,374300,PLD
164,2000-08-25,24.25,24.4375,24.1875,24.4375,417400,PLD
165,2000-08-28,24.4375,24.4375,24.25,24.25,73500,PLD
166,2000-08-29,24.25,24.3125,24.1875,24.3125,267600,PLD
167,2000-08-30,24.3125,24.375,24.1875,24.375,235200,PLD
168,2000-08-31,24.3125,24.375,24.125,24.1875,297800,PLD
169,2000-09-01,24.25,24.375,24.0625,24.25,168000,PLD
170,2000-09-05,24.25,24.25,24.1875,24.25,181700,PLD
171,2000-09-06,24.25,24.375,24.1875,24.3125,184000,PLD
172,2000-09-07,24.375,24.375,24.3125,24.375,59000,PLD
173,2000-09-08,24.375,24.375,24.1875,24.375,180800,PLD
174,2000-09-11,24.375,24.75,24.375,24.75,228900,PLD
175,2000-09-12,24.75,25.0,24.75,24.875,185700,PLD
176,2000-09-13,24.9375,24.9375,24.875,24.9375,46900,PLD
177,2000-09-14,24.9375,25.0,24.8125,24.9375,77700,PLD
178,2000-09-15,24.875,24.9375,24.875,24.90625,35100,PLD
179,2000-09-18,24.8125,24.9375,24.5625,24.75,104800,PLD
180,2000-09-19,24.625,24.8125,24.375,24.5,299100,PLD
181,2000-09-20,24.5,24.6875,24.375,24.375,38200,PLD
182,2000-09-21,24.25,24.5625,24.125,24.5,90800,PLD
183,2000-09-22,24.4375,24.4375,24.125,24.375,85400,PLD
184,2000-09-25,24.4375,24.5625,24.25,24.5,171200,PLD
185,2000-09-26,24.375,24.5,24.125,24.3125,160100,PLD
186,2000-09-27,24.3125,24.5,24.3125,24.4375,117700,PLD
187,2000-09-28,24.5,24.875,24.4375,24.75,313700,PLD
188,2000-09-29,24.625,24.8125,24.4375,24.5625,213800,PLD
189,2000-10-02,24.125,24.3125,24.0,24.0,56800,PLD
190,2000-10-03,24.1875,24.375,24.0,24.0625,57900,PLD
191,2000-10-04,24.0,24.1875,23.6875,23.875,277700,PLD
192,2000-10-05,23.75,23.75,23.5625,23.625,160700,PLD
193,2000-10-06,23.75,24.0,23.5625,23.6875,434500,PLD
194,2000-10-09,23.75,23.875,23.625,23.6875,182700,PLD
195,2000-10-10,23.6875,24.0,23.625,23.9375,123300,PLD
196,2000-10-11,23.9375,23.9375,23.5,23.9375,93900,PLD
197,2000-10-12,24.0,24.0,23.375,23.375,147500,PLD
198,2000-10-13,23.4375,23.5,23.1875,23.5,105100,PLD
199,2000-10-16,23.5,23.6875,23.375,23.5625,146600,PLD
200,2000-10-17,23.6875,23.8125,23.625,23.8125,80000,PLD
201,2000-10-18,23.625,23.625,23.375,23.5,123600,PLD
202,2000-10-19,23.625,23.625,23.25,23.375,105400,PLD
203,2000-10-20,23.5,23.625,23.0625,23.5,97300,PLD
204,2000-10-23,23.375,23.4375,23.3125,23.375,115400,PLD
205,2000-10-24,23.3125,23.375,23.25,23.3125,72000,PLD
206,2000-10-25,23.25,23.25,22.8125,23.25,65600,PLD
207,2000-10-26,23.125,23.375,23.125,23.3125,21900,PLD
208,2000-10-27,23.4375,23.4375,23.1875,23.375,35000,PLD
209,2000-10-30,23.25,23.375,23.25,23.375,90100,PLD
210,2000-10-31,23.3125,23.5,23.25,23.5,51900,PLD
211,2000-11-01,23.5,23.5625,23.375,23.5,220400,PLD
212,2000-11-02,23.5,23.5,23.25,23.375,483200,PLD
213,2000-11-03,23.3125,23.5,23.1875,23.25,149500,PLD
214,2000-11-06,23.375,23.6875,23.3125,23.5,121400,PLD
215,2000-11-07,23.5625,23.75,23.4375,23.75,159300,PLD
216,2000-11-08,23.75,23.75,23.6875,23.6875,63800,PLD
217,2000-11-09,23.625,23.6875,23.25,23.5625,125900,PLD
