,Date,Open,High,Low,Close,Volume,Symbol
0,2000-01-03,22.25,22.875,21.4375,21.625,212000,PLXS
1,2000-01-04,21.1875,21.53125,20.875,21.046875,480400,PLXS
2,2000-01-05,21.125,21.25,20.5625,21.03125,558600,PLXS
3,2000-01-06,21.28125,21.375,20.875,21.0625,470600,PLXS
4,2000-01-07,20.96875,23.0,20.21875,21.21875,1169600,PLXS
5,2000-01-10,21.25,22.0625,21.25,21.75,363400,PLXS
6,2000-01-11,21.625,22.578125,21.5,22.28125,189400,PLXS
7,2000-01-12,22.40625,22.40625,21.875,22.0,85600,PLXS
8,2000-01-13,22.25,22.5625,22.125,22.5,415200,PLXS
9,2000-01-14,22.40625,22.4375,21.5,21.6875,247600,PLXS
10,2000-01-18,21.625,22.5,21.4375,22.1953125,116400,PLXS
11,2000-01-19,22.4375,26.1875,22.375,24.765625,1664400,PLXS
12,2000-01-20,26.0,26.03125,24.125,25.875,500200,PLXS
13,2000-01-21,25.75,27.0,25.5,27.0,359800,PLXS
14,2000-01-24,27.03125,29.1875,25.625,25.625,642400,PLXS
15,2000-01-25,26.3125,26.5,24.875,25.484375,352000,PLXS
16,2000-01-26,25.03125,27.5,25.0,26.9375,458800,PLXS
17,2000-01-27,26.9375,26.9375,25.125,25.578125,321200,PLXS
18,2000-01-28,25.4375,25.4375,24.625,25.171875,198000,PLXS
19,2000-01-31,25.03125,25.1875,23.25,23.25,294600,PLXS
20,2000-02-01,23.28125,23.75,22.875,23.328125,402800,PLXS
21,2000-02-02,23.4375,26.5,23.25,25.25,260400,PLXS
22,2000-02-03,25.0,26.59375,24.875,26.46875,337400,PLXS
23,2000-02-04,26.59375,27.0625,25.75,27.0,381400,PLXS
24,2000-02-07,27.5,29.5,27.25,29.0,427200,PLXS
25,2000-02-08,28.765625,30.75,28.75,29.828125,1175400,PLXS
26,2000-02-09,29.78125,30.1875,29.0,29.953125,409200,PLXS
27,2000-02-10,29.75,30.375,29.4375,30.25,474000,PLXS
28,2000-02-11,30.0,30.0625,28.75,29.46875,349400,PLXS
29,2000-02-14,29.25,29.5,26.75,27.28125,220800,PLXS
30,2000-02-15,27.03125,28.1875,27.03125,27.578125,163400,PLXS
31,2000-02-16,27.59375,29.375,27.25,28.0625,434200,PLXS
32,2000-02-17,28.6875,29.0,27.875,28.9375,255600,PLXS
33,2000-02-18,29.0,29.9375,29.0,29.296875,192000,PLXS
34,2000-02-22,29.59375,30.15625,29.25,29.75,505000,PLXS
35,2000-02-23,29.75,29.8125,27.75,29.125,185800,PLXS
36,2000-02-24,29.4375,29.46875,28.625,28.9375,372400,PLXS
37,2000-02-25,28.25,29.5,28.25,28.90625,577000,PLXS
38,2000-02-28,29.359375,29.5625,28.875,29.03125,234800,PLXS
39,2000-02-29,28.875,28.9375,26.25,28.234375,293800,PLXS
40,2000-03-01,28.25,28.25,27.625,27.890625,112200,PLXS
41,2000-03-02,27.84375,29.3125,27.71875,29.203125,365000,PLXS
42,2000-03-03,29.34375,30.125,28.84375,29.84375,563000,PLXS
43,2000-03-06,29.625,29.625,28.125,28.5,345800,PLXS
44,2000-03-07,27.9375,27.953125,27.34375,27.375,227600,PLXS
45,2000-03-08,27.6875,31.6875,27.5,29.0,1719600,PLXS
46,2000-03-09,29.0,31.125,28.25,31.125,915600,PLXS
47,2000-03-10,31.0,35.4375,30.9375,33.03125,1005400,PLXS
48,2000-03-13,32.125,34.5,31.96875,33.9375,545600,PLXS
49,2000-03-14,33.9375,35.0625,32.9375,33.5625,474800,PLXS
50,2000-03-15,33.625,33.6875,30.75,30.8125,493800,PLXS
51,2000-03-16,31.25,33.0,30.5,30.875,471000,PLXS
52,2000-03-17,30.625,31.75,30.6015625,31.671875,215000,PLXS
53,2000-03-20,31.8125,34.5625,31.8125,32.875,348600,PLXS
54,2000-03-21,33.125,33.125,30.5,30.6875,162600,PLXS
55,2000-03-22,31.25,32.53125,31.03125,32.25,210000,PLXS
56,2000-03-23,31.8203125,35.1875,31.53125,34.5625,667800,PLXS
57,2000-03-24,34.75,37.0,34.46875,34.59375,317400,PLXS
58,2000-03-27,34.4375,34.75,32.34375,32.875,299000,PLXS
59,2000-03-28,32.5,34.5,32.5,33.75,201400,PLXS
60,2000-03-29,33.75,34.625,33.3125,34.140625,560200,PLXS
61,2000-03-30,33.90625,34.4375,30.4375,31.125,652600,PLXS
62,2000-03-31,32.5,35.5,32.3125,33.3125,605600,PLXS
63,2000-04-03,33.0,33.6875,31.03125,31.90625,276800,PLXS
64,2000-04-04,32.0,32.0,29.875,30.09375,166600,PLXS
65,2000-04-05,29.546875,30.0,28.375,29.5625,444800,PLXS
66,2000-04-06,29.4375,33.375,29.4375,32.875,439800,PLXS
67,2000-04-07,33.1875,36.0,32.625,36.0,261000,PLXS
68,2000-04-10,35.9375,36.4375,34.5,34.9375,511600,PLXS
69,2000-04-11,34.5,34.96875,32.5,34.375,260800,PLXS
70,2000-04-12,34.25,34.75,28.90625,29.5,752000,PLXS
71,2000-04-13,30.5,32.5625,28.3125,31.25,714400,PLXS
72,2000-04-14,30.875,31.6875,27.03125,27.28125,456600,PLXS
73,2000-04-17,27.21875,30.0625,26.0,29.96875,262200,PLXS
74,2000-04-18,30.125,32.0625,30.09375,31.1875,347000,PLXS
75,2000-04-19,32.75,36.125,32.484375,35.65625,1322200,PLXS
