,Date,Open,High,Low,Close,Volume,Symbol
0,2000-01-03,30.3125,30.3125,29.375,29.75,246300,PNW
1,2000-01-04,29.5625,30.125,29.5625,30.125,347800,PNW
2,2000-01-05,29.875,31.25,29.875,30.9375,453000,PNW
3,2000-01-06,30.8125,31.1875,30.8125,31.125,139300,PNW
4,2000-01-07,31.125,32.0625,30.875,32.0,303300,PNW
5,2000-01-10,31.75,31.875,31.375,31.5625,178800,PNW
6,2000-01-11,31.5625,31.6875,30.875,31.25,150800,PNW
7,2000-01-12,31.125,32.0,31.0625,31.75,143500,PNW
8,2000-01-13,31.75,31.75,30.8125,31.0625,1107400,PNW
9,2000-01-14,31.0,31.0,30.625,30.875,204300,PNW
10,2000-01-18,30.875,31.0,30.0,30.125,348600,PNW
11,2000-01-19,29.6875,31.0625,29.6875,31.0625,208500,PNW
12,2000-01-20,31.1875,31.5,30.3125,30.375,326300,PNW
13,2000-01-21,30.9375,31.125,30.5,30.875,233400,PNW
14,2000-01-24,30.875,32.0625,30.6875,31.6875,520000,PNW
15,2000-01-25,31.9375,32.3125,30.0625,30.3125,519900,PNW
16,2000-01-26,30.5,31.25,30.25,30.875,308700,PNW
17,2000-01-27,31.125,31.875,31.0,31.625,841900,PNW
18,2000-01-28,30.875,30.9375,29.8125,29.9375,1628400,PNW
19,2000-01-31,30.3125,30.875,29.75,30.875,585300,PNW
20,2000-02-01,30.75,31.0,30.5625,31.0,170600,PNW
21,2000-02-02,30.9375,31.3125,30.875,31.0,169100,PNW
22,2000-02-03,31.125,31.9375,31.125,31.6875,460800,PNW
23,2000-02-04,31.6875,31.6875,30.625,30.8125,202500,PNW
24,2000-02-07,30.8125,30.875,30.5625,30.625,94800,PNW
25,2000-02-08,30.625,31.0,30.625,30.9375,228700,PNW
26,2000-02-09,30.8125,31.625,30.125,30.8125,382300,PNW
27,2000-02-10,30.9375,31.1875,30.0,30.4375,802100,PNW
28,2000-02-11,30.4375,30.5625,30.0625,30.4375,160800,PNW
29,2000-02-14,30.5,30.5,30.3125,30.375,342600,PNW
30,2000-02-15,30.375,30.5,30.0,30.3125,104900,PNW
31,2000-02-16,30.1875,30.25,29.4375,30.0,251100,PNW
32,2000-02-17,30.0,30.0625,29.375,29.625,236700,PNW
33,2000-02-18,29.5,29.5625,28.25,28.875,284400,PNW
34,2000-02-22,29.125,29.375,28.8125,28.9375,262700,PNW
35,2000-02-23,28.8125,28.8125,27.875,28.25,185800,PNW
36,2000-02-24,28.25,28.25,26.8125,27.375,135700,PNW
37,2000-02-25,27.0,27.0625,26.25,26.25,252100,PNW
38,2000-02-28,26.5,27.875,26.375,27.6875,243900,PNW
39,2000-02-29,27.5,27.875,27.3125,27.5,224500,PNW
40,2000-03-01,27.625,27.9375,27.25,27.375,679300,PNW
41,2000-03-02,27.5,27.625,27.375,27.4375,317200,PNW
42,2000-03-03,27.4375,27.75,27.25,27.375,356400,PNW
43,2000-03-06,27.25,27.25,25.875,26.125,303400,PNW
44,2000-03-07,26.0625,26.75,26.0,26.4375,339900,PNW
45,2000-03-08,26.5625,27.1875,26.375,26.5,328000,PNW
46,2000-03-09,26.5,27.0,26.25,26.9375,176000,PNW
47,2000-03-10,27.1875,27.1875,26.0,26.1875,936500,PNW
48,2000-03-13,26.0625,26.25,25.6875,25.9375,136700,PNW
49,2000-03-14,25.9375,26.375,25.6875,26.0625,187600,PNW
50,2000-03-15,26.0,28.6875,26.0,28.5625,696500,PNW
51,2000-03-16,28.4375,29.9375,28.1875,29.625,583700,PNW
52,2000-03-17,29.625,29.625,28.625,28.75,258600,PNW
53,2000-03-20,28.875,28.875,28.1875,28.375,536000,PNW
54,2000-03-21,28.25,28.5,27.6875,27.8125,375900,PNW
55,2000-03-22,27.75,27.75,26.5625,26.6875,481700,PNW
56,2000-03-23,26.5,28.0,26.5,27.0625,1041700,PNW
57,2000-03-24,27.0,27.25,26.6875,26.6875,634500,PNW
58,2000-03-27,26.875,27.3125,26.75,26.8125,835000,PNW
59,2000-03-28,26.6875,26.875,26.625,26.875,295500,PNW
60,2000-03-29,26.75,27.5625,26.75,27.5,530200,PNW
61,2000-03-30,27.375,28.0,27.375,27.9375,335300,PNW
62,2000-03-31,27.8125,28.1875,27.5625,28.1875,368600,PNW
63,2000-04-03,28.375,28.5625,27.875,28.1875,204600,PNW
64,2000-04-04,28.375,29.0,27.875,28.625,259600,PNW
65,2000-04-05,28.625,30.0,28.625,29.3125,380600,PNW
66,2000-04-06,29.5,29.5,28.875,29.0625,182300,PNW
67,2000-04-07,29.0,29.25,28.875,28.9375,178900,PNW
68,2000-04-10,28.75,29.625,28.625,29.5,161100,PNW
69,2000-04-11,29.625,30.0,29.375,29.375,263800,PNW
70,2000-04-12,29.625,30.75,29.625,30.1875,335800,PNW
71,2000-04-13,30.375,31.1875,30.0,30.9375,264300,PNW
72,2000-04-14,30.8125,31.625,30.0625,30.25,799200,PNW
73,2000-04-17,30.125,30.5,29.5,30.375,468400,PNW
