,Date,Open,High,Low,Close,Volume,Symbol
0,2000-01-03,8.1875,8.1875,7.75,7.8125,30100,PVH
1,2000-01-04,7.75,7.875,7.4375,7.5,17500,PVH
2,2000-01-05,7.5,7.5625,7.375,7.375,26800,PVH
3,2000-01-06,7.375,7.6875,7.25,7.5625,48400,PVH
4,2000-01-07,7.5625,7.875,7.375,7.375,20900,PVH
5,2000-01-10,7.5,7.5,7.0,7.0625,84300,PVH
6,2000-01-11,7.1875,7.25,6.8125,6.875,31500,PVH
7,2000-01-12,7.0,7.125,6.8125,7.125,28200,PVH
8,2000-01-13,7.25,7.25,7.125,7.125,17900,PVH
9,2000-01-14,7.1875,7.1875,6.9375,6.9375,29100,PVH
10,2000-01-18,7.0625,7.25,7.0625,7.25,50100,PVH
11,2000-01-19,7.25,7.375,7.25,7.375,12800,PVH
12,2000-01-20,7.3125,7.625,7.3125,7.625,27200,PVH
13,2000-01-21,7.5,7.75,7.4375,7.75,43000,PVH
14,2000-01-24,7.8125,7.875,7.4375,7.4375,88400,PVH
15,2000-01-25,7.375,7.375,7.0,7.1875,969200,PVH
16,2000-01-26,7.25,7.25,7.125,7.125,9200,PVH
17,2000-01-27,7.125,7.1875,7.0625,7.0625,9600,PVH
18,2000-01-28,7.125,7.125,7.0,7.0,26300,PVH
19,2000-01-31,7.0,7.0625,6.75,6.75,16400,PVH
20,2000-02-01,6.8125,6.8125,6.625,6.625,43900,PVH
21,2000-02-02,6.75,6.8125,6.6875,6.8125,40500,PVH
22,2000-02-03,6.75,7.0,6.75,7.0,34500,PVH
23,2000-02-04,7.0,7.0,6.6875,6.6875,70400,PVH
24,2000-02-07,6.6875,6.6875,6.4375,6.4375,20100,PVH
25,2000-02-08,6.375,6.4375,6.0,6.0,39000,PVH
26,2000-02-09,5.875,5.9375,5.8125,5.875,128200,PVH
27,2000-02-10,6.0,6.5,5.9375,6.4375,132800,PVH
28,2000-02-11,6.5,6.5,6.3125,6.375,19500,PVH
29,2000-02-14,6.25,6.5625,6.25,6.4375,19900,PVH
30,2000-02-15,6.5,6.5,6.125,6.375,66900,PVH
31,2000-02-16,6.375,6.6875,6.25,6.6875,40600,PVH
32,2000-02-17,6.75,7.3125,6.75,6.9375,68600,PVH
33,2000-02-18,7.0,7.125,6.9375,7.0,31400,PVH
34,2000-02-22,7.0,7.1875,6.9375,7.0,24500,PVH
35,2000-02-23,7.0,7.0625,7.0,7.0,12700,PVH
36,2000-02-24,7.0,7.0,6.9375,6.9375,24800,PVH
37,2000-02-25,7.0,7.125,6.9375,6.9375,17000,PVH
38,2000-02-28,6.9375,7.0,6.75,7.0,97300,PVH
39,2000-02-29,7.0,7.0625,6.8125,6.9375,29000,PVH
40,2000-03-01,6.875,7.0,6.75,6.9375,83800,PVH
41,2000-03-02,6.9375,7.0,6.75,6.875,52400,PVH
42,2000-03-03,6.75,6.8125,6.625,6.8125,81000,PVH
43,2000-03-06,6.875,7.0625,6.875,7.0625,76500,PVH
44,2000-03-07,7.1875,7.1875,6.875,7.125,32700,PVH
45,2000-03-08,7.125,7.125,6.625,6.875,32000,PVH
46,2000-03-09,6.875,7.25,6.875,7.125,45200,PVH
47,2000-03-10,7.125,7.125,6.6875,6.875,16600,PVH
48,2000-03-13,6.8125,6.9375,6.8125,6.9375,11400,PVH
49,2000-03-14,6.8125,6.9375,6.75,6.75,71200,PVH
50,2000-03-15,6.75,6.75,6.5625,6.625,36900,PVH
51,2000-03-16,6.625,6.6875,6.625,6.625,27200,PVH
52,2000-03-17,6.5625,6.75,6.5625,6.6875,39100,PVH
53,2000-03-20,6.8125,7.0625,6.6875,7.0,94400,PVH
54,2000-03-21,7.0,7.375,6.875,7.3125,105500,PVH
55,2000-03-22,7.3125,7.5625,7.3125,7.4375,60900,PVH
56,2000-03-23,7.375,7.5,7.375,7.375,17100,PVH
57,2000-03-24,7.375,7.375,6.8125,6.9375,55200,PVH
58,2000-03-27,6.9375,7.3125,6.9375,7.0,90600,PVH
59,2000-03-28,7.0,7.1875,6.9375,7.0625,84900,PVH
60,2000-03-29,7.0,7.5,7.0,7.4375,70900,PVH
61,2000-03-30,7.5,7.5,7.375,7.375,19300,PVH
62,2000-03-31,7.5,7.9375,7.4375,7.6875,72700,PVH
63,2000-04-03,7.75,7.8125,7.625,7.8125,43600,PVH
64,2000-04-04,7.6875,7.75,7.5625,7.625,86100,PVH
65,2000-04-05,7.5,7.5625,7.3125,7.4375,52500,PVH
66,2000-04-06,7.4375,7.6875,7.4375,7.625,31400,PVH
67,2000-04-07,7.625,7.9375,7.5625,7.75,96900,PVH
68,2000-04-10,7.6875,8.125,7.625,8.125,79100,PVH
69,2000-04-11,8.25,8.25,7.8125,8.125,100300,PVH
70,2000-04-12,8.125,8.125,7.75,7.8125,50800,PVH
71,2000-04-13,7.875,8.0625,7.75,8.0,45800,PVH
72,2000-04-14,8.0625,8.25,7.25,7.25,90600,PVH
73,2000-04-17,7.25,7.625,7.25,7.3125,26600,PVH
74,2000-04-18,7.4375,7.4375,7.3125,7.375,25500,PVH
75,2000-04-19,7.25,7.625,7.25,7.625,17500,PVH
76,2000-04-20,7.625,7.8125,7.625,7.75,12900,PVH
77,2000-04-24,7.875,7.9375,7.5625,7.5625,7700,PVH
78,2000-04-25,7.625,7.6875,7.5625,7.625,7100,PVH
79,2000-04-26,7.6875,8.3125,7.6875,8.25,66500,PVH
80,2000-04-27,8.125,8.1875,8.0,8.0,28500,PVH
81,2000-04-28,8.0,8.4375,7.9375,8.4375,32400,PVH
82,2000-05-01,8.375,8.375,8.0625,8.25,20400,PVH
83,2000-05-02,8.25,8.4375,8.25,8.3125,59800,PVH
84,2000-05-03,8.3125,8.3125,7.9375,8.125,118400,PVH
85,2000-05-04,8.1875,8.375,8.0625,8.125,63200,PVH
86,2000-05-05,8.125,8.3125,8.125,8.3125,45900,PVH
87,2000-05-08,8.3125,8.375,8.1875,8.3125,21600,PVH
88,2000-05-09,8.3125,8.3125,8.125,8.1875,38700,PVH
89,2000-05-10,8.125,8.125,7.75,7.875,47900,PVH
90,2000-05-11,7.9375,8.0,7.75,7.875,12500,PVH
91,2000-05-12,7.875,7.9375,7.6875,7.6875,18300,PVH
92,2000-05-15,7.625,7.9375,7.5,7.875,69000,PVH
93,2000-05-16,7.9375,7.9375,7.625,7.8125,27100,PVH
94,2000-05-17,7.75,7.9375,7.625,7.6875,43100,PVH
95,2000-05-18,7.875,8.125,7.875,8.125,65800,PVH
