,Date,Open,High,Low,Close,Volume,Symbol
0,2000-01-03,241.25,245.0,223.75,237.5,204695,RAD
1,2000-01-04,235.0,235.0,225.0,227.5,105295,RAD
2,2000-01-05,225.0,226.25,220.0,222.5,130790,RAD
3,2000-01-06,222.5,222.5,213.75,215.0,135015,RAD
4,2000-01-07,215.0,222.5,207.5,220.0,162840,RAD
5,2000-01-10,223.75,223.75,210.0,215.0,193925,RAD
6,2000-01-11,218.75,222.5,211.25,212.5,158330,RAD
7,2000-01-12,170.0,171.25,152.5,157.5,1236815,RAD
8,2000-01-13,163.75,170.0,158.75,160.0,933675,RAD
9,2000-01-14,162.5,163.75,157.5,158.75,440285,RAD
10,2000-01-18,166.25,166.25,156.25,160.0,374530,RAD
11,2000-01-19,158.75,158.75,147.5,150.0,460500,RAD
12,2000-01-20,150.0,153.75,147.5,150.0,226845,RAD
13,2000-01-21,150.0,150.0,140.0,142.5,530850,RAD
14,2000-01-24,143.75,156.25,140.0,148.75,313295,RAD
15,2000-01-25,151.25,152.5,147.5,147.5,189585,RAD
16,2000-01-26,148.75,148.75,133.75,136.25,498555,RAD
17,2000-01-27,138.75,141.25,133.75,136.25,364040,RAD
18,2000-01-28,138.75,140.0,127.5,132.5,368680,RAD
19,2000-01-31,138.75,141.25,131.25,141.25,241670,RAD
20,2000-02-01,140.0,152.5,140.0,151.25,224500,RAD
21,2000-02-02,151.25,158.75,148.75,148.75,238760,RAD
22,2000-02-03,150.0,150.0,142.5,143.75,157365,RAD
23,2000-02-04,146.25,147.5,141.25,143.75,190110,RAD
24,2000-02-07,145.0,148.75,143.75,148.75,133725,RAD
25,2000-02-08,153.75,153.75,147.5,148.75,180495,RAD
26,2000-02-09,140.0,152.5,140.0,148.75,157705,RAD
27,2000-02-10,150.0,151.25,143.75,146.25,144320,RAD
28,2000-02-11,147.5,147.5,141.25,143.75,128820,RAD
29,2000-02-14,142.5,143.75,138.75,138.75,199295,RAD
30,2000-02-15,140.0,141.25,137.5,140.0,135390,RAD
31,2000-02-16,140.0,143.75,137.5,142.5,134480,RAD
32,2000-02-17,140.0,140.0,132.5,132.5,203430,RAD
33,2000-02-18,135.0,136.25,130.0,132.5,191880,RAD
34,2000-02-22,132.5,140.0,130.0,135.0,128505,RAD
35,2000-02-23,135.0,155.0,133.75,155.0,369725,RAD
36,2000-02-24,148.75,200.0,140.0,180.0,182100,RAD
37,2000-02-25,160.0,165.0,140.0,145.0,390075,RAD
38,2000-02-28,143.75,145.0,138.75,140.0,187370,RAD
39,2000-02-29,140.0,141.25,135.0,137.5,139060,RAD
40,2000-03-01,137.5,141.25,136.25,140.0,122830,RAD
41,2000-03-02,138.75,140.0,131.25,135.0,232205,RAD
42,2000-03-03,135.0,135.0,126.25,130.0,418065,RAD
43,2000-03-06,131.25,131.25,123.75,126.25,220875,RAD
44,2000-03-07,126.25,126.25,120.0,122.5,212820,RAD
45,2000-03-08,125.0,128.75,121.25,126.25,208605,RAD
46,2000-03-09,126.25,127.5,120.0,125.0,250030,RAD
47,2000-03-10,122.5,125.0,120.0,122.5,180190,RAD
48,2000-03-13,121.25,122.5,120.0,121.25,235645,RAD
49,2000-03-14,121.25,125.0,120.0,125.0,333190,RAD
50,2000-03-15,120.0,121.25,112.5,112.5,486270,RAD
51,2000-03-16,113.75,118.75,112.5,117.5,393695,RAD
52,2000-03-17,117.5,122.5,115.0,117.5,279770,RAD
53,2000-03-20,120.0,121.25,113.75,115.0,272510,RAD
54,2000-03-21,115.0,116.25,108.75,116.25,301155,RAD
55,2000-03-22,116.25,116.25,111.25,112.5,214225,RAD
56,2000-03-23,113.75,117.5,107.5,116.25,180120,RAD
57,2000-03-24,115.0,118.75,115.0,115.0,146445,RAD
58,2000-03-27,116.25,118.75,110.0,116.25,126135,RAD
59,2000-03-28,116.25,117.5,115.0,117.5,112825,RAD
60,2000-03-29,116.25,117.5,115.0,116.25,114220,RAD
61,2000-03-30,116.25,116.25,112.5,115.0,198060,RAD
62,2000-03-31,113.75,113.75,110.0,110.0,146870,RAD
63,2000-04-03,111.25,115.0,110.0,111.25,173665,RAD
64,2000-04-04,112.5,113.75,107.5,111.25,162765,RAD
65,2000-04-05,111.25,111.25,107.5,108.75,127820,RAD
66,2000-04-06,110.0,110.0,105.0,106.25,235480,RAD
67,2000-04-07,105.0,106.25,105.0,105.0,120490,RAD
68,2000-04-10,106.25,116.25,105.0,113.75,250070,RAD
69,2000-04-11,135.0,151.25,125.0,146.25,1146565,RAD
70,2000-04-12,146.25,146.25,123.75,130.0,372655,RAD
71,2000-04-13,133.75,137.5,130.0,133.75,186105,RAD
72,2000-04-14,133.75,133.75,121.25,125.0,213305,RAD
73,2000-04-17,123.75,123.75,115.0,117.5,184710,RAD
74,2000-04-18,117.5,118.75,115.0,117.5,122930,RAD
75,2000-04-19,118.75,118.75,112.5,115.0,91925,RAD
76,2000-04-20,113.75,113.75,110.0,111.25,108745,RAD
77,2000-04-24,112.5,112.5,107.5,108.75,137460,RAD
78,2000-04-25,108.75,116.25,107.5,113.75,190465,RAD
79,2000-04-26,112.5,112.5,107.5,108.75,243795,RAD
80,2000-04-27,107.5,107.5,102.5,102.5,201720,RAD
81,2000-04-28,103.75,103.75,98.75,101.25,372380,RAD
82,2000-05-01,100.0,100.0,95.0,97.5,210690,RAD
83,2000-05-02,98.75,107.5,97.5,105.0,227170,RAD
84,2000-05-03,106.25,110.0,105.0,105.0,154685,RAD
85,2000-05-04,106.25,110.0,105.0,107.5,159615,RAD
86,2000-05-05,108.75,112.5,107.5,111.25,121640,RAD
87,2000-05-08,111.25,115.0,110.0,112.5,98240,RAD
88,2000-05-09,113.75,118.75,112.5,116.25,143945,RAD
89,2000-05-10,116.25,117.5,112.5,115.0,99425,RAD
90,2000-05-11,117.5,133.75,116.25,123.75,269265,RAD
91,2000-05-12,130.0,132.5,121.25,123.75,197435,RAD
92,2000-05-15,127.5,142.5,125.0,140.0,280420,RAD
93,2000-05-16,145.0,147.5,137.5,145.0,188685,RAD
94,2000-05-17,143.75,145.0,136.25,138.75,153770,RAD
95,2000-05-18,140.0,161.25,140.0,157.5,426475,RAD
96,2000-05-19,158.75,162.5,147.5,150.0,241985,RAD
97,2000-05-22,153.75,155.0,143.75,145.0,153405,RAD
98,2000-05-23,145.0,145.0,122.5,132.5,304690,RAD
99,2000-05-24,140.0,142.5,132.5,140.0,171325,RAD
100,2000-05-25,138.75,153.75,137.5,141.25,268750,RAD
101,2000-05-26,142.5,147.5,136.25,136.25,244980,RAD
102,2000-05-30,137.5,141.25,135.0,140.0,234010,RAD
103,2000-05-31,138.75,142.5,137.5,138.75,136310,RAD
104,2000-06-01,138.75,138.75,131.25,132.5,170270,RAD
