,Date,Open,High,Low,Close,Volume,Symbol
0,2000-01-03,10.3125,10.3125,9.5625,9.875,493100,RPM
1,2000-01-04,9.8125,10.0,9.5625,9.875,517600,RPM
2,2000-01-05,9.9375,10.3125,9.9375,10.3125,1330200,RPM
3,2000-01-06,10.1875,10.3125,10.0,10.1875,294500,RPM
4,2000-01-07,10.3125,11.0,10.3125,10.6875,446200,RPM
5,2000-01-10,10.75,10.8125,10.625,10.6875,428600,RPM
6,2000-01-11,10.5625,10.6875,10.5,10.5,382300,RPM
7,2000-01-12,10.4375,10.5,10.25,10.3125,505200,RPM
8,2000-01-13,10.375,10.4375,10.25,10.25,264600,RPM
9,2000-01-14,10.25,10.375,10.125,10.3125,538400,RPM
10,2000-01-18,10.3125,10.625,10.25,10.5,468600,RPM
11,2000-01-19,10.5,10.8125,10.4375,10.5,635600,RPM
12,2000-01-20,10.4375,10.5625,10.0,10.0,580400,RPM
13,2000-01-21,10.25,10.5625,10.125,10.25,673500,RPM
14,2000-01-24,10.25,10.5,10.25,10.375,426800,RPM
15,2000-01-25,10.5,10.625,10.125,10.1875,489700,RPM
16,2000-01-26,10.25,10.375,10.125,10.125,403600,RPM
17,2000-01-27,10.25,10.25,10.0625,10.0625,366800,RPM
18,2000-01-28,10.125,10.375,10.0,10.25,604000,RPM
19,2000-01-31,10.375,10.4375,10.25,10.25,350500,RPM
20,2000-02-01,10.375,10.375,10.0,10.1875,843500,RPM
21,2000-02-02,10.125,10.3125,10.0625,10.3125,499000,RPM
22,2000-02-03,10.1875,10.25,10.125,10.1875,289300,RPM
23,2000-02-04,10.125,10.1875,9.9375,10.0,407700,RPM
24,2000-02-07,10.0,10.5625,9.875,10.4375,1315000,RPM
25,2000-02-08,10.375,10.4375,10.0625,10.125,458700,RPM
26,2000-02-09,10.0625,10.125,9.875,9.9375,359100,RPM
27,2000-02-10,10.0,10.0625,9.75,9.875,286700,RPM
28,2000-02-11,9.875,9.875,9.6875,9.6875,270500,RPM
29,2000-02-14,9.75,9.8125,9.5625,9.6875,238300,RPM
30,2000-02-15,9.6875,9.9375,9.5,9.9375,419100,RPM
31,2000-02-16,9.9375,10.0,9.5,9.6875,186900,RPM
32,2000-02-17,9.5625,10.125,9.5625,9.8125,951800,RPM
33,2000-02-18,9.75,10.0625,9.75,9.8125,1054800,RPM
34,2000-02-22,9.75,9.8125,9.5625,9.75,249900,RPM
35,2000-02-23,9.75,9.8125,9.5625,9.6875,422900,RPM
36,2000-02-24,9.6875,9.75,9.5,9.625,932400,RPM
37,2000-02-25,9.5625,9.625,9.5,9.5625,538700,RPM
38,2000-02-28,9.625,9.6875,9.5,9.5625,177700,RPM
39,2000-02-29,9.5625,10.0,9.5625,9.9375,382700,RPM
40,2000-03-01,10.0,10.1875,9.9375,10.1875,414600,RPM
41,2000-03-02,10.1875,10.3125,10.0625,10.1875,376900,RPM
42,2000-03-03,10.125,10.5625,10.125,10.4375,343900,RPM
43,2000-03-06,10.4375,10.5625,10.125,10.1875,337100,RPM
44,2000-03-07,10.3125,10.5,10.25,10.375,446200,RPM
45,2000-03-08,10.5,10.5,9.9375,10.125,389000,RPM
46,2000-03-09,10.0625,10.25,9.8125,10.25,396300,RPM
47,2000-03-10,10.125,10.375,10.0,10.375,404200,RPM
48,2000-03-13,10.125,10.3125,10.0,10.3125,349600,RPM
49,2000-03-14,10.3125,10.3125,10.125,10.25,207400,RPM
50,2000-03-15,10.3125,10.5625,10.1875,10.4375,249500,RPM
51,2000-03-16,10.5625,11.3125,10.5,11.0,720500,RPM
52,2000-03-17,10.75,10.9375,10.5,10.5,258300,RPM
53,2000-03-20,10.5625,10.9375,10.5,10.5625,390000,RPM
54,2000-03-21,10.5,10.5625,10.0625,10.1875,457900,RPM
55,2000-03-22,10.125,10.5,10.125,10.25,295900,RPM
56,2000-03-23,10.1875,10.4375,10.125,10.3125,166900,RPM
57,2000-03-24,10.3125,10.375,10.125,10.25,178600,RPM
58,2000-03-27,10.125,10.4375,10.0625,10.1875,431000,RPM
59,2000-03-28,10.1875,10.3125,10.125,10.3125,270100,RPM
60,2000-03-29,10.25,10.375,10.1875,10.375,204300,RPM
61,2000-03-30,10.4375,10.5625,10.125,10.125,307300,RPM
62,2000-03-31,10.3125,11.0,10.3125,11.0,785300,RPM
63,2000-04-03,10.9375,10.9375,10.625,10.875,173500,RPM
64,2000-04-04,10.75,10.8125,10.125,10.25,509600,RPM
65,2000-04-05,10.375,10.6875,10.3125,10.6875,200500,RPM
66,2000-04-06,10.8125,10.8125,10.5,10.5,204200,RPM
67,2000-04-07,10.8125,10.8125,10.625,10.625,182300,RPM
68,2000-04-10,10.75,11.0,10.6875,10.75,159100,RPM
69,2000-04-11,10.75,11.0625,10.75,10.9375,174800,RPM
70,2000-04-12,10.875,11.0,10.6875,10.75,260700,RPM
71,2000-04-13,10.8125,10.875,10.5,10.5625,119900,RPM
72,2000-04-14,10.4375,10.5,10.0,10.0625,359000,RPM
73,2000-04-17,10.0,10.0,9.6875,9.875,1103200,RPM
74,2000-04-18,9.875,10.0625,9.75,9.8125,157700,RPM
75,2000-04-19,9.875,10.0,9.75,9.875,311600,RPM
76,2000-04-20,9.9375,10.0625,9.875,10.0,180200,RPM
77,2000-04-24,9.875,10.0,9.875,9.875,178100,RPM
