Date,Open,High,Low,Close,Volume,Symbol
2000-01-03,11.71875,11.71875,11.1875,11.21875,48600,RS
2000-01-04,11.15625,11.15625,10.375,10.46875,132400,RS
2000-01-05,10.5,10.75,10.46875,10.59375,29800,RS
2000-01-06,10.6875,10.9375,10.6875,10.9375,50600,RS
2000-01-07,11.0,11.25,10.96875,11.25,30200,RS
2000-01-10,11.5,11.8125,11.3125,11.78125,58800,RS
2000-01-11,11.875,11.875,11.375,11.46875,48000,RS
2000-01-12,11.375,11.375,11.0625,11.125,37800,RS
2000-01-13,11.375,11.625,11.3125,11.46875,56400,RS
2000-01-14,11.5625,11.5625,11.25,11.25,24600,RS
2000-01-18,11.1875,11.1875,10.9375,11.0625,36800,RS
2000-01-19,11.25,11.25,10.9375,11.0,31600,RS
2000-01-20,11.125,11.1875,10.875,10.9375,59200,RS
2000-01-21,10.9375,11.15625,10.9375,11.125,27000,RS
2000-01-24,11.125,11.125,10.625,10.625,59200,RS
2000-01-25,10.6875,10.6875,10.375,10.375,27600,RS
2000-01-26,10.375,10.5625,10.375,10.5,17600,RS
2000-01-27,10.5625,10.5625,10.25,10.5,25800,RS
2000-01-28,10.5,10.625,10.25,10.375,74000,RS
2000-01-31,10.5,10.625,10.375,10.375,65400,RS
2000-02-01,10.5,10.5,10.25,10.4375,103000,RS
2000-02-02,10.40625,10.40625,9.875,9.90625,25000,RS
2000-02-03,9.875,10.0,9.875,10.0,26000,RS
2000-02-04,10.0,10.0,9.9375,9.96875,23600,RS
2000-02-07,9.875,10.0,9.625,9.625,68200,RS
2000-02-08,9.71875,9.75,9.25,9.25,33600,RS
2000-02-09,9.1875,9.3125,9.0,9.03125,103200,RS
2000-02-10,9.03125,9.75,8.4375,9.5625,190200,RS
2000-02-11,9.625,9.75,9.34375,9.5,90000,RS
2000-02-14,9.625,10.8125,9.40625,10.8125,126400,RS
2000-02-15,10.75,10.75,10.03125,10.375,70600,RS
2000-02-16,10.5,10.53125,10.0,10.03125,98600,RS
2000-02-17,10.375,10.375,10.125,10.34375,126800,RS
2000-02-18,10.4375,10.4375,10.0625,10.0625,35400,RS
2000-02-22,10.0625,10.09375,9.625,9.84375,202000,RS
2000-02-23,9.875,9.875,9.5,9.5,39800,RS
2000-02-24,9.625,9.6875,9.4375,9.5,38200,RS
2000-02-25,9.5625,9.75,9.5625,9.65625,26800,RS
2000-02-28,9.5,9.96875,9.5,9.90625,67600,RS
2000-02-29,9.84375,10.0,9.6875,9.6875,40800,RS
2000-03-01,9.6875,10.3125,9.6875,10.125,60200,RS
2000-03-02,10.0625,10.15625,9.875,9.875,16600,RS
2000-03-03,9.75,10.09375,9.625,10.09375,19400,RS
2000-03-06,10.03125,10.0625,8.8125,9.0,121800,RS
2000-03-07,9.125,9.375,9.125,9.28125,70800,RS
2000-03-08,9.25,9.65625,9.125,9.65625,25400,RS
2000-03-09,9.625,9.78125,9.5,9.71875,36000,RS
2000-03-10,9.53125,9.75,9.5,9.59375,55800,RS
2000-03-13,9.59375,9.8125,9.4375,9.8125,65400,RS
2000-03-14,9.875,10.1875,9.6875,9.75,50000,RS
2000-03-15,9.625,9.625,9.4375,9.625,46800,RS
2000-03-16,9.75,10.875,9.75,10.875,51600,RS
2000-03-17,10.75,10.875,10.3125,10.5,72200,RS
2000-03-20,10.5625,10.8125,10.5625,10.75,32800,RS
2000-03-21,10.6875,10.6875,10.40625,10.625,32400,RS
2000-03-22,10.59375,10.59375,10.34375,10.34375,35400,RS
2000-03-23,10.25,10.375,10.125,10.28125,53800,RS
2000-03-24,10.28125,11.125,10.28125,11.03125,62200,RS
2000-03-27,11.15625,11.3125,11.0625,11.28125,81600,RS
2000-03-28,11.3125,11.375,11.125,11.1875,44400,RS
2000-03-29,11.21875,11.3125,11.0625,11.3125,41400,RS
2000-03-30,11.3125,11.5625,11.25,11.5625,37000,RS
2000-03-31,11.5625,11.6875,11.1875,11.1875,73600,RS
2000-04-03,11.25,12.375,11.25,12.03125,77000,RS
2000-04-04,12.03125,12.03125,11.4375,11.625,33200,RS
2000-04-05,11.5625,11.75,11.5,11.75,13600,RS
2000-04-06,11.8125,12.0625,11.8125,12.0625,28800,RS
2000-04-07,11.9375,12.0625,11.90625,12.0,46600,RS
2000-04-10,12.03125,12.03125,11.75,11.78125,18600,RS
2000-04-11,11.6875,11.75,11.5625,11.6875,13200,RS
2000-04-12,11.5625,12.03125,11.5625,11.84375,44200,RS
2000-04-13,11.75,11.875,11.609375,11.71875,52400,RS
