Date,Open,High,Low,Close,Volume,Symbol
2000-01-03,9.875,10.125,9.8125,9.8125,75600,SAH
2000-01-04,9.75,9.8125,9.3125,9.4375,59600,SAH
2000-01-05,9.5,9.75,9.4375,9.5,133100,SAH
2000-01-06,9.5,9.5,9.125,9.125,303300,SAH
2000-01-07,9.125,9.625,9.125,9.375,162200,SAH
2000-01-10,9.375,9.5,9.25,9.25,47400,SAH
2000-01-11,9.125,9.1875,8.125,8.875,182600,SAH
2000-01-12,8.6875,8.75,8.25,8.75,228500,SAH
2000-01-13,8.875,9.1875,8.8125,9.0,104700,SAH
2000-01-14,9.0,9.375,8.875,9.0625,451900,SAH
2000-01-18,9.1875,9.375,8.9375,9.0,171700,SAH
2000-01-19,9.0,9.0,8.75,8.8125,30000,SAH
2000-01-20,8.9375,8.9375,8.4375,8.4375,93300,SAH
2000-01-21,8.4375,8.625,8.25,8.375,708200,SAH
2000-01-24,8.5,9.0625,8.375,8.9375,228400,SAH
2000-01-25,8.8125,9.125,8.6875,8.75,195800,SAH
2000-01-26,8.625,8.6875,8.25,8.4375,250000,SAH
2000-01-27,8.4375,8.5,8.3125,8.375,194600,SAH
2000-01-28,8.3125,8.375,7.8125,8.0625,314500,SAH
2000-01-31,8.0625,8.0625,7.6875,7.6875,275900,SAH
2000-02-01,7.6875,8.25,7.625,8.125,295200,SAH
2000-02-02,8.25,9.0,8.25,8.75,199200,SAH
2000-02-03,8.75,8.9375,8.375,8.5,321400,SAH
2000-02-04,8.5625,8.5625,8.3125,8.5,130100,SAH
2000-02-07,8.625,8.625,8.1875,8.3125,195200,SAH
2000-02-08,8.125,8.3125,8.125,8.1875,132400,SAH
2000-02-09,8.125,8.1875,7.9375,8.0,199300,SAH
2000-02-10,8.0,8.0,7.8125,7.875,187100,SAH
2000-02-11,7.875,8.0,7.8125,8.0,65400,SAH
2000-02-14,8.0,8.0,7.875,8.0,113800,SAH
2000-02-15,8.0,8.125,7.8125,8.125,248600,SAH
2000-02-16,8.0,8.125,7.9375,8.0625,155400,SAH
2000-02-17,8.0625,8.75,8.0625,8.5,84500,SAH
2000-02-18,8.625,9.25,8.5625,9.125,443900,SAH
2000-02-22,9.875,10.0,9.3125,9.5625,367400,SAH
2000-02-23,10.0,10.0,9.75,9.8125,215200,SAH
2000-02-24,9.8125,9.8125,9.25,9.25,161900,SAH
2000-02-25,9.3125,9.3125,8.625,8.75,100800,SAH
2000-02-28,8.75,8.875,8.1875,8.5,43400,SAH
2000-02-29,8.625,8.75,8.4375,8.5625,35900,SAH
2000-03-01,8.5625,9.0,8.5625,8.875,73100,SAH
2000-03-02,9.0,9.125,8.625,8.625,49400,SAH
2000-03-03,8.625,8.625,8.375,8.4375,74900,SAH
2000-03-06,8.5625,9.25,8.5625,9.25,165600,SAH
2000-03-07,9.375,9.4375,8.8125,8.8125,104000,SAH
2000-03-08,8.875,8.875,8.125,8.4375,97700,SAH
2000-03-09,8.4375,9.0,8.375,9.0,60100,SAH
2000-03-10,9.125,9.625,9.0625,9.375,135100,SAH
2000-03-13,9.25,9.375,9.125,9.125,63000,SAH
2000-03-14,9.0625,9.125,8.5625,8.625,177100,SAH
2000-03-15,8.5625,8.75,8.375,8.4375,213200,SAH
2000-03-16,8.4375,8.5,8.25,8.3125,114800,SAH
2000-03-17,8.375,8.625,8.375,8.5625,44900,SAH
2000-03-20,8.9375,9.5,8.9375,9.25,169100,SAH
2000-03-21,9.375,9.4375,9.25,9.375,108500,SAH
2000-03-22,9.4375,9.75,9.375,9.75,127000,SAH
2000-03-23,9.6875,9.75,9.375,9.375,116600,SAH
2000-03-24,9.25,9.75,9.25,9.6875,48000,SAH
2000-03-27,9.75,9.75,9.0,9.0625,115000,SAH
2000-03-28,9.125,9.5,9.0,9.125,135900,SAH
2000-03-29,9.0,9.125,8.875,9.0,53500,SAH
2000-03-30,9.0,9.0,8.625,8.875,98800,SAH
2000-03-31,8.9375,9.4375,8.8125,9.4375,91800,SAH
2000-04-03,9.4375,9.75,9.375,9.6875,145300,SAH
2000-04-04,9.75,9.75,9.5,9.5,50200,SAH
2000-04-05,9.5,9.6875,9.375,9.5625,73500,SAH
2000-04-06,9.625,9.75,9.5625,9.75,61500,SAH
2000-04-07,9.75,9.9375,9.75,9.9375,244700,SAH
2000-04-10,9.8125,10.4375,9.8125,10.125,205400,SAH
2000-04-11,10.0625,10.25,9.875,10.0,123500,SAH
2000-04-12,10.125,10.5,10.125,10.5,51400,SAH
2000-04-13,10.5,10.75,10.25,10.5625,91200,SAH
2000-04-14,10.4375,10.4375,9.5,9.625,228800,SAH
2000-04-17,9.5,9.625,9.25,9.5,212600,SAH
2000-04-18,9.5,9.875,9.5,9.625,74700,SAH
2000-04-19,9.625,9.9375,9.375,9.9375,49500,SAH
2000-04-20,10.0,10.1875,9.75,10.0625,27500,SAH
