,Date,Open,High,Low,Close,Volume,Symbol
0,2000-01-03,7.0,7.125,6.875,7.0,1055700,SCI
1,2000-01-04,7.0,7.0,6.6875,6.8125,939000,SCI
2,2000-01-05,6.75,6.8125,6.5625,6.5625,905300,SCI
3,2000-01-06,6.5,6.625,6.5,6.625,1041400,SCI
4,2000-01-07,6.625,6.75,6.5,6.5625,1202100,SCI
5,2000-01-10,6.625,6.6875,6.3125,6.3125,1589800,SCI
6,2000-01-11,6.25,6.6875,6.25,6.6875,1159600,SCI
7,2000-01-12,6.625,6.75,6.5625,6.625,1014500,SCI
8,2000-01-13,6.5625,7.4375,6.5,6.9375,4428300,SCI
9,2000-01-14,6.875,7.0,6.75,6.8125,1508500,SCI
10,2000-01-18,6.6875,6.875,6.6875,6.8125,1009200,SCI
11,2000-01-19,6.8125,6.875,6.75,6.8125,939200,SCI
12,2000-01-20,6.75,6.75,6.5,6.625,649600,SCI
13,2000-01-21,6.5625,6.5625,6.375,6.4375,1244500,SCI
14,2000-01-24,6.375,6.4375,5.875,5.9375,2978300,SCI
15,2000-01-25,5.9375,6.0,4.8125,5.375,4322800,SCI
16,2000-01-26,5.25,5.3125,4.875,4.9375,2424800,SCI
17,2000-01-27,5.0,5.4375,5.0,5.0,1915900,SCI
18,2000-01-28,5.0625,5.375,5.0,5.0,1365300,SCI
19,2000-01-31,5.0,5.0625,4.5625,4.5625,1584200,SCI
20,2000-02-01,4.625,4.75,4.0,4.1875,3317500,SCI
21,2000-02-02,4.3125,4.75,4.1875,4.625,2602600,SCI
22,2000-02-03,4.75,5.375,4.6875,5.375,3969000,SCI
23,2000-02-04,5.25,5.5,5.0625,5.125,3387300,SCI
24,2000-02-07,5.1875,5.1875,4.875,4.875,1343000,SCI
25,2000-02-08,5.125,5.4375,5.0625,5.1875,1379400,SCI
26,2000-02-09,5.3125,5.375,4.9375,5.0625,1651600,SCI
27,2000-02-10,5.125,5.5625,4.5,4.6875,3251500,SCI
28,2000-02-11,4.75,4.9375,4.3125,4.375,2913300,SCI
29,2000-02-14,4.5,4.5625,4.0625,4.1875,2415500,SCI
30,2000-02-15,4.1875,4.25,4.0,4.1875,2098900,SCI
31,2000-02-16,4.125,4.3125,4.0,4.3125,1045800,SCI
32,2000-02-17,4.375,4.5625,4.1875,4.5,1691500,SCI
33,2000-02-18,4.4375,4.4375,4.125,4.1875,1238100,SCI
34,2000-02-22,4.25,4.3125,4.0625,4.1875,985400,SCI
35,2000-02-23,4.125,4.25,4.0,4.0625,1030000,SCI
36,2000-02-24,4.0625,4.1875,4.0,4.0625,1083100,SCI
37,2000-02-25,4.125,4.1875,4.0,4.0,908100,SCI
38,2000-02-28,4.125,4.125,3.8125,3.875,1292800,SCI
39,2000-02-29,3.75,3.875,3.5,3.6875,2714300,SCI
40,2000-03-01,3.75,3.8125,3.5,3.8125,1521000,SCI
41,2000-03-02,3.875,4.375,3.8125,4.1875,1557300,SCI
42,2000-03-03,4.25,4.5,4.0,4.0625,1244800,SCI
43,2000-03-06,4.0,4.125,3.625,3.8125,1842600,SCI
44,2000-03-07,3.9375,3.9375,3.6875,3.75,1079600,SCI
45,2000-03-08,3.75,3.75,3.5625,3.5625,1224200,SCI
46,2000-03-09,3.1875,3.5,2.75,3.4375,4426600,SCI
47,2000-03-10,3.375,3.625,3.25,3.5,1075900,SCI
48,2000-03-13,3.5,3.75,3.375,3.6875,1909200,SCI
49,2000-03-14,3.6875,3.75,3.3125,3.3125,3650300,SCI
50,2000-03-15,3.375,3.4375,3.0625,3.1875,25220000,SCI
51,2000-03-16,3.1875,3.3125,3.0625,3.125,3170300,SCI
52,2000-03-17,3.1875,3.375,3.0625,3.25,2214200,SCI
53,2000-03-20,3.3125,3.3125,3.0625,3.0625,1896100,SCI
54,2000-03-21,3.0625,3.1875,2.9375,3.0625,2543600,SCI
55,2000-03-22,3.125,3.125,2.875,3.0,2513400,SCI
56,2000-03-23,3.0,3.125,2.9375,2.9375,2026700,SCI
57,2000-03-24,3.125,3.1875,3.0625,3.125,1341800,SCI
58,2000-03-27,3.1875,3.25,3.0625,3.0625,1024400,SCI
59,2000-03-28,3.0625,3.1875,3.0,3.0625,2341500,SCI
60,2000-03-29,3.125,3.1875,3.0625,3.0625,984100,SCI
61,2000-03-30,3.125,3.25,3.0625,3.0625,1199600,SCI
62,2000-03-31,3.0625,3.125,3.0,3.0,1511800,SCI
63,2000-04-03,3.0625,3.125,3.0,3.0,1733900,SCI
64,2000-04-04,3.0625,3.0625,2.875,2.875,1584300,SCI
65,2000-04-05,2.9375,3.0625,2.875,2.9375,1187500,SCI
66,2000-04-06,3.0,3.1875,2.9375,3.0625,938900,SCI
67,2000-04-07,3.0625,3.125,3.0625,3.0625,585900,SCI
68,2000-04-10,3.125,3.25,3.0625,3.1875,1473400,SCI
69,2000-04-11,3.1875,3.4375,3.1875,3.3125,1723500,SCI
70,2000-04-12,3.375,3.625,3.3125,3.625,1966200,SCI
71,2000-04-13,3.6875,4.75,3.5625,4.75,4447700,SCI
72,2000-04-14,5.0,5.0,3.75,4.1875,3661800,SCI
73,2000-04-17,4.25,4.6875,4.25,4.5,1882700,SCI
74,2000-04-18,4.5,4.625,3.9375,4.3125,1211800,SCI
75,2000-04-19,4.3125,4.375,4.125,4.1875,627300,SCI
76,2000-04-20,4.375,4.5,4.1875,4.4375,751700,SCI
77,2000-04-24,4.5,5.125,4.375,5.0625,1821200,SCI
78,2000-04-25,5.375,5.5,5.0,5.375,2659600,SCI
79,2000-04-26,5.4375,6.25,5.375,5.375,6121000,SCI
80,2000-04-27,5.1875,5.5,5.0,5.0625,2035600,SCI
81,2000-04-28,5.0,5.125,4.6875,5.125,1766700,SCI
82,2000-05-01,5.25,5.375,5.0625,5.25,3759000,SCI
83,2000-05-02,5.25,5.25,4.75,4.75,953800,SCI
84,2000-05-03,4.6875,4.8125,4.375,4.4375,852600,SCI
85,2000-05-04,4.375,4.5,3.9375,3.9375,1149800,SCI
86,2000-05-05,4.0625,4.25,3.9375,4.25,1401000,SCI
87,2000-05-08,4.1875,4.375,4.125,4.25,822400,SCI
88,2000-05-09,4.3125,4.5,4.125,4.5,1480100,SCI
89,2000-05-10,4.4375,4.5,4.0625,4.0625,785400,SCI
90,2000-05-11,4.125,4.1875,3.9375,4.0,1177900,SCI
91,2000-05-12,4.0,4.0625,3.75,3.8125,950600,SCI
92,2000-05-15,3.8125,4.125,3.5625,3.625,1320500,SCI
93,2000-05-16,3.6875,3.9375,3.625,3.6875,811000,SCI
94,2000-05-17,3.625,3.875,3.5,3.75,616300,SCI
95,2000-05-18,3.6875,3.8125,3.625,3.625,471800,SCI
96,2000-05-19,3.625,3.8125,3.25,3.25,1431900,SCI
97,2000-05-22,3.25,3.4375,3.125,3.125,997700,SCI
98,2000-05-23,3.125,3.5625,3.125,3.3125,1080400,SCI
