Date,Open,High,Low,Close,Volume,Symbol
2000-01-03,200.0,200.0,198.0,200.0,500,SEB
2000-01-04,200.0,200.0,200.0,200.0,1000,SEB
2000-01-05,201.0,201.0,199.0,199.0,300,SEB
2000-01-06,197.0,197.125,194.0,194.0,1200,SEB
2000-01-07,194.0,194.0,194.0,194.0,0,SEB
2000-01-10,193.25,193.25,193.125,193.125,300,SEB
2000-01-11,193.0,193.0,193.0,193.0,300,SEB
2000-01-12,193.0,193.0,188.25,191.0,500,SEB
2000-01-13,192.0,192.0,188.0,192.0,500,SEB
2000-01-14,193.0,193.0,186.0,189.0,600,SEB
2000-01-18,188.0,188.0,188.0,188.0,100,SEB
2000-01-19,187.0,192.0,187.0,192.0,300,SEB
2000-01-20,194.0,200.0,185.5,189.0,1100,SEB
2000-01-21,189.0,189.0,185.0,189.0,300,SEB
2000-01-24,191.0,198.0,191.0,194.75,1000,SEB
2000-01-25,192.0,192.75,186.0,188.0,1200,SEB
2000-01-26,190.125,191.0,189.0,189.0,400,SEB
2000-01-27,189.0,189.0,185.25,185.25,600,SEB
2000-01-28,185.25,189.0,185.25,188.75,600,SEB
2000-01-31,190.0,190.0,185.25,185.25,300,SEB
2000-02-01,186.0,188.0,185.0,185.25,600,SEB
2000-02-02,185.0,185.0,185.0,185.0,100,SEB
2000-02-03,186.0,189.0,186.0,189.0,100,SEB
2000-02-04,189.0,189.0,189.0,189.0,0,SEB
2000-02-07,195.0,195.0,188.5,188.5,300,SEB
2000-02-08,189.0,189.0,188.0,188.0,100,SEB
2000-02-09,184.0,184.0,165.0,170.0,800,SEB
2000-02-10,176.0,177.8125,170.0,172.0,1700,SEB
2000-02-11,173.875,173.875,173.875,173.875,200,SEB
2000-02-14,173.25,173.25,173.1875,173.1875,200,SEB
2000-02-15,172.0,172.0,170.0,170.0,200,SEB
2000-02-16,172.0,172.0,161.0,161.0,1800,SEB
2000-02-17,156.0,162.0,155.0,158.0,800,SEB
2000-02-18,160.0,164.75,159.0,164.75,300,SEB
2000-02-22,162.75,173.0,162.75,171.0,300,SEB
2000-02-23,173.0,180.0,171.0,180.0,300,SEB
2000-02-24,180.0,180.0,180.0,180.0,100,SEB
2000-02-25,172.0,177.0,172.0,177.0,300,SEB
2000-02-28,175.0,175.0,175.0,175.0,100,SEB
2000-02-29,177.0,179.0,177.0,179.0,200,SEB
2000-03-01,179.0,179.0,179.0,179.0,300,SEB
2000-03-02,177.0,177.0,175.0,175.0,100,SEB
2000-03-03,175.0,175.0,175.0,175.0,100,SEB
2000-03-06,173.0,173.0,173.0,173.0,100,SEB
2000-03-07,171.0,171.0,171.0,171.0,100,SEB
2000-03-08,169.0,169.0,153.0,153.0,400,SEB
2000-03-09,155.0,164.0,155.0,164.0,200,SEB
2000-03-10,164.0,164.0,158.0,160.0,200,SEB
2000-03-13,162.0,162.0,160.0,160.0,100,SEB
2000-03-14,158.0,158.0,153.0,158.0,300,SEB
2000-03-15,150.0,158.0,150.0,154.5,400,SEB
2000-03-16,156.5,167.0,156.5,167.0,500,SEB
2000-03-17,168.75,177.0,168.75,177.0,200,SEB
2000-03-20,179.0,185.0,179.0,182.0,300,SEB
2000-03-21,180.0,180.0,172.0,174.0,200,SEB
2000-03-22,176.0,176.0,175.9375,176.0,300,SEB
2000-03-23,178.0,178.0,174.0,176.0,300,SEB
2000-03-24,174.0,174.0,167.0,167.0,1200,SEB
2000-03-27,167.0,167.0,167.0,167.0,0,SEB
2000-03-28,169.0,180.0,169.0,178.0,300,SEB
2000-03-29,180.0,180.0,176.0,176.0,200,SEB
