Date,Open,High,Low,Close,Volume,Symbol
2000-01-03,8.53125,8.53125,8.3125,8.4375,247600,SIGI
2000-01-04,8.375,8.40625,8.375,8.390625,79800,SIGI
2000-01-05,8.359375,8.4375,8.3125,8.3125,92800,SIGI
2000-01-06,8.375,8.375,8.28125,8.34375,302800,SIGI
2000-01-07,8.3125,8.40625,8.0625,8.09375,294200,SIGI
2000-01-10,8.0625,8.15625,7.875,7.875,71600,SIGI
2000-01-11,7.65625,8.0625,7.59375,8.046875,101400,SIGI
2000-01-12,7.8125,8.125,7.8125,7.9375,101600,SIGI
2000-01-13,8.09375,8.3125,7.9375,8.28125,108200,SIGI
2000-01-14,8.28125,8.4375,8.21875,8.28125,313800,SIGI
2000-01-18,8.25,8.28125,7.875,8.125,27600,SIGI
2000-01-19,7.8125,7.9375,7.75,7.8125,69000,SIGI
2000-01-20,7.75,7.875,7.75,7.8125,131000,SIGI
2000-01-21,7.78125,7.828125,7.625,7.65625,174800,SIGI
2000-01-24,7.65625,7.6875,7.5,7.5,224000,SIGI
2000-01-25,7.5625,7.625,7.5625,7.625,118600,SIGI
2000-01-26,7.59375,7.8125,7.46875,7.46875,174200,SIGI
2000-01-27,7.6875,7.6875,7.4375,7.5,90000,SIGI
2000-01-28,7.59375,7.59375,7.375,7.46875,141000,SIGI
2000-01-31,7.5,7.65625,7.3125,7.53125,258200,SIGI
2000-02-01,7.5,7.5625,7.5,7.5625,79000,SIGI
2000-02-02,7.53125,7.59375,7.5,7.5625,95600,SIGI
2000-02-03,7.59375,7.65625,7.53125,7.65625,99800,SIGI
2000-02-04,7.65625,7.8125,7.53125,7.71875,111200,SIGI
2000-02-07,7.875,7.875,7.5625,7.59375,130600,SIGI
2000-02-08,7.5,7.5625,7.5,7.515625,134200,SIGI
2000-02-09,7.53125,7.671875,7.5,7.5625,310600,SIGI
2000-02-10,7.625,7.625,7.4375,7.5,262000,SIGI
2000-02-11,7.4375,7.65625,7.4375,7.5,249200,SIGI
2000-02-14,7.4375,7.625,7.40625,7.53125,193400,SIGI
2000-02-15,7.6875,7.75,7.5,7.625,520000,SIGI
2000-02-16,7.625,7.75,7.625,7.71875,273600,SIGI
2000-02-17,7.75,7.75,7.5625,7.5625,315000,SIGI
2000-02-18,7.5,7.6875,7.5,7.6875,155000,SIGI
2000-02-22,7.5625,7.6875,7.5625,7.5625,73800,SIGI
2000-02-23,7.75,7.75,7.46875,7.5,72600,SIGI
2000-02-24,7.6875,7.6875,7.5,7.5625,102400,SIGI
2000-02-25,7.71875,7.875,7.625,7.8125,173600,SIGI
2000-02-28,7.875,7.875,7.375,7.375,133800,SIGI
2000-02-29,7.5625,7.9375,7.4375,7.71875,129800,SIGI
2000-03-01,7.6875,7.6875,7.546875,7.59375,48000,SIGI
2000-03-02,7.6875,7.71875,7.5,7.625,119200,SIGI
2000-03-03,7.8125,8.125,7.625,7.875,219000,SIGI
2000-03-06,7.75,8.1875,7.5,8.1875,242200,SIGI
2000-03-07,8.15625,8.15625,7.6875,7.6875,34800,SIGI
2000-03-08,7.6875,7.875,7.5,7.5,116000,SIGI
2000-03-09,7.5625,8.0,7.5625,8.0,94200,SIGI
2000-03-10,7.6875,7.875,7.5,7.71875,123600,SIGI
2000-03-13,7.71875,7.71875,7.53125,7.53125,33200,SIGI
2000-03-14,7.53125,7.78125,7.46875,7.484375,87000,SIGI
2000-03-15,7.625,7.65625,7.4375,7.625,89200,SIGI
2000-03-16,7.8125,7.8125,7.625,7.75,41800,SIGI
2000-03-17,7.59375,7.78125,7.59375,7.625,144800,SIGI
2000-03-20,7.65625,7.84375,7.65625,7.8125,60600,SIGI
2000-03-21,7.75,8.0,7.75,8.0,77200,SIGI
2000-03-22,7.875,8.5,7.875,8.4375,101400,SIGI
2000-03-23,8.5,8.5,8.0,8.40625,65400,SIGI
2000-03-24,8.375,8.5,7.84375,8.25,79200,SIGI
2000-03-27,8.5,8.65625,8.15625,8.4375,55200,SIGI
2000-03-28,8.1875,8.625,8.0,8.59375,87200,SIGI
2000-03-29,8.59375,8.65625,8.0625,8.28125,42600,SIGI
2000-03-30,8.4375,8.4375,8.125,8.375,80000,SIGI
2000-03-31,8.4375,8.5625,8.375,8.53125,279600,SIGI
2000-04-03,8.59375,8.625,8.3125,8.625,118200,SIGI
2000-04-04,8.375,8.96875,8.375,8.90625,135200,SIGI
2000-04-05,8.8125,9.09375,8.8125,8.9375,67000,SIGI
2000-04-06,8.8125,9.125,8.8125,8.96875,38000,SIGI
2000-04-07,8.75,8.75,8.4375,8.4375,79800,SIGI
2000-04-10,8.4375,8.625,8.4375,8.5,71600,SIGI
2000-04-11,8.5,8.8125,8.46875,8.46875,94400,SIGI
2000-04-12,8.59375,8.75,8.46875,8.5,34400,SIGI
2000-04-13,8.5,8.578125,8.46875,8.5,145200,SIGI
2000-04-14,8.5,8.625,8.46875,8.625,102600,SIGI
2000-04-17,8.53125,9.1875,8.53125,8.90625,64200,SIGI
2000-04-18,8.75,9.25,8.75,9.25,106200,SIGI
2000-04-19,9.3125,9.5,9.28125,9.3125,32000,SIGI
2000-04-20,9.5,9.53125,9.25,9.4375,132400,SIGI
2000-04-24,9.3125,9.375,9.03125,9.09375,48400,SIGI
