Date,Open,High,Low,Close,Volume,Symbol
2000-01-03,5.90625,5.90625,5.625,5.875,82000,SM
2000-01-04,5.8125,6.0,5.71875,5.75,39200,SM
2000-01-05,5.734375,5.875,5.71875,5.71875,58400,SM
2000-01-06,5.765625,5.90625,5.71875,5.90625,499600,SM
2000-01-07,5.796875,5.796875,5.71875,5.75,23600,SM
2000-01-10,5.734375,5.828125,5.65625,5.71875,262800,SM
2000-01-11,5.71875,5.75,5.59375,5.671875,131200,SM
2000-01-12,5.671875,5.6875,5.625,5.6875,21600,SM
2000-01-13,5.71875,5.75,5.59375,5.625,34800,SM
2000-01-14,5.625,5.75,5.625,5.65625,14800,SM
2000-01-18,5.8125,6.65625,5.75,6.5,211200,SM
2000-01-19,6.5,6.5,6.3125,6.375,23600,SM
2000-01-20,6.3125,6.453125,6.3125,6.453125,31200,SM
2000-01-21,6.453125,6.453125,6.125,6.25,70000,SM
2000-01-24,6.28125,6.375,6.203125,6.328125,54000,SM
2000-01-25,6.328125,6.328125,6.1875,6.21875,28800,SM
2000-01-26,6.296875,6.3125,6.1875,6.3125,70000,SM
2000-01-27,6.25,6.375,6.25,6.34375,96400,SM
2000-01-28,6.4375,6.46875,6.25,6.375,55200,SM
2000-01-31,6.375,6.5625,6.3125,6.375,79600,SM
2000-02-01,6.34375,6.84375,6.34375,6.84375,98000,SM
2000-02-02,6.84375,6.90625,6.59375,6.59375,66800,SM
2000-02-03,6.75,6.78125,6.625,6.78125,34400,SM
2000-02-04,6.75,6.8125,6.65625,6.703125,84000,SM
2000-02-07,6.703125,6.703125,6.4375,6.4375,68400,SM
2000-02-08,6.4375,6.46875,6.1875,6.28125,156800,SM
2000-02-09,6.25,6.375,6.25,6.359375,56800,SM
2000-02-10,6.3125,6.8125,6.3125,6.59375,136000,SM
2000-02-11,6.53125,6.5625,6.25,6.375,87200,SM
2000-02-14,6.4375,6.515625,6.21875,6.515625,144400,SM
2000-02-15,6.40625,6.515625,6.3125,6.46875,58800,SM
2000-02-16,6.515625,6.53125,6.4375,6.515625,77200,SM
2000-02-17,6.5625,6.6875,6.53125,6.625,116400,SM
2000-02-18,6.71875,6.8125,6.640625,6.8125,250400,SM
2000-02-22,6.8125,7.046875,6.75,7.0,252400,SM
2000-02-23,6.96875,7.0,6.96875,6.96875,36000,SM
2000-02-24,6.96875,6.96875,6.53125,6.875,213200,SM
2000-02-25,6.757812976837158,7.09375,6.757812976837158,7.011719226837158,112000,SM
2000-02-28,6.84375,6.96875,6.78125,6.96875,8800,SM
2000-02-29,7.0,7.0,6.84375,6.953125,35600,SM
2000-03-01,6.859375,6.859375,6.75,6.8125,184400,SM
2000-03-02,6.75,6.84375,6.71875,6.71875,78000,SM
