,Date,Open,High,Low,Close,Volume,Symbol
0,2000-01-03,29.875,30.125,28.5625,28.75,297300,SWK
1,2000-01-04,28.5,28.9375,27.9375,28.125,127000,SWK
2,2000-01-05,28.125,28.25,27.625,27.75,121300,SWK
3,2000-01-06,27.5625,28.5,27.375,27.625,225100,SWK
4,2000-01-07,27.625,28.125,27.375,28.125,222500,SWK
5,2000-01-10,28.0625,28.125,27.0,27.875,160800,SWK
6,2000-01-11,27.6875,28.125,27.375,27.5625,142000,SWK
7,2000-01-12,27.4375,29.3125,27.3125,28.6875,407000,SWK
8,2000-01-13,28.6875,29.0,28.6875,28.75,135700,SWK
9,2000-01-14,28.375,28.375,27.375,27.875,258700,SWK
10,2000-01-18,27.25,27.4375,26.8125,26.9375,142700,SWK
11,2000-01-19,26.6875,28.0625,26.5625,27.6875,353800,SWK
12,2000-01-20,27.625,29.125,26.9375,27.0,335600,SWK
13,2000-01-21,27.125,27.125,25.6875,26.0625,180300,SWK
14,2000-01-24,26.0625,26.0625,25.375,25.5,122300,SWK
15,2000-01-25,25.5,25.5,24.5625,25.125,174000,SWK
16,2000-01-26,25.0625,25.125,24.0,24.5,218000,SWK
17,2000-01-27,25.5,26.125,25.1875,25.25,308700,SWK
18,2000-01-28,25.0625,25.375,24.75,24.75,147800,SWK
19,2000-01-31,24.75,25.25,24.25,25.125,187700,SWK
20,2000-02-01,25.25,25.5625,25.0625,25.125,272300,SWK
21,2000-02-02,25.25,26.375,25.25,25.9375,395100,SWK
22,2000-02-03,25.875,26.3125,25.0,26.125,192500,SWK
23,2000-02-04,26.125,26.375,25.4375,25.625,524300,SWK
24,2000-02-07,25.625,25.625,24.6875,24.9375,199700,SWK
25,2000-02-08,25.125,25.5625,24.8125,24.9375,174200,SWK
26,2000-02-09,24.8125,24.9375,24.25,24.3125,232500,SWK
27,2000-02-10,24.3125,24.4375,23.5,23.8125,251400,SWK
28,2000-02-11,23.75,23.75,23.1875,23.1875,149200,SWK
29,2000-02-14,23.25,24.0625,23.25,23.625,204000,SWK
30,2000-02-15,23.75,25.0,23.75,24.8125,237700,SWK
31,2000-02-16,24.375,25.0,24.3125,24.5625,480300,SWK
32,2000-02-17,24.4375,25.0625,24.4375,24.625,152900,SWK
33,2000-02-18,24.5,25.25,23.5625,23.5625,355000,SWK
34,2000-02-22,23.5625,25.125,23.5625,24.3125,226900,SWK
35,2000-02-23,24.1875,24.1875,23.5,23.5,210500,SWK
36,2000-02-24,23.75,23.75,22.25,22.75,283600,SWK
37,2000-02-25,22.75,23.5,22.5,22.6875,185700,SWK
38,2000-02-28,22.6875,23.375,22.375,22.875,171900,SWK
39,2000-02-29,22.625,23.3125,22.5,23.0,182500,SWK
40,2000-03-01,22.875,23.4375,22.875,23.0625,195800,SWK
41,2000-03-02,22.8125,23.75,22.8125,23.3125,235700,SWK
42,2000-03-03,23.125,24.6875,22.8125,24.25,226700,SWK
43,2000-03-06,23.75,23.9375,23.1875,23.6875,194600,SWK
44,2000-03-07,23.4375,23.5,22.5625,23.0,164700,SWK
45,2000-03-08,22.9375,23.75,22.625,23.5,152700,SWK
46,2000-03-09,23.25,23.9375,23.125,23.875,129700,SWK
47,2000-03-10,24.0625,24.9375,23.875,24.25,258300,SWK
48,2000-03-13,24.3125,24.3125,23.5625,23.9375,208000,SWK
49,2000-03-14,23.875,25.0,23.75,24.0,252100,SWK
50,2000-03-15,24.0,25.6875,23.375,25.1875,173900,SWK
51,2000-03-16,25.1875,27.0,25.1875,26.5625,422800,SWK
52,2000-03-17,26.4375,26.4375,25.8125,26.0,415800,SWK
53,2000-03-20,25.75,25.875,25.0,25.4375,225700,SWK
54,2000-03-21,25.1875,25.3125,24.75,24.8125,314800,SWK
55,2000-03-22,24.9375,25.0,24.375,24.8125,390900,SWK
56,2000-03-23,24.5625,25.5,24.375,25.1875,1590300,SWK
57,2000-03-24,25.4375,26.375,25.25,25.375,251100,SWK
58,2000-03-27,25.4375,25.4375,24.5,24.625,170800,SWK
59,2000-03-28,24.8125,25.375,24.3125,24.8125,144700,SWK
60,2000-03-29,24.8125,26.1875,24.8125,25.625,418200,SWK
61,2000-03-30,25.8125,27.25,25.75,26.5,357200,SWK
62,2000-03-31,26.5,27.0,26.0,26.375,438100,SWK
63,2000-04-03,26.625,26.8125,25.5625,26.5625,206900,SWK
64,2000-04-04,26.5625,27.4375,25.5625,26.3125,574200,SWK
65,2000-04-05,26.5625,27.0,26.1875,26.5625,150900,SWK
66,2000-04-06,26.75,27.5625,26.75,27.125,142400,SWK
67,2000-04-07,27.0,27.25,26.125,26.6875,169900,SWK
68,2000-04-10,26.5,26.6875,25.875,26.125,166600,SWK
69,2000-04-11,26.125,27.375,26.0,26.9375,220900,SWK
70,2000-04-12,27.5,28.8125,27.3125,28.3125,457000,SWK
71,2000-04-13,28.3125,28.75,27.875,28.125,199300,SWK
72,2000-04-14,27.625,28.0,27.25,27.3125,337700,SWK
73,2000-04-17,27.5,28.75,27.5,28.4375,267700,SWK
74,2000-04-18,28.1875,28.5625,27.75,28.25,200200,SWK
75,2000-04-19,28.25,28.875,27.5,27.9375,179200,SWK
76,2000-04-20,27.6875,29.0625,27.6875,29.0,260600,SWK
77,2000-04-24,28.75,29.375,28.625,29.3125,204600,SWK
78,2000-04-25,29.25,29.875,29.25,29.875,356200,SWK
79,2000-04-26,29.625,30.125,29.5,29.875,609300,SWK
80,2000-04-27,29.875,29.9375,29.4375,29.875,514900,SWK
81,2000-04-28,29.875,29.875,28.75,29.5,275700,SWK
82,2000-05-01,29.25,30.375,28.875,30.1875,199700,SWK
83,2000-05-02,30.0,30.3125,29.8125,30.0,145800,SWK
