Date,Open,High,Low,Close,Volume,Symbol
2000-01-03,12.0,12.0,11.5,11.9375,318600,TBI
2000-01-04,8.375,9.375,8.0625,9.0625,3640900,TBI
2000-01-05,9.0625,9.125,8.5,8.75,763200,TBI
2000-01-06,8.875,8.875,8.5,8.625,323400,TBI
2000-01-07,8.75,9.125,8.5625,8.6875,507300,TBI
2000-01-10,8.9375,9.0,8.625,8.8125,424800,TBI
2000-01-11,8.6875,8.8125,8.5625,8.75,396400,TBI
2000-01-12,8.75,8.8125,8.5,8.625,302700,TBI
2000-01-13,8.5625,8.6875,8.5625,8.6875,246500,TBI
2000-01-14,8.875,9.0625,8.75,8.75,245900,TBI
2000-01-18,8.6875,8.8125,8.5625,8.75,240900,TBI
2000-01-19,8.75,8.8125,8.625,8.625,219700,TBI
2000-01-20,8.75,9.125,8.5625,8.9375,430800,TBI
2000-01-21,9.0,9.1875,8.875,8.9375,266000,TBI
2000-01-24,9.0625,9.0625,8.625,8.625,250100,TBI
2000-01-25,8.6875,8.6875,8.4375,8.4375,164800,TBI
2000-01-26,8.375,8.625,8.125,8.5,315900,TBI
2000-01-27,8.375,8.5625,8.3125,8.5625,149400,TBI
2000-01-28,8.375,8.5625,8.3125,8.5625,155200,TBI
2000-01-31,8.5,8.5625,8.1875,8.3125,151600,TBI
2000-02-01,8.375,8.375,8.125,8.3125,307700,TBI
2000-02-02,8.375,8.5,8.125,8.125,114500,TBI
2000-02-03,8.25,8.375,8.125,8.1875,188800,TBI
2000-02-04,8.1875,8.5,8.1875,8.4375,142500,TBI
2000-02-07,8.5,8.5625,8.25,8.5,122900,TBI
2000-02-08,8.5625,8.625,8.375,8.625,149400,TBI
2000-02-09,8.5625,8.75,8.5625,8.625,121700,TBI
2000-02-10,8.625,8.6875,8.4375,8.625,217500,TBI
2000-02-11,8.6875,8.75,8.4375,8.5,266300,TBI
2000-02-14,8.375,8.9375,8.3125,8.875,268400,TBI
2000-02-15,8.9375,10.3125,8.8125,10.3125,620300,TBI
2000-02-16,10.4375,10.5625,9.1875,9.375,480900,TBI
2000-02-17,9.375,9.4375,9.0,9.1875,213200,TBI
2000-02-18,9.0,9.0625,8.5625,8.625,187100,TBI
2000-02-22,8.75,8.75,8.4375,8.6875,149000,TBI
2000-02-23,8.375,8.625,8.1875,8.5625,291000,TBI
2000-02-24,8.5,8.6875,8.375,8.4375,98000,TBI
2000-02-25,8.4375,8.5,8.25,8.3125,84800,TBI
2000-02-28,8.3125,8.5625,8.25,8.5,201900,TBI
2000-02-29,8.4375,8.5,8.25,8.3125,109700,TBI
2000-03-01,8.3125,8.3125,8.125,8.25,154200,TBI
2000-03-02,8.4375,8.4375,8.25,8.25,163100,TBI
2000-03-03,8.25,8.375,8.125,8.3125,227600,TBI
2000-03-06,8.125,8.3125,8.125,8.1875,171500,TBI
2000-03-07,8.0625,8.1875,7.625,7.9375,227400,TBI
2000-03-08,8.0,8.0,7.75,8.0,128100,TBI
2000-03-09,7.8125,8.4375,7.8125,8.3125,138800,TBI
2000-03-10,8.25,8.5,8.0,8.4375,241000,TBI
2000-03-13,8.3125,8.3125,8.0,8.125,113000,TBI
2000-03-14,8.125,8.1875,8.0625,8.1875,94900,TBI
2000-03-15,8.1875,8.375,8.0625,8.25,75000,TBI
2000-03-16,8.3125,8.75,8.25,8.5625,179500,TBI
2000-03-17,8.5,9.25,8.5,9.25,442300,TBI
2000-03-20,9.5625,11.1875,9.5625,11.125,744600,TBI
2000-03-21,10.75,11.8125,10.25,10.875,612000,TBI
2000-03-22,10.625,10.8125,10.375,10.8125,235700,TBI
2000-03-23,10.5625,10.75,9.875,10.5,205300,TBI
2000-03-24,10.375,10.5625,10.25,10.3125,120300,TBI
2000-03-27,10.4375,10.75,10.375,10.75,117700,TBI
2000-03-28,10.875,11.125,10.5,10.625,218900,TBI
2000-03-29,10.625,10.75,10.3125,10.6875,66000,TBI
2000-03-30,10.3125,10.625,10.3125,10.5,84600,TBI
2000-03-31,10.8125,10.8125,9.875,9.875,229200,TBI
2000-04-03,10.1875,10.5,9.8125,10.1875,130000,TBI
2000-04-04,10.1875,10.1875,9.125,9.625,215200,TBI
2000-04-05,9.5625,9.5625,9.125,9.4375,156100,TBI
2000-04-06,9.3125,9.375,9.0,9.1875,115700,TBI
2000-04-07,9.125,9.375,9.0,9.125,75600,TBI
2000-04-10,9.0,9.125,9.0,9.0,178800,TBI
2000-04-11,8.875,9.125,8.6875,8.8125,89300,TBI
2000-04-12,8.5625,8.6875,8.125,8.25,196100,TBI
2000-04-13,8.375,8.625,8.3125,8.4375,157500,TBI
2000-04-14,8.375,8.625,8.0,8.125,190700,TBI
2000-04-17,8.0625,8.125,7.75,7.875,224000,TBI
2000-04-18,7.9375,8.625,7.9375,8.3125,273300,TBI
2000-04-19,8.625,9.25,8.5,8.8125,251400,TBI
2000-04-20,9.0,9.4375,9.0,9.25,178100,TBI
2000-04-24,9.1875,9.75,9.125,9.625,212700,TBI
2000-04-25,9.625,10.0,9.5625,9.625,97500,TBI
2000-04-26,9.5625,9.6875,9.125,9.3125,140100,TBI
2000-04-27,9.0625,9.125,8.9375,9.0625,181000,TBI
2000-04-28,9.0,9.1875,8.9375,9.0625,49500,TBI
2000-05-01,9.0,9.25,9.0,9.125,114200,TBI
2000-05-02,9.0625,9.125,8.875,9.0,84200,TBI
2000-05-03,9.0625,9.75,9.0625,9.75,230800,TBI
2000-05-04,9.5,9.9375,9.5,9.9375,129800,TBI
2000-05-05,9.9375,9.9375,9.8125,9.9375,66100,TBI
2000-05-08,9.5,10.0625,9.5,10.0625,163100,TBI
2000-05-09,10.0,10.1875,9.875,10.125,128700,TBI
2000-05-10,10.0,10.0625,9.75,10.0625,145400,TBI
2000-05-11,10.0,10.5,10.0,10.375,188900,TBI
2000-05-12,10.4375,10.5625,10.4375,10.4375,80300,TBI
2000-05-15,10.1875,10.5625,10.125,10.5625,129000,TBI
2000-05-16,10.4375,10.5625,9.75,10.0,260300,TBI
2000-05-17,10.0,10.0,9.875,9.9375,61200,TBI
2000-05-18,9.9375,9.9375,9.8125,9.9375,62600,TBI
2000-05-19,9.875,9.875,9.6875,9.875,58900,TBI
2000-05-22,9.8125,9.875,9.125,9.6875,100000,TBI
2000-05-23,9.5625,9.6875,9.4375,9.6875,61700,TBI
2000-05-24,9.625,9.625,9.125,9.625,117600,TBI
2000-05-25,9.5,9.6875,9.375,9.5,75100,TBI
2000-05-26,9.375,9.375,9.125,9.25,88500,TBI
2000-05-30,9.125,9.3125,8.875,9.25,117500,TBI
2000-05-31,9.125,9.375,9.0625,9.375,97600,TBI
2000-06-01,9.125,9.4375,9.125,9.375,87500,TBI
2000-06-02,9.375,9.75,9.3125,9.75,113000,TBI
2000-06-05,9.625,9.75,9.4375,9.625,67700,TBI
2000-06-06,9.5625,9.6875,9.5,9.5625,70900,TBI
2000-06-07,9.4375,9.5,9.3125,9.3125,113900,TBI
2000-06-08,9.3125,9.375,9.0,9.0625,151300,TBI
2000-06-09,9.0,9.0625,8.0625,8.6875,351200,TBI
2000-06-12,8.75,8.75,8.4375,8.5,87500,TBI
2000-06-13,8.375,8.4375,8.25,8.4375,95300,TBI
2000-06-14,8.25,8.25,7.9375,8.0625,396800,TBI
2000-06-15,7.9375,8.375,7.875,8.125,74600,TBI
2000-06-16,8.0,8.25,8.0,8.1875,120500,TBI
2000-06-19,8.125,8.125,7.5625,7.75,228200,TBI
2000-06-20,7.8125,7.875,7.5,7.5625,166800,TBI
2000-06-21,7.5625,8.0,7.5625,7.75,119800,TBI
2000-06-22,6.625,6.875,5.9375,6.875,1752200,TBI
2000-06-23,6.625,6.75,6.0625,6.3125,595800,TBI
2000-06-26,6.25,6.3125,6.0,6.125,1031400,TBI
2000-06-27,6.1875,6.1875,5.75,5.75,755200,TBI
2000-06-28,5.6875,6.3125,5.5,6.3125,578300,TBI
2000-06-29,6.3125,7.375,6.3125,6.8125,398800,TBI
2000-06-30,7.0,7.1875,6.5625,6.625,237800,TBI
2000-07-03,6.5,6.5,5.875,6.3125,202400,TBI
2000-07-05,6.125,6.125,5.625,5.875,405000,TBI
2000-07-06,5.8125,5.875,5.0625,5.3125,387900,TBI
2000-07-07,5.0625,5.25,5.0625,5.0625,416600,TBI
2000-07-10,5.125,5.3125,5.0,5.1875,243600,TBI
2000-07-11,5.3125,5.3125,5.0625,5.0625,109200,TBI
2000-07-12,5.125,5.125,5.0,5.0,269200,TBI
2000-07-13,5.125,5.1875,5.0,5.0625,175500,TBI
2000-07-14,5.0625,5.125,5.0,5.125,138400,TBI
2000-07-17,5.0,5.125,5.0,5.0625,144600,TBI
2000-07-18,5.0,5.0625,5.0,5.0,159400,TBI
2000-07-19,5.0625,5.0625,5.0,5.0,841500,TBI
2000-07-20,5.0,5.0,4.5,4.5625,264300,TBI
2000-07-21,4.4375,4.5625,4.0625,4.3125,424100,TBI
2000-07-24,4.375,4.375,4.25,4.375,251200,TBI
2000-07-25,4.5625,4.625,4.3125,4.5,98500,TBI
2000-07-26,4.375,4.5,4.25,4.25,165300,TBI
2000-07-27,4.1875,4.4375,4.0625,4.3125,243700,TBI
2000-07-28,4.25,4.375,4.125,4.25,144800,TBI
2000-07-31,4.25,5.0,4.25,5.0,269200,TBI
2000-08-01,5.0,5.0,4.75,4.8125,124300,TBI
2000-08-02,4.8125,4.8125,4.5,4.75,174200,TBI
2000-08-03,4.75,4.8125,4.5,4.5625,111900,TBI
2000-08-04,4.5625,4.75,4.5,4.5,269000,TBI
2000-08-07,4.25,4.4375,4.25,4.375,194100,TBI
2000-08-08,4.375,4.625,4.375,4.4375,69300,TBI
2000-08-09,4.4375,4.5,4.375,4.4375,81200,TBI
2000-08-10,4.375,4.4375,4.3125,4.3125,122500,TBI
2000-08-11,4.3125,4.375,4.25,4.25,71700,TBI
2000-08-14,4.25,4.4375,4.25,4.375,49800,TBI
2000-08-15,4.375,4.375,4.125,4.1875,218400,TBI
2000-08-16,4.1875,4.25,4.0,4.1875,255800,TBI
2000-08-17,4.0625,4.25,4.0625,4.125,78500,TBI
2000-08-18,4.0,4.125,4.0,4.0,178500,TBI
2000-08-21,4.0,4.375,4.0,4.25,215800,TBI
2000-08-22,4.3125,4.375,4.0,4.0,82700,TBI
2000-08-23,4.0,4.1875,3.9375,4.0,95000,TBI
2000-08-24,4.0,4.0625,3.8125,3.9375,112800,TBI
2000-08-25,3.875,4.0,3.75,3.875,212400,TBI
2000-08-28,3.9375,4.25,3.875,4.0625,140900,TBI
2000-08-29,4.1875,4.1875,3.75,3.9375,200800,TBI
2000-08-30,3.875,3.9375,3.75,3.75,109000,TBI
2000-08-31,3.75,3.875,3.75,3.875,113900,TBI
2000-09-01,3.8125,3.875,3.75,3.8125,102100,TBI
2000-09-05,3.75,3.9375,3.75,3.75,226900,TBI
2000-09-06,3.75,3.875,3.6875,3.75,328900,TBI
2000-09-07,3.8125,4.0,3.8125,4.0,189300,TBI
2000-09-08,4.125,4.125,3.875,3.875,138900,TBI
2000-09-11,3.8125,3.875,3.75,3.75,131800,TBI
2000-09-12,3.75,3.875,3.75,3.75,67100,TBI
2000-09-13,3.8125,4.0,3.8125,3.875,55400,TBI
2000-09-14,3.875,4.25,3.875,4.125,115600,TBI
2000-09-15,4.1875,4.4375,4.1875,4.3125,97900,TBI
