,Date,Open,High,Low,Close,Volume,Symbol
0,2000-01-03,13.875,13.875,13.1875,13.25,216200,TEX
1,2000-01-04,13.1875,13.28125,12.875,13.1875,255000,TEX
2,2000-01-05,13.0625,13.5,13.0625,13.40625,43200,TEX
3,2000-01-06,13.53125,13.71875,13.40625,13.65625,140600,TEX
4,2000-01-07,13.75,14.3125,13.75,14.3125,219000,TEX
5,2000-01-10,14.4375,14.4375,13.9375,14.0,408000,TEX
6,2000-01-11,14.0,14.0,13.25,13.28125,279200,TEX
7,2000-01-12,13.125,13.25,13.0,13.21875,119600,TEX
8,2000-01-13,13.28125,13.6875,13.25,13.6875,146400,TEX
9,2000-01-14,13.71875,14.125,13.4375,14.125,276000,TEX
10,2000-01-18,14.0625,14.1875,13.90625,14.0,190000,TEX
11,2000-01-19,13.9375,13.96875,13.5,13.5,411600,TEX
12,2000-01-20,13.5,13.5,13.25,13.34375,549200,TEX
13,2000-01-21,13.28125,13.375,12.5,12.75,187400,TEX
14,2000-01-24,12.75,12.75,11.8125,11.96875,851400,TEX
15,2000-01-25,11.96875,11.96875,11.4375,11.6875,431200,TEX
16,2000-01-26,11.75,11.8125,11.40625,11.5,709000,TEX
17,2000-01-27,11.5,11.5,10.6875,11.0,863800,TEX
18,2000-01-28,11.0,11.0,10.75,10.9375,854600,TEX
19,2000-01-31,11.0625,11.53125,11.03125,11.375,462600,TEX
20,2000-02-01,11.5,11.5625,10.9375,11.25,652400,TEX
21,2000-02-02,11.15625,11.4375,11.0625,11.3125,364600,TEX
22,2000-02-03,11.25,11.5,11.0,11.15625,360600,TEX
23,2000-02-04,11.0625,11.125,10.625,10.8125,392400,TEX
24,2000-02-07,11.0,11.0,10.4375,10.9375,355800,TEX
25,2000-02-08,11.0625,11.125,10.75,11.0,1074800,TEX
26,2000-02-09,11.0,11.03125,10.78125,10.8125,259400,TEX
27,2000-02-10,10.8125,10.8125,10.5,10.5,166200,TEX
28,2000-02-11,10.5,10.53125,10.0,10.0,298400,TEX
29,2000-02-14,10.03125,10.21875,9.8125,9.875,559000,TEX
30,2000-02-15,9.9375,10.375,9.90625,10.125,559200,TEX
31,2000-02-16,10.1875,10.46875,9.84375,9.96875,555400,TEX
32,2000-02-17,10.03125,10.03125,9.40625,9.53125,260000,TEX
33,2000-02-18,9.65625,9.9375,9.5,9.5,189800,TEX
34,2000-02-22,9.5,9.5,8.9375,9.21875,435600,TEX
35,2000-02-23,9.21875,9.21875,8.8125,8.8125,733200,TEX
36,2000-02-24,8.78125,9.0,8.625,8.875,546200,TEX
37,2000-02-25,9.125,9.46875,5.5625,6.625,4872600,TEX
38,2000-02-28,6.6875,6.9375,5.875,6.0,2636400,TEX
39,2000-02-29,6.125,6.125,5.71875,5.9375,2098400,TEX
40,2000-03-01,5.9375,6.0625,5.59375,6.0,2117400,TEX
41,2000-03-02,6.0,6.125,5.96875,6.03125,1349600,TEX
42,2000-03-03,6.09375,7.1875,6.09375,7.0625,1459400,TEX
43,2000-03-06,7.375,7.75,7.03125,7.03125,768600,TEX
44,2000-03-07,7.03125,7.1875,6.53125,6.5625,415600,TEX
45,2000-03-08,6.53125,6.5625,5.9375,6.0,1403800,TEX
46,2000-03-09,6.0625,6.1875,5.9375,5.9375,942200,TEX
47,2000-03-10,6.0,6.375,5.96875,6.0,824600,TEX
48,2000-03-13,5.96875,6.3125,5.8125,5.8125,1156200,TEX
49,2000-03-14,5.8125,6.25,5.8125,6.125,1065000,TEX
50,2000-03-15,6.1875,6.6875,6.125,6.6875,1180200,TEX
51,2000-03-16,6.75,7.0625,6.75,6.875,793400,TEX
52,2000-03-17,7.0625,7.125,6.65625,6.65625,285600,TEX
53,2000-03-20,6.9375,7.0625,6.78125,6.90625,546800,TEX
54,2000-03-21,6.84375,7.4375,6.8125,7.40625,780600,TEX
55,2000-03-22,7.4375,7.5625,7.3125,7.34375,709400,TEX
56,2000-03-23,7.40625,7.625,7.34375,7.53125,702400,TEX
57,2000-03-24,7.5625,7.625,7.375,7.40625,347200,TEX
58,2000-03-27,7.46875,7.5,7.40625,7.40625,239800,TEX
59,2000-03-28,7.4375,7.46875,7.0625,7.25,538800,TEX
60,2000-03-29,7.25,7.375,7.1875,7.3125,262000,TEX
61,2000-03-30,7.34375,7.4375,6.875,6.875,625200,TEX
62,2000-03-31,6.9375,7.5,6.9375,7.1875,687200,TEX
63,2000-04-03,7.3125,7.625,7.3125,7.4375,376800,TEX
64,2000-04-04,7.5,7.875,7.5,7.875,743200,TEX
65,2000-04-05,7.625,7.8125,7.0,7.25,639200,TEX
66,2000-04-06,7.28125,7.3125,7.0625,7.3125,495600,TEX
67,2000-04-07,7.375,7.5,7.28125,7.3125,170600,TEX
68,2000-04-10,7.3125,7.3125,7.1875,7.1875,135400,TEX
69,2000-04-11,7.15625,7.5,7.0625,7.375,324200,TEX
70,2000-04-12,7.375,7.4375,7.1875,7.28125,268400,TEX
71,2000-04-13,7.40625,7.46875,7.25,7.25,239600,TEX
72,2000-04-14,7.25,7.25,6.40625,6.4375,730200,TEX
73,2000-04-17,6.375,6.9375,6.1875,6.46875,536400,TEX
74,2000-04-18,6.53125,6.75,6.5,6.6875,536800,TEX
75,2000-04-19,6.6875,6.71875,6.5,6.53125,605400,TEX
76,2000-04-20,6.53125,6.8125,6.5,6.75,321600,TEX
77,2000-04-24,6.6875,6.6875,6.53125,6.625,293200,TEX
78,2000-04-25,6.625,7.28125,6.625,7.25,433000,TEX
79,2000-04-26,7.8125,8.09375,7.8125,7.9375,1776600,TEX
80,2000-04-27,7.96875,7.96875,7.5625,7.75,304000,TEX
81,2000-04-28,7.75,7.875,7.75,7.8125,254800,TEX
82,2000-05-01,7.8125,8.3125,7.8125,8.09375,621200,TEX
83,2000-05-02,8.03125,8.09375,7.90625,7.90625,283800,TEX
84,2000-05-03,7.78125,7.90625,7.75,7.84375,390800,TEX
85,2000-05-04,7.96875,8.125,7.90625,8.03125,128600,TEX
86,2000-05-05,8.0,8.0625,7.96875,8.0625,207400,TEX
87,2000-05-08,8.0625,8.3125,8.0,8.28125,454600,TEX
88,2000-05-09,8.28125,8.4375,8.125,8.21875,298600,TEX
89,2000-05-10,8.21875,8.25,7.8125,8.0,357000,TEX
90,2000-05-11,8.0,8.125,8.0,8.125,397800,TEX
91,2000-05-12,8.1875,8.21875,7.90625,7.9375,642000,TEX
92,2000-05-15,7.9375,7.96875,7.8125,7.96875,119600,TEX
93,2000-05-16,8.0,8.125,7.9375,8.0,442200,TEX
94,2000-05-17,8.0,8.0625,7.875,8.03125,264000,TEX
95,2000-05-18,8.03125,8.1875,7.96875,8.125,167800,TEX
96,2000-05-19,8.1875,8.1875,7.9375,8.0,165000,TEX
97,2000-05-22,8.125,8.125,7.90625,8.0625,187200,TEX
98,2000-05-23,8.125,8.125,8.0625,8.09375,60400,TEX
99,2000-05-24,8.09375,8.15625,8.03125,8.15625,182000,TEX
100,2000-05-25,8.15625,8.21875,8.125,8.15625,156000,TEX
101,2000-05-26,8.1875,8.21875,8.0625,8.21875,165400,TEX
102,2000-05-30,8.125,8.3125,8.125,8.28125,176600,TEX
103,2000-05-31,8.1875,8.21875,7.9375,7.96875,95600,TEX
104,2000-06-01,8.0625,8.5,8.03125,8.5,298400,TEX
105,2000-06-02,8.4375,8.625,8.4375,8.59375,155600,TEX
106,2000-06-05,8.625,8.625,8.28125,8.4375,175600,TEX
107,2000-06-06,8.375,8.625,8.375,8.5,94200,TEX
108,2000-06-07,8.5625,8.5625,8.25,8.3125,101400,TEX
109,2000-06-08,8.3125,8.3125,8.09375,8.125,129800,TEX
110,2000-06-09,8.0,8.0,7.71875,7.71875,179600,TEX
111,2000-06-12,7.78125,7.9375,7.65625,7.8125,170000,TEX
112,2000-06-13,7.875,7.875,7.625,7.8125,139800,TEX
113,2000-06-14,7.875,7.875,7.625,7.75,169400,TEX
114,2000-06-15,7.6875,7.8125,7.65625,7.75,130400,TEX
115,2000-06-16,7.75,7.75,7.625,7.65625,105000,TEX
