Date,Open,High,Low,Close,Volume,Symbol
2000-01-03,7.578125,7.578125,7.53125,7.546875,20800,THO
2000-01-04,7.53125,7.59375,7.375,7.375,27200,THO
2000-01-05,7.4375,7.46875,7.34375,7.34375,32800,THO
2000-01-06,7.3125,7.3125,7.0625,7.109375,11200,THO
2000-01-07,7.171875,7.171875,7.109375,7.15625,26800,THO
2000-01-10,7.15625,7.375,7.15625,7.25,71600,THO
2000-01-11,7.25,7.25,7.015625,7.109375,70000,THO
2000-01-12,7.0625,7.09375,7.046875,7.09375,8400,THO
2000-01-13,7.140625,7.375,7.140625,7.3125,43600,THO
2000-01-14,7.34375,7.421875,7.3125,7.3125,42000,THO
2000-01-18,7.34375,7.34375,7.3125,7.3125,19600,THO
2000-01-19,7.3125,7.390625,7.1875,7.359375,68400,THO
2000-01-20,7.3125,7.484375,7.3125,7.359375,19600,THO
2000-01-21,7.328125,7.4375,7.328125,7.40625,31600,THO
2000-01-24,7.46875,7.484375,7.40625,7.4375,39200,THO
2000-01-25,7.4375,7.484375,7.328125,7.375,47200,THO
2000-01-26,7.3125,7.3125,7.25,7.3125,24800,THO
2000-01-27,7.25,7.453125,7.25,7.453125,17200,THO
2000-01-28,7.421875,7.484375,7.375,7.375,56400,THO
2000-01-31,7.40625,7.40625,7.34375,7.34375,50000,THO
2000-02-01,7.328125,7.40625,7.3125,7.328125,67200,THO
2000-02-02,7.328125,7.578125,7.328125,7.578125,15200,THO
2000-02-03,7.625,7.640625,7.4375,7.46875,28000,THO
2000-02-04,7.421875,7.625,7.375,7.5625,42000,THO
2000-02-07,7.578125,7.578125,7.375,7.375,38000,THO
2000-02-08,7.390625,7.390625,7.1875,7.1875,39600,THO
2000-02-09,7.203125,7.203125,7.046875,7.046875,70400,THO
2000-02-10,7.09375,7.09375,6.8125,6.859375,30000,THO
2000-02-11,6.859375,6.859375,6.78125,6.8125,26400,THO
2000-02-14,6.875,6.875,6.765625,6.78125,4400,THO
2000-02-15,6.765625,6.765625,6.6875,6.6875,24400,THO
2000-02-16,6.71875,6.78125,6.625,6.625,381200,THO
2000-02-17,6.625,6.71875,6.578125,6.71875,50000,THO
2000-02-18,6.71875,6.71875,6.34375,6.390625,90000,THO
2000-02-22,6.1875,6.4375,6.15625,6.4375,84800,THO
2000-02-23,6.375,6.5,6.125,6.5,76400,THO
2000-02-24,6.53125,6.546875,6.25,6.25,43600,THO
2000-02-25,6.3125,6.3125,6.0,6.03125,46400,THO
2000-02-28,6.0,6.1875,5.9375,6.125,26000,THO
2000-02-29,6.125,6.390625,6.125,6.390625,143200,THO
2000-03-01,6.359375,6.359375,6.28125,6.3125,26800,THO
2000-03-02,6.3125,6.4375,6.296875,6.359375,23600,THO
2000-03-03,6.390625,6.46875,6.28125,6.296875,28800,THO
2000-03-06,6.328125,6.328125,6.25,6.265625,39600,THO
2000-03-07,6.296875,6.296875,6.1875,6.265625,14400,THO
2000-03-08,6.25,6.25,6.046875,6.046875,24800,THO
2000-03-09,6.125,6.125,6.0625,6.109375,28800,THO
2000-03-10,6.09375,6.09375,6.0625,6.0625,2800,THO
2000-03-13,6.09375,6.109375,6.0625,6.109375,58000,THO
2000-03-14,6.09375,6.109375,6.09375,6.09375,12400,THO
2000-03-15,6.046875,6.0625,6.046875,6.046875,25600,THO
2000-03-16,6.0625,6.3125,6.0625,6.3125,17200,THO
2000-03-17,6.25,6.25,6.109375,6.109375,18000,THO
2000-03-20,6.15625,6.15625,6.0,6.0,29200,THO
2000-03-21,6.03125,6.03125,5.875,5.96875,30800,THO
2000-03-22,5.96875,6.09375,5.96875,6.0625,12000,THO
2000-03-23,6.0625,6.3125,6.0625,6.234375,35600,THO
2000-03-24,6.25,6.25,6.0,6.03125,52800,THO
2000-03-27,6.28125,6.28125,6.15625,6.171875,38000,THO
2000-03-28,6.203125,6.203125,6.0625,6.078125,46400,THO
2000-03-29,6.0625,6.109375,6.0,6.03125,115200,THO
2000-03-30,6.03125,6.125,5.875,6.125,96400,THO
2000-03-31,6.140625,6.15625,6.078125,6.078125,46000,THO
2000-04-03,6.09375,6.25,6.09375,6.234375,33600,THO
2000-04-04,6.296875,6.453125,6.125,6.15625,45200,THO
2000-04-05,6.203125,6.375,6.109375,6.375,13200,THO
2000-04-06,6.390625,6.453125,6.390625,6.40625,15600,THO
2000-04-07,6.453125,6.46875,6.3125,6.46875,28400,THO
2000-04-10,6.5,6.578125,6.4375,6.515625,19200,THO
2000-04-11,6.546875,6.546875,6.234375,6.25,47200,THO
2000-04-12,6.3125,6.4375,6.1875,6.21875,174000,THO
2000-04-13,6.21875,6.4375,6.21875,6.4375,21600,THO
2000-04-14,6.4375,6.4375,6.0625,6.109375,22400,THO
2000-04-17,5.875,6.5625,5.875,6.5625,253200,THO
2000-04-18,6.875,6.875,6.59375,6.671875,62800,THO
2000-04-19,6.703125,7.015625,6.625,7.015625,112800,THO
2000-04-20,7.015625,7.015625,6.890625,6.890625,18000,THO
2000-04-24,6.828125,6.828125,6.703125,6.703125,56400,THO
2000-04-25,6.640625,7.0,6.640625,6.828125,75200,THO
2000-04-26,6.890625,6.984375,6.84375,6.875,95200,THO
2000-04-27,6.875,6.875,6.6875,6.71875,101600,THO
2000-04-28,6.726562976837158,6.734375,6.71875,6.734375,25200,THO
2000-05-01,6.796875,6.828125,6.71875,6.78125,36000,THO
2000-05-02,6.78125,6.78125,6.71875,6.734375,16400,THO
2000-05-03,6.71875,6.734375,6.375,6.5,76800,THO
2000-05-04,6.5625,6.734375,6.5625,6.625,41600,THO
2000-05-05,6.625,6.625,6.46875,6.5625,48000,THO
2000-05-08,6.546875,6.546875,6.25,6.3125,28400,THO
2000-05-09,6.3125,6.3125,6.125,6.25,105600,THO
2000-05-10,6.21875,6.234375,6.140625,6.15625,6800,THO
2000-05-11,6.109375,6.15625,6.09375,6.15625,20400,THO
2000-05-12,6.15625,6.234375,6.140625,6.234375,23200,THO
2000-05-15,6.25,6.25,6.1875,6.234375,37600,THO
2000-05-16,6.25,6.25,6.109375,6.109375,26000,THO
2000-05-17,6.109375,6.140625,6.09375,6.09375,10000,THO
2000-05-18,6.15625,6.21875,6.109375,6.109375,11200,THO
2000-05-19,6.09375,6.09375,6.03125,6.03125,48000,THO
2000-05-22,6.09375,6.15625,5.984375,6.0,24400,THO
2000-05-23,6.0625,6.0625,5.9375,5.984375,21600,THO
2000-05-24,5.984375,6.09375,5.96875,5.984375,36400,THO
2000-05-25,6.0,6.0,5.625,5.71875,77200,THO
2000-05-26,5.78125,5.84375,5.640625,5.84375,18000,THO
2000-05-30,5.859375,5.859375,5.640625,5.796875,42400,THO
2000-05-31,5.828125,5.90625,5.765625,5.84375,52000,THO
2000-06-01,5.875,5.875,5.796875,5.796875,32800,THO
2000-06-02,5.859375,5.859375,5.703125,5.71875,16400,THO
2000-06-05,5.71875,5.75,5.625,5.625,158000,THO
2000-06-06,5.625,5.625,5.53125,5.53125,229200,THO
2000-06-07,5.53125,5.625,5.53125,5.625,54000,THO
2000-06-08,5.5625,5.671875,5.546875,5.59375,17600,THO
2000-06-09,5.609375,5.609375,5.28125,5.328125,75600,THO
2000-06-12,5.390625,5.390625,5.1875,5.3125,105600,THO
2000-06-13,5.375,5.4375,5.3125,5.34375,45600,THO
2000-06-14,5.375,5.515625,5.375,5.484375,181200,THO
2000-06-15,5.484375,5.5,5.40625,5.5,41600,THO
2000-06-16,5.5625,5.71875,5.5,5.65625,116800,THO
2000-06-19,5.703125,5.71875,5.46875,5.515625,48000,THO
2000-06-20,5.515625,5.65625,5.46875,5.484375,52800,THO
2000-06-21,5.421875,5.5,5.421875,5.5,7600,THO
2000-06-22,5.5,5.5,5.390625,5.390625,47200,THO
2000-06-23,5.421875,5.445312976837158,5.40625,5.40625,416400,THO
2000-06-26,5.4375,5.5625,5.40625,5.515625,57600,THO
2000-06-27,5.734375,5.75,5.59375,5.59375,45600,THO
2000-06-28,5.625,5.625,5.46875,5.5625,31200,THO
2000-06-29,5.6875,5.6875,5.40625,5.421875,39200,THO
2000-06-30,5.53125,5.71875,5.246094226837158,5.246094226837158,101600,THO
2000-07-03,5.46875,5.5625,5.46875,5.5625,32400,THO
2000-07-05,5.625,5.65625,5.390625,5.390625,45600,THO
2000-07-06,5.390625,5.5,5.390625,5.5,14800,THO
2000-07-07,5.5625,5.59375,5.390625,5.390625,52400,THO
2000-07-10,5.390625,5.6875,5.390625,5.640625,33200,THO
2000-07-11,5.65625,5.75,5.625,5.6875,69600,THO
2000-07-12,5.71875,5.75,5.640625,5.71875,27200,THO
2000-07-13,5.71875,5.734375,5.640625,5.734375,54800,THO
2000-07-14,5.734375,5.75,5.734375,5.75,6800,THO
2000-07-17,5.6875,5.75,5.6875,5.703125,23200,THO
2000-07-18,5.71875,5.71875,5.703125,5.703125,6400,THO
2000-07-19,5.671875,5.6875,5.65625,5.671875,24400,THO
2000-07-20,5.640625,5.65625,5.625,5.640625,26000,THO
2000-07-21,5.65625,5.65625,5.640625,5.640625,16000,THO
2000-07-24,5.640625,5.75,5.640625,5.734375,165600,THO
2000-07-25,5.75,5.8125,5.75,5.78125,71600,THO
2000-07-26,5.765625,5.8125,5.765625,5.8125,8400,THO
2000-07-27,5.8125,5.828125,5.8125,5.8125,3200,THO
2000-07-28,5.796875,5.890625,5.796875,5.84375,37600,THO
2000-07-31,5.78125,5.890625,5.78125,5.890625,18000,THO
2000-08-01,5.921875,6.03125,5.90625,5.953125,12800,THO
2000-08-02,6.0,6.125,6.0,6.109375,5200,THO
2000-08-03,6.140625,6.140625,5.96875,5.984375,8400,THO
2000-08-04,5.984375,5.984375,5.734375,5.75,38000,THO
2000-08-07,5.734375,5.90625,5.671875,5.90625,74400,THO
2000-08-08,5.875,5.890625,5.765625,5.8125,48400,THO
2000-08-09,5.859375,5.921875,5.84375,5.921875,27200,THO
2000-08-10,5.953125,5.96875,5.84375,5.84375,10800,THO
2000-08-11,5.859375,6.0625,5.859375,6.03125,109200,THO
2000-08-14,6.046875,6.09375,6.0,6.0,196400,THO
2000-08-15,6.0,6.0,5.921875,5.96875,15200,THO
2000-08-16,5.984375,5.984375,5.890625,5.921875,18800,THO
2000-08-17,5.984375,5.984375,5.890625,5.9375,49200,THO
2000-08-18,5.984375,5.984375,5.921875,5.984375,4800,THO
2000-08-21,5.953125,5.984375,5.9375,5.984375,4000,THO
2000-08-22,5.921875,5.984375,5.828125,5.953125,28800,THO
2000-08-23,5.953125,5.953125,5.84375,5.84375,38400,THO
2000-08-24,5.796875,5.8125,5.78125,5.8125,55600,THO
2000-08-25,5.859375,5.859375,5.828125,5.859375,6000,THO
2000-08-28,5.84375,5.84375,5.78125,5.78125,26800,THO
2000-08-29,5.8125,5.84375,5.78125,5.84375,15600,THO
2000-08-30,5.8125,5.875,5.8125,5.8125,19200,THO
2000-08-31,5.78125,5.9375,5.75,5.828125,71200,THO
2000-09-01,5.765625,5.84375,5.734375,5.84375,6400,THO
2000-09-05,5.78125,5.828125,5.6875,5.734375,74000,THO
2000-09-06,5.75,5.875,5.75,5.859375,12800,THO
2000-09-07,5.828125,5.90625,5.828125,5.90625,39600,THO
2000-09-08,5.875,5.953125,5.875,5.9375,10800,THO
2000-09-11,5.984375,5.984375,5.921875,5.921875,61200,THO
2000-09-12,5.921875,5.984375,5.890625,5.984375,12000,THO
2000-09-13,5.9375,5.984375,5.90625,5.96875,28400,THO
2000-09-14,5.984375,5.984375,5.953125,5.96875,29200,THO
2000-09-15,5.921875,6.078125,5.921875,6.078125,90800,THO
2000-09-18,6.078125,6.109375,5.953125,5.953125,76000,THO
2000-09-19,5.953125,5.984375,5.921875,5.984375,9200,THO
2000-09-20,6.0,6.0,5.90625,5.984375,90400,THO
2000-09-21,5.953125,5.984375,5.9375,5.984375,4000,THO
2000-09-22,5.953125,5.984375,5.921875,5.953125,21600,THO
2000-09-25,5.953125,5.953125,5.890625,5.9375,50400,THO
2000-09-26,5.90625,5.9375,5.84375,5.875,97600,THO
2000-09-27,5.84375,5.984375,5.84375,5.890625,56400,THO
2000-09-28,5.890625,5.984375,5.78125,5.78125,35200,THO
2000-09-29,5.71875,5.8125,5.703125,5.78125,33200,THO
2000-10-02,5.75,5.828125,5.640625,5.765625,40000,THO
2000-10-03,5.75,5.765625,5.703125,5.703125,3600,THO
2000-10-04,5.78125,5.78125,5.75,5.75,13600,THO
2000-10-05,5.75,5.828125,5.671875,5.828125,28400,THO
2000-10-06,5.765625,5.765625,5.625,5.703125,23200,THO
2000-10-09,5.65625,5.71875,5.625,5.703125,44800,THO
2000-10-10,5.71875,5.71875,5.53125,5.53125,16400,THO
2000-10-11,5.5,5.5,5.390625,5.40625,56000,THO
2000-10-12,5.40625,5.46875,5.40625,5.4375,62400,THO
2000-10-13,5.390625,5.484375,5.390625,5.484375,17600,THO
2000-10-16,5.5,5.546875,5.484375,5.484375,145600,THO
2000-10-17,5.484375,5.484375,5.375,5.421875,80400,THO
2000-10-18,5.453125,5.5,5.453125,5.5,12000,THO
2000-10-19,5.453125,5.5625,5.4375,5.46875,24400,THO
2000-10-20,5.46875,5.546875,5.46875,5.515625,5600,THO
2000-10-23,5.53125,5.53125,5.515625,5.515625,51600,THO
2000-10-24,5.46875,5.484375,5.25,5.25,31200,THO
2000-10-25,5.296875,5.296875,5.171875,5.21875,36800,THO
2000-10-26,5.21875,5.21875,5.171875,5.1875,54800,THO
2000-10-27,5.21875,5.21875,5.125,5.125,46400,THO
2000-10-30,5.15625,5.25,5.15625,5.15625,11600,THO
2000-10-31,5.171875,5.171875,4.890625,5.0,210000,THO
2000-11-01,4.8125,4.9375,4.796875,4.9375,332400,THO
2000-11-02,4.921875,5.0625,4.90625,5.0,28400,THO
2000-11-03,5.015625,5.15625,5.015625,5.140625,15600,THO
2000-11-06,5.140625,5.140625,5.015625,5.015625,29600,THO
2000-11-07,5.03125,5.0625,5.03125,5.0625,1600,THO
2000-11-08,5.0625,5.125,5.0625,5.125,22800,THO
2000-11-09,5.125,5.203125,5.125,5.203125,14400,THO
2000-11-10,5.140625,5.140625,5.0625,5.109375,10400,THO
