,Date,Open,High,Low,Close,Volume,Symbol
0,2000-01-03,3.875,4.125,3.75,4.0625,118000,TPC
1,2000-01-04,4.0625,5.0,4.0,5.0,67000,TPC
2,2000-01-05,5.25,5.625,5.25,5.375,64500,TPC
3,2000-01-06,5.375,5.875,5.375,5.8125,46400,TPC
4,2000-01-07,5.875,5.875,5.25,5.3125,30000,TPC
5,2000-01-10,5.4375,5.5,5.3125,5.375,4600,TPC
6,2000-01-11,5.25,5.375,5.25,5.25,12500,TPC
7,2000-01-12,5.125,5.125,5.0,5.0,9500,TPC
8,2000-01-13,5.0,5.125,4.5,4.875,10000,TPC
9,2000-01-14,4.9375,5.0,4.9375,5.0,6000,TPC
10,2000-01-18,5.0,5.0,4.875,5.0,8800,TPC
11,2000-01-19,4.875,5.0,4.875,5.0,2800,TPC
12,2000-01-20,5.0625,5.0625,4.75,4.875,5200,TPC
13,2000-01-21,4.875,5.0,4.625,4.625,6400,TPC
14,2000-01-24,4.75,5.0,4.75,4.9375,1500,TPC
15,2000-01-25,4.8125,4.8125,4.8125,4.8125,1000,TPC
16,2000-01-26,4.875,5.0,4.75,4.75,1600,TPC
17,2000-01-27,4.875,4.9375,4.75,4.8125,5500,TPC
18,2000-01-28,4.875,5.0,4.75,4.75,6100,TPC
19,2000-01-31,4.625,4.6875,4.625,4.6875,3600,TPC
20,2000-02-01,4.5,4.6875,4.5,4.6875,4300,TPC
21,2000-02-02,4.75,4.875,4.625,4.875,2800,TPC
22,2000-02-03,4.75,4.75,4.625,4.625,6000,TPC
23,2000-02-04,4.75,4.875,4.75,4.75,5900,TPC
24,2000-02-07,4.875,4.875,4.75,4.75,11600,TPC
25,2000-02-08,5.125,5.125,4.875,4.875,37800,TPC
26,2000-02-09,4.875,4.875,4.625,4.625,13400,TPC
27,2000-02-10,4.625,4.625,4.5,4.5,4800,TPC
28,2000-02-11,4.5,4.625,4.25,4.25,16200,TPC
29,2000-02-14,4.25,4.375,4.25,4.375,2900,TPC
30,2000-02-15,4.375,4.375,4.125,4.25,18000,TPC
31,2000-02-16,4.25,4.25,4.0625,4.25,14900,TPC
32,2000-02-17,4.125,4.5,4.125,4.25,9600,TPC
33,2000-02-18,4.125,4.375,4.125,4.125,8800,TPC
34,2000-02-22,4.125,4.125,4.0,4.0,23400,TPC
35,2000-02-23,4.125,4.125,4.0,4.0,2000,TPC
36,2000-02-24,4.0625,4.0625,4.0,4.0,5500,TPC
37,2000-02-25,4.125,4.125,4.0,4.0,5400,TPC
38,2000-02-28,3.875,4.0625,3.875,4.0,11200,TPC
39,2000-02-29,4.0625,4.125,3.9375,3.9375,5400,TPC
40,2000-03-01,3.9375,3.9375,3.9375,3.9375,100,TPC
41,2000-03-02,3.9375,4.0625,3.875,3.9375,16100,TPC
42,2000-03-03,3.9375,4.125,3.9375,4.0,14700,TPC
43,2000-03-06,4.125,4.125,4.0,4.0625,5400,TPC
44,2000-03-07,4.0625,4.125,3.875,3.875,9700,TPC
45,2000-03-08,4.25,4.25,4.0,4.0,10000,TPC
46,2000-03-09,4.125,4.125,3.9375,4.0,14800,TPC
47,2000-03-10,3.875,4.0,3.8125,3.875,9100,TPC
48,2000-03-13,4.0,4.125,3.875,4.0,13500,TPC
49,2000-03-14,4.0625,4.0625,4.0,4.0,2700,TPC
50,2000-03-15,4.0,4.0625,3.875,3.875,7700,TPC
51,2000-03-16,4.0,4.125,4.0,4.125,14000,TPC
52,2000-03-17,4.125,4.4375,4.125,4.125,11600,TPC
53,2000-03-20,4.1875,4.3125,4.0625,4.0625,12400,TPC
54,2000-03-21,3.9375,4.0,3.9375,4.0,15700,TPC
55,2000-03-22,4.0,4.25,4.0,4.125,11800,TPC
56,2000-03-23,4.125,4.25,4.125,4.25,1700,TPC
57,2000-03-24,4.25,4.25,4.0,4.25,8800,TPC
58,2000-03-27,4.375,4.625,4.0625,4.375,16300,TPC
59,2000-03-28,4.5,4.5,4.3125,4.4375,2600,TPC
60,2000-03-29,4.4375,4.4375,4.25,4.25,11500,TPC
