,Date,Open,High,Low,Close,Volume,Symbol
0,2000-01-03,64.3125,64.4375,61.6875,61.8125,294400,WHR
1,2000-01-04,61.5625,62.1875,58.9375,59.4375,472600,WHR
2,2000-01-05,59.4375,60.8125,59.3125,60.3125,419500,WHR
3,2000-01-06,60.1875,61.625,59.6875,60.8125,266600,WHR
4,2000-01-07,60.9375,61.5625,60.375,61.0,298400,WHR
5,2000-01-10,61.25,62.6875,61.125,61.75,212700,WHR
6,2000-01-11,62.0,64.5625,62.0,64.0,309500,WHR
7,2000-01-12,63.75,63.8125,61.75,61.75,357100,WHR
8,2000-01-13,62.0,62.25,61.25,61.4375,174500,WHR
9,2000-01-14,61.5,62.1875,61.125,61.1875,239500,WHR
10,2000-01-18,60.0,60.3125,59.25,59.3125,233500,WHR
11,2000-01-19,61.5,63.1875,59.625,59.625,548000,WHR
12,2000-01-20,59.875,60.5625,59.125,59.5,471900,WHR
13,2000-01-21,56.0,58.0,52.25,57.5,2453200,WHR
14,2000-01-24,57.75,59.9375,57.375,57.9375,894400,WHR
15,2000-01-25,57.9375,58.375,51.75,53.625,1122600,WHR
16,2000-01-26,55.0625,59.9375,55.0,59.875,920900,WHR
17,2000-01-27,59.625,60.25,56.4375,56.6875,895100,WHR
18,2000-01-28,55.375,58.5625,55.375,56.75,375500,WHR
19,2000-01-31,56.5,58.75,56.25,58.25,391500,WHR
20,2000-02-01,58.25,60.4375,58.25,59.6875,531500,WHR
21,2000-02-02,59.4375,59.5,57.5625,57.625,468300,WHR
22,2000-02-03,57.5625,58.25,57.0625,57.5625,355000,WHR
23,2000-02-04,57.8125,58.1875,56.3125,56.375,300100,WHR
24,2000-02-07,56.375,57.25,55.0,55.5625,495300,WHR
25,2000-02-08,55.8125,56.1875,54.375,54.375,372300,WHR
26,2000-02-09,55.0625,55.375,54.6875,54.9375,355200,WHR
27,2000-02-10,55.0,55.4375,54.125,54.375,288900,WHR
28,2000-02-11,54.9375,55.375,52.625,52.75,253400,WHR
29,2000-02-14,51.75,53.875,50.5,52.9375,741400,WHR
30,2000-02-15,53.0625,54.0625,51.9375,52.6875,711000,WHR
31,2000-02-16,53.0625,54.125,53.0,54.0,493300,WHR
32,2000-02-17,54.0,58.4375,54.0,57.0,575000,WHR
33,2000-02-18,56.375,56.6875,54.3125,54.5,487000,WHR
34,2000-02-22,54.5,55.25,54.25,54.5625,473400,WHR
35,2000-02-23,54.5625,54.9375,54.125,54.1875,467700,WHR
36,2000-02-24,54.1875,54.6875,52.5625,54.25,673400,WHR
37,2000-02-25,53.875,54.4375,53.3125,53.375,699900,WHR
38,2000-02-28,53.875,54.0,52.875,53.625,291900,WHR
39,2000-02-29,53.125,55.0,53.125,54.3125,486000,WHR
40,2000-03-01,54.3125,54.4375,51.75,53.4375,317000,WHR
