Date,Open,High,Low,Close,Volume,Symbol
2000-01-03,43.25,43.25,42.75,43.0,3900,WMK
2000-01-04,43.0,43.125,42.25,42.3125,6700,WMK
2000-01-05,42.4375,42.8125,42.3125,42.8125,5300,WMK
2000-01-06,42.8125,43.625,42.8125,43.375,6100,WMK
2000-01-07,43.625,45.25,43.625,44.875,22300,WMK
2000-01-10,44.75,44.875,44.125,44.4375,9900,WMK
2000-01-11,44.3125,44.9375,44.3125,44.625,6100,WMK
2000-01-12,44.375,44.375,43.6875,44.0,4900,WMK
2000-01-13,43.75,43.8125,43.5625,43.5625,6600,WMK
2000-01-14,43.3125,43.375,41.875,41.875,23000,WMK
2000-01-18,41.75,41.75,40.75,40.75,28300,WMK
2000-01-19,40.5625,40.8125,40.3125,40.5625,24700,WMK
2000-01-20,40.4375,41.75,40.4375,41.375,18500,WMK
2000-01-21,41.5625,42.25,40.5,40.5,18200,WMK
2000-01-24,40.25,40.3125,38.0,38.0,20100,WMK
2000-01-25,38.25,40.5,38.25,40.125,17700,WMK
2000-01-26,40.0,40.75,39.875,40.5,7600,WMK
2000-01-27,40.5625,41.375,40.5625,41.1875,12000,WMK
2000-01-28,41.0,42.0,40.5625,42.0,22600,WMK
2000-01-31,41.875,43.125,41.875,42.9375,34300,WMK
2000-02-01,43.125,43.125,43.0,43.0,10700,WMK
2000-02-02,43.0,43.0625,42.8125,42.9375,7600,WMK
2000-02-03,43.0625,43.0625,42.75,42.75,10600,WMK
2000-02-04,42.75,42.875,41.875,41.875,14800,WMK
2000-02-07,43.0,43.8125,43.0,43.4375,28900,WMK
2000-02-08,43.625,43.625,43.1875,43.3125,11400,WMK
2000-02-09,42.9375,43.375,42.9375,43.0,9300,WMK
2000-02-10,43.0,43.4375,43.0,43.0,8800,WMK
2000-02-11,42.9375,42.9375,42.375,42.4375,5100,WMK
2000-02-14,42.5625,42.5625,42.3125,42.3125,9100,WMK
2000-02-15,42.3125,42.3125,41.6875,41.875,10200,WMK
2000-02-16,41.75,41.75,41.25,41.25,7300,WMK
2000-02-17,41.25,41.5,41.25,41.3125,9500,WMK
2000-02-18,41.1875,41.6875,41.0,41.0,5700,WMK
2000-02-22,41.25,41.25,40.5,40.5,11000,WMK
2000-02-23,40.5,40.5,40.0,40.0,5300,WMK
2000-02-24,40.25,40.375,40.0625,40.125,4400,WMK
2000-02-25,40.0625,40.625,40.0625,40.625,2000,WMK
2000-02-28,40.875,41.0,40.625,41.0,13300,WMK
2000-02-29,41.125,42.3125,41.125,42.3125,20500,WMK
2000-03-01,42.3125,42.75,42.25,42.75,10300,WMK
